,group,variable,month,A BAJA < DE 1 AÑO,A BAJA < DE 1 AÑO,A BAJA 1 A MENOR DE 2 AÑOS,A BAJA 1 A MENOR DE 2 AÑOS,A BAJA 2 A MENOR DE 5 AÑOS,A BAJA 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
PUERTO QUIJARRO,estado nutricional,a baja,2013-06-01,0,1,1,0,0,0,1,1,2
PUERTO RICO,estado nutricional,a baja,2013-06-01,4,3,7,4,2,8,13,15,28
PUERTO SILES,estado nutricional,a baja,2013-06-01,0,0,0,1,0,0,0,1,1
PUERTO SUAREZ,estado nutricional,a baja,2013-06-01,3,7,5,3,4,2,12,12,24
PUERTO VILLARROEL,estado nutricional,a baja,2013-06-01,2,3,25,16,26,20,53,39,92
PUNA,estado nutricional,a baja,2013-06-01,18,8,23,32,38,54,79,94,173
PUNATA,estado nutricional,a baja,2013-06-01,6,2,13,10,5,11,24,23,47
QUIABAYA,estado nutricional,a baja,2013-06-01,3,2,2,3,3,6,8,11,19
QUILLACOLLO,estado nutricional,a baja,2013-06-01,74,50,116,63,56,72,246,185,431
QUIME,estado nutricional,a baja,2013-06-01,8,1,7,6,4,6,19,13,32
QUIRUSILLAS,estado nutricional,a baja,2013-06-01,0,0,0,0,0,1,0,1,1
RAVELO,estado nutricional,a baja,2013-06-01,40,26,61,58,159,159,260,243,503
REYES,estado nutricional,a baja,2013-06-01,9,3,13,8,5,8,27,19,46
RIBERALTA,estado nutricional,a baja,2013-06-01,40,29,113,97,70,55,223,181,404
RURRENABAQUE,estado nutricional,a baja,2013-06-01,1,4,5,2,2,5,8,11,19
SABAYA,estado nutricional,a baja,2013-06-01,0,2,5,3,2,5,7,10,17
SACABA,estado nutricional,a baja,2013-06-01,37,22,85,53,63,61,185,136,321
SACABAMBA,estado nutricional,a baja,2013-06-01,7,2,7,5,7,23,21,30,51
SACACA,estado nutricional,a baja,2013-06-01,62,28,91,55,113,90,266,173,439
SAIPINA,estado nutricional,a baja,2013-06-01,0,0,1,3,1,3,2,6,8
SALINAS DE GARCI MENDOZA,estado nutricional,a baja,2013-06-01,7,12,44,12,36,40,87,64,151
SAMAIPATA,estado nutricional,a baja,2013-06-01,2,0,2,2,2,4,6,6,12
SAN AGUSTIN,estado nutricional,a baja,2013-06-01,1,0,2,1,1,0,4,1,5
SAN ANDRES,estado nutricional,a baja,2013-06-01,2,0,4,0,7,4,13,4,17
SAN ANDRES DE MACHACA,estado nutricional,a baja,2013-06-01,1,0,2,2,0,1,3,3,6
SAN ANTONIO DE ESMORUCO,estado nutricional,a baja,2013-06-01,1,0,3,2,10,8,14,10,24
SAN ANTONIO DE LOMERIO,estado nutricional,a baja,2013-06-01,5,1,9,7,16,16,30,24,54
SAN BENITO,estado nutricional,a baja,2013-06-01,3,4,8,6,5,7,16,17,33
SAN BORJA,estado nutricional,a baja,2013-06-01,36,22,42,25,67,62,145,109,254
SAN BUENA VENTURA,estado nutricional,a baja,2013-06-01,7,2,6,5,7,5,20,12,32
SAN CARLOS,estado nutricional,a baja,2013-06-01,2,0,4,1,4,2,10,3,13
SAN IGNACIO,estado nutricional,a baja,2013-06-01,16,5,26,16,21,25,63,46,109
SAN IGNACIO DE VELASCO,estado nutricional,a baja,2013-06-01,10,8,15,21,30,22,55,51,106
SAN JAVIER(STC),estado nutricional,a baja,2013-06-01,1,1,2,0,0,0,3,1,4
SAN JOAQUIN,estado nutricional,a baja,2013-06-01,1,1,1,0,2,0,4,1,5
SAN JOSE DE CHIQUITOS,estado nutricional,a baja,2013-06-01,2,3,6,3,3,0,11,6,17
SAN JUAN DE YAPACANI,estado nutricional,a baja,2013-06-01,0,0,1,1,0,0,1,1,2
SAN JULIAN,estado nutricional,a baja,2013-06-01,3,4,6,10,8,12,17,26,43
SAN LORENZO(PND),estado nutricional,a baja,2013-06-01,3,2,3,2,6,10,12,14,26
SAN LORENZO(TJA),estado nutricional,a baja,2013-06-01,4,3,15,14,22,11,41,28,69
SAN LUCAS,estado nutricional,a baja,2013-06-01,46,39,80,80,194,182,320,301,621
SAN MATIAS,estado nutricional,a baja,2013-06-01,3,0,4,2,1,0,8,2,10
SAN MIGUEL DE VELASCO,estado nutricional,a baja,2013-06-01,22,13,29,12,21,11,72,36,108
SAN PABLO DE LIPEZ,estado nutricional,a baja,2013-06-01,4,1,3,0,4,4,11,5,16
SAN PEDRO,estado nutricional,a baja,2013-06-01,1,2,1,0,5,3,7,5,12
SAN PEDRO DE BUENA VISTA,estado nutricional,a baja,2013-06-01,63,56,91,75,147,139,301,270,571
SAN PEDRO DE CURAHUARA,estado nutricional,a baja,2013-06-01,0,0,10,2,3,4,13,6,19
SAN PEDRO DE QUEMES,estado nutricional,a baja,2013-06-01,1,0,2,0,0,1,3,1,4
SAN PEDRO DE TIQUINA,estado nutricional,a baja,2013-06-01,0,0,3,1,2,1,5,2,7
SAN PEDRO(PND),estado nutricional,a baja,2013-06-01,0,0,3,0,4,2,7,2,9
SAN RAFAEL,estado nutricional,a baja,2013-06-01,4,0,13,3,5,2,22,5,27
SAN RAMON BENI,estado nutricional,a baja,2013-06-01,0,1,1,0,1,2,2,3,5
SAN RAMON SCZ,estado nutricional,a baja,2013-06-01,2,0,3,0,0,3,5,3,8
SANTA ANA,estado nutricional,a baja,2013-06-01,2,1,5,3,2,6,9,10,19
SANTA CRUZ DE LA SIERRA,estado nutricional,a baja,2013-06-01,91,67,70,42,77,51,238,160,398
SANTA ROSA,estado nutricional,a baja,2013-06-01,1,1,1,2,1,1,3,4,7
SANTA ROSA DEL SARA,estado nutricional,a baja,2013-06-01,2,0,1,3,2,3,5,6,11
SANTIAGO DE CALLAPA,estado nutricional,a baja,2013-06-01,0,1,2,6,1,3,3,10,13
SANTIAGO DE HUARI,estado nutricional,a baja,2013-06-01,6,4,16,16,16,7,38,27,65
SANTIAGO DE HUATA,estado nutricional,a baja,2013-06-01,3,1,11,2,4,9,18,12,30
SANTIAGO DE MACHACA,estado nutricional,a baja,2013-06-01,2,1,9,5,3,3,14,9,23
SANTIVAÑES,estado nutricional,a baja,2013-06-01,1,1,9,1,10,4,20,6,26
SANTUARIO DE QUILLACAS,estado nutricional,a baja,2013-06-01,2,0,2,3,3,7,7,10,17
SAPAHAQUI,estado nutricional,a baja,2013-06-01,5,4,23,10,8,16,36,30,66
SENA,estado nutricional,a baja,2013-06-01,1,1,1,3,6,6,8,10,18
SHINAOTA,estado nutricional,a baja,2013-06-01,4,5,19,15,4,12,27,32,59
SICA SICA (VILLA AROMA),estado nutricional,a baja,2013-06-01,11,10,22,23,25,24,58,57,115
SICAYA,estado nutricional,a baja,2013-06-01,2,4,10,12,11,6,23,22,45
SIPE SIPE,estado nutricional,a baja,2013-06-01,28,8,65,50,35,32,128,90,218
SOPACHUY,estado nutricional,a baja,2013-06-01,3,2,16,15,49,32,68,49,117
SORACACHI,estado nutricional,a baja,2013-06-01,10,9,22,15,23,18,55,42,97
SORATA,estado nutricional,a baja,2013-06-01,6,2,13,7,3,7,22,16,38
SUCRE,estado nutricional,a baja,2013-06-01,80,40,165,106,131,136,376,282,658
TACACOMA,estado nutricional,a baja,2013-06-01,5,3,2,1,5,5,12,9,21
TACOBAMBA,estado nutricional,a baja,2013-06-01,15,3,16,14,17,13,48,30,78
TACOPAYA,estado nutricional,a baja,2013-06-01,7,6,25,24,48,39,80,69,149
TAHUA,estado nutricional,a baja,2013-06-01,0,0,0,0,2,1,2,1,3
TAPACARI,estado nutricional,a baja,2013-06-01,43,22,80,48,65,60,188,130,318
TARABUCO,estado nutricional,a baja,2013-06-01,18,11,45,29,99,107,162,147,309
TARACO,estado nutricional,a baja,2013-06-01,3,0,2,4,2,1,7,5,12
TARATA,estado nutricional,a baja,2013-06-01,2,1,8,12,5,8,15,21,36
TARIJA,estado nutricional,a baja,2013-06-01,41,26,37,25,42,38,120,89,209
TARVITA,estado nutricional,a baja,2013-06-01,14,15,52,36,116,118,182,169,351
TEOPONTE,estado nutricional,a baja,2013-06-01,0,1,4,3,8,1,12,5,17
TIAWANACU,estado nutricional,a baja,2013-06-01,5,4,15,8,9,6,29,18,47
TINGUIPAYA,estado nutricional,a baja,2013-06-01,41,34,61,64,59,49,161,147,308
TIPUANI,estado nutricional,a baja,2013-06-01,5,2,4,2,9,7,18,11,29
TIQUIPAYA,estado nutricional,a baja,2013-06-01,21,15,31,36,35,35,87,86,173
TIRAQUE (CBBA),estado nutricional,a baja,2013-06-01,10,4,28,21,16,18,54,43,97
TITO YUPANQUI (PARQUIPUJIO),estado nutricional,a baja,2013-06-01,0,1,1,1,1,1,2,3,5
TOCO,estado nutricional,a baja,2013-06-01,1,0,1,6,3,2,5,8,13
TODOS SANTOS,estado nutricional,a baja,2013-06-01,1,0,0,1,0,0,1,1,2
TOLATA,estado nutricional,a baja,2013-06-01,1,0,2,1,4,2,7,3,10
TOLEDO,estado nutricional,a baja,2013-06-01,2,1,2,2,8,4,12,7,19
TOMAVE,estado nutricional,a baja,2013-06-01,16,14,36,21,37,21,89,56,145
TOMINA,estado nutricional,a baja,2013-06-01,7,7,27,19,65,76,99,102,201
TORO TORO,estado nutricional,a baja,2013-06-01,12,5,34,20,45,57,91,82,173
TOTORA(CBBA),estado nutricional,a baja,2013-06-01,10,7,32,20,16,13,58,40,98
TOTORA(ORR),estado nutricional,a baja,2013-06-01,2,0,7,1,0,5,9,6,15
TRINIDAD,estado nutricional,a baja,2013-06-01,17,105,25,24,13,23,55,152,207
TUPIZA,estado nutricional,a baja,2013-06-01,29,16,27,24,27,27,83,67,150
TURCO,estado nutricional,a baja,2013-06-01,1,0,4,4,1,3,6,7,13
UMALA,estado nutricional,a baja,2013-06-01,4,0,15,6,7,3,26,9,35
UNCIA,estado nutricional,a baja,2013-06-01,21,6,52,22,36,38,109,66,175
URIONDO (A. CONCEPCION),estado nutricional,a baja,2013-06-01,1,4,2,3,6,7,9,14,23
URUBICHA,estado nutricional,a baja,2013-06-01,5,5,10,5,2,2,17,12,29
UYUNI,estado nutricional,a baja,2013-06-01,9,10,22,28,13,12,44,50,94
VACAS,estado nutricional,a baja,2013-06-01,17,24,24,23,11,14,52,61,113
VALLEGRANDE,estado nutricional,a baja,2013-06-01,24,4,2,3,2,1,28,8,36
VIACHA,estado nutricional,a baja,2013-06-01,28,44,29,30,31,20,88,94,182
VILA VILA,estado nutricional,a baja,2013-06-01,8,12,20,21,26,41,54,74,128
VILLA CHARCAS,estado nutricional,a baja,2013-06-01,16,21,55,47,116,111,187,179,366
VILLA MONTES,estado nutricional,a baja,2013-06-01,8,6,6,8,13,14,27,28,55
VILLA NUEVA (LOMA ALTA),estado nutricional,a baja,2013-06-01,0,0,3,0,3,7,6,7,13
VILLA RIVERO,estado nutricional,a baja,2013-06-01,1,5,7,5,6,7,14,17,31
VILLA SERRANO,estado nutricional,a baja,2013-06-01,6,3,35,16,59,64,100,83,183
VILLA TUNARI,estado nutricional,a baja,2013-06-01,22,25,90,68,90,87,202,180,382
VILLA VACA GUZMAN (MUYUPAMPA),estado nutricional,a baja,2013-06-01,5,2,18,11,10,19,33,32,65
VILLAZON,estado nutricional,a baja,2013-06-01,40,30,88,35,58,33,186,98,284
VINTO,estado nutricional,a baja,2013-06-01,6,3,16,23,12,18,34,44,78
VITICHI,estado nutricional,a baja,2013-06-01,3,4,19,13,21,36,43,53,96
WALDO BALLIVIAN,estado nutricional,a baja,2013-06-01,0,1,1,1,3,5,4,7,11
WARNES,estado nutricional,a baja,2013-06-01,34,26,37,19,18,13,89,58,147
YACO,estado nutricional,a baja,2013-06-01,6,3,12,8,16,8,34,19,53
YACUIBA,estado nutricional,a baja,2013-06-01,32,11,18,23,30,30,80,64,144
YAMPARAEZ,estado nutricional,a baja,2013-06-01,6,3,19,15,48,65,73,83,156
YANACACHI,estado nutricional,a baja,2013-06-01,0,0,4,1,1,3,5,4,9
YAPACANI,estado nutricional,a baja,2013-06-01,1,2,8,2,3,3,12,7,19
YOCALLA,estado nutricional,a baja,2013-06-01,5,9,21,10,8,2,34,21,55
YOTALA,estado nutricional,a baja,2013-06-01,4,4,7,6,26,10,37,20,57
YUNCHARA,estado nutricional,a baja,2013-06-01,5,7,13,7,40,23,58,37,95
ZUDAÑEZ,estado nutricional,a baja,2013-06-01,3,3,11,12,36,44,50,59,109
ACACIO,estado nutricional,a baja,2013-07-01,8,2,14,13,26,30,48,45,93
ACHACACHI,estado nutricional,a baja,2013-07-01,23,12,29,22,15,5,67,39,106
ACHOCALLA,estado nutricional,a baja,2013-07-01,6,5,17,8,12,4,35,17,52
AIQUILE,estado nutricional,a baja,2013-07-01,9,7,11,10,6,11,26,28,54
ALALAY,estado nutricional,a baja,2013-07-01,5,4,11,5,9,7,25,16,41
ALCALA,estado nutricional,a baja,2013-07-01,0,1,5,2,18,15,23,18,41
ALTO BENI,estado nutricional,a baja,2013-07-01,5,1,5,3,8,6,18,10,28
ANCORAIMES,estado nutricional,a baja,2013-07-01,14,6,20,22,34,18,68,46,114
ANDAMARCA,estado nutricional,a baja,2013-07-01,2,1,6,5,20,4,28,10,38
ANTEQUERA,estado nutricional,a baja,2013-07-01,3,0,1,1,0,0,4,1,5
ANZALDO,estado nutricional,a baja,2013-07-01,7,5,17,9,17,16,41,30,71
APOLO,estado nutricional,a baja,2013-07-01,13,8,34,8,23,17,70,33,103
ARAMPAMPA,estado nutricional,a baja,2013-07-01,6,2,13,11,12,15,31,28,59
ARANI,estado nutricional,a baja,2013-07-01,1,4,9,11,13,18,23,33,56
ARBIETO,estado nutricional,a baja,2013-07-01,0,1,1,2,5,2,6,5,11
ARQUE,estado nutricional,a baja,2013-07-01,14,16,53,39,50,48,117,103,220
ASCENCION DE GUARAYOS,estado nutricional,a baja,2013-07-01,3,0,9,4,7,3,19,7,26
ATOCHA,estado nutricional,a baja,2013-07-01,5,15,14,12,13,19,32,46,78
AUCAPATA,estado nutricional,a baja,2013-07-01,0,0,5,2,0,4,5,6,11
AYATA,estado nutricional,a baja,2013-07-01,8,8,29,16,14,14,51,38,89
AYO AYO,estado nutricional,a baja,2013-07-01,12,16,32,15,26,13,70,44,114
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,a baja,2013-07-01,29,23,64,52,66,51,159,126,285
AZURDUY,estado nutricional,a baja,2013-07-01,9,3,23,18,75,82,107,103,210
BATALLAS,estado nutricional,a baja,2013-07-01,7,7,20,13,7,5,34,25,59
BAURES,estado nutricional,a baja,2013-07-01,3,0,3,5,3,6,9,11,20
BELEN DE ANDAMARCA,estado nutricional,a baja,2013-07-01,0,0,3,2,6,3,9,5,14
BELEN DE URMIRI,estado nutricional,a baja,2013-07-01,2,0,5,5,6,10,13,15,28
BELLA FLOR,estado nutricional,a baja,2013-07-01,0,0,3,0,1,0,4,0,4
BERMEJO,estado nutricional,a baja,2013-07-01,13,6,21,11,18,15,52,32,84
BETANZOS,estado nutricional,a baja,2013-07-01,48,28,106,84,138,107,292,219,511
BOLIVAR,estado nutricional,a baja,2013-07-01,46,23,42,29,36,42,124,94,218
BOLPEBRA,estado nutricional,a baja,2013-07-01,3,1,4,3,4,3,11,7,18
BOYUIBE,estado nutricional,a baja,2013-07-01,0,1,0,0,0,0,0,1,1
BUENA VISTA,estado nutricional,a baja,2013-07-01,0,2,1,3,1,1,2,6,8
CABEZAS,estado nutricional,a baja,2013-07-01,4,1,7,4,11,7,22,12,34
CAIROMA,estado nutricional,a baja,2013-07-01,14,8,25,19,13,16,52,43,95
"CAIZA ""D""",estado nutricional,a baja,2013-07-01,9,6,18,8,25,22,52,36,88
CAJUATA,estado nutricional,a baja,2013-07-01,4,2,3,1,11,8,18,11,29
CALACOTO,estado nutricional,a baja,2013-07-01,2,1,1,4,1,1,4,6,10
CALAMARCA,estado nutricional,a baja,2013-07-01,17,5,27,20,33,31,77,56,133
CAMARGO,estado nutricional,a baja,2013-07-01,17,7,28,21,52,62,97,90,187
CAMATAQUI (C. VILLA ABECIA),estado nutricional,a baja,2013-07-01,0,1,7,1,13,11,20,13,33
CAMIRI,estado nutricional,a baja,2013-07-01,11,6,5,4,10,15,26,25,51
CAPINOTA,estado nutricional,a baja,2013-07-01,6,6,21,8,7,9,34,23,57
CAQUIAVIRI,estado nutricional,a baja,2013-07-01,11,4,10,13,8,0,29,17,46
CARACOLLO,estado nutricional,a baja,2013-07-01,9,7,22,25,27,22,58,54,112
CARANAVI,estado nutricional,a baja,2013-07-01,13,6,32,26,46,58,91,90,181
CARANGAS,estado nutricional,a baja,2013-07-01,1,0,0,0,0,0,1,0,1
CARAPARI,estado nutricional,a baja,2013-07-01,4,1,7,2,7,3,18,6,24
CARIPUYO,estado nutricional,a baja,2013-07-01,19,12,25,36,60,56,104,104,208
CARMEN RIVERO TORREZ,estado nutricional,a baja,2013-07-01,0,0,2,0,1,0,3,0,3
CATACORA,estado nutricional,a baja,2013-07-01,2,2,4,1,6,1,12,4,16
CHACARILLA,estado nutricional,a baja,2013-07-01,1,1,3,1,2,1,6,3,9
CHALLAPATA,estado nutricional,a baja,2013-07-01,23,18,61,48,45,44,129,110,239
CHAQUI,estado nutricional,a baja,2013-07-01,10,12,25,9,12,18,47,39,86
CHARAGUA,estado nutricional,a baja,2013-07-01,2,3,3,3,1,4,6,10,16
CHARAÑA,estado nutricional,a baja,2013-07-01,2,1,2,2,2,5,6,8,14
CHAYANTA,estado nutricional,a baja,2013-07-01,24,26,55,39,57,54,136,119,255
CHIMORE,estado nutricional,a baja,2013-07-01,3,4,11,11,9,18,23,33,56
CHIPAYA,estado nutricional,a baja,2013-07-01,2,0,0,5,8,6,10,11,21
CHOQUE COTA,estado nutricional,a baja,2013-07-01,3,0,2,0,0,2,5,2,7
CHUA COCANI,estado nutricional,a baja,2013-07-01,0,0,1,1,3,2,4,3,7
CHULUMANI (V. DE LA LIBERTAD),estado nutricional,a baja,2013-07-01,1,4,3,0,2,5,6,9,15
CHUMA,estado nutricional,a baja,2013-07-01,6,1,22,11,14,17,42,29,71
CHUQUIHUTA AYLLU JUCUMANI,estado nutricional,a baja,2013-07-01,12,7,24,21,13,10,49,38,87
CKOCHAS,estado nutricional,a baja,2013-07-01,37,27,73,39,80,52,190,118,308
CLIZA,estado nutricional,a baja,2013-07-01,11,7,8,7,5,5,24,19,43
COBIJA,estado nutricional,a baja,2013-07-01,14,7,26,15,9,14,49,36,85
COCAPATA,estado nutricional,a baja,2013-07-01,26,29,83,50,96,114,205,193,398
COCHABAMBA,estado nutricional,a baja,2013-07-01,134,100,236,198,176,190,546,488,1034
COIPASA,estado nutricional,a baja,2013-07-01,0,0,0,0,0,1,0,1,1
COLCAPIRHUA,estado nutricional,a baja,2013-07-01,1,7,18,24,20,18,39,49,88
"COLCHA ""K""",estado nutricional,a baja,2013-07-01,17,6,12,15,10,7,39,28,67
COLLANA,estado nutricional,a baja,2013-07-01,1,1,12,2,2,3,15,6,21
COLOMI,estado nutricional,a baja,2013-07-01,19,14,52,27,36,36,107,77,184
COLQUECHACA,estado nutricional,a baja,2013-07-01,59,48,159,127,70,75,288,250,538
COLQUENCHA,estado nutricional,a baja,2013-07-01,7,7,24,7,16,8,47,22,69
COLQUIRI,estado nutricional,a baja,2013-07-01,9,12,16,16,26,23,51,51,102
COMANCHE,estado nutricional,a baja,2013-07-01,4,1,5,5,2,2,11,8,19
COMARAPA,estado nutricional,a baja,2013-07-01,6,2,10,4,6,6,22,12,34
COMBAYA,estado nutricional,a baja,2013-07-01,0,0,1,4,13,6,14,10,24
CONCEPCION,estado nutricional,a baja,2013-07-01,9,8,12,11,12,10,33,29,62
COPACABANA,estado nutricional,a baja,2013-07-01,5,3,14,10,13,9,32,22,54
CORIPATA,estado nutricional,a baja,2013-07-01,4,3,11,4,4,7,19,14,33
CORO CORO,estado nutricional,a baja,2013-07-01,3,4,12,10,14,17,29,31,60
COROICO,estado nutricional,a baja,2013-07-01,5,0,5,5,6,9,16,14,30
CORQUE,estado nutricional,a baja,2013-07-01,2,0,16,13,12,6,30,19,49
COTAGAITA,estado nutricional,a baja,2013-07-01,28,20,57,34,64,79,149,133,282
COTOCA,estado nutricional,a baja,2013-07-01,4,4,6,4,5,3,15,11,26
CUATRO CAÑADAS,estado nutricional,a baja,2013-07-01,0,0,1,3,3,5,4,8,12
CUEVO,estado nutricional,a baja,2013-07-01,3,2,3,3,2,5,8,10,18
CULPINA,estado nutricional,a baja,2013-07-01,3,2,5,4,3,7,11,13,24
CURAHUARA DE CARANGAS,estado nutricional,a baja,2013-07-01,9,7,15,3,23,7,47,17,64
CURVA,estado nutricional,a baja,2013-07-01,2,0,11,4,10,2,23,6,29
DESAGUADERO,estado nutricional,a baja,2013-07-01,4,2,2,1,1,2,7,5,12
EL ALTO,estado nutricional,a baja,2013-07-01,458,301,638,377,356,417,1452,1095,2547
EL CHORO,estado nutricional,a baja,2013-07-01,7,4,3,6,3,2,13,12,25
EL PUENTE(STC),estado nutricional,a baja,2013-07-01,2,1,0,2,3,4,5,7,12
EL PUENTE(TJA),estado nutricional,a baja,2013-07-01,3,2,21,9,17,11,41,22,63
EL TORNO,estado nutricional,a baja,2013-07-01,7,1,9,8,11,11,27,20,47
EL VILLAR,estado nutricional,a baja,2013-07-01,1,1,2,2,9,11,12,14,26
ENTRE RIOS TRJ,estado nutricional,a baja,2013-07-01,3,4,14,8,12,9,29,21,50
ENTRE RIOS CBBA,estado nutricional,a baja,2013-07-01,10,7,14,12,19,18,43,37,80
ESCARA,estado nutricional,a baja,2013-07-01,0,2,0,0,3,2,3,4,7
ESCOMA,estado nutricional,a baja,2013-07-01,1,2,5,5,2,4,8,11,19
EUCALIPTUS,estado nutricional,a baja,2013-07-01,16,2,20,9,5,4,41,15,56
EUREKA (SANTOS MERCADO),estado nutricional,a baja,2013-07-01,0,0,0,0,1,0,1,0,1
EXALTACION,estado nutricional,a baja,2013-07-01,0,0,3,2,3,4,6,6,12
FERNANDEZ ALONSO,estado nutricional,a baja,2013-07-01,4,1,5,7,6,8,15,16,31
FILADELFIA,estado nutricional,a baja,2013-07-01,1,1,2,2,4,1,7,4,11
GENERAL SAAVEDRA,estado nutricional,a baja,2013-07-01,7,1,10,3,7,3,24,7,31
GRAL. J.J. PEREZ (CHARAZANI),estado nutricional,a baja,2013-07-01,10,6,18,13,15,17,43,36,79
GUANAY,estado nutricional,a baja,2013-07-01,10,5,13,10,21,16,44,31,75
GUAQUI,estado nutricional,a baja,2013-07-01,10,3,5,12,15,8,30,23,53
GUAYARAMERIN,estado nutricional,a baja,2013-07-01,37,28,33,29,25,23,95,80,175
GUTIERREZ,estado nutricional,a baja,2013-07-01,11,6,19,17,33,33,63,56,119
HUACARETA,estado nutricional,a baja,2013-07-01,2,0,4,4,6,7,12,11,23
HUACAYA (VILLA DE HUACAYA),estado nutricional,a baja,2013-07-01,3,0,3,1,9,9,15,10,25
HUACHACALLA,estado nutricional,a baja,2013-07-01,1,0,0,1,4,1,5,2,7
HUANUNI,estado nutricional,a baja,2013-07-01,26,18,41,20,30,14,97,52,149
HUARACAJE,estado nutricional,a baja,2013-07-01,0,0,0,1,2,1,2,2,4
HUARINA,estado nutricional,a baja,2013-07-01,1,4,10,1,2,1,13,6,19
HUATAJATA,estado nutricional,a baja,2013-07-01,2,1,3,6,4,3,9,10,19
HUAYLLAMARCA,estado nutricional,a baja,2013-07-01,3,0,3,5,11,3,17,8,25
HUMANATA,estado nutricional,a baja,2013-07-01,6,6,14,14,12,5,32,25,57
ICHOCA,estado nutricional,a baja,2013-07-01,3,2,12,5,10,4,25,11,36
ICLA,estado nutricional,a baja,2013-07-01,8,5,15,16,96,73,119,94,213
INCAHUASI,estado nutricional,a baja,2013-07-01,21,9,34,30,64,56,119,95,214
INGAVI (HUMAITA),estado nutricional,a baja,2013-07-01,0,0,3,0,3,2,6,2,8
INQUISIVI,estado nutricional,a baja,2013-07-01,2,4,7,5,7,10,16,19,35
IRUPANA (VILLA DE LANZA),estado nutricional,a baja,2013-07-01,3,3,4,6,7,5,14,14,28
IXIAMAS,estado nutricional,a baja,2013-07-01,2,0,4,6,2,13,8,19,27
JESUS DE MACHACA,estado nutricional,a baja,2013-07-01,4,8,7,5,6,11,17,24,41
LA ASUNTA,estado nutricional,a baja,2013-07-01,7,6,26,19,19,16,52,41,93
LA GUARDIA,estado nutricional,a baja,2013-07-01,19,17,15,8,12,12,46,37,83
LA PAZ,estado nutricional,a baja,2013-07-01,411,230,385,254,243,254,1039,738,1777
LAGUNILLAS,estado nutricional,a baja,2013-07-01,2,2,4,2,2,10,8,14,22
LAJA,estado nutricional,a baja,2013-07-01,7,6,18,4,6,4,31,14,45
LAS CARRERAS,estado nutricional,a baja,2013-07-01,0,1,3,0,0,3,3,4,7
LICOMA PAMPA,estado nutricional,a baja,2013-07-01,2,0,1,0,4,2,7,2,9
LLALLAGUA,estado nutricional,a baja,2013-07-01,29,17,84,64,70,61,183,142,325
LLICA,estado nutricional,a baja,2013-07-01,3,4,5,3,3,3,11,10,21
LORETO,estado nutricional,a baja,2013-07-01,0,0,0,1,3,3,3,4,7
LURIBAY,estado nutricional,a baja,2013-07-01,3,2,6,2,10,9,19,13,32
MACHACAMARCA,estado nutricional,a baja,2013-07-01,6,7,4,5,10,1,20,13,33
MACHARETI,estado nutricional,a baja,2013-07-01,3,1,7,8,15,8,25,17,42
MAGDALENA,estado nutricional,a baja,2013-07-01,3,3,9,3,2,0,14,6,20
MAIRANA,estado nutricional,a baja,2013-07-01,2,3,4,4,3,8,9,15,24
MALLA,estado nutricional,a baja,2013-07-01,3,1,4,1,9,8,16,10,26
MAPIRI,estado nutricional,a baja,2013-07-01,3,1,30,11,31,20,64,32,96
MECAPACA,estado nutricional,a baja,2013-07-01,2,1,13,4,10,10,25,15,40
MINEROS,estado nutricional,a baja,2013-07-01,0,1,10,8,8,6,18,15,33
MIZQUE,estado nutricional,a baja,2013-07-01,26,27,77,57,55,59,158,143,301
MOCOMOCO,estado nutricional,a baja,2013-07-01,6,0,23,10,7,10,36,20,56
MOJINETE,estado nutricional,a baja,2013-07-01,3,0,4,3,0,0,7,3,10
MOJOCOYA,estado nutricional,a baja,2013-07-01,3,1,8,4,22,28,33,33,66
MONTEAGUDO,estado nutricional,a baja,2013-07-01,6,2,8,11,27,17,41,30,71
MONTERO,estado nutricional,a baja,2013-07-01,7,9,20,14,12,9,39,32,71
MORO MORO,estado nutricional,a baja,2013-07-01,2,1,1,1,2,0,5,2,7
MOROCHATA,estado nutricional,a baja,2013-07-01,24,16,54,37,79,60,157,113,270
NACEBE (SANTA ROSA DEL ABUNA),estado nutricional,a baja,2013-07-01,1,1,1,0,2,1,4,2,6
NUEVO MANOA (NUEVA ESPERANZA),estado nutricional,a baja,2013-07-01,0,0,1,0,3,0,4,0,4
OCURI,estado nutricional,a baja,2013-07-01,34,20,75,51,122,92,231,163,394
OKINAWA,estado nutricional,a baja,2013-07-01,5,2,3,0,2,4,10,6,16
OMEREQUE,estado nutricional,a baja,2013-07-01,1,2,2,5,2,3,5,10,15
ORURO,estado nutricional,a baja,2013-07-01,300,198,470,279,217,222,987,699,1686
PADCAYA,estado nutricional,a baja,2013-07-01,3,1,9,9,12,12,24,22,46
PADILLA,estado nutricional,a baja,2013-07-01,5,2,10,9,44,33,59,44,103
PAILON,estado nutricional,a baja,2013-07-01,0,2,8,3,7,4,15,9,24
PALCA,estado nutricional,a baja,2013-07-01,6,0,24,8,14,7,44,15,59
PALOS BLANCOS,estado nutricional,a baja,2013-07-01,6,6,22,23,28,27,56,56,112
PAMPA AULLAGAS,estado nutricional,a baja,2013-07-01,4,3,12,7,3,2,19,12,31
PAMPA GRANDE,estado nutricional,a baja,2013-07-01,1,0,15,8,3,2,19,10,29
