,group,variable,month,A NORMAL < DE 1 AÑO,A NORMAL < DE 1 AÑO,A NORMAL 1 A MENOR DE 2 AÑOS,A NORMAL 1 A MENOR DE 2 AÑOS,A NORMAL 2 A MENOR DE 5 AÑOS,A NORMAL 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
SORACACHI,estado nutricional,a normal,2013-07-01,115,114,110,99,121,102,346,315,661
SORATA,estado nutricional,a normal,2013-07-01,123,95,115,111,57,112,295,318,613
SUCRE,estado nutricional,a normal,2013-07-01,2767,2772,2243,2255,2050,1879,7060,6906,13966
TACACHI,estado nutricional,a normal,2013-07-01,6,9,3,14,9,15,18,38,56
TACACOMA,estado nutricional,a normal,2013-07-01,53,50,38,32,45,37,136,119,255
TACOBAMBA,estado nutricional,a normal,2013-07-01,80,70,63,71,45,36,188,177,365
TACOPAYA,estado nutricional,a normal,2013-07-01,60,63,41,54,59,50,160,167,327
TAHUA,estado nutricional,a normal,2013-07-01,6,7,6,7,11,9,23,23,46
TAPACARI,estado nutricional,a normal,2013-07-01,222,190,171,161,171,180,564,531,1095
TARABUCO,estado nutricional,a normal,2013-07-01,107,105,108,91,147,140,362,336,698
TARACO,estado nutricional,a normal,2013-07-01,30,26,17,18,27,22,74,66,140
TARATA,estado nutricional,a normal,2013-07-01,104,87,89,73,76,56,269,216,485
TARIJA,estado nutricional,a normal,2013-07-01,1891,1695,1284,1254,1262,1199,4437,4148,8585
TARVITA,estado nutricional,a normal,2013-07-01,114,90,76,93,151,151,341,334,675
TEOPONTE,estado nutricional,a normal,2013-07-01,88,98,129,95,97,106,314,299,613
TIAWANACU,estado nutricional,a normal,2013-07-01,74,82,73,59,57,64,204,205,409
TINGUIPAYA,estado nutricional,a normal,2013-07-01,140,120,110,114,90,110,340,344,684
TIPUANI,estado nutricional,a normal,2013-07-01,153,107,138,108,82,80,373,295,668
TIQUIPAYA,estado nutricional,a normal,2013-07-01,553,517,428,434,449,398,1430,1349,2779
TIRAQUE (CBBA),estado nutricional,a normal,2013-07-01,172,142,139,128,95,109,406,379,785
TITO YUPANQUI (PARQUIPUJIO),estado nutricional,a normal,2013-07-01,5,3,5,5,2,4,12,12,24
TOCO,estado nutricional,a normal,2013-07-01,66,36,30,44,34,35,130,115,245
TODOS SANTOS,estado nutricional,a normal,2013-07-01,1,3,1,0,0,0,2,3,5
TOLATA,estado nutricional,a normal,2013-07-01,17,15,17,12,22,16,56,43,99
TOLEDO,estado nutricional,a normal,2013-07-01,40,35,27,42,30,23,97,100,197
TOMAVE,estado nutricional,a normal,2013-07-01,86,93,59,57,48,51,193,201,394
TOMINA,estado nutricional,a normal,2013-07-01,62,69,53,67,112,134,227,270,497
TORO TORO,estado nutricional,a normal,2013-07-01,92,79,54,47,60,67,206,193,399
TOTORA(CBBA),estado nutricional,a normal,2013-07-01,184,172,155,131,88,86,427,389,816
TOTORA(ORR),estado nutricional,a normal,2013-07-01,40,32,44,27,48,54,132,113,245
TRIGAL,estado nutricional,a normal,2013-07-01,10,7,9,6,3,5,22,18,40
TRINIDAD,estado nutricional,a normal,2013-07-01,1023,841,563,543,514,482,2100,1866,3966
TUPIZA,estado nutricional,a normal,2013-07-01,354,321,242,265,285,239,881,825,1706
TURCO,estado nutricional,a normal,2013-07-01,19,45,17,28,27,21,63,94,157
UMALA,estado nutricional,a normal,2013-07-01,55,57,55,62,51,58,161,177,338
UNCIA,estado nutricional,a normal,2013-07-01,200,180,140,133,80,76,420,389,809
URIONDO (A. CONCEPCION),estado nutricional,a normal,2013-07-01,170,137,84,103,140,134,394,374,768
URUBICHA,estado nutricional,a normal,2013-07-01,60,56,48,52,26,25,134,133,267
UYUNI,estado nutricional,a normal,2013-07-01,217,205,160,167,56,69,433,441,874
VACAS,estado nutricional,a normal,2013-07-01,81,73,46,48,40,37,167,158,325
VALLEGRANDE,estado nutricional,a normal,2013-07-01,99,125,117,108,94,95,310,328,638
VIACHA,estado nutricional,a normal,2013-07-01,439,389,254,265,260,239,953,893,1846
VILA VILA,estado nutricional,a normal,2013-07-01,51,31,21,48,39,51,111,130,241
VILLA CHARCAS,estado nutricional,a normal,2013-07-01,152,126,86,101,129,133,367,360,727
VILLA MONTES,estado nutricional,a normal,2013-07-01,378,372,234,246,300,286,912,904,1816
VILLA NUEVA (LOMA ALTA),estado nutricional,a normal,2013-07-01,44,24,39,39,41,69,124,132,256
VILLA RIVERO,estado nutricional,a normal,2013-07-01,94,110,105,63,57,72,256,245,501
VILLA SERRANO,estado nutricional,a normal,2013-07-01,94,89,76,70,179,168,349,327,676
VILLA TUNARI,estado nutricional,a normal,2013-07-01,884,711,647,584,659,634,2190,1929,4119
VILLA VACA GUZMAN (MUYUPAMPA),estado nutricional,a normal,2013-07-01,96,76,74,65,138,117,308,258,566
VILLAZON,estado nutricional,a normal,2013-07-01,295,266,229,270,226,210,750,746,1496
VINTO,estado nutricional,a normal,2013-07-01,356,348,290,264,183,147,829,759,1588
VITICHI,estado nutricional,a normal,2013-07-01,62,66,52,58,75,66,189,190,379
WALDO BALLIVIAN,estado nutricional,a normal,2013-07-01,23,10,11,14,13,20,47,44,91
WARNES,estado nutricional,a normal,2013-07-01,653,576,414,386,443,449,1510,1411,2921
YACO,estado nutricional,a normal,2013-07-01,55,53,49,48,48,43,152,144,296
YACUIBA,estado nutricional,a normal,2013-07-01,881,834,631,608,660,606,2172,2048,4220
YAMPARAEZ,estado nutricional,a normal,2013-07-01,51,43,33,33,72,75,156,151,307
YANACACHI,estado nutricional,a normal,2013-07-01,51,47,44,36,52,46,147,129,276
YAPACANI,estado nutricional,a normal,2013-07-01,514,467,347,317,215,232,1076,1016,2092
YOCALLA,estado nutricional,a normal,2013-07-01,94,82,57,45,57,38,208,165,373
YOTALA,estado nutricional,a normal,2013-07-01,92,57,44,48,122,124,258,229,487
YUNCHARA,estado nutricional,a normal,2013-07-01,46,37,24,47,84,72,154,156,310
YUNGUYO DE LITORAL,estado nutricional,a normal,2013-07-01,1,2,0,2,0,1,1,5,6
ZUDAÑEZ,estado nutricional,a normal,2013-07-01,41,41,41,35,89,101,171,177,348
ACACIO,estado nutricional,a normal,2013-08-01,36,40,39,42,41,49,116,131,247
ACHACACHI,estado nutricional,a normal,2013-08-01,256,240,178,164,165,192,599,596,1195
ACHOCALLA,estado nutricional,a normal,2013-08-01,78,78,54,62,56,65,188,205,393
AIQUILE,estado nutricional,a normal,2013-08-01,268,242,189,216,235,191,692,649,1341
ALALAY,estado nutricional,a normal,2013-08-01,28,19,13,16,20,18,61,53,114
ALCALA,estado nutricional,a normal,2013-08-01,29,33,28,20,44,52,101,105,206
ALTO BENI,estado nutricional,a normal,2013-08-01,90,75,82,54,52,70,224,199,423
ANCORAIMES,estado nutricional,a normal,2013-08-01,93,89,78,65,96,113,267,267,534
ANDAMARCA,estado nutricional,a normal,2013-08-01,26,40,27,24,48,56,101,120,221
ANTEQUERA,estado nutricional,a normal,2013-08-01,23,31,14,18,28,20,65,69,134
ANZALDO,estado nutricional,a normal,2013-08-01,55,43,46,60,46,59,147,162,309
APOLO,estado nutricional,a normal,2013-08-01,185,172,108,125,143,109,436,406,842
ARAMPAMPA,estado nutricional,a normal,2013-08-01,41,47,36,28,41,47,118,122,240
ARANI,estado nutricional,a normal,2013-08-01,113,112,79,65,62,56,254,233,487
ARBIETO,estado nutricional,a normal,2013-08-01,173,149,107,120,144,165,424,434,858
ARQUE,estado nutricional,a normal,2013-08-01,115,104,116,97,98,98,329,299,628
ASCENCION DE GUARAYOS,estado nutricional,a normal,2013-08-01,264,270,126,136,129,126,519,532,1051
ATOCHA,estado nutricional,a normal,2013-08-01,66,81,69,72,95,87,230,240,470
AUCAPATA,estado nutricional,a normal,2013-08-01,49,45,32,39,25,17,106,101,207
AYATA,estado nutricional,a normal,2013-08-01,59,55,42,48,29,23,130,126,256
AYO AYO,estado nutricional,a normal,2013-08-01,52,71,61,74,46,41,159,186,345
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,a normal,2013-08-01,228,227,149,186,205,141,582,554,1136
AZURDUY,estado nutricional,a normal,2013-08-01,75,72,78,87,148,139,301,298,599
BATALLAS,estado nutricional,a normal,2013-08-01,104,108,87,94,87,85,278,287,565
BAURES,estado nutricional,a normal,2013-08-01,58,50,29,31,53,35,140,116,256
BELEN DE ANDAMARCA,estado nutricional,a normal,2013-08-01,13,17,23,19,24,21,60,57,117
BELEN DE URMIRI,estado nutricional,a normal,2013-08-01,12,14,5,12,17,9,34,35,69
BELLA FLOR,estado nutricional,a normal,2013-08-01,36,34,35,40,59,67,130,141,271
BERMEJO,estado nutricional,a normal,2013-08-01,351,320,219,249,283,256,853,825,1678
BETANZOS,estado nutricional,a normal,2013-08-01,247,265,200,212,322,347,769,824,1593
BOLIVAR,estado nutricional,a normal,2013-08-01,54,56,36,28,51,41,141,125,266
BOLPEBRA,estado nutricional,a normal,2013-08-01,24,15,20,18,25,31,69,64,133
BOYUIBE,estado nutricional,a normal,2013-08-01,22,29,25,21,34,44,81,94,175
BUENA VISTA,estado nutricional,a normal,2013-08-01,91,92,90,91,115,91,296,274,570
CABEZAS,estado nutricional,a normal,2013-08-01,172,165,93,126,136,110,401,401,802
CAIROMA,estado nutricional,a normal,2013-08-01,60,75,72,72,54,66,186,213,399
"CAIZA ""D""",estado nutricional,a normal,2013-08-01,77,70,60,62,74,88,211,220,431
CAJUATA,estado nutricional,a normal,2013-08-01,116,97,64,75,106,109,286,281,567
CALACOTO,estado nutricional,a normal,2013-08-01,37,34,34,30,64,32,135,96,231
CALAMARCA,estado nutricional,a normal,2013-08-01,81,80,68,76,75,51,224,207,431
CAMARGO,estado nutricional,a normal,2013-08-01,133,122,85,89,121,139,339,350,689
CAMATAQUI (C. VILLA ABECIA),estado nutricional,a normal,2013-08-01,23,19,24,26,42,26,89,71,160
CAMIRI,estado nutricional,a normal,2013-08-01,447,311,262,245,342,296,1051,852,1903
CAPINOTA,estado nutricional,a normal,2013-08-01,86,96,67,82,62,69,215,247,462
CAQUIAVIRI,estado nutricional,a normal,2013-08-01,64,69,48,58,45,58,157,185,342
CARACOLLO,estado nutricional,a normal,2013-08-01,187,143,118,130,173,172,478,445,923
CARANAVI,estado nutricional,a normal,2013-08-01,418,338,221,240,186,178,825,756,1581
CARANGAS,estado nutricional,a normal,2013-08-01,0,0,1,3,5,2,6,5,11
CARAPARI,estado nutricional,a normal,2013-08-01,134,125,122,112,156,121,412,358,770
CARIPUYO,estado nutricional,a normal,2013-08-01,88,70,38,55,41,42,167,167,334
CARMEN RIVERO TORREZ,estado nutricional,a normal,2013-08-01,24,47,34,31,27,33,85,111,196
CATACORA,estado nutricional,a normal,2013-08-01,3,7,3,2,6,2,12,11,23
CHACARILLA,estado nutricional,a normal,2013-08-01,9,1,11,2,5,4,25,7,32
CHALLAPATA,estado nutricional,a normal,2013-08-01,400,335,208,201,171,147,779,683,1462
CHAQUI,estado nutricional,a normal,2013-08-01,57,65,35,38,48,41,140,144,284
CHARAGUA,estado nutricional,a normal,2013-08-01,184,172,141,129,205,200,530,501,1031
CHARAÑA,estado nutricional,a normal,2013-08-01,14,13,14,7,11,14,39,34,73
CHAYANTA,estado nutricional,a normal,2013-08-01,82,101,72,76,95,103,249,280,529
CHIMORE,estado nutricional,a normal,2013-08-01,135,114,91,88,124,90,350,292,642
CHIPAYA,estado nutricional,a normal,2013-08-01,34,20,21,26,22,21,77,67,144
CHOQUE COTA,estado nutricional,a normal,2013-08-01,7,14,4,8,7,15,18,37,55
CHUA COCANI,estado nutricional,a normal,2013-08-01,9,9,8,9,18,11,35,29,64
CHULUMANI (V. DE LA LIBERTAD),estado nutricional,a normal,2013-08-01,111,119,80,58,99,79,290,256,546
CHUMA,estado nutricional,a normal,2013-08-01,82,76,60,51,53,51,195,178,373
CHUQUIHUTA AYLLU JUCUMANI,estado nutricional,a normal,2013-08-01,59,51,56,44,39,35,154,130,284
CKOCHAS,estado nutricional,a normal,2013-08-01,130,118,107,109,101,113,338,340,678
CLIZA,estado nutricional,a normal,2013-08-01,232,182,130,103,158,349,520,634,1154
COBIJA,estado nutricional,a normal,2013-08-01,580,439,308,284,269,273,1157,996,2153
COCAPATA,estado nutricional,a normal,2013-08-01,146,136,110,108,116,104,372,348,720
COCHABAMBA,estado nutricional,a normal,2013-08-01,3602,3504,2433,2039,1773,1757,7808,7300,15108
COIPASA,estado nutricional,a normal,2013-08-01,7,4,6,7,10,14,23,25,48
COLCAPIRHUA,estado nutricional,a normal,2013-08-01,356,279,238,180,194,137,788,596,1384
"COLCHA ""K""",estado nutricional,a normal,2013-08-01,131,136,95,104,95,102,321,342,663
COLLANA,estado nutricional,a normal,2013-08-01,16,16,12,18,30,17,58,51,109
COLOMI,estado nutricional,a normal,2013-08-01,190,177,146,102,110,70,446,349,795
COLPA BELGICA,estado nutricional,a normal,2013-08-01,6,4,0,0,0,0,6,4,10
COLQUECHACA,estado nutricional,a normal,2013-08-01,309,290,205,213,76,102,590,605,1195
COLQUENCHA,estado nutricional,a normal,2013-08-01,48,54,47,44,34,38,129,136,265
COLQUIRI,estado nutricional,a normal,2013-08-01,146,156,81,92,60,78,287,326,613
COMANCHE,estado nutricional,a normal,2013-08-01,25,16,28,14,5,14,58,44,102
COMARAPA,estado nutricional,a normal,2013-08-01,131,128,108,97,66,66,305,291,596
COMBAYA,estado nutricional,a normal,2013-08-01,27,20,16,18,28,34,71,72,143
CONCEPCION,estado nutricional,a normal,2013-08-01,147,180,78,121,97,112,322,413,735
COPACABANA,estado nutricional,a normal,2013-08-01,100,75,80,57,81,92,261,224,485
CORIPATA,estado nutricional,a normal,2013-08-01,150,127,105,97,91,117,346,341,687
CORO CORO,estado nutricional,a normal,2013-08-01,59,41,42,43,32,33,133,117,250
COROICO,estado nutricional,a normal,2013-08-01,162,126,97,71,94,117,353,314,667
CORQUE,estado nutricional,a normal,2013-08-01,55,44,51,55,60,56,166,155,321
COTAGAITA,estado nutricional,a normal,2013-08-01,178,160,149,137,163,175,490,472,962
COTOCA,estado nutricional,a normal,2013-08-01,398,404,242,189,170,180,810,773,1583
CRUZ DE MACHACAMARCA,estado nutricional,a normal,2013-08-01,2,0,2,1,2,0,6,1,7
CUATRO CAÑADAS,estado nutricional,a normal,2013-08-01,120,156,89,81,102,110,311,347,658
CUCHUMUELA (V. G. VILLARROEL),estado nutricional,a normal,2013-08-01,9,8,8,7,5,3,22,18,40
CUEVO,estado nutricional,a normal,2013-08-01,22,22,15,35,46,36,83,93,176
CULPINA,estado nutricional,a normal,2013-08-01,162,166,95,117,205,188,462,471,933
CURAHUARA DE CARANGAS,estado nutricional,a normal,2013-08-01,41,57,41,28,42,40,124,125,249
CURVA,estado nutricional,a normal,2013-08-01,21,32,9,29,32,16,62,77,139
DESAGUADERO,estado nutricional,a normal,2013-08-01,28,31,40,35,23,19,91,85,176
EL ALTO,estado nutricional,a normal,2013-08-01,5415,5177,3730,3628,3350,3324,12495,12129,24624
EL CHORO,estado nutricional,a normal,2013-08-01,69,47,48,54,71,61,188,162,350
EL PUENTE(STC),estado nutricional,a normal,2013-08-01,107,96,87,86,90,89,284,271,555
EL PUENTE(TJA),estado nutricional,a normal,2013-08-01,97,86,68,78,109,114,274,278,552
EL TORNO,estado nutricional,a normal,2013-08-01,414,382,257,243,258,249,929,874,1803
EL VILLAR,estado nutricional,a normal,2013-08-01,36,33,30,27,61,43,127,103,230
ENTRE RIOS TRJ,estado nutricional,a normal,2013-08-01,215,222,191,180,196,209,602,611,1213
ENTRE RIOS CBBA,estado nutricional,a normal,2013-08-01,387,348,290,270,247,214,924,832,1756
ESCARA,estado nutricional,a normal,2013-08-01,2,6,4,0,6,1,12,7,19
ESCOMA,estado nutricional,a normal,2013-08-01,29,31,14,23,15,22,58,76,134
ESMERALDA,estado nutricional,a normal,2013-08-01,7,3,1,2,2,1,10,6,16
EUCALIPTUS,estado nutricional,a normal,2013-08-01,52,41,45,48,41,32,138,121,259
EUREKA (SANTOS MERCADO),estado nutricional,a normal,2013-08-01,26,9,12,18,32,32,70,59,129
EXALTACION,estado nutricional,a normal,2013-08-01,25,13,10,18,22,24,57,55,112
FERNANDEZ ALONSO,estado nutricional,a normal,2013-08-01,140,130,92,94,127,98,359,322,681
FILADELFIA,estado nutricional,a normal,2013-08-01,54,39,55,46,39,32,148,117,265
GENERAL SAAVEDRA,estado nutricional,a normal,2013-08-01,129,128,101,86,103,102,333,316,649
GRAL. J.J. PEREZ (CHARAZANI),estado nutricional,a normal,2013-08-01,84,65,53,57,33,43,170,165,335
GUANAY,estado nutricional,a normal,2013-08-01,128,130,136,128,123,137,387,395,782
GUAQUI,estado nutricional,a normal,2013-08-01,42,37,25,30,41,48,108,115,223
GUAYARAMERIN,estado nutricional,a normal,2013-08-01,542,507,305,367,363,357,1210,1231,2441
GUTIERREZ,estado nutricional,a normal,2013-08-01,125,153,111,123,151,158,387,434,821
HUACARETA,estado nutricional,a normal,2013-08-01,75,72,66,78,128,118,269,268,537
HUACAYA (VILLA DE HUACAYA),estado nutricional,a normal,2013-08-01,30,34,18,24,50,40,98,98,196
HUACHACALLA,estado nutricional,a normal,2013-08-01,8,10,7,5,17,11,32,26,58
HUANUNI,estado nutricional,a normal,2013-08-01,214,220,104,133,131,147,449,500,949
HUARACAJE,estado nutricional,a normal,2013-08-01,36,45,39,22,30,36,105,103,208
HUARINA,estado nutricional,a normal,2013-08-01,19,44,28,27,34,36,81,107,188
HUATAJATA,estado nutricional,a normal,2013-08-01,16,24,6,22,27,23,49,69,118
HUAYLLAMARCA,estado nutricional,a normal,2013-08-01,41,36,16,22,44,55,101,113,214
HUMANATA,estado nutricional,a normal,2013-08-01,17,16,11,19,12,15,40,50,90
ICHOCA,estado nutricional,a normal,2013-08-01,19,25,22,17,21,23,62,65,127
ICLA,estado nutricional,a normal,2013-08-01,61,63,40,49,89,176,190,288,478
INCAHUASI,estado nutricional,a normal,2013-08-01,95,96,66,64,112,115,273,275,548
INGAVI (HUMAITA),estado nutricional,a normal,2013-08-01,13,19,17,17,10,15,40,51,91
INQUISIVI,estado nutricional,a normal,2013-08-01,73,57,60,50,45,54,178,161,339
IRUPANA (VILLA DE LANZA),estado nutricional,a normal,2013-08-01,65,65,65,66,68,80,198,211,409
IXIAMAS,estado nutricional,a normal,2013-08-01,74,75,63,53,63,61,200,189,389
JESUS DE MACHACA,estado nutricional,a normal,2013-08-01,64,97,50,61,62,81,176,239,415
LA ASUNTA,estado nutricional,a normal,2013-08-01,444,411,338,288,253,242,1035,941,1976
LA GUARDIA,estado nutricional,a normal,2013-08-01,696,658,328,306,269,246,1293,1210,2503
LA PAZ,estado nutricional,a normal,2013-08-01,4546,4215,2771,2779,3247,3063,10564,10057,20621
LA RIVERA,estado nutricional,a normal,2013-08-01,3,3,4,1,0,2,7,6,13
LAGUNILLAS,estado nutricional,a normal,2013-08-01,61,57,60,59,114,109,235,225,460
LAJA,estado nutricional,a normal,2013-08-01,110,118,95,108,86,100,291,326,617
LAS CARRERAS,estado nutricional,a normal,2013-08-01,29,27,19,28,39,38,87,93,180
LICOMA PAMPA,estado nutricional,a normal,2013-08-01,12,18,34,26,34,21,80,65,145
LLALLAGUA,estado nutricional,a normal,2013-08-01,343,335,338,299,163,170,844,804,1648
LLICA,estado nutricional,a normal,2013-08-01,43,30,19,27,10,22,72,79,151
LORETO,estado nutricional,a normal,2013-08-01,26,34,31,30,51,49,108,113,221
LURIBAY,estado nutricional,a normal,2013-08-01,48,61,40,54,43,57,131,172,303
MACHACAMARCA,estado nutricional,a normal,2013-08-01,46,39,33,37,38,38,117,114,231
MACHARETI,estado nutricional,a normal,2013-08-01,64,75,57,59,158,115,279,249,528
MAGDALENA,estado nutricional,a normal,2013-08-01,93,95,60,74,46,62,199,231,430
MAIRANA,estado nutricional,a normal,2013-08-01,93,76,74,78,42,65,209,219,428
MALLA,estado nutricional,a normal,2013-08-01,13,10,5,12,11,11,29,33,62
MAPIRI,estado nutricional,a normal,2013-08-01,99,136,92,107,123,109,314,352,666
MECAPACA,estado nutricional,a normal,2013-08-01,89,83,79,57,77,80,245,220,465
MINEROS,estado nutricional,a normal,2013-08-01,195,184,141,143,138,119,474,446,920
MIZQUE,estado nutricional,a normal,2013-08-01,327,342,310,249,333,269,970,860,1830
MOCOMOCO,estado nutricional,a normal,2013-08-01,84,88,86,83,83,69,253,240,493
MOJINETE,estado nutricional,a normal,2013-08-01,6,3,3,8,5,3,14,14,28
MOJOCOYA,estado nutricional,a normal,2013-08-01,52,54,47,42,84,99,183,195,378
MONTEAGUDO,estado nutricional,a normal,2013-08-01,219,204,227,188,267,264,713,656,1369
MONTERO,estado nutricional,a normal,2013-08-01,1176,1138,790,812,747,744,2713,2694,5407
MORO MORO,estado nutricional,a normal,2013-08-01,18,22,19,18,15,19,52,59,111
MOROCHATA,estado nutricional,a normal,2013-08-01,69,85,47,81,85,90,201,256,457
NACEBE (SANTA ROSA DEL ABUNA),estado nutricional,a normal,2013-08-01,27,29,29,18,17,19,73,66,139
NAZACARA DE PACAJES,estado nutricional,a normal,2013-08-01,0,2,5,0,3,2,8,4,12
NUEVO MANOA (NUEVA ESPERANZA),estado nutricional,a normal,2013-08-01,31,26,14,30,59,41,104,97,201
OCURI,estado nutricional,a normal,2013-08-01,133,132,93,87,136,97,362,316,678
OKINAWA,estado nutricional,a normal,2013-08-01,166,116,103,99,104,110,373,325,698
OMEREQUE,estado nutricional,a normal,2013-08-01,84,75,81,58,101,61,266,194,460
ORURO,estado nutricional,a normal,2013-08-01,2117,2018,1399,1473,983,966,4499,4457,8956
PADCAYA,estado nutricional,a normal,2013-08-01,176,139,134,136,151,155,461,430,891
PADILLA,estado nutricional,a normal,2013-08-01,92,101,68,75,158,164,318,340,658
PAILON,estado nutricional,a normal,2013-08-01,303,205,164,154,256,185,723,544,1267
PALCA,estado nutricional,a normal,2013-08-01,126,100,89,78,68,55,283,233,516
PALOS BLANCOS,estado nutricional,a normal,2013-08-01,244,233,169,200,215,180,628,613,1241
PAMPA AULLAGAS,estado nutricional,a normal,2013-08-01,22,19,21,17,24,27,67,63,130
PAMPA GRANDE,estado nutricional,a normal,2013-08-01,69,76,37,66,58,49,164,191,355
PAPEL PAMPA,estado nutricional,a normal,2013-08-01,45,36,39,40,42,27,126,103,229
PASORAPA,estado nutricional,a normal,2013-08-01,22,25,21,22,46,32,89,79,168
PATACAMAYA,estado nutricional,a normal,2013-08-01,143,136,109,123,73,63,325,322,647
PAZÑA,estado nutricional,a normal,2013-08-01,63,67,53,52,72,73,188,192,380
PELECHUCO,estado nutricional,a normal,2013-08-01,69,41,56,35,54,47,179,123,302
POCOATA,estado nutricional,a normal,2013-08-01,179,194,122,145,139,167,440,506,946
POCONA,estado nutricional,a normal,2013-08-01,110,99,96,78,98,92,304,269,573
POJO (CBBA),estado nutricional,a normal,2013-08-01,129,110,111,103,133,117,373,330,703
POOPO,estado nutricional,a normal,2013-08-01,48,67,32,46,46,40,126,153,279
PORCO,estado nutricional,a normal,2013-08-01,98,94,52,53,43,36,193,183,376
POROMA,estado nutricional,a normal,2013-08-01,111,141,84,103,174,192,369,436,805
PORONGO,estado nutricional,a normal,2013-08-01,60,69,52,59,76,68,188,196,384
PORTACHUELO,estado nutricional,a normal,2013-08-01,67,69,42,41,14,23,123,133,256
PORVENIR,estado nutricional,a normal,2013-08-01,49,53,45,68,64,56,158,177,335
POSTRER VALLE,estado nutricional,a normal,2013-08-01,9,11,10,11,16,17,35,39,74
POTOSI,estado nutricional,a normal,2013-08-01,1309,1342,719,806,573,608,2601,2756,5357
PRESTO,estado nutricional,a normal,2013-08-01,65,63,35,38,75,69,175,170,345
PUCARA,estado nutricional,a normal,2013-08-01,18,3,11,6,13,17,42,26,68
PUCARANI,estado nutricional,a normal,2013-08-01,191,175,176,181,144,142,511,498,1009
PUERTO ACOSTA,estado nutricional,a normal,2013-08-01,62,60,62,48,33,47,157,155,312
PUERTO CARABUCO,estado nutricional,a normal,2013-08-01,73,83,67,75,82,68,222,226,448
PUERTO GONZALO MORENO,estado nutricional,a normal,2013-08-01,99,111,76,92,132,100,307,303,610
PUERTO PEREZ,estado nutricional,a normal,2013-08-01,32,45,35,28,47,41,114,114,228
PUERTO QUIJARRO,estado nutricional,a normal,2013-08-01,168,137,89,76,80,61,337,274,611
PUERTO RICO,estado nutricional,a normal,2013-08-01,65,81,66,53,54,43,185,177,362
PUERTO SILES,estado nutricional,a normal,2013-08-01,17,10,13,18,14,14,44,42,86
PUERTO SUAREZ,estado nutricional,a normal,2013-08-01,103,120,44,55,52,75,199,250,449
PUERTO VILLARROEL,estado nutricional,a normal,2013-08-01,522,402,384,303,333,284,1239,989,2228
PUNA,estado nutricional,a normal,2013-08-01,186,146,118,138,166,171,470,455,925
PUNATA,estado nutricional,a normal,2013-08-01,231,210,130,114,129,112,490,436,926
QUIABAYA,estado nutricional,a normal,2013-08-01,14,21,13,22,23,23,50,66,116
QUILLACOLLO,estado nutricional,a normal,2013-08-01,988,918,716,625,693,553,2397,2096,4493
QUIME,estado nutricional,a normal,2013-08-01,88,67,68,64,68,52,224,183,407
QUIRUSILLAS,estado nutricional,a normal,2013-08-01,16,23,14,19,21,17,51,59,110
RAVELO,estado nutricional,a normal,2013-08-01,101,102,104,90,134,132,339,324,663
REYES,estado nutricional,a normal,2013-08-01,100,114,83,87,85,90,268,291,559
RIBERALTA,estado nutricional,a normal,2013-08-01,1029,985,678,719,519,500,2226,2204,4430
ROBORE,estado nutricional,a normal,2013-08-01,110,86,103,104,52,65,265,255,520
RURRENABAQUE,estado nutricional,a normal,2013-08-01,100,135,82,82,60,49,242,266,508
SABAYA,estado nutricional,a normal,2013-08-01,28,22,25,15,21,33,74,70,144
SACABA,estado nutricional,a normal,2013-08-01,1279,1224,934,767,678,679,2891,2670,5561
SACABAMBA,estado nutricional,a normal,2013-08-01,29,24,25,16,37,47,91,87,178
SACACA,estado nutricional,a normal,2013-08-01,197,179,88,135,119,118,404,432,836
SAIPINA,estado nutricional,a normal,2013-08-01,52,56,60,44,44,51,156,151,307
SALINAS DE GARCI MENDOZA,estado nutricional,a normal,2013-08-01,86,92,87,83,115,130,288,305,593
SAMAIPATA,estado nutricional,a normal,2013-08-01,75,84,55,62,48,45,178,191,369
SAN AGUSTIN,estado nutricional,a normal,2013-08-01,8,6,5,11,13,10,26,27,53
SAN ANDRES,estado nutricional,a normal,2013-08-01,103,93,87,87,111,139,301,319,620
SAN ANDRES DE MACHACA,estado nutricional,a normal,2013-08-01,22,18,16,14,8,17,46,49,95
SAN ANTONIO DE ESMORUCO,estado nutricional,a normal,2013-08-01,12,7,3,7,10,12,25,26,51
SAN ANTONIO DE LOMERIO,estado nutricional,a normal,2013-08-01,52,63,46,59,113,94,211,216,427
SAN BENITO,estado nutricional,a normal,2013-08-01,84,116,76,88,81,53,241,257,498
SAN BORJA,estado nutricional,a normal,2013-08-01,301,342,198,189,224,212,723,743,1466
SAN BUENA VENTURA,estado nutricional,a normal,2013-08-01,87,89,53,50,72,83,212,222,434
SAN CARLOS,estado nutricional,a normal,2013-08-01,131,148,130,116,125,108,386,372,758
SAN IGNACIO,estado nutricional,a normal,2013-08-01,251,228,236,225,300,315,787,768,1555
SAN IGNACIO DE VELASCO,estado nutricional,a normal,2013-08-01,623,563,377,380,403,395,1403,1338,2741
SAN JAVIER(BNI),estado nutricional,a normal,2013-08-01,20,9,13,15,21,22,54,46,100
SAN JAVIER(STC),estado nutricional,a normal,2013-08-01,103,126,56,72,71,76,230,274,504
SAN JOAQUIN,estado nutricional,a normal,2013-08-01,64,50,41,24,44,39,149,113,262
SAN JOSE DE CHIQUITOS,estado nutricional,a normal,2013-08-01,97,104,70,66,62,79,229,249,478
