,group,variable,month,TOTAL ANTIAMARÍLICA DOSIS ÚNICA DENTRO,TOTAL ANTIAMARÍLICA DOSIS ÚNICA DENTRO,TOTAL ANTIAMARÍLICA DOSIS ÚNICA FUERA,TOTAL ANTIAMARÍLICA DOSIS ÚNICA FUERA,TOTALES
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,1,4,0,0,5
SOPACHUY,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,1,0,0,0,1
SORATA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,0,1,0,0,1
SUCRE,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,8,4,1,1,14
TACACOMA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,0,1,0,1,2
TAHUA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,0,0,5,2,7
TAPACARI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,0,0,1,0,1
TARIJA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,8,7,0,1,16
TEOPONTE,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,1,0,0,0,1
TINGUIPAYA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,1,0,1,0,2
TIPUANI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,0,0,1,2,3
TIQUIPAYA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,5,4,2,1,12
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,0,0,3,1,4
TOCO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,0,0,0,1,1
TORO TORO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,6,9,0,0,15
TOTORA(CBBA),vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,1,2,0,0,3
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,10,11,37,45,103
TUPIZA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,2,5,3,2,12
UNCIA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,0,0,0,3,3
UYUNI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,1,0,0,0,1
VACAS,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,0,0,2,1,3
VALLEGRANDE,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,0,1,0,0,1
VILLA MONTES,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,1,0,0,0,1
VILLA RIVERO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,0,0,0,1,1
VILLA TUNARI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,5,2,3,0,10
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,0,0,2,2,4
VILLAZON,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,5,3,2,3,13
VINTO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,11,3,1,4,19
VITICHI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,0,0,2,2,4
WARNES,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,7,4,21,17,49
YACUIBA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,0,2,1,0,3
YAPACANI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-04-01,3,2,1,2,8
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,0,1,0,0,1
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,0,0,1,0,1
ALTO BENI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,1,0,0,1,2
ANCORAIMES,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,0,0,0,1,1
APOLO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,0,0,1,3,4
ARBIETO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,0,0,1,0,1
ARQUE,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,0,1,0,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,7,5,0,0,12
ATOCHA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,1,1,0,1,3
AYO AYO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,0,0,1,0,1
BAURES,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,0,0,0,2,2
BERMEJO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,1,0,0,0,1
BETANZOS,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,4,4,0,0,8
CABEZAS,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,0,0,0,2,2
"CAIZA ""D""",vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,0,0,2,1,3
CAMIRI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,0,2,0,1,3
CAPINOTA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,0,0,1,0,1
CARACOLLO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,1,1,1,0,3
CARANAVI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,3,0,0,0,3
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,1,1,1,1,4
CHARAGUA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,1,0,0,1,2
CHIMORE,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,1,0,0,0,1
CHUMA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,3,3,0,0,6
CKOCHAS,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,0,1,0,0,1
CLIZA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,0,0,1,0,1
COBIJA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,3,0,1,3,7
COCAPATA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,0,0,1,1,2
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,42,27,5,9,83
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,4,1,2,0,7
"COLCHA ""K""",vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,1,0,0,0,1
COLOMI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,1,1,1,0,3
COLPA BELGICA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,1,0,0,0,1
COLQUECHACA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,0,0,3,1,4
COLQUIRI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,0,0,0,1,1
CONCEPCION,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,3,0,0,1,4
CORIPATA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,1,1,0,0,2
COTOCA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,1,0,2,0,3
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,1,1,2,1,5
EL ALTO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,46,48,15,15,124
EL PUENTE(STC),vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,0,0,2,3,5
EL TORNO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,9,1,0,1,11
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,0,0,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,1,1,2,0,4
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,0,0,1,0,1
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,0,0,1,0,1
FILADELFIA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,0,0,0,4,4
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,1,0,0,0,1
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,0,1,0,0,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,1,4,2,2,9
GUTIERREZ,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,0,0,0,1,1
HUANUNI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,2,8,0,0,10
ICHOCA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,1,0,0,0,1
INCAHUASI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,0,0,1,2,3
INGAVI (HUMAITA),vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,0,0,0,1,1
INQUISIVI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,0,0,9,9,18
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,0,2,0,1,3
IXIAMAS,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,0,0,5,6,11
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,1,1,0,0,2
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,9,1,2,3,15
LA PAZ,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,29,27,1,1,58
LLALLAGUA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,0,0,1,0,1
LORETO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,0,0,2,0,2
MACHACAMARCA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,0,0,1,0,1
MAIRANA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,1,0,0,0,1
MALLA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,0,0,3,4,7
MAPIRI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,2,0,4,2,8
MIZQUE,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,0,0,1,0,1
MOJINETE,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,0,3,0,1,4
MONTERO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,7,12,0,1,20
MOROCHATA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,0,1,0,1,2
OCURI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,0,0,1,1,2
OKINAWA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,0,0,1,1,2
ORURO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,16,12,2,0,30
PALCA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,0,1,3,1,5
PALOS BLANCOS,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,1,0,0,0,1
PAZÑA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,0,0,1,0,1
POJO (CBBA),vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,0,0,2,2,4
PORONGO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,0,0,0,1,1
PORTACHUELO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,2,1,21,1,25
POTOSI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,2,8,8,11,29
PUCARANI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,1,0,0,0,1
PUERTO SUAREZ,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,1,2,0,0,3
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,4,5,0,0,9
PUNATA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,0,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,13,6,3,7,29
QUIME,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,1,1,0,0,2
QUIRUSILLAS,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,1,0,0,0,1
RAVELO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,1,0,1,1,3
REYES,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,1,0,0,0,1
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,1,1,1,0,3
ROBORE,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,1,0,0,0,1
SACABA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,6,8,2,7,23
SACACA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,0,0,3,1,4
SAIPINA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,0,1,0,0,1
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,0,0,0,2,2
SAMAIPATA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,1,0,1,0,2
SAN AGUSTIN,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,0,1,0,0,1
SAN ANDRES,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,0,1,0,0,1
SAN BENITO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,1,2,0,0,3
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,0,0,0,2,2
SAN IGNACIO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,0,4,3,3,10
SAN JAVIER(STC),vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,1,1,0,0,2
SAN JOAQUIN,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,1,0,0,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,0,0,4,12,16
SAN JULIAN,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,4,1,11,12,28
SAN MATIAS,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,6,2,0,0,8
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,1,0,0,0,1
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,8,1,6,4,19
SAN RAMON BENI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,1,0,0,0,1
SANTA ANA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,3,2,0,0,5
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,148,107,18,21,294
SANTA ROSA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,0,0,4,1,5
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,0,1,0,0,1
SHINAOTA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,2,2,5,8,17
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,2,2,0,0,4
SORATA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,0,0,2,2,4
SUCRE,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,38,43,0,1,82
TAPACARI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,0,0,2,0,2
TARATA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,2,1,1,0,4
TARIJA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,8,3,0,2,13
TEOPONTE,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,6,2,0,0,8
TIPUANI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,8,8,0,0,16
TIQUIPAYA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,5,0,0,2,7
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,0,0,1,0,1
TOLATA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,0,0,1,0,1
TOLEDO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,0,1,0,0,1
TOMAVE,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,0,0,1,0,1
TORO TORO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,0,0,6,1,7
TOTORA(CBBA),vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,0,0,4,1,5
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,3,3,3,3,12
TUPIZA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,4,2,1,0,7
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,1,0,0,0,1
URUBICHA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,0,0,1,1,2
UYUNI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,5,1,0,0,6
VILLA TUNARI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,6,7,1,1,15
VILLAZON,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,0,1,0,0,1
VINTO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,1,2,0,1,4
WARNES,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,4,10,5,12,31
YACUIBA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,1,1,3,1,6
YAPACANI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-05-01,0,1,6,3,10
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-06-01,1,4,3,3,11
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-06-01,2,0,0,0,2
AIQUILE,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-06-01,0,1,0,1,2
APOLO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-06-01,0,0,0,1,1
ARBIETO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-06-01,0,0,2,1,3
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-06-01,8,7,0,0,15
ATOCHA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-06-01,3,4,0,0,7
AZURDUY,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-06-01,4,2,10,8,24
BERMEJO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-06-01,0,0,0,2,2
BETANZOS,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-06-01,0,0,4,5,9
BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-06-01,1,0,0,0,1
CABEZAS,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-06-01,0,0,1,5,6
"CAIZA ""D""",vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-06-01,0,0,2,3,5
CALAMARCA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-06-01,0,0,0,1,1
CAMARGO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-06-01,1,1,0,0,2
CAMIRI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-06-01,0,0,1,5,6
CARACOLLO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-06-01,0,1,0,0,1
CARANAVI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-06-01,0,0,1,1,2
CARAPARI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-06-01,0,0,4,4,8
CARIPUYO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-06-01,0,0,0,3,3
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-06-01,1,1,1,0,3
CHAYANTA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-06-01,0,0,5,8,13
CHIMORE,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-06-01,0,2,0,0,2
CHUA COCANI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-06-01,0,0,0,1,1
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-06-01,0,0,1,0,1
CLIZA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-06-01,0,1,0,0,1
COBIJA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-06-01,2,2,4,1,9
COCAPATA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-06-01,0,0,4,1,5
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-06-01,37,54,4,4,99
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-06-01,1,2,0,0,3
COLOMI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-06-01,0,0,1,1,2
COLPA BELGICA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-06-01,1,0,0,0,1
COLQUECHACA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-06-01,0,0,4,7,11
COLQUIRI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-06-01,1,1,3,6,11
CONCEPCION,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-06-01,1,3,0,0,4
CORIPATA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-06-01,4,2,0,0,6
COROICO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-06-01,12,0,0,0,12
COTOCA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-06-01,5,2,0,0,7
CULPINA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-06-01,0,2,0,0,2
EL ALTO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-06-01,39,45,10,16,110
EL TORNO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-06-01,5,1,0,0,6
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-06-01,1,0,0,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-06-01,1,1,0,0,2
EUCALIPTUS,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-06-01,0,1,0,0,1
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-06-01,1,0,0,0,1
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-06-01,1,0,0,0,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-06-01,1,0,1,0,2
HUACARETA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-06-01,0,0,0,1,1
HUANUNI,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-06-01,3,4,0,3,10
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-06-01,1,0,0,0,1
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-06-01,6,4,3,2,15
LA PAZ,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-06-01,35,37,4,2,78
LLALLAGUA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-06-01,1,1,5,5,12
LORETO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-06-01,0,0,4,1,5
MAIRANA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-06-01,1,0,0,0,1
MIZQUE,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-06-01,0,0,2,1,3
MONTERO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-06-01,5,6,1,1,13
MOROCHATA,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-06-01,0,1,0,1,2
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-06-01,0,1,0,0,1
ORURO,vacunaciones en ninos de 2 a 3 anos,total antiamarilica dosis unica,2015-06-01,7,12,3,3,25
