,group,variable,month,TOTAL SRP DOSIS ÚNICA DENTRO,TOTAL SRP DOSIS ÚNICA DENTRO,TOTAL SRP DOSIS ÚNICA FUERA,TOTAL SRP DOSIS ÚNICA FUERA,TOTALES
VILLAZON,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,1,2,0,0,3
VINTO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,6,1,2,3,12
VITICHI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,0,2,2,4
WARNES,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,38,47,184,122,391
YACUIBA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,0,1,1,1,3
YAPACANI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,5,5,0,1,11
YOCALLA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-04-01,1,0,0,2,3
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,0,0,1,0,1
ALALAY,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,0,0,5,5,10
ALTO BENI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,1,0,0,0,1
ANCORAIMES,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,0,0,0,1,1
ANDAMARCA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,0,0,0,1,1
APOLO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,0,0,87,97,184
ARQUE,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,4,4,4,1,13
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,99,102,7,5,213
ATOCHA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,8,6,0,1,15
AUCAPATA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,0,0,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,0,1,8,8,17
BATALLAS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,6,5,13,7,31
BAURES,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,0,0,0,2,2
BELEN DE ANDAMARCA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,0,0,0,2,2
BERMEJO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,3,1,9,6,19
BETANZOS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,1,2,1,2,6
BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,0,3,0,0,3
CABEZAS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,3,5,3,2,13
"CAIZA ""D""",vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,0,0,2,0,2
CAJUATA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,2,0,0,0,2
CAMARGO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,0,0,0,2,2
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,1,1,9,7,18
CAMIRI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,0,3,0,1,4
CAPINOTA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,3,3,1,3,10
CAQUIAVIRI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,0,1,0,1,2
CARACOLLO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,1,2,1,0,4
CARANAVI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,3,0,0,1,4
CARAPARI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,32,24,45,70,171
CARMEN RIVERO TORREZ,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,2,2,2,7,13
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,3,5,4,6,18
CHAQUI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,2,1,0,0,3
CHARAGUA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,20,31,139,141,331
CHAYANTA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,1,0,0,1,2
CHIMORE,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,3,2,0,0,5
CHUA COCANI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,1,0,1,0,2
CHUMA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,3,3,0,1,7
CLIZA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,0,0,1,0,1
COBIJA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,4,1,1,2,8
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,107,106,160,173,546
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,3,3,3,1,10
"COLCHA ""K""",vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,2,0,0,0,2
COLOMI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,0,1,1,0,2
COLQUECHACA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,0,0,3,2,5
COLQUIRI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,4,3,1,1,9
COMARAPA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,5,21,3,4,33
CONCEPCION,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,3,0,0,0,3
COPACABANA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,1,1,0,1,3
CORIPATA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,1,1,0,0,2
COROICO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,0,0,0,2,2
CORQUE,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,0,0,1,3,4
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,66,71,3,0,140
CUEVO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,0,2,0,0,2
CURVA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,0,0,6,7,13
EL ALTO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,53,41,38,32,164
EL PUENTE(STC),vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,0,0,1,2,3
EL TORNO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,1,0,0,1,2
EL VILLAR,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,0,1,0,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,6,6,3,0,15
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,2,0,1,0,3
FILADELFIA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,0,0,1,3,4
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,1,0,0,0,1
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,0,1,0,0,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,0,1,1,1,3
GUTIERREZ,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,2,0,18,17,37
HUACARETA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,26,16,13,13,68
HUANUNI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,1,5,0,0,6
ICHOCA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,0,0,2,0,2
INCAHUASI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,6,8,10,1,25
INGAVI (HUMAITA),vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,0,0,1,0,1
INQUISIVI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,1,0,1,0,2
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,0,2,0,0,2
IXIAMAS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,0,0,2,4,6
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,2,3,0,0,5
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,11,4,6,4,25
LA PAZ,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,57,70,35,39,201
LLALLAGUA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,0,0,1,0,1
LORETO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,0,0,5,2,7
MACHACAMARCA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,0,1,0,0,1
MAIRANA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,1,0,1,1,3
MALLA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,0,0,6,6,12
MAPIRI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,1,2,4,2,9
MECAPACA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,1,1,0,0,2
MINEROS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,1,1,2,6,10
MIZQUE,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,15,8,22,17,62
MOJOCOYA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,0,2,0,0,2
MONTEAGUDO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,9,6,19,15,49
MONTERO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,69,74,87,47,277
MOROCHATA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,1,0,0,1,2
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,4,7,13,9,33
OCURI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,3,5,8,7,23
OKINAWA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,50,47,21,23,141
ORURO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,18,12,13,13,56
PADILLA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,0,1,0,0,1
PAILON,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,2,0,3,1,6
PALCA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,4,3,0,0,7
PAZÑA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,6,1,1,0,8
PELECHUCO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,0,0,0,1,1
POCOATA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,0,0,1,4,5
POOPO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,1,2,1,4,8
PORONGO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,1,1,0,1,3
PORTACHUELO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,39,69,1,2,111
POTOSI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,56,65,16,17,154
PUCARANI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,2,3,6,9,20
PUERTO RICO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,1,3,31,33,68
PUERTO SUAREZ,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,0,1,0,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,27,31,30,10,98
PUNA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,0,0,0,2,2
PUNATA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,4,5,1,6,16
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,12,12,3,9,36
QUIRUSILLAS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,1,0,0,0,1
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,0,1,1,0,2
ROBORE,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,1,0,0,0,1
SACABA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,5,5,4,9,23
SACABAMBA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,0,0,0,1,1
SACACA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,0,0,6,4,10
SAIPINA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,0,1,0,0,1
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,0,0,2,0,2
SAMAIPATA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,1,0,1,0,2
SAN ANDRES,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,0,1,0,2,3
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,5,12,16,19,52
SAN BENITO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,0,4,1,0,5
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,1,1,0,0,2
SAN CARLOS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,37,33,30,27,127
SAN IGNACIO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,6,10,0,0,16
SAN JAVIER(STC),vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,0,1,0,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,0,0,7,12,19
SAN JULIAN,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,26,27,36,29,118
SAN LORENZO(PND),vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,0,0,0,1,1
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,6,6,3,3,18
SAN LUCAS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,4,0,1,1,6
SAN MATIAS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,2,2,0,0,4
SAN PEDRO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,2,3,12,13,30
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,11,4,1,2,18
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,1,2,3,2,8
SAN RAMON BENI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,1,0,0,0,1
SAN RAMON SCZ,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,3,0,0,0,3
SANTA ANA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,2,2,0,0,4
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,417,384,384,347,1532
SANTA ROSA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,0,0,1,0,1
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,1,1,1,2,5
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,0,0,2,1,3
SENA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,10,6,0,0,16
SHINAOTA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,4,1,1,0,6
SICAYA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,0,0,11,13,24
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,26,16,8,7,57
SOPACHUY,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,4,7,0,0,11
SORACACHI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,0,1,0,0,1
SORATA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,0,0,3,5,8
SUCRE,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,43,55,15,17,130
TACACOMA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,0,0,0,1,1
TACOPAYA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,4,4,8,11,27
TAPACARI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,9,9,24,22,64
TARATA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,0,0,1,0,1
TARIJA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,4,4,1,2,11
TINGUIPAYA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,3,0,5,9,17
TIQUIPAYA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,7,3,7,17,34
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,0,2,1,1,4
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,0,0,0,3,3
TOLATA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,0,0,14,11,25
TOLEDO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,0,1,0,0,1
TOMAVE,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,0,0,1,0,1
TORO TORO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,0,0,0,1,1
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,4,2,2,7,15
TUPIZA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,3,1,1,0,5
TURCO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,1,0,0,0,1
URUBICHA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,0,1,0,0,1
UYUNI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,6,6,0,0,12
VACAS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,1,2,2,6,11
VALLEGRANDE,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,3,6,15,8,32
VIACHA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,0,1,0,1,2
VILA VILA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,1,2,6,6,15
VILLA MONTES,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,0,0,1,0,1
VILLA SERRANO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,0,0,24,20,44
VILLA TUNARI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,22,14,6,5,47
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,3,0,9,6,18
VINTO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,0,1,0,1,2
WARNES,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,44,64,31,21,160
YACUIBA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,1,0,2,1,4
YAPACANI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,54,44,111,117,326
YOCALLA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-05-01,0,0,1,1,2
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,4,6,7,7,24
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,1,0,0,0,1
AIQUILE,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,1,1,0,1,3
APOLO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,0,3,0,1,4
ARBIETO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,1,0,3,0,4
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,11,7,0,0,18
ATOCHA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,5,3,3,1,12
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,0,2,11,6,19
BATALLAS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,1,0,0,1,2
BERMEJO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,35,40,49,53,177
BETANZOS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,3,0,0,1,4
BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,0,1,0,0,1
CABEZAS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,1,0,34,43,78
CAJUATA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,0,4,0,0,4
CALAMARCA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,0,0,0,1,1
CAMARGO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,0,0,0,2,2
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,0,1,0,0,1
CAMIRI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,2,5,1,5,13
CARACOLLO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,0,1,0,0,1
CARANAVI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,1,4,1,2,8
CARAPARI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,17,23,29,37,106
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,1,1,0,0,2
CHARAGUA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,0,1,19,25,45
CHIMORE,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,0,2,1,5,8
CHUA COCANI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,0,1,0,0,1
CHUMA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,1,0,1,1,3
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,0,0,2,4,6
COBIJA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,4,8,4,1,17
COCAPATA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,0,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,76,79,35,40,230
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,1,1,2,1,5
COLOMI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,0,0,2,2,4
COLPA BELGICA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,1,0,0,0,1
COLQUECHACA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,0,0,4,6,10
COLQUENCHA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,3,3,0,0,6
CONCEPCION,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,1,3,0,0,4
COPACABANA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,1,0,1,2,4
CORIPATA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,3,0,0,0,3
COROICO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,1,0,0,0,1
CORQUE,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,0,0,1,0,1
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,2,3,4,4,13
CULPINA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,0,1,0,0,1
CURVA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,0,0,0,1,1
EL ALTO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,59,90,28,24,201
EL TORNO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,4,1,3,1,9
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,2,1,0,0,3
ESMERALDA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,1,0,0,0,1
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,1,2,0,0,3
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,1,0,0,0,1
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,0,1,0,0,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,1,1,0,2,4
GUTIERREZ,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,0,1,24,16,41
HUACARETA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,0,2,0,1,3
HUANUNI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,6,5,1,1,13
HUATAJATA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,2,0,0,0,2
ICHOCA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,1,0,1,2,4
INCAHUASI,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,5,7,2,2,16
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,0,0,1,0,1
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,4,5,0,1,10
LA PAZ,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,68,52,2,0,122
LLALLAGUA,vacunaciones en ninos de 2 a 3 anos,total srp dosis unica,2015-06-01,1,1,8,11,21
