,group,variable,month,TOTAL ANTIPOLIOMIELÍTICA 1RA DOSIS DENTRO,TOTAL ANTIPOLIOMIELÍTICA 1RA DOSIS DENTRO,TOTAL ANTIPOLIOMIELÍTICA 1RA DOSIS FUERA,TOTAL ANTIPOLIOMIELÍTICA 1RA DOSIS FUERA,TOTALES
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-07-01,1,1,2,1,5
RURRENABAQUE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-07-01,1,0,0,0,1
SACABA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-07-01,1,1,0,0,2
SAN ANDRES,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-07-01,0,1,0,0,1
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-07-01,1,1,3,2,7
SAN CARLOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-07-01,0,1,0,0,1
SAN IGNACIO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-07-01,0,1,0,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-07-01,0,0,1,2,3
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-07-01,1,0,0,0,1
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-07-01,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-07-01,16,21,1,0,38
SANTA ROSA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-07-01,1,0,0,0,1
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-07-01,1,1,0,1,3
SORATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-07-01,0,1,2,1,4
TACACOMA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-07-01,2,0,0,0,2
TARIJA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-07-01,0,0,0,1,1
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-07-01,3,2,1,0,6
UMALA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-07-01,1,0,0,0,1
VIACHA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-07-01,0,0,1,4,5
VILLA MONTES,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-07-01,0,0,1,0,1
VINTO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-07-01,0,0,1,0,1
VITICHI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-07-01,0,0,0,1,1
WARNES,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-07-01,1,1,0,0,2
YACUIBA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-07-01,1,0,3,4,8
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-08-01,5,2,0,0,7
ATOCHA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-08-01,0,1,0,0,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-08-01,0,0,1,0,1
BETANZOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-08-01,0,1,0,1,2
CABEZAS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-08-01,1,1,1,3,6
CAPINOTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-08-01,0,0,0,1,1
CHAQUI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-08-01,1,1,0,1,3
CHIMORE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-08-01,0,0,0,1,1
COBIJA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-08-01,13,6,0,0,19
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-08-01,0,0,0,2,2
COPACABANA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-08-01,0,0,0,1,1
CORO CORO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-08-01,0,0,7,2,9
EL ALTO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-08-01,5,5,4,5,19
HUANUNI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-08-01,0,0,0,1,1
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-08-01,0,1,0,0,1
IXIAMAS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-08-01,0,0,0,1,1
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-08-01,1,0,0,0,1
LA PAZ,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-08-01,3,4,1,0,8
LLALLAGUA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-08-01,0,0,1,0,1
OCURI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-08-01,2,0,1,1,4
ORURO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-08-01,1,3,1,0,5
PAILON,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-08-01,2,5,6,5,18
PAMPA AULLAGAS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-08-01,0,1,0,0,1
PAPEL PAMPA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-08-01,1,2,3,1,7
POOPO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-08-01,0,0,1,3,4
POTOSI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-08-01,6,12,0,0,18
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-08-01,2,1,1,0,4
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-08-01,0,1,4,1,6
SAN CARLOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-08-01,1,0,0,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-08-01,0,0,0,1,1
SAN JULIAN,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-08-01,0,0,1,1,2
SAN LORENZO(PND),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-08-01,0,0,1,1,2
SAN MATIAS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-08-01,0,0,1,0,1
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-08-01,1,0,1,2,4
SANTA ANA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-08-01,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-08-01,25,29,0,2,56
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-08-01,1,0,0,0,1
SOPACHUY,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-08-01,0,0,0,1,1
SORATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-08-01,0,0,0,1,1
SUCRE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-08-01,0,1,0,0,1
TOMAVE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-08-01,0,0,1,2,3
TORO TORO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-08-01,1,2,0,0,3
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-08-01,0,2,0,1,3
UNCIA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-08-01,0,0,1,1,2
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-09-01,0,1,0,0,1
BELLA FLOR,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-09-01,0,0,0,1,1
BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-09-01,1,0,0,0,1
CABEZAS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-09-01,0,0,0,1,1
CAJUATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-09-01,1,0,0,0,1
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-09-01,0,0,3,0,3
CHAQUI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-09-01,1,0,1,1,3
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-09-01,0,0,1,4,5
COLQUECHACA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-09-01,2,0,2,5,9
COTOCA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-09-01,1,2,0,0,3
EL ALTO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-09-01,6,4,5,9,24
EL PUENTE(TJA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-09-01,0,0,1,0,1
EL TORNO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-09-01,0,0,1,1,2
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-09-01,0,2,0,0,2
HUANUNI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-09-01,1,0,1,0,2
INCAHUASI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-09-01,0,0,1,1,2
LA PAZ,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-09-01,2,4,0,0,6
LAJA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-09-01,1,0,0,0,1
MALLA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-09-01,0,0,1,1,2
MIZQUE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-09-01,0,1,0,0,1
MONTERO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-09-01,8,4,0,0,12
ORURO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-09-01,2,5,8,13,28
PAILON,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-09-01,7,8,9,4,28
PALCA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-09-01,2,3,3,0,8
PAMPA GRANDE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-09-01,0,0,0,1,1
POROMA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-09-01,0,0,0,1,1
POTOSI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-09-01,1,0,1,0,2
PUERTO RICO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-09-01,0,1,0,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-09-01,0,1,0,0,1
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-09-01,1,1,0,0,2
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-09-01,0,0,1,0,1
SAN IGNACIO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-09-01,1,0,0,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-09-01,1,2,0,0,3
SAN JULIAN,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-09-01,0,0,0,1,1
SAN LORENZO(PND),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-09-01,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-09-01,27,29,1,0,57
SANTA ROSA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-09-01,1,0,0,0,1
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-09-01,0,0,2,0,2
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-09-01,0,0,0,2,2
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-09-01,0,0,0,1,1
SORACACHI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-09-01,0,0,0,3,3
SUCRE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-09-01,1,1,0,0,2
TARIJA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-09-01,1,0,0,0,1
TEOPONTE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-09-01,0,0,1,0,1
TIAWANACU,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-09-01,0,0,0,1,1
TINGUIPAYA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-09-01,0,0,1,4,5
TIQUIPAYA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-09-01,0,1,0,0,1
TOMAVE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-09-01,0,0,0,1,1
TORO TORO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-09-01,0,4,0,0,4
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-09-01,1,0,0,0,1
UNCIA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-09-01,1,0,0,0,1
VIACHA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-09-01,5,8,0,0,13
VILA VILA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-09-01,0,0,1,0,1
WARNES,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-09-01,1,0,0,0,1
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-10-01,1,0,0,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-10-01,1,1,0,0,2
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-10-01,0,0,1,0,1
CAMIRI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-10-01,0,3,0,0,3
CAPINOTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-10-01,0,0,2,0,2
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-10-01,0,0,0,1,1
COBIJA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-10-01,1,0,0,0,1
COCAPATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-10-01,0,0,1,1,2
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-10-01,2,2,1,2,7
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-10-01,2,1,0,1,4
COLQUECHACA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-10-01,0,1,0,1,2
COTOCA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-10-01,0,0,0,1,1
EL ALTO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-10-01,9,7,5,14,35
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-10-01,2,0,0,0,2
EXALTACION,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-10-01,1,2,1,0,4
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-10-01,0,3,0,0,3
INQUISIVI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-10-01,0,0,1,0,1
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-10-01,0,1,0,0,1
LA PAZ,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-10-01,1,2,0,0,3
LORETO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-10-01,0,1,0,0,1
MIZQUE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-10-01,0,1,0,0,1
OCURI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-10-01,0,0,1,1,2
ORURO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-10-01,1,3,2,0,6
PAILON,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-10-01,3,3,47,38,91
PALCA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-10-01,4,3,4,3,14
POTOSI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-10-01,2,3,6,1,12
PUNATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-10-01,1,0,0,0,1
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-10-01,2,0,0,1,3
SACABA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-10-01,1,0,0,0,1
SAN BENITO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-10-01,0,1,0,0,1
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-10-01,0,1,0,0,1
SAN IGNACIO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-10-01,1,2,1,0,4
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-10-01,1,0,6,0,7
SAN JUAN DE YAPACANI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-10-01,0,0,1,0,1
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-10-01,0,0,2,2,4
SANTA ANA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-10-01,0,0,3,0,3
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-10-01,20,17,6,6,49
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-10-01,0,1,0,0,1
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-10-01,0,1,0,0,1
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-10-01,0,0,1,2,3
SORATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-10-01,0,0,0,1,1
SUCRE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-10-01,4,1,2,4,11
TOMAVE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-10-01,0,0,0,1,1
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-10-01,3,0,2,2,7
UNCIA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-10-01,0,0,9,7,16
VIACHA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-10-01,1,0,0,0,1
VILLA SERRANO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-10-01,0,0,2,1,3
VILLA TUNARI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-10-01,0,1,0,0,1
VINTO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-10-01,1,1,0,3,5
WARNES,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-10-01,0,1,0,1,2
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-11-01,0,1,0,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-11-01,0,3,3,2,8
BATALLAS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-11-01,0,0,1,0,1
BELLA FLOR,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-11-01,0,0,0,2,2
CABEZAS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-11-01,2,1,17,25,45
CAIROMA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-11-01,0,1,0,0,1
"CAIZA ""D""",vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-11-01,2,0,1,0,3
CALAMARCA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-11-01,0,0,1,0,1
CAMIRI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-11-01,1,2,0,0,3
CAPINOTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-11-01,0,0,1,0,1
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-11-01,0,0,0,1,1
CKOCHAS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-11-01,1,0,0,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-11-01,3,1,0,0,4
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-11-01,0,0,0,1,1
"COLCHA ""K""",vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-11-01,0,1,0,0,1
COLOMI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-11-01,1,0,0,0,1
COLQUECHACA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-11-01,0,0,2,1,3
COTOCA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-11-01,4,2,0,1,7
EL ALTO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-11-01,8,7,7,8,30
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-11-01,0,1,0,0,1
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-11-01,0,0,0,1,1
EXALTACION,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-11-01,2,1,0,0,3
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-11-01,0,0,1,2,3
GUTIERREZ,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-11-01,0,0,1,0,1
HUACARETA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-11-01,0,0,0,2,2
HUAYLLAMARCA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-11-01,0,0,0,2,2
ICHOCA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-11-01,0,0,0,1,1
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-11-01,0,2,0,0,2
LA PAZ,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-11-01,8,6,3,1,18
MALLA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-11-01,0,3,0,0,3
MONTERO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-11-01,2,1,1,0,4
OCURI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-11-01,1,0,1,4,6
ORURO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-11-01,1,4,3,0,8
PAILON,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-11-01,3,2,1,0,6
PALCA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-11-01,1,0,0,4,5
PALOS BLANCOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-11-01,0,1,0,0,1
PORTACHUELO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-11-01,0,1,0,0,1
POTOSI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-11-01,2,2,0,2,6
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-11-01,0,0,2,1,3
REYES,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-11-01,1,0,0,0,1
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-11-01,0,1,1,2,4
SAN ANDRES,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-11-01,2,0,0,0,2
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-11-01,0,0,0,4,4
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 1ra dosis,2015-11-01,0,0,0,1,1
