,group,variable,month,TOTAL PENTAVALENTE 2DA DOSIS DENTRO,TOTAL PENTAVALENTE 2DA DOSIS DENTRO,TOTAL PENTAVALENTE 2DA DOSIS FUERA,TOTAL PENTAVALENTE 2DA DOSIS FUERA,TOTALES
TAPACARI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-09-01,3,3,0,0,6
TARIJA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-09-01,3,0,0,0,3
TIQUIPAYA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-09-01,1,0,0,0,1
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-09-01,3,2,0,0,5
VIACHA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-09-01,7,10,0,0,17
VILLA MONTES,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-09-01,0,2,0,0,2
VILLA TUNARI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-09-01,0,0,1,0,1
VINTO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-09-01,2,0,0,0,2
WARNES,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-09-01,2,1,0,0,3
YACUIBA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-09-01,1,0,0,0,1
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-10-01,0,0,0,1,1
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-10-01,0,1,0,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-10-01,0,0,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-10-01,1,0,0,0,1
CAPINOTA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-10-01,0,0,0,1,1
CARANAVI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-10-01,1,1,0,0,2
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-10-01,0,0,0,1,1
COBIJA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-10-01,0,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-10-01,8,7,2,0,17
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-10-01,0,0,2,3,5
COLOMI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-10-01,1,0,1,0,2
COTOCA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-10-01,0,3,0,0,3
EL ALTO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-10-01,11,3,7,7,28
EL TORNO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-10-01,0,1,0,0,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-10-01,1,1,0,0,2
INCAHUASI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-10-01,0,0,1,0,1
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-10-01,1,0,0,0,1
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-10-01,1,1,1,0,3
LA PAZ,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-10-01,1,1,0,1,3
MINEROS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-10-01,0,1,0,0,1
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-10-01,0,0,0,1,1
ORURO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-10-01,1,2,2,1,6
PAILON,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-10-01,1,0,1,1,3
PALOS BLANCOS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-10-01,1,0,0,0,1
PAMPA GRANDE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-10-01,0,1,0,0,1
POTOSI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-10-01,2,0,0,0,2
PUCARANI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-10-01,1,0,0,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-10-01,0,1,1,0,2
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-10-01,1,0,0,1,2
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-10-01,2,0,0,0,2
SACABA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-10-01,1,1,1,0,3
SAN ANDRES,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-10-01,1,0,0,0,1
SAN BENITO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-10-01,0,0,0,1,1
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-10-01,2,0,0,1,3
SAN CARLOS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-10-01,0,0,1,1,2
SAN IGNACIO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-10-01,0,0,0,2,2
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-10-01,0,0,0,1,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-10-01,3,1,2,1,7
SAN JULIAN,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-10-01,0,1,0,0,1
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-10-01,0,0,1,0,1
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-10-01,1,0,0,0,1
SANTA ANA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-10-01,0,0,1,1,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-10-01,26,15,5,6,52
SANTA ROSA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-10-01,4,5,0,0,9
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-10-01,0,1,0,0,1
SORACACHI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-10-01,0,0,1,0,1
SORATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-10-01,0,0,1,0,1
TARIJA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-10-01,1,0,0,0,1
TOMAVE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-10-01,0,0,1,0,1
TORO TORO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-10-01,0,0,10,0,10
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-10-01,3,1,1,2,7
VIACHA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-10-01,0,0,0,1,1
VILLA RIVERO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-10-01,0,0,1,1,2
VILLA TUNARI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-10-01,0,0,1,0,1
VILLAZON,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-10-01,1,0,0,0,1
VINTO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-10-01,1,0,2,1,4
WARNES,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-10-01,1,0,0,0,1
YOCALLA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-10-01,1,0,0,0,1
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-11-01,1,1,0,1,3
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-11-01,2,0,3,2,7
BELLA FLOR,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-11-01,0,0,1,0,1
BERMEJO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-11-01,1,0,0,0,1
BOLIVAR,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-11-01,0,0,1,0,1
CABEZAS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-11-01,0,1,4,6,11
CAPINOTA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-11-01,0,1,0,0,1
CARANAVI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-11-01,0,1,0,0,1
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-11-01,1,0,0,3,4
CHIMORE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-11-01,0,1,1,0,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-11-01,1,0,0,0,1
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-11-01,0,0,1,0,1
COBIJA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-11-01,1,0,0,0,1
COCAPATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-11-01,0,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-11-01,4,4,1,1,10
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-11-01,1,0,0,0,1
COLOMI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-11-01,1,0,0,0,1
COPACABANA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-11-01,0,0,1,0,1
COTOCA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-11-01,6,4,0,4,14
EL ALTO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-11-01,4,5,9,3,21
EL PUENTE(STC),vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-11-01,1,0,0,0,1
EL TORNO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-11-01,0,1,0,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-11-01,1,0,0,0,1
GUANAY,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-11-01,0,0,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-11-01,0,0,0,2,2
HUANUNI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-11-01,0,0,0,1,1
HUAYLLAMARCA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-11-01,0,0,0,2,2
IXIAMAS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-11-01,0,0,0,1,1
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-11-01,0,1,0,0,1
LA PAZ,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-11-01,3,4,0,0,7
LORETO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-11-01,0,0,5,2,7
MIZQUE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-11-01,0,0,0,1,1
MONTERO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-11-01,1,1,3,1,6
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-11-01,0,1,1,0,2
OCURI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-11-01,0,0,0,1,1
ORURO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-11-01,4,3,4,2,13
PAILON,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-11-01,0,0,1,1,2
PAMPA GRANDE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-11-01,0,0,1,1,2
POROMA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-11-01,0,1,0,0,1
POTOSI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-11-01,4,5,0,1,10
PUNATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-11-01,1,0,0,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-11-01,0,0,1,1,2
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-11-01,0,0,1,0,1
ROBORE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-11-01,0,0,0,1,1
RURRENABAQUE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-11-01,0,0,0,1,1
SACABA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-11-01,1,1,0,0,2
SAIPINA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-11-01,0,0,0,1,1
SAMAIPATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-11-01,1,0,0,0,1
SAN ANDRES,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-11-01,1,0,0,0,1
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-11-01,1,1,8,7,17
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-11-01,0,0,1,1,2
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-11-01,0,0,4,6,10
SAN JUAN DE YAPACANI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-11-01,0,0,1,0,1
SANTA ANA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-11-01,0,0,2,1,3
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-11-01,19,16,4,8,47
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-11-01,0,0,1,0,1
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-11-01,0,0,0,2,2
SUCRE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-11-01,0,0,9,13,22
TARIJA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-11-01,1,0,0,1,2
TINGUIPAYA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-11-01,0,0,1,0,1
TIPUANI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-11-01,3,0,3,6,12
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-11-01,0,1,0,0,1
URUBICHA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-11-01,5,9,0,0,14
VINTO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-11-01,0,0,0,1,1
WARNES,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-11-01,2,1,5,3,11
YACUIBA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-11-01,0,0,0,1,1
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-12-01,0,1,0,0,1
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-12-01,2,0,0,0,2
ARBIETO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-12-01,0,1,0,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-12-01,0,2,3,0,5
BETANZOS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-12-01,3,2,2,1,8
BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-12-01,3,1,0,1,5
CABEZAS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-12-01,0,0,0,4,4
CALACOTO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-12-01,0,0,0,1,1
CARACOLLO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-12-01,0,2,5,0,7
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-12-01,0,2,2,0,4
CHIMORE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-12-01,1,0,1,0,2
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-12-01,14,15,1,1,31
COLOMI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-12-01,0,0,1,0,1
COMARAPA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-12-01,8,9,0,0,17
CORIPATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-12-01,1,0,0,0,1
COTAGAITA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-12-01,0,0,3,0,3
COTOCA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-12-01,4,8,0,0,12
EL ALTO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-12-01,5,6,4,7,22
EL PUENTE(TJA),vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-12-01,0,0,1,0,1
EL TORNO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-12-01,2,0,0,0,2
INCAHUASI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-12-01,0,0,0,1,1
IXIAMAS,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-12-01,0,0,1,0,1
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-12-01,0,1,0,2,3
LA PAZ,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-12-01,6,2,3,0,11
ORURO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-12-01,2,3,0,3,8
PAILON,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-12-01,0,0,2,0,2
POCOATA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-12-01,0,0,1,0,1
PORTACHUELO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-12-01,3,0,0,0,3
POTOSI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-12-01,0,2,0,0,2
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-12-01,0,1,0,0,1
REYES,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-12-01,0,0,0,1,1
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-12-01,0,1,0,0,1
RURRENABAQUE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-12-01,0,0,1,0,1
SAN IGNACIO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-12-01,1,0,3,3,7
SAN LORENZO(PND),vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-12-01,0,0,1,0,1
SANTA ANA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-12-01,1,2,0,0,3
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-12-01,23,13,4,9,49
SANTA ROSA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-12-01,0,0,2,1,3
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-12-01,1,0,0,0,1
TIQUIPAYA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-12-01,2,0,2,1,5
TOMAVE,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-12-01,0,0,0,1,1
TOTORA(CBBA),vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-12-01,0,1,0,0,1
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-12-01,0,0,3,1,4
UMALA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-12-01,0,0,0,1,1
UNCIA,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-12-01,0,0,0,1,1
UYUNI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-12-01,0,2,0,0,2
VILLA TUNARI,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-12-01,1,3,0,0,4
VINTO,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-12-01,0,0,0,1,1
WARNES,vacunaciones en ninos de 2 a 3 anos,total pentavalente 2da dosis,2015-12-01,1,2,0,1,4
