,group,variable,month,TOTAL ANTIPOLIOMIELÍTICA 4TA. DOSIS (1ER. REFUERZO) DENTRO,TOTAL ANTIPOLIOMIELÍTICA 4TA. DOSIS (1ER. REFUERZO) DENTRO,TOTAL ANTIPOLIOMIELÍTICA 4TA. DOSIS (1ER. REFUERZO) FUERA,TOTAL ANTIPOLIOMIELÍTICA 4TA. DOSIS (1ER. REFUERZO) FUERA,TOTALES
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,0,0,6,3,9
AZURDUY,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,0,0,0,1,1
BATALLAS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,2,2,4,3,11
BERMEJO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,1,4,2,2,9
BETANZOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,2,0,0,0,2
BOLPEBRA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,0,0,0,1,1
BOYUIBE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,3,1,0,0,4
BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,3,2,1,0,6
CABEZAS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,3,4,7,15,29
CAIROMA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,0,4,4,1,9
"CAIZA ""D""",vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,1,2,2,4,9
CAJUATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,0,0,1,0,1
CALACOTO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,0,1,0,0,1
CAMARGO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,0,5,3,0,8
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,2,0,0,1,3
CAMIRI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,14,10,4,1,29
CAPINOTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,7,5,5,5,22
CAQUIAVIRI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,3,3,0,0,6
CARACOLLO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,1,3,1,1,6
CARANAVI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,5,11,0,2,18
CARANGAS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,0,0,1,0,1
CARAPARI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,0,1,0,0,1
CARIPUYO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,1,0,0,1,2
CARMEN RIVERO TORREZ,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,4,7,0,0,11
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,3,5,5,3,16
CHAQUI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,1,2,0,0,3
CHARAGUA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,4,4,6,10,24
CHAYANTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,8,13,0,0,21
CHIMORE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,6,1,2,1,10
CHIPAYA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,2,0,0,0,2
CHUA COCANI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,2,1,0,1,4
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,12,8,2,3,25
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,1,0,2,4,7
CKOCHAS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,2,4,3,3,12
CLIZA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,1,3,4,11,19
COBIJA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,20,17,6,7,50
COCAPATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,5,8,5,5,23
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,163,138,56,62,419
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,12,7,12,7,38
"COLCHA ""K""",vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,2,4,1,0,7
COLOMI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,6,5,1,6,18
COLPA BELGICA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,8,7,17,9,41
COLQUECHACA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,5,9,12,14,40
COLQUENCHA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,0,2,0,0,2
COLQUIRI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,5,3,1,0,9
COMANCHE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,0,1,0,0,1
COMARAPA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,0,1,0,0,1
COPACABANA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,3,3,4,6,16
CORIPATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,9,7,0,0,16
CORO CORO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,1,1,6,3,11
COROICO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,0,4,0,0,4
CORQUE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,1,0,2,2,5
COTAGAITA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,2,4,0,0,6
CRUZ DE MACHACAMARCA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,0,1,0,0,1
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,5,2,8,12,27
CUEVO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,0,0,1,0,1
CULPINA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,0,0,4,1,5
CURAHUARA DE CARANGAS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,2,1,0,0,3
CURVA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,0,0,0,1,1
DESAGUADERO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,1,1,0,0,2
EL ALTO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,187,206,67,78,538
EL PUENTE(STC),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,0,2,2,1,5
EL PUENTE(TJA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,2,2,0,0,4
EL TORNO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,5,7,1,1,14
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,14,5,5,2,26
ESCOMA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,0,3,2,0,5
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,0,0,13,10,23
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,0,0,0,1,1
FILADELFIA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,0,0,0,1,1
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,9,4,2,1,16
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,0,1,6,2,9
GUANAY,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,4,0,0,0,4
GUAQUI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,1,0,1,2,4
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,12,17,19,12,60
GUTIERREZ,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,0,1,2,1,4
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,0,0,1,0,1
HUANUNI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,6,3,6,1,16
HUARACAJE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,0,1,0,0,1
HUARINA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,0,1,1,1,3
HUATAJATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,0,1,1,0,2
HUMANATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,1,0,1,2,4
ICLA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,0,0,0,2,2
INCAHUASI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,0,1,3,3,7
INQUISIVI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,0,2,1,0,3
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,2,1,1,0,4
JESUS DE MACHACA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,1,0,0,0,1
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,9,14,1,3,27
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,1,6,3,0,10
LA PAZ,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,157,139,27,31,354
LAGUNILLAS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,0,1,4,1,6
LAJA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,0,1,0,0,1
LAS CARRERAS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,1,0,0,1,2
LICOMA PAMPA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,1,0,0,0,1
LLALLAGUA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,15,15,15,25,70
LLICA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,1,0,0,0,1
LORETO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,0,0,1,0,1
LURIBAY,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,0,0,1,0,1
MACHACAMARCA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,2,0,0,0,2
MACHARETI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,0,0,1,0,1
MAGDALENA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,3,2,0,0,5
MAIRANA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,0,0,0,1,1
MAPIRI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,1,2,0,0,3
MECAPACA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,0,1,0,0,1
MIZQUE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,7,6,14,7,34
MOCOMOCO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,1,3,2,2,8
MONTEAGUDO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,3,1,3,0,7
MONTERO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,19,15,31,23,88
MOROCHATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,5,10,8,15,38
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,0,1,0,1,2
OCURI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,0,0,2,5,7
OKINAWA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,3,3,1,0,7
OMEREQUE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,1,1,2,2,6
ORURO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,42,53,15,15,125
PADCAYA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,1,1,1,0,3
PADILLA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,0,1,0,0,1
PAILON,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,6,3,7,12,28
PALCA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,5,2,2,3,12
PALOS BLANCOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,14,12,0,0,26
PAMPA AULLAGAS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,0,1,0,0,1
PAMPA GRANDE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,2,0,0,0,2
PAPEL PAMPA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,4,0,1,2,7
PATACAMAYA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,15,9,29,23,76
PAZÑA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,2,1,3,1,7
PELECHUCO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,2,0,1,0,3
POCOATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,1,0,3,3,7
POCONA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,2,0,1,4,7
POJO (CBBA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,1,1,0,5,7
PORCO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,1,2,0,0,3
POROMA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,0,1,1,1,3
PORONGO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,0,3,0,1,4
PORTACHUELO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,13,7,0,0,20
POSTRER VALLE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,0,0,0,1,1
POTOSI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,57,55,9,9,130
PRESTO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,2,1,2,3,8
PUCARANI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,11,9,6,15,41
PUERTO ACOSTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,0,0,3,1,4
PUERTO CARABUCO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,0,2,4,5,11
PUERTO GONZALO MORENO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,0,2,2,6,10
PUERTO PEREZ,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,0,1,3,2,6
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,1,3,1,0,5
PUERTO RICO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,2,0,3,1,6
PUERTO SUAREZ,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,1,1,1,0,3
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,23,16,4,10,53
PUNA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,0,2,0,2,4
PUNATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,5,7,0,0,12
QUIABAYA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,2,0,2,0,4
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,42,32,27,44,145
QUIME,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,3,2,1,2,8
RAVELO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,1,1,1,1,4
REYES,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,2,3,4,2,11
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,12,12,0,1,25
ROBORE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,2,2,1,1,6
RURRENABAQUE,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,1,3,2,2,8
SACABA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,27,21,22,26,96
SACABAMBA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,0,1,1,0,2
SACACA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,6,1,2,2,11
SAIPINA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,1,0,0,0,1
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,2,0,2,8,12
SAMAIPATA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,0,4,0,0,4
SAN AGUSTIN,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,0,1,0,0,1
SAN ANDRES,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,1,1,4,3,9
SAN BENITO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,1,1,3,6,11
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,7,17,5,2,31
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,0,0,1,0,1
SAN CARLOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,3,2,0,4,9
SAN IGNACIO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,5,3,9,5,22
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,9,10,4,2,25
SAN JAVIER(BNI),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,1,0,1,0,2
SAN JAVIER(STC),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,1,1,0,0,2
SAN JOAQUIN,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,1,1,1,0,3
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,3,2,0,0,5
SAN JUAN DE YAPACANI,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,2,1,1,2,6
SAN JULIAN,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,3,0,4,0,7
SAN LORENZO(PND),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,1,2,14,15,32
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,3,5,0,2,10
SAN LUCAS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,0,4,1,1,6
SAN MATIAS,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,0,2,9,7,18
SAN PEDRO,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,0,2,4,1,7
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,3,5,5,5,18
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,0,2,1,1,4
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,0,2,0,0,2
SAN RAMON SCZ,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,0,1,0,0,1
SANTA ANA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,2,0,0,0,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,296,290,97,83,766
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 3 anos,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-06-01,4,2,1,0,7
