municipality,group,variable,month,Niños de 1 año a menores de 5 años con 1ra dosis vitamina A,TOTAL
LAGUNILLAS,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,72,72
LAJA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,112,112
LAS CARRERAS,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,62,62
LICOMA PAMPA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,9,9
LLALLAGUA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,216,216
LLICA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,26,26
LORETO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,243,243
LURIBAY,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,30,30
MACHACAMARCA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,31,31
MACHARETI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,63,63
MAGDALENA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,51,51
MAIRANA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,146,146
MALLA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,15,15
MAPIRI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,31,31
MECAPACA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,46,46
MINEROS,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,239,239
MIZQUE,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,208,208
MOCOMOCO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,74,74
MOJINETE,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,20,20
MOJOCOYA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,13,13
MONTEAGUDO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,141,141
MONTERO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,1012,1012
MORO MORO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,24,24
MOROCHATA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,194,194
NACEBE (SANTA ROSA DEL ABUNA),nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,24,24
NAZACARA DE PACAJES,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,1,1
NUEVO MANOA (NUEVA ESPERANZA),nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,2,2
OCURI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,121,121
OKINAWA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,66,66
OMEREQUE,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,42,42
ORURO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,830,830
PADCAYA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,45,45
PADILLA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,37,37
PAILON,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,377,377
PALCA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,117,117
PALOS BLANCOS,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,111,111
PAMPA AULLAGAS,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,14,14
PAMPA GRANDE,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,37,37
PAPEL PAMPA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,9,9
PASORAPA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,21,21
PATACAMAYA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,47,47
PAZÑA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,33,33
PELECHUCO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,36,36
POCOATA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,243,243
POCONA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,55,55
POJO (CBBA),nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,82,82
POOPO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,24,24
PORCO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,42,42
POROMA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,169,169
PORONGO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,86,86
PORTACHUELO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,114,114
PORVENIR,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,26,26
POSTRER VALLE,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,12,12
POTOSI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,720,720
PRESTO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,24,24
PUCARA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,6,6
PUCARANI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,114,114
PUERTO ACOSTA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,72,72
PUERTO CARABUCO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,54,54
PUERTO GONZALO MORENO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,24,24
PUERTO PEREZ,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,15,15
PUERTO QUIJARRO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,52,52
PUERTO RICO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,88,88
PUERTO SUAREZ,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,72,72
PUERTO VILLARROEL,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,228,228
PUNA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,447,447
PUNATA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,115,115
QUIABAYA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,6,6
QUILLACOLLO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,682,682
QUIME,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,52,52
QUIRUSILLAS,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,26,26
RAVELO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,169,169
REYES,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,72,72
RIBERALTA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,571,571
ROBORE,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,93,93
RURRENABAQUE,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,101,101
SABAYA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,8,8
SACABA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,461,461
SACABAMBA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,23,23
SACACA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,181,181
SAIPINA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,25,25
SALINAS DE GARCI MENDOZA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,66,66
SAMAIPATA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,69,69
SAN AGUSTIN,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,31,31
SAN ANDRES,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,63,63
SAN ANDRES DE MACHACA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,12,12
SAN ANTONIO DE ESMORUCO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,8,8
SAN ANTONIO DE LOMERIO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,69,69
SAN BENITO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,58,58
SAN BORJA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,193,193
SAN BUENA VENTURA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,55,55
SAN CARLOS,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,254,254
SAN IGNACIO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,253,253
SAN IGNACIO DE VELASCO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,362,362
SAN JAVIER(BNI),nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,13,13
SAN JAVIER(STC),nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,111,111
SAN JOAQUIN,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,56,56
SAN JOSE DE CHIQUITOS,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,113,113
SAN JUAN DE YAPACANI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,100,100
SAN JULIAN,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,296,296
SAN LORENZO(PND),nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,60,60
SAN LORENZO(TJA),nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,90,90
SAN LUCAS,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,448,448
SAN MATIAS,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,141,141
SAN MIGUEL DE VELASCO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,180,180
SAN PABLO DE LIPEZ,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,42,42
SAN PEDRO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,189,189
SAN PEDRO DE BUENA VISTA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,287,287
SAN PEDRO DE CURAHUARA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,12,12
SAN PEDRO DE TIQUINA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,16,16
SAN PEDRO(PND),nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,29,29
SAN RAFAEL,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,32,32
SAN RAMON,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,60,60
SAN RAMON,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,147,147
SANTA ANA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,38,38
SANTA CRUZ DE LA SIERRA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,3114,3114
SANTA ROSA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,36,36
SANTA ROSA DEL SARA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,140,140
SANTIAGO DE HUARI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,75,75
SANTIAGO DE MACHACA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,20,20
SANTIVAÑES,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,48,48
SANTUARIO DE QUILLACAS,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,23,23
SAPAHAQUI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,42,42
SENA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,38,38
SICA SICA (VILLA AROMA),nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,127,127
SICAYA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,17,17
SIPE SIPE,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,238,238
SOPACHUY,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,53,53
SORACACHI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,65,65
SORATA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,122,122
SUCRE,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,3492,3492
TACACHI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,8,8
TACACOMA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,42,42
TACOBAMBA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,54,54
TACOPAYA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,103,103
TAHUA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,2,2
TAPACARI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,183,183
TARABUCO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,107,107
TARACO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,5,5
TARATA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,24,24
TARIJA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,815,815
TARVITA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,139,139
TEOPONTE,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,71,71
TIAWANACU,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,37,37
TINGUIPAYA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,192,192
TIPUANI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,45,45
TIQUIPAYA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,304,304
TIRAQUE (CBBA),nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,260,260
TITO YUPANQUI (PARQUIPUJIO),nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,3,3
TOCO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,37,37
TODOS SANTOS,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,14,14
TOLATA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,23,23
TOLEDO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,12,12
TOMAVE,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,184,184
TOMINA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,31,31
TORO TORO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,91,91
TOTORA(CBBA),nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,68,68
TOTORA(ORR),nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,20,20
TRIGAL,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,29,29
TRINIDAD,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,272,272
TUPIZA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,201,201
TURCO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,16,16
UMALA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,24,24
UNCIA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,147,147
URIONDO (A. CONCEPCION),nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,57,57
URUBICHA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,322,322
UYUNI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,82,82
VACAS,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,83,83
VALLEGRANDE,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,97,97
VIACHA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,170,170
VILA VILA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,25,25
VILLA MONTES,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,114,114
VILLA NUEVA (LOMA ALTA),nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,10,10
VILLA RIVERO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,15,15
VILLA SERRANO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,234,234
VILLA TUNARI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,343,343
VILLA VACA GUZMAN (MUYUPAMPA),nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,77,77
VILLAZON,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,200,200
VINTO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,128,128
VITICHI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,56,56
WALDO BALLIVIAN,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,15,15
WARNES,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,477,477
YACO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,18,18
YACUIBA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,368,368
YAMPARAEZ,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,82,82
YANACACHI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,20,20
YAPACANI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,276,276
YOCALLA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,26,26
YOTALA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,46,46
YUNCHARA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,14,14
ZUDAÑEZ,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-06-01,43,43
ACACIO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-07-01,52,52
ACHACACHI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-07-01,256,256
ACHOCALLA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-07-01,19,19
AIQUILE,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-07-01,169,169
ALALAY,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-07-01,28,28
ALCALA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-07-01,6,6
ANCORAIMES,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-07-01,75,75
ANDAMARCA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-07-01,12,12
ANTEQUERA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-07-01,9,9
ANZALDO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-07-01,22,22
APOLO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-07-01,49,49
ARAMPAMPA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-07-01,48,48
ARANI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-07-01,26,26
ARBIETO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-07-01,98,98
ARQUE,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-07-01,44,44
ASCENCION DE GUARAYOS,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-07-01,8,8
ATOCHA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-07-01,26,26
AUCAPATA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-07-01,7,7
AYATA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-07-01,29,29
AYO AYO,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-07-01,34,34
AYOPAYA (V. DE INDEPENDENCIA),nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-07-01,131,131
AZURDUY,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-07-01,5,5
BATALLAS,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-07-01,82,82
BAURES,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-07-01,10,10
BELEN DE ANDAMARCA,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-07-01,8,8
BELEN DE URMIRI,nutricion y micronutrientes,ninos de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2009-07-01,10,10
