,group,variable,month,SRP DOSIS ÚNICA DENTRO,SRP DOSIS ÚNICA DENTRO,SRP DOSIS ÚNICA FUERA,SRP DOSIS ÚNICA FUERA,TOTALES,TOTALES,TOTALES
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,2,2,0,1,2,3,5
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,4,2,2,1,6,3,9
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,2,5,3,1,5,6,11
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,25,25,4,3,29,28,57
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,103,81,4,4,107,85,192
LA PAZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,510,513,14,16,524,529,1053
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,3,3,2,2,5,5,10
LAJA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,4,7,1,1,5,8,13
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,0,0,3,2,3,2,5
LICOMA PAMPA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,4,3,0,2,4,5,9
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,35,44,42,40,77,84,161
LLICA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,2,1,1,0,3,1,4
LORETO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,1,0,3,5,4,5,9
LURIBAY,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,4,5,3,2,7,7,14
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,0,7,0,0,0,7,7
MACHARETI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,0,1,3,3,3,4,7
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,3,0,0,0,3,0,3
MAIRANA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,12,12,0,0,12,12,24
MAPIRI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,15,15,1,3,16,18,34
MECAPACA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,3,7,1,0,4,7,11
MINEROS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,8,10,2,1,10,11,21
MIZQUE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,9,9,17,18,26,27,53
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,3,4,3,4,6,8,14
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,4,6,3,6,7,12,19
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,21,21,2,2,23,23,46
MONTERO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,151,141,12,11,163,152,315
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,0,2,9,6,9,8,17
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,2,2,3,3,5,5,10
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,0,0,4,4,4,4,8
OCURI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,5,8,7,9,12,17,29
OKINAWA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,8,7,2,3,10,10,20
ORURO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,271,261,14,9,285,270,555
PADCAYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,7,15,3,3,10,18,28
PADILLA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,6,6,0,0,6,6,12
PAILON,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,18,8,16,12,34,20,54
PALCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,4,10,6,3,10,13,23
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,19,14,9,6,28,20,48
PAMPA AULLAGAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,0,1,4,4,4,5,9
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,4,1,0,0,4,1,5
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,3,1,0,1,3,2,5
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,12,12,1,1,13,13,26
PAZÑA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,0,1,3,3,3,4,7
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,3,0,1,1,4,1,5
POCOATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,3,6,12,11,15,17,32
POCONA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,1,4,4,8,5,12,17
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,4,7,1,0,5,7,12
POOPO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,2,1,3,5,5,6,11
PORCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,1,6,1,1,2,7,9
POROMA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,4,1,3,3,7,4,11
PORONGO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,3,6,8,7,11,13,24
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,21,14,0,0,21,14,35
PORVENIR,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,0,4,5,6,5,10,15
POSTRER VALLE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,1,0,0,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,147,165,22,19,169,184,353
PUCARANI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,15,11,8,9,23,20,43
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,6,5,3,4,9,9,18
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,5,2,6,6,11,8,19
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,2,1,1,2,3,3,6
PUERTO PEREZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,2,0,1,1,3,1,4
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,10,11,0,0,10,11,21
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,2,4,3,7,5,11,16
PUERTO SILES,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,1,0,1,0,2,0,2
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,16,15,0,0,16,15,31
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,56,53,9,12,65,65,130
PUNA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,3,8,3,7,6,15,21
PUNATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,23,16,3,2,26,18,44
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,98,92,65,67,163,159,322
QUIME,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,0,4,2,5,2,9,11
QUIRUSILLAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,2,0,1,0,3,0,3
RAVELO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,3,3,6,5,9,8,17
REYES,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,8,10,0,0,8,10,18
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,73,59,42,39,115,98,213
ROBORE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,11,15,5,5,16,20,36
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,3,4,0,3,3,7,10
SABAYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,3,3,0,0,3,3,6
SACABA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,100,98,24,28,124,126,250
SACABAMBA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,0,1,1,1,1,2,3
SACACA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,1,8,3,4,4,12,16
SAIPINA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,1,1,8,3,9,4,13
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,0,3,1,5,1,8,9
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,4,10,1,2,5,12,17
SAN AGUSTIN,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,3,1,0,0,3,1,4
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,7,6,4,5,11,11,22
SAN ANDRES DE MACHACA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,1,1,0,0,1,1,2
SAN ANTONIO DE ESMORUCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,2,0,0,0,2,0,2
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,3,3,2,4,5,7,12
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,4,3,2,5,6,8,14
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,44,39,7,4,51,43,94
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,8,1,3,2,11,3,14
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,12,13,6,6,18,19,37
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,15,18,5,4,20,22,42
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,26,34,5,6,31,40,71
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,1,1,10,20,11,21,32
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,9,10,0,1,9,11,20
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,14,5,0,0,14,5,19
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,15,9,21,18,36,27,63
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,23,17,7,7,30,24,54
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,6,2,7,4,13,6,19
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,31,18,1,4,32,22,54
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,12,9,8,8,20,17,37
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,5,9,2,3,7,12,19
SAN PABLO DE LIPEZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,2,2,0,0,2,2,4
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,0,2,0,0,0,2,2
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,11,12,12,5,23,17,40
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,2,5,0,1,2,6,8
SAN PEDRO DE QUEMES,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,1,1,0,0,1,1,2
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,1,1,0,0,1,1,2
SAN PEDRO(PND),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,1,0,0,1,1,1,2
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,0,1,2,1,2,2,4
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,3,1,1,0,4,1,5
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,7,1,2,1,9,2,11
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,9,7,4,5,13,12,25
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,1032,1003,14,15,1046,1018,2064
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,4,1,1,0,5,1,6
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,8,7,1,2,9,9,18
SANTIAGO DE CALLAPA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,1,0,0,1,1,1,2
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,2,2,0,1,2,3,5
SANTIAGO DE HUATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,1,0,2,2,3,2,5
SANTIAGO DE MACHACA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,2,1,1,1,3,2,5
SANTIVAÑES,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,3,6,1,1,4,7,11
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,0,0,0,3,0,3,3
SAPAHAQUI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,5,2,5,0,10,2,12
SENA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,12,10,4,6,16,16,32
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,19,22,1,2,20,24,44
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,6,4,2,6,8,10,18
SICAYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,0,0,1,1,1,1,2
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,26,27,6,5,32,32,64
SORACACHI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,9,5,1,0,10,5,15
SORATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,6,7,0,3,6,10,16
SUCRE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,320,300,1,4,321,304,625
TACACHI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,2,0,1,0,3,0,3
TACACOMA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,1,1,3,2,4,3,7
TACOBAMBA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,0,5,4,2,4,7,11
TACOPAYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,0,2,0,0,0,2,2
TAHUA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,1,0,1,0,2,0,2
TAPACARI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,19,18,11,14,30,32,62
TARABUCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,2,7,12,6,14,13,27
TARACO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,2,2,0,0,2,2,4
TARATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,4,4,1,2,5,6,11
TARIJA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,166,173,22,19,188,192,380
TARVITA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,4,4,3,7,7,11,18
TEOPONTE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,7,4,4,7,11,11,22
TIAWANACU,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,9,10,0,0,9,10,19
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,7,5,22,11,29,16,45
TIPUANI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,6,9,4,3,10,12,22
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,27,37,8,7,35,44,79
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,2,2,11,10,13,12,25
TOCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,3,3,0,1,3,4,7
TOLATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,4,1,1,0,5,1,6
TOLEDO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,3,4,0,1,3,5,8
TOMAVE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,4,0,7,7,11,7,18
TOMINA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,6,6,6,5,12,11,23
TORO TORO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,8,8,9,3,17,11,28
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,3,6,1,4,4,10,14
TOTORA(ORR),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,4,3,0,1,4,4,8
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,108,91,19,11,127,102,229
TUPIZA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,13,12,4,4,17,16,33
UMALA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,1,2,2,1,3,3,6
UNCIA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,14,15,14,15,28,30,58
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,7,10,3,5,10,15,25
URUBICHA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,3,5,0,0,3,5,8
UYUNI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,18,31,6,4,24,35,59
VACAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,2,6,4,4,6,10,16
VALLEGRANDE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,10,12,0,0,10,12,22
VIACHA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,48,49,11,14,59,63,122
VILA VILA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,0,1,1,1,1,2,3
VILLA CHARCAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,7,14,1,6,8,20,28
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,46,33,10,6,56,39,95
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,1,2,8,4,9,6,15
VILLA RIVERO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,5,5,3,1,8,6,14
VILLA SERRANO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,2,6,3,4,5,10,15
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,51,46,19,12,70,58,128
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,2,4,0,0,2,4,6
VILLAZON,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,28,27,3,3,31,30,61
VINTO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,29,41,22,19,51,60,111
VITICHI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,3,0,3,3,6,3,9
WALDO BALLIVIAN,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,0,0,1,2,1,2,3
WARNES,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,63,47,2,2,65,49,114
YACO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,0,4,0,4,0,8,8
YACUIBA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,89,77,27,24,116,101,217
YAMPARAEZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,3,2,5,4,8,6,14
YANACACHI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,5,4,2,1,7,5,12
YAPACANI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,23,25,10,9,33,34,67
YOCALLA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,5,4,4,6,9,10,19
YOTALA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,3,3,0,1,3,4,7
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,1,2,4,1,5,3,8
YUNGUYO DE LITORAL,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,0,1,0,0,0,1,1
ZUDAÑEZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-06-01,0,0,4,2,4,2,6
ACACIO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-07-01,0,0,3,1,3,1,4
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-07-01,9,13,5,1,14,14,28
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-07-01,4,6,11,13,15,19,34
AIQUILE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-07-01,10,10,0,0,10,10,20
ALCALA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-07-01,0,4,3,0,3,4,7
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-07-01,6,14,2,2,8,16,24
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-07-01,4,5,3,0,7,5,12
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-07-01,2,1,0,0,2,1,3
ANZALDO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-07-01,1,0,2,0,3,0,3
APOLO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-07-01,1,3,3,0,4,3,7
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-07-01,0,0,6,10,6,10,16
ARANI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-07-01,2,6,0,2,2,8,10
ARBIETO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-07-01,13,15,2,1,15,16,31
ARQUE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-07-01,10,5,2,2,12,7,19
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-07-01,33,21,2,0,35,21,56
ATOCHA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-07-01,10,6,4,2,14,8,22
AUCAPATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-07-01,1,3,2,2,3,5,8
AYATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-07-01,2,3,4,0,6,3,9
AYO AYO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-07-01,6,1,4,3,10,4,14
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-07-01,11,8,12,16,23,24,47
AZURDUY,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-07-01,3,3,1,4,4,7,11
BATALLAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-07-01,3,5,2,0,5,5,10
BAURES,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-07-01,3,1,0,2,3,3,6
BERMEJO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-07-01,37,23,7,7,44,30,74
BETANZOS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-07-01,9,10,4,5,13,15,28
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-07-01,0,1,1,1,1,2,3
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-07-01,2,2,1,0,3,2,5
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-07-01,3,3,0,3,3,6,9
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-07-01,5,3,4,4,9,7,16
CABEZAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-07-01,6,8,24,18,30,26,56
CAIROMA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-07-01,4,5,3,2,7,7,14
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-07-01,2,2,7,7,9,9,18
CAJUATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-07-01,4,2,0,2,4,4,8
CALACOTO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-07-01,0,1,2,1,2,2,4
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-07-01,5,2,2,0,7,2,9
CAMARGO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-07-01,13,11,6,2,19,13,32
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-07-01,1,0,1,1,2,1,3
CAMIRI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-07-01,17,25,0,1,17,26,43
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-07-01,11,6,3,3,14,9,23
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-07-01,4,2,0,0,4,2,6
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-07-01,9,5,7,6,16,11,27
CARANAVI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-07-01,36,33,9,6,45,39,84
CARAPARI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-07-01,3,3,11,9,14,12,26
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-07-01,0,2,1,1,1,3,4
CATACORA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-07-01,0,2,0,0,0,2,2
CHACARILLA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-07-01,1,0,0,1,1,1,2
