,group,variable,month,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS < A 1 AÑO - D,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS < A 1 AÑO - D,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS < A 1 AÑO - F,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS < A 1 AÑO - F,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 12 A 23 MESES - D,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 12 A 23 MESES - D,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 12 A 23 MESES - F,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 12 A 23 MESES - F,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 2 AÑOS - D,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 2 AÑOS - D,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 2 AÑOS - F,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 2 AÑOS - F,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 3 AÑOS - D,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 3 AÑOS - D,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 3 AÑOS - F,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 3 AÑOS - F,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 4 AÑOS - D,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 4 AÑOS - D,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 4 AÑOS - F,INFLUENZA ESTACIONAL (7 A 11 M) 2DA DOSIS 4 AÑOS - F,TOTALES,TOTALES,TOTALES
TACOPAYA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-07-01,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
TAPACARI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-07-01,4,4,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,16
TARABUCO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-07-01,2,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,10
TARATA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-07-01,2,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,10
TARIJA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-07-01,85,79,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,87,177
TARVITA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-07-01,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
TEOPONTE,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-07-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
TIAHUANACU,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-07-01,5,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,13
TINGUIPAYA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-07-01,2,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,13
TIPUANI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-07-01,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6
TIQUIPAYA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-07-01,16,23,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,31,53
TIRAQUE (CBBA),vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-07-01,4,4,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,22
TOCO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-07-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
TOLATA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-07-01,3,1,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,12
TOLEDO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-07-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
TOMAVE,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-07-01,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
TOMINA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-07-01,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
TORO TORO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-07-01,2,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,14
TOTORA(CBBA),vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-07-01,4,15,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,21,34
TOTORA(ORR),vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-07-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
TRIGAL,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-07-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
TRINIDAD,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-07-01,57,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,48,105
TUPIZA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-07-01,27,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,30,57
TURCO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-07-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
UNCIA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-07-01,7,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,18
URIONDO (A. CONCEPCION),vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-07-01,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,15
URUBICHA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-07-01,6,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,16
UYUNI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-07-01,13,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,18,32
VACAS,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-07-01,7,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,15
VALLEGRANDE,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-07-01,11,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,19,30
VIACHA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-07-01,8,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,15
VILA VILA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-07-01,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5
VILLA CHARCAS,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-07-01,7,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,18
VILLA MONTES,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-07-01,16,20,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,24,44
VILLA NUEVA (LOMA ALTA),vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-07-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
VILLA RIVERO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-07-01,6,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,12
VILLA SERRANO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-07-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
VILLA TUNARI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-07-01,62,59,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,75,147
VILLA VACA GUZMAN (MUYUPAMPA),vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-07-01,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,7
VILLAZON,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-07-01,26,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,21,47
VINTO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-07-01,54,51,14,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,79,147
VITICHI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-07-01,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5
WALDO BALLIVIAN,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-07-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
WARNES,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-07-01,62,82,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,84,146
YACO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-07-01,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6
YACUIBA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-07-01,31,25,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,30,68
YAMPARAEZ,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-07-01,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,10
YANACACHI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-07-01,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
YAPACANI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-07-01,13,8,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,13,31
YOCALLA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-07-01,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,11
YOTALA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-07-01,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6
YUNCHARA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-07-01,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6
ZUDAÑEZ,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-07-01,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8
ACHACACHI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,11
ACHOCALLA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16,23
AIQUILE,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,10,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,23
ALTO BENI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,3,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,12
ANDAMARCA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
ANZALDO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
APOLO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7
ARAMPAMPA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
ARQUE,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,2,0,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,18
ASCENCION DE GUARAYOS,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,1,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,9
ATOCHA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8
AUCAPATA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
AYOPAYA (V. DE INDEPENDENCIA),vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,4,5,19,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,14,37
BATALLAS,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9
BAURES,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
BELLA FLOR,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,1,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,9
BERMEJO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,7,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,16
BETANZOS,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,11,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,23
BOLIVAR,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
BOYUIBE,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
BUENA VISTA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,11
CABEZAS,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,8
"CAIZA ""D""",vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,5,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,12
CAJUATA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,10
CALAMARCA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
CAMARGO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
CAMIRI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,4,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,13
CAPINOTA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,7,7,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,24
CAQUIAVIRI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
CARACOLLO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,3,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,11
CARANAVI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,18,13,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,18,41
CARAPARI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
CARIPUYO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
CARMEN RIVERO TORREZ,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,4,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,13
CHALLAPATA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,8,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,17
CHAQUI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
CHARAGUA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
CHAYANTA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
CHIMORE,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,9,6,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,12,37
CHIPAYA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
CHUA COCANI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CHULUMANI (V. DE LA LIBERTAD),vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8
CHUQUIHUTA AYLLU JUCUMANI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
CKOCHAS,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,4,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,13
CLIZA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7
COBIJA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,31,24,18,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,39,88
COCHABAMBA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,224,248,20,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,272,516
COLCAPIRHUA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,17,12,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,14,34
"COLCHA ""K""",vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9
COLOMI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,17,14,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,19,49
COLPA BELGICA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5
COLQUECHACA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
COLQUENCHA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
COLQUIRI,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9
COMANCHE,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
COMARAPA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,9
CONCEPCION,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,14,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,26
COPACABANA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
CORIPATA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,7
CORO CORO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
COROICO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6
CORQUE,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
COTAGAITA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
COTOCA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,27,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,35,62
CUATRO CAÑADAS,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,19,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,13,32
CULPINA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7
CURAHUARA DE CARANGAS,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
DESAGUADERO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
EL ALTO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,195,169,59,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,216,470
EL PUENTE(STC),vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,12
EL PUENTE(TJA),vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6
EL TORNO,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,25,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,14,39
EL VILLAR,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
ENTRE RIOS TRJ,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,11
ENTRE RIOS CBBA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,4,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,15
ESCOMA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
ESMERALDA,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
EUCALIPTUS,vacunacion en menores  de 5 anos,influenza estacional (7 a 11 m) 2da dosis,2024-08-01,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
