,group,variable,month,ANTIAMARILICA DOSIS UNICA < A 1 AÑO - D,ANTIAMARILICA DOSIS UNICA < A 1 AÑO - D,ANTIAMARILICA DOSIS UNICA < A 1 AÑO - F,ANTIAMARILICA DOSIS UNICA < A 1 AÑO - F,ANTIAMARILICA DOSIS UNICA 12 A 23 MESES - D,ANTIAMARILICA DOSIS UNICA 12 A 23 MESES - D,ANTIAMARILICA DOSIS UNICA 12 A 23 MESES - F,ANTIAMARILICA DOSIS UNICA 12 A 23 MESES - F,ANTIAMARILICA DOSIS UNICA 2 AÑOS - D,ANTIAMARILICA DOSIS UNICA 2 AÑOS - D,ANTIAMARILICA DOSIS UNICA 2 AÑOS - F,ANTIAMARILICA DOSIS UNICA 2 AÑOS - F,ANTIAMARILICA DOSIS UNICA 3 AÑOS - D,ANTIAMARILICA DOSIS UNICA 3 AÑOS - D,ANTIAMARILICA DOSIS UNICA 3 AÑOS - F,ANTIAMARILICA DOSIS UNICA 3 AÑOS - F,ANTIAMARILICA DOSIS UNICA 4 AÑOS - D,ANTIAMARILICA DOSIS UNICA 4 AÑOS - D,ANTIAMARILICA DOSIS UNICA 4 AÑOS - F,ANTIAMARILICA DOSIS UNICA 4 AÑOS - F,TOTALES,TOTALES,TOTALES
CHUA COCANI,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
CHULUMANI (V. DE LA LIBERTAD),vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,7,8,2,2,1,0,0,0,0,0,0,0,0,0,1,0,11,10,21
CHUMA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,1,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,3,7,10
CHUQUIHUTA AYLLU JUCUMANI,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,9
CKOCHAS,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,3,3,2,0,0,0,0,0,0,0,1,0,0,0,0,3,6,9
CLIZA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,10,8,5,5,0,0,0,0,0,0,0,0,0,0,1,0,16,13,29
COBIJA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,18,17,14,12,1,1,0,2,0,0,0,1,0,0,0,0,33,33,66
COCAPATA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,10,10,9,7,1,0,0,1,0,0,0,0,0,0,0,0,20,18,38
COCHABAMBA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,384,363,34,44,17,16,11,15,6,5,17,7,6,6,11,13,486,469,955
COIPASA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
COLCAPIRHUA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,24,21,3,5,1,2,0,0,1,0,0,0,0,0,0,0,29,28,57
"COLCHA ""K""",vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,9,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,12,6,18
COLOMI,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,3,12,2,1,0,1,0,0,0,0,0,0,1,1,1,1,7,16,23
COLPA BELGICA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,3,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,7,8,15
COLQUECHACA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,9,7,2,1,1,0,0,0,0,0,1,0,0,0,0,0,13,8,21
COLQUENCHA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,5,3,6,4,0,0,0,0,0,0,0,0,0,0,0,0,11,7,18
COLQUIRI,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,3,2,7,3,1,0,1,1,1,0,0,0,0,0,0,1,13,7,20
COMANCHE,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
COMARAPA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,12,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,13,14,27
CONCEPCION,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,39,42,5,5,1,0,1,1,0,0,0,0,0,0,0,0,46,48,94
COPACABANA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5
CORIPATA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,10,13,3,1,0,0,0,0,0,0,0,0,0,0,0,0,13,14,27
CORO CORO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
COROICO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,8,10,3,4,1,0,0,0,0,0,0,0,0,0,0,1,12,15,27
CORQUE,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,13
COTAGAITA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,6,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,15,21
COTOCA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,76,61,23,25,3,2,2,3,0,0,2,1,1,2,0,0,107,94,201
CUATRO CAÑADAS,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,25,24,25,37,0,0,1,1,0,0,1,0,0,0,0,1,52,63,115
CUEVO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,3,2,5
CULPINA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,11,7,2,4,0,0,0,0,0,0,0,0,0,0,0,0,13,11,24
CURAHUARA DE CARANGAS,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
CURVA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8
DESAGUADERO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6
EL ALTO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,362,322,130,106,22,20,4,5,10,11,4,2,9,7,3,1,544,474,1018
EL CHORO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5
EL PUENTE(STC),vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,3,9,7,5,0,0,0,0,0,0,0,0,0,0,0,0,10,14,24
EL PUENTE(TJA),vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,1,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8
EL TORNO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,41,56,12,11,0,0,1,0,0,2,0,0,0,0,0,0,54,69,123
EL VILLAR,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
ENTRE RIOS TRJ,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,14,7,3,1,2,0,1,0,0,0,0,0,0,0,0,0,20,8,28
ENTRE RIOS CBBA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,35,32,9,15,0,1,3,4,0,1,2,0,0,0,0,2,49,55,104
ESCARA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ESCOMA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
ESMERALDA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
EUCALIPTUS,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
EXALTACION,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5
FERNANDEZ ALONSO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,1,4,9,5,0,0,0,0,0,0,0,0,0,0,0,0,10,9,19
FILADELFIA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,10
GAIOC JATUN AYLLU YURA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8
GENERAL SAAVEDRA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,16,8,5,1,1,0,0,0,0,0,0,0,0,0,0,0,22,9,31
GRAL. J.J. PEREZ (CHARAZANI),vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,12
GUANAY,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,4,3,13,7,0,0,0,0,0,0,1,0,0,0,0,0,18,10,28
GUAQUI,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,6,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,15
GUAYARAMERIN,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,32,23,11,15,2,2,6,5,2,1,2,0,0,0,0,0,55,46,101
GUTIERREZ,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,3,8,9,11,0,0,0,0,0,0,0,0,0,0,0,0,12,19,31
HUACARAJE,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,3
HUACARETA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,1,5
HUACAYA (VILLA DE HUACAYA),vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
HUANUNI,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,6,6,6,10,0,0,0,0,0,0,0,0,0,0,0,0,12,16,28
HUARINA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
HUATAJATA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,5,1,6
HUAYLLAMARCA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
HUMANATA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ICHOCA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
ICLA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6
INCAHUASI,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,2,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,7,9,16
INGAVI (HUMAITA),vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
INQUISIVI,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,4,2,6
IRUPANA (VILLA DE LANZA),vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,5,9,3,6,0,0,1,1,0,2,0,1,0,0,1,0,10,19,29
IXIAMAS,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,1,5,1,5,0,0,0,0,0,0,1,0,0,0,0,0,3,10,13
JESUS DE MACHACA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,4,4,2,2,0,0,0,0,0,0,1,0,1,0,0,0,8,6,14
LA ASUNTA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,38,34,3,1,0,1,0,0,1,0,0,0,0,1,0,0,42,37,79
LA GUARDIA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,99,69,13,10,3,1,1,2,3,3,0,1,0,0,2,0,121,86,207
LA PAZ,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,371,341,5,3,22,21,2,2,9,3,3,0,5,7,2,0,419,377,796
LAGUNILLAS,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,2,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8
LAJA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,12,8,8,3,1,1,0,2,0,0,0,1,2,2,0,0,23,17,40
LAS CARRERAS,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
LLALLAGUA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,13,19,28,32,0,0,1,0,0,0,2,1,0,0,1,0,45,52,97
LLICA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
LORETO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,3,4,7
LURIBAY,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,12
MACHACAMARCA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,11
MACHARETI,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
MAGDALENA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10
MALLA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
MAPIRI,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,12,7,6,2,1,0,1,0,0,0,0,0,1,0,0,0,21,9,30
MECAPACA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
MINEROS,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,17,20,2,2,0,0,0,0,1,0,0,0,0,0,0,0,20,22,42
MIZQUE,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,17,9,3,1,0,0,2,0,0,0,0,0,0,1,0,0,22,11,33
MOCOMOCO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,4,10
MOJOCOYA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
MONTEAGUDO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,12,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,13,16,29
MONTERO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,76,87,4,4,0,2,0,0,1,1,0,1,0,0,0,0,81,95,176
MORO MORO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
MOROCHATA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,2,7,0,0,0,0,0,1,0,0,0,0,0,0,2,8,10
NACEBE (SANTA ROSA DEL ABUNA),vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5
NUEVO MANOA (NUEVA ESPERANZA),vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,6
OCURI,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,4,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,7,4,11
OKINAWA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,7,18,4,3,1,0,0,0,0,0,0,1,0,0,0,0,12,22,34
OMEREQUE,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6
ORURO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,231,234,54,61,7,8,17,16,7,5,15,10,2,4,9,7,342,345,687
PADCAYA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,7,6,3,0,0,0,0,0,1,0,0,0,0,0,0,0,11,6,17
PADILLA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
PAILON,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,31,25,22,26,0,0,8,4,0,0,0,1,0,0,0,1,61,57,118
PALCA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,8,5,13,10,0,0,0,0,0,0,0,0,0,2,0,0,21,17,38
PALOS BLANCOS,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,11,8,9,5,0,0,0,0,0,0,0,0,0,0,0,0,20,13,33
PAMPA AULLAGAS,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
PAMPA GRANDE,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,3,7,4,2,0,0,1,1,0,0,1,0,0,0,0,0,9,10,19
PAPEL PAMPA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
PASORAPA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
PATACAMAYA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,17,20,4,3,0,0,0,0,0,0,0,0,0,0,0,0,21,23,44
PAZÑA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,2,6,8
PELECHUCO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,9
POCOATA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,4,2,7,8,0,0,0,1,0,0,1,0,0,0,0,0,12,11,23
POCONA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,8,6,6,2,0,0,0,0,0,0,0,0,0,0,0,0,14,8,22
POJO (CBBA),vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,4,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,12,2,14
POOPO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,1,1,8,4,0,0,0,0,0,1,0,0,0,0,0,0,9,6,15
PORCO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,13,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,16,7,23
POROMA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,7,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,9,7,16
PORONGO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,2,2,9,4,0,0,0,1,0,0,1,0,0,0,0,0,12,7,19
PORTACHUELO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,18,5,1,2,1,0,0,0,0,0,0,0,0,0,0,0,20,7,27
PORVENIR,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,1,5,4,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10
POTOSI,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,208,208,19,23,9,4,0,1,3,1,1,0,3,1,0,13,243,251,494
PRESTO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,2,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,5,7,12
PUCARANI,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,16,11,7,7,0,1,0,0,0,0,0,0,0,0,0,0,23,19,42
PUERTO ACOSTA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,1,4,8,3,0,0,0,0,0,0,0,0,0,0,0,0,9,7,16
PUERTO CARABUCO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,3,7,10
PUERTO GONZALO MORENO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,5,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,9,4,13
PUERTO PEREZ,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
PUERTO RICO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,3,0,3,4,0,0,0,0,0,0,0,1,0,0,0,1,6,6,12
PUERTO SILES,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
PUERTO VILLARROEL,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,59,55,9,5,2,2,1,0,1,2,3,0,1,1,3,1,79,66,145
PUNA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,5,3,8,3,0,0,0,0,0,0,0,0,0,0,0,0,13,6,19
PUNATA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,17,22,9,14,1,0,0,1,1,0,0,1,0,0,0,0,28,38,66
QUIABAYA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
QUILLACOLLO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,75,66,56,64,3,2,4,1,2,0,2,2,0,0,0,0,142,135,277
QUIME,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
RAQAYPAMPA(ETA),vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,4,2,5,1,0,0,0,0,1,0,0,0,0,0,0,0,10,3,13
RAVELO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,2,0,4,5,0,1,0,1,0,0,0,0,0,0,0,1,6,8,14
REYES,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,7,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,5,12
RIBERALTA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,50,56,15,14,2,3,1,1,0,0,2,0,0,1,1,0,71,75,146
ROBORE,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,15,13,7,8,0,0,1,0,0,0,0,0,0,0,0,0,23,21,44
RURRENABAQUE,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,22,19,6,5,1,0,0,0,0,0,0,0,0,0,0,0,29,24,53
SABAYA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
SACABA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,96,107,39,29,3,4,0,1,3,2,1,0,1,2,2,1,145,146,291
SACABAMBA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SACACA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,6,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,8,8,16
SAIPINA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-07-01,0,0,0,0,5,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,6,4,10
