,group,variable,month,ANTIPOLIOMELITICA 2DA DOSIS < A 1 AÑO - D,ANTIPOLIOMELITICA 2DA DOSIS < A 1 AÑO - D,ANTIPOLIOMELITICA 2DA DOSIS < A 1 AÑO - F,ANTIPOLIOMELITICA 2DA DOSIS < A 1 AÑO - F,ANTIPOLIOMELITICA 2DA DOSIS 12 A 23 MESES - D,ANTIPOLIOMELITICA 2DA DOSIS 12 A 23 MESES - D,ANTIPOLIOMELITICA 2DA DOSIS 12 A 23 MESES - F,ANTIPOLIOMELITICA 2DA DOSIS 12 A 23 MESES - F,ANTIPOLIOMELITICA 2DA DOSIS 2 AÑOS - D,ANTIPOLIOMELITICA 2DA DOSIS 2 AÑOS - D,ANTIPOLIOMELITICA 2DA DOSIS 2 AÑOS - F,ANTIPOLIOMELITICA 2DA DOSIS 2 AÑOS - F,ANTIPOLIOMELITICA 2DA DOSIS 3 AÑOS - D,ANTIPOLIOMELITICA 2DA DOSIS 3 AÑOS - D,ANTIPOLIOMELITICA 2DA DOSIS 3 AÑOS - F,ANTIPOLIOMELITICA 2DA DOSIS 3 AÑOS - F,ANTIPOLIOMELITICA 2DA DOSIS 4 AÑOS - D,ANTIPOLIOMELITICA 2DA DOSIS 4 AÑOS - D,ANTIPOLIOMELITICA 2DA DOSIS 4 AÑOS - F,ANTIPOLIOMELITICA 2DA DOSIS 4 AÑOS - F,TOTALES,TOTALES,TOTALES
COLQUECHACA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,12,9,3,6,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,18,15,33
COLQUENCHA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,7
COLQUIRI,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,5,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,15
COMANCHE,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
COMARAPA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,15
COMBAYA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
CONCEPCION,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,12,9,4,9,0,0,2,2,0,0,0,1,0,0,1,0,0,0,0,0,19,21,40
CORIPATA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,17
CORO CORO,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,12
COROICO,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,7,8,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,20
CORQUE,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,6,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,12
COTAGAITA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,6,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,17
COTOCA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,65,60,4,11,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,71,73,144
CUATRO CAÑADAS,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,6,7,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,9,9,18
CUCHUMUELA (V. G. VILLARROEL),vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CUEVO,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9
CULPINA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,11,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,19
CURAHUARA DE CARANGAS,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
CURVA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
DESAGUADERO,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
EL ALTO,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,360,331,122,141,6,11,6,8,6,4,3,4,1,1,4,3,1,2,5,8,514,513,1027
EL CHORO,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
EL PUENTE(STC),vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,5,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,15
EL PUENTE(TJA),vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,7
EL TORNO,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,29,36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,36,66
EL VILLAR,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
ENTRE RIOS TRJ,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,9,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,17
ENTRE RIOS CBBA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,28,34,6,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,39,73
ESCOMA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
EUCALIPTUS,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
EXALTACION,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,1,2,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,5,8
FERNANDEZ ALONSO,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,10
FILADELFIA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
GAIOC JATUN AYLLU YURA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,6
GENERAL SAAVEDRA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,10,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,22
GIA-TIM,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5
GRAL. J.J. PEREZ (CHARAZANI),vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,5,4,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,14
GUANAY,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,8,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,17
GUAQUI,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,7
GUAYARAMERIN,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,28,27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,28,57
GUTIERREZ,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,3,4,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,18
HUACARAJE,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
HUACARETA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5
HUACAYA (VILLA DE HUACAYA),vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
HUANUNI,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,3,3,7,4,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,13,8,21
HUARINA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
HUATAJATA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
HUAYLLAMARCA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5
HUMANATA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,8
ICHOCA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,7
ICLA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6
INCAHUASI,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,6,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,21
INGAVI (HUMAITA),vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
INQUISIVI,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,4,6,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,21
IRUPANA (VILLA DE LANZA),vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,9,11,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,13,24
IXIAMAS,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,5,7,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,15
JESUS DE MACHACA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,13
LA ASUNTA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,33,29,1,0,2,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,38,31,69
LA GUARDIA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,97,104,9,1,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,110,108,218
LA PAZ,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,351,326,2,2,3,3,0,2,5,3,0,0,0,0,1,0,0,5,8,12,370,353,723
LAGUNILLAS,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,2,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,9
LAJA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,5,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,19
LAS CARRERAS,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
LICOMA PAMPA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,5
LLALLAGUA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,15,7,22,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,37,74
LLICA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
LORETO,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
LURIBAY,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8
MACHACAMARCA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6
MACHARETI,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,8
MAGDALENA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,1,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,11
MAIRANA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,10,7,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,21
MALLA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
MAPIRI,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,17,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,11,29
MECAPACA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9
MINEROS,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,9,18,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,21,33
MIZQUE,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,15,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,6,25
MOCOMOCO,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
MOJOCOYA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6
MONTEAGUDO,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,22
MONTERO,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,104,93,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,106,100,206
MORO MORO,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
MOROCHATA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8
NACEBE (SANTA ROSA DEL ABUNA),vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
NUEVO MANOA (NUEVA ESPERANZA),vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
OCURI,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,5,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,16
OKINAWA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,10,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,19
OMEREQUE,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
ORURO,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,187,201,9,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,197,208,405
PADCAYA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,9,7,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,20
PADILLA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7
PAILON,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,20,12,3,5,2,2,2,0,0,0,1,0,0,0,0,0,0,0,2,0,30,19,49
PALCA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,8,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,19
PALOS BLANCOS,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,12,14,5,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,20,39
PAMPA AULLAGAS,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
PAMPA GRANDE,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
PAPEL PAMPA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
PATACAMAYA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,11,9,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,25
PAZÑA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,9
PELECHUCO,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6
POCOATA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,5,4,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,20
POCONA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
POJO (CBBA),vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,2,6,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,9,11
POOPO,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,3,2,4,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,16
PORCO,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,8,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,19
POROMA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,5,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,13
PORONGO,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9
PORTACHUELO,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,13,12,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,14,27
PORVENIR,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,2,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,11
POSTRER VALLE,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
POTOSI,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,140,124,19,13,6,1,1,2,0,0,1,0,1,2,1,0,0,2,0,0,169,144,313
PRESTO,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
PUCARANI,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,12,11,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14,29
PUERTO ACOSTA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,3,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,12
PUERTO CARABUCO,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,10
PUERTO GONZALO MORENO,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
PUERTO PEREZ,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
PUERTO QUIJARRO,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,9,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,10,20
PUERTO RICO,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,1,2,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,3,9
PUERTO SUAREZ,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,14,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,17,31
PUERTO VILLARROEL,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,38,52,4,13,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,45,66,111
PUNA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,0,4,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,11
PUNATA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,11,15,12,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,29,52
QUIABAYA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
QUILLACOLLO,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,49,56,42,50,1,0,2,1,0,0,2,0,3,0,0,0,0,0,0,0,99,107,206
QUIME,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,8,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,12
RAQAYPAMPA(ETA),vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6
RAVELO,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,1,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,13
REYES,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,8,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,18
RIBERALTA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,86,82,7,10,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,94,94,188
ROBORE,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,8,8,3,2,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,13,12,25
RURRENABAQUE,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,10,15,3,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,20,34
SABAYA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
SACABA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,81,72,16,22,0,0,3,1,1,1,1,0,0,2,1,1,0,0,0,0,103,99,202
SACABAMBA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
SACACA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,5,3,7,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,10,23
SAIPINA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
SALINAS DE GARCI MENDOZA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9
SAMAIPATA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10
SAN AGUSTIN,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
SAN ANDRES,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,2,7,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,12
SAN ANDRES DE MACHACA,vacunacion en menores  de 5 anos,antipoliomelitica 2da dosis,2024-06-01,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
