,group,variable,month,ANTIROTAVIRICA 2DA DOSIS < A 1 AÑO - D,ANTIROTAVIRICA 2DA DOSIS < A 1 AÑO - D,ANTIROTAVIRICA 2DA DOSIS < A 1 AÑO - F,ANTIROTAVIRICA 2DA DOSIS < A 1 AÑO - F,ANTIROTAVIRICA 2DA DOSIS 12 A 23 MESES - D,ANTIROTAVIRICA 2DA DOSIS 12 A 23 MESES - D,ANTIROTAVIRICA 2DA DOSIS 12 A 23 MESES - F,ANTIROTAVIRICA 2DA DOSIS 12 A 23 MESES - F,ANTIROTAVIRICA 2DA DOSIS 2 AÑOS - D,ANTIROTAVIRICA 2DA DOSIS 2 AÑOS - D,ANTIROTAVIRICA 2DA DOSIS 2 AÑOS - F,ANTIROTAVIRICA 2DA DOSIS 2 AÑOS - F,ANTIROTAVIRICA 2DA DOSIS 3 AÑOS - D,ANTIROTAVIRICA 2DA DOSIS 3 AÑOS - D,ANTIROTAVIRICA 2DA DOSIS 3 AÑOS - F,ANTIROTAVIRICA 2DA DOSIS 3 AÑOS - F,ANTIROTAVIRICA 2DA DOSIS 4 AÑOS - D,ANTIROTAVIRICA 2DA DOSIS 4 AÑOS - D,ANTIROTAVIRICA 2DA DOSIS 4 AÑOS - F,ANTIROTAVIRICA 2DA DOSIS 4 AÑOS - F,TOTALES,TOTALES,TOTALES
TINGUIPAYA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-05-01,3,3,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,23
TIPUANI,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-05-01,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,9
TIQUIPAYA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-05-01,22,26,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,33,58
TIRAQUE (CBBA),vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-05-01,6,8,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,20
TOCO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-05-01,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9
TODOS SANTOS,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-05-01,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
TOLATA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-05-01,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,7
TOLEDO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-05-01,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
TOMAVE,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-05-01,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6
TOMINA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-05-01,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
TORO TORO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-05-01,1,1,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,12
TOTORA(CBBA),vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-05-01,8,9,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,23
TOTORA(ORR),vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-05-01,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
TRINIDAD,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-05-01,64,64,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,67,136
TUPIZA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-05-01,27,23,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,27,56
TURCO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-05-01,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
UMALA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-05-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
UNCIA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-05-01,6,7,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,21
URIONDO (A. CONCEPCION),vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-05-01,8,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,13
URUBICHA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-05-01,6,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,14
UYUNI,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-05-01,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,15,29
VACAS,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-05-01,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
VALLEGRANDE,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-05-01,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,19
VIACHA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-05-01,38,30,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,84
VILA VILA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-05-01,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,7
VILLA CHARCAS,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-05-01,5,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,15
VILLA MONTES,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-05-01,27,25,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,30,63
VILLA NUEVA (LOMA ALTA),vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-05-01,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,7
VILLA RIVERO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-05-01,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,10
VILLA SERRANO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-05-01,3,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,11
VILLA TUNARI,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-05-01,67,60,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,71,139
VILLA VACA GUZMAN (MUYUPAMPA),vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-05-01,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10
VILLAZON,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-05-01,18,14,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,35
VINTO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-05-01,22,19,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,35,66
VITICHI,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-05-01,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6
WALDO BALLIVIAN,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-05-01,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
WARNES,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-05-01,86,90,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,93,181
YACO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-05-01,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
YACUIBA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-05-01,55,39,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,42,104
YAMPARAEZ,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-05-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
YANACACHI,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-05-01,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
YAPACANI,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-05-01,26,19,19,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,39,84
YOCALLA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-05-01,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5
YOTALA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-05-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
YUNCHARA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-05-01,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
ZUDAÑEZ,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-05-01,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,7
ACACIO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
ACHACACHI,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,23,10,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,11,38
ACHOCALLA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,19,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,21,40
AIQUILE,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,6,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,17
ALALAY,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ALTO BENI,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9
ANCORAIMES,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6
ANDAMARCA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
ANTEQUERA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
ANZALDO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
APOLO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,9,8,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,22
ARAMPAMPA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5
ARANI,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10
ARBIETO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,10,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,19
ARQUE,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,6,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,12
ASCENCION DE GUARAYOS,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,28,17,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,19,51
ATOCHA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,5,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,13
AUCAPATA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,11
AYATA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,7
AYO AYO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5
AYOPAYA (V. DE INDEPENDENCIA),vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,15,11,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,13,34
AZURDUY,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,3,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,11
BATALLAS,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,4,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,15
BAURES,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
BELEN DE URMIRI,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
BELLA FLOR,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
BERMEJO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,17,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,24,41
BETANZOS,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,15,8,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,10,28
BOLIVAR,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
BOYUIBE,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,7
BUENA VISTA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,10,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,19
CABEZAS,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,18,17,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,23,43
CAIROMA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,6,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,13
"CAIZA ""D""",vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,3,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,12
CAJUATA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8
CALACOTO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5
CALAMARCA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,11
CAMARGO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8
CAMATAQUI (C. VILLA ABECIA),vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
CAMIRI,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,19,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,11,32
CAPINOTA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,19,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,13,32
CAQUIAVIRI,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,1,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8
CARACOLLO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,13,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,22
CARANAVI,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,28,26,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,31,65
CARAPARI,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,8,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,16
CARIPUYO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,2,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,9
CARMEN RIVERO TORREZ,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,2,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,13
CATACORA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CHACARILLA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CHALLAPATA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,13,14,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,20,36
CHAQUI,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9
CHARAGUA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,4,9,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,17,29
CHARAÑA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
CHAYANTA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,6,14,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16,23
CHIMORE,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,17,9,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,14,36
CHOQUE COTA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
CHUA COCANI,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
CHULUMANI (V. DE LA LIBERTAD),vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,2,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,11
CHUMA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,1,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,10
CHUQUIHUTA AYLLU JUCUMANI,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,7
CKOCHAS,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,7,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,19
CLIZA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,17,18,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,21,41
COBIJA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,25,19,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,35,76
COCAPATA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,8,8,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,30
COCHABAMBA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,373,365,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379,373,752
COLCAPIRHUA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,18,20,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,21,41
"COLCHA ""K""",vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,6,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,13
COLLANA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
COLOMI,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,13,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,24
COLPA BELGICA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,4,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,11
COLQUECHACA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,12,9,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,30
COLQUENCHA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,7
COLQUIRI,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,5,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,15
COMANCHE,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
COMARAPA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,15
COMBAYA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
CONCEPCION,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,12,8,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,17,33
CORIPATA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,17
CORO CORO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,12
COROICO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,7,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,18
CORQUE,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,6,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,12
COTAGAITA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,6,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,17
COTOCA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,66,60,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,71,141
CUATRO CAÑADAS,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,6,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,16
CUCHUMUELA (V. G. VILLARROEL),vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CUEVO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
CULPINA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,11,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,19
CURAHUARA DE CARANGAS,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
CURVA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
DESAGUADERO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
EL ALTO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,360,331,122,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482,472,954
EL CHORO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
EL PUENTE(STC),vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,5,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,15
EL PUENTE(TJA),vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,7
EL TORNO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,29,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,36,65
EL VILLAR,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
ENTRE RIOS TRJ,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,9,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,17
ENTRE RIOS CBBA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,28,34,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,38,72
ESCOMA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
EUCALIPTUS,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-06-01,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
