,group,variable,month,INFLUENZA ESTACIONAL DOSIS UNICA < A 1 AÑO - D,INFLUENZA ESTACIONAL DOSIS UNICA < A 1 AÑO - D,INFLUENZA ESTACIONAL DOSIS UNICA < A 1 AÑO - F,INFLUENZA ESTACIONAL DOSIS UNICA < A 1 AÑO - F,INFLUENZA ESTACIONAL DOSIS UNICA 12 A 23 MESES - D,INFLUENZA ESTACIONAL DOSIS UNICA 12 A 23 MESES - D,INFLUENZA ESTACIONAL DOSIS UNICA 12 A 23 MESES - F,INFLUENZA ESTACIONAL DOSIS UNICA 12 A 23 MESES - F,INFLUENZA ESTACIONAL DOSIS UNICA 2 AÑOS - D,INFLUENZA ESTACIONAL DOSIS UNICA 2 AÑOS - D,INFLUENZA ESTACIONAL DOSIS UNICA 2 AÑOS - F,INFLUENZA ESTACIONAL DOSIS UNICA 2 AÑOS - F,INFLUENZA ESTACIONAL DOSIS UNICA 3 AÑOS - D,INFLUENZA ESTACIONAL DOSIS UNICA 3 AÑOS - D,INFLUENZA ESTACIONAL DOSIS UNICA 3 AÑOS - F,INFLUENZA ESTACIONAL DOSIS UNICA 3 AÑOS - F,INFLUENZA ESTACIONAL DOSIS UNICA 4 AÑOS - D,INFLUENZA ESTACIONAL DOSIS UNICA 4 AÑOS - D,INFLUENZA ESTACIONAL DOSIS UNICA 4 AÑOS - F,INFLUENZA ESTACIONAL DOSIS UNICA 4 AÑOS - F,TOTALES,TOTALES,TOTALES
SAIPINA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8
SALINAS DE GARCI MENDOZA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6
SAMAIPATA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,3,9
SAN AGUSTIN,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6
SAN ANDRES,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,6,3,10,4,0,0,0,0,0,0,0,0,0,0,0,0,16,7,23
SAN ANDRES DE MACHACA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,0,0,8,2,0,0,10,7,0,2,0,0,0,0,2,1,20,12,32
SAN ANTONIO DE ESMORUCO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
SAN ANTONIO DE LOMERIO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
SAN BENITO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,0,0,0,0,2,2,1,2,0,0,0,0,2,0,0,0,5,4,9
SAN BORJA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,39,36,22,13,0,0,0,0,1,0,0,0,0,0,0,0,62,49,111
SAN BUENA VENTURA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,8,6,2,2,0,2,2,0,1,0,0,1,1,1,1,1,15,13,28
SAN CARLOS,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,4,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,6,8,14
SAN IGNACIO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,13,15,5,5,8,4,0,0,2,5,0,0,3,2,0,0,31,31,62
SAN IGNACIO DE VELASCO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,46,49,10,13,11,12,11,16,31,13,25,12,19,23,16,17,169,155,324
SAN JAVIER(BNI),vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,2,10
SAN JAVIER(STC),vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,15,15,0,0,20,14,0,0,0,0,0,0,2,1,0,0,37,30,67
SAN JOAQUIN,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,4,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,8,6,14
SAN JOSE DE CHIQUITOS,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,10,13,28,28,1,2,4,7,0,1,1,2,0,0,3,4,47,57,104
SAN JUAN DE YAPACANI,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,10,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,7,18
SAN JULIAN,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,55,53,8,5,1,3,2,0,0,0,0,0,0,0,0,0,66,61,127
SAN LORENZO(PND),vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,1,1,3,3,0,1,0,0,1,0,0,0,0,0,0,0,5,5,10
SAN LORENZO(TJA),vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,9,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,15,8,23
SAN LUCAS,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,5,7,1,0,4,2,0,0,4,4,0,1,1,1,0,0,15,15,30
SAN MATIAS,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,11,11,2,1,0,0,0,0,0,0,0,0,0,0,0,0,13,12,25
SAN MIGUEL DE VELASCO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,1,0,6,1,1,5,0,0,5,2,0,0,1,1,0,3,14,12,26
SAN PEDRO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,9,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,12,10,22
SAN PEDRO DE BUENA VISTA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,3,5,9,7,0,0,0,0,0,0,0,0,0,0,0,0,12,12,24
SAN PEDRO DE MACHA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,3,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,6,10
SAN PEDRO DE TIQUINA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,4,2,6
SAN RAFAEL,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,10,10,6,2,6,2,10,8,1,1,0,0,0,0,0,0,33,23,56
SAN RAMON BENI,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,1,2,5,6,0,0,0,0,0,0,0,0,0,0,0,0,6,8,14
SAN RAMON SCZ,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,4,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,6,6,12
SANTA ANA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,3,8,2,5,0,0,0,0,0,0,0,0,0,0,0,0,5,13,18
SANTA CRUZ DE LA SIERRA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,1097,1113,87,89,5,1,1,2,5,2,1,0,4,5,4,2,1204,1214,2418
SANTA ROSA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,8
SANTA ROSA DEL SARA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,10,13,4,6,0,0,0,0,0,0,0,0,0,0,0,0,14,19,33
SANTIAGO DE CALLAPA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
SANTIAGO DE HUARI,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
SANTIAGO DE HUATA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
SANTIAGO DE MACHACA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
SANTIVAÑES,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,1,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,9,10
SANTUARIO DE QUILLACAS,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
SAPAHAQUI,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,4,6,2,1,1,0,1,0,0,0,0,0,1,0,1,0,10,7,17
SENA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,10,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,11,22
SHINAOTA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,37,33,7,6,8,13,5,3,4,5,5,4,7,4,11,8,84,76,160
SICA SICA (VILLA AROMA),vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,13,11,5,2,0,0,0,0,0,0,0,0,0,0,0,0,18,13,31
SICAYA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,2,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,6,4,10
SIPE SIPE,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,75,60,37,35,12,26,40,21,13,9,24,21,7,11,26,16,234,199,433
SOPACHUY,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,4,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,6,4,10
SORACACHI,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,1,2,0,0,5,5,10
SORATA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,8,3,6,9,3,1,2,7,2,1,1,0,0,1,1,4,23,26,49
SUCRE,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,175,169,8,6,81,70,15,15,45,32,11,5,39,43,1,4,375,344,719
TACACHI,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,0,1,4,3,0,0,1,0,0,0,0,0,0,0,0,0,5,4,9
TACACOMA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
TACOBAMBA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,3,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8
TACOPAYA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,0,1,3,1,0,2,8,6,0,0,0,0,0,0,1,0,12,10,22
TAPACARI,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,4,3,16,12,0,0,0,0,0,0,0,0,0,0,0,0,20,15,35
TARABUCO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,2,3,1,1,1,2,1,1,1,4,5,3,0,3,0,4,11,21,32
TARACO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,1,2,5,0,0,0,2,1,0,3,1,0,0,2,5,2,14,10,24
TARATA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,5,5,3,6,1,2,3,11,0,0,3,2,1,2,2,1,18,29,47
TARIJA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,144,129,29,22,57,55,35,31,27,35,14,22,45,48,20,19,371,361,732
TARVITA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,1,0,1,2,4,6
TEOPONTE,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5
TIAHUANACU,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,12,8,6,3,7,6,5,4,2,6,3,3,1,7,4,1,40,38,78
TINGUIPAYA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,2,2,3,8,0,0,0,0,0,0,0,0,0,0,0,0,5,10,15
TIPUANI,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,6,5,4,7,0,0,0,0,0,0,0,0,0,0,0,0,10,12,22
TIQUIPAYA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,44,48,25,24,13,20,15,14,10,11,10,7,13,12,11,14,141,150,291
TIRAQUE (CBBA),vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,12,6,7,5,3,5,5,4,0,0,0,0,0,0,0,0,27,20,47
TOCO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2
TOLATA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,1,6,3,4,1,0,2,1,0,4,1,1,1,2,0,1,9,19,28
TOLEDO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10
TOMAVE,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6
TORO TORO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,3,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,7,2,9
TOTORA(CBBA),vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,14,13,6,8,0,0,0,0,0,0,0,0,0,0,0,0,20,21,41
TOTORA(ORR),vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
TRIGAL,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
TRINIDAD,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,89,65,2,1,0,0,0,0,0,0,0,0,0,0,0,0,91,66,157
TUPIZA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,40,38,4,5,6,6,0,0,5,7,0,0,11,8,0,2,66,66,132
UMALA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
UNCIA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,10,5,10,8,0,0,0,0,0,0,0,0,0,0,0,0,20,13,33
URIONDO (A. CONCEPCION),vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,8,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,9,8,17
URUBICHA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,9,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,12,21
UYUNI,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,17,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,18,14,32
VACAS,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,7,2,0,0,2,3,5,7,0,0,0,0,0,0,0,0,14,12,26
VALLEGRANDE,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,15,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,30
VIACHA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,15,14,1,0,0,0,0,0,0,0,0,0,0,2,0,0,16,16,32
VILA VILA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,7,7,14
VILLA CHARCAS,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,8,10,9,3,1,1,5,10,7,0,7,10,1,2,6,9,44,45,89
VILLA MONTES,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,30,16,10,8,20,18,10,13,9,13,5,0,18,12,3,6,105,86,191
VILLA NUEVA (LOMA ALTA),vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
VILLA RIVERO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,6,6,5,3,1,0,0,2,0,0,0,0,0,0,0,0,12,11,23
VILLA SERRANO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,0,2,0,0,3,1,0,0,0,1,0,0,0,2,0,0,3,6,9
VILLA TUNARI,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,87,62,33,28,13,17,19,29,5,13,5,6,5,9,5,9,172,173,345
VILLA VACA GUZMAN (MUYUPAMPA),vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,3,5,0,0,2,3,0,0,1,1,0,1,4,2,0,0,10,12,22
VILLAZON,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,20,24,2,2,12,11,1,6,13,7,1,1,8,7,0,1,57,59,116
VINTO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,53,55,120,89,10,5,114,104,4,7,10,9,9,6,7,14,327,289,616
VITICHI,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
WALDO BALLIVIAN,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
WARNES,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,89,77,10,10,56,68,4,16,46,52,7,11,59,37,10,10,281,281,562
YACO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
YACUIBA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,20,31,19,28,7,4,17,13,3,9,10,15,6,5,11,13,93,118,211
YAMPARAEZ,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,4,1,5
YAPACANI,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,11,11,17,6,0,0,0,0,0,0,0,0,0,0,0,0,28,17,45
YOCALLA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,5,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,11,16
YOTALA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
YUNCHARA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,0,0,3,1,0,1,2,1,2,2,5,4,0,2,3,5,15,16,31
ZUDAÑEZ,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-07-01,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,4,2,6
ACHACACHI,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-08-01,0,0,0,0,13,18,7,15,4,0,3,3,0,0,1,0,0,0,0,0,28,36,64
ACHOCALLA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-08-01,0,0,0,0,13,13,0,1,10,6,0,3,2,5,2,2,3,0,1,4,31,34,65
AIQUILE,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-08-01,0,0,0,0,1,2,1,2,5,4,10,9,0,0,2,1,0,0,0,0,19,18,37
ALTO BENI,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-08-01,0,0,0,0,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8
ANCORAIMES,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-08-01,0,0,0,0,5,5,1,2,0,0,11,12,0,0,5,1,0,0,4,4,26,24,50
ANDAMARCA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-08-01,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
ANTEQUERA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-08-01,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
ANZALDO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-08-01,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2
APOLO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-08-01,0,0,0,0,4,3,0,1,1,0,2,3,1,0,3,3,0,0,1,4,12,14,26
ARAMPAMPA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-08-01,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
ARQUE,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-08-01,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2
ASCENCION DE GUARAYOS,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-08-01,0,0,0,0,2,1,11,12,0,0,0,0,0,0,0,0,0,0,0,0,13,13,26
ATOCHA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-08-01,0,0,0,0,8,11,2,6,0,1,2,2,0,0,0,1,2,0,0,1,14,22,36
AUCAPATA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-08-01,0,0,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,8
AYATA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,2,3,4,7,11
AYOPAYA (V. DE INDEPENDENCIA),vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-08-01,0,0,0,0,7,7,15,9,1,0,0,1,1,0,0,0,0,0,0,0,24,17,41
BATALLAS,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-08-01,0,0,0,0,3,9,4,3,0,0,0,0,0,0,1,0,0,0,0,0,8,12,20
BAURES,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-08-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
BELLA FLOR,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-08-01,0,0,0,0,3,1,0,1,1,0,1,0,1,3,1,0,2,1,2,1,11,7,18
BERMEJO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-08-01,0,0,0,0,8,5,0,0,3,7,1,0,3,4,1,1,1,2,0,3,17,22,39
BETANZOS,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-08-01,0,0,0,0,12,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,12,13,25
BOLIVAR,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-08-01,0,0,0,0,1,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8
BOLPEBRA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-08-01,0,0,0,0,1,0,0,0,0,2,1,2,3,1,1,5,0,0,2,2,8,12,20
BOYUIBE,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-08-01,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
BUENA VISTA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-08-01,0,0,0,0,4,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,5,6,11
CABEZAS,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-08-01,0,0,0,0,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10
CAIROMA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-08-01,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
"CAIZA ""D""",vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-08-01,0,0,0,0,2,4,14,12,0,0,0,1,0,0,0,0,0,0,0,0,16,17,33
CAJUATA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-08-01,0,0,0,0,7,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,9,4,13
CALAMARCA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-08-01,0,0,0,0,5,2,0,0,0,1,2,0,0,0,0,0,0,1,1,1,8,5,13
CAMARGO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,3,0,3
CAMIRI,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-08-01,0,0,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,13
CAPINOTA,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-08-01,0,0,0,0,12,5,1,0,1,4,5,3,0,0,0,0,0,0,0,0,19,12,31
CAQUIAVIRI,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-08-01,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
CARACOLLO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-08-01,0,0,0,0,3,5,9,2,3,2,0,1,0,1,0,0,0,2,0,1,15,14,29
CARANAVI,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-08-01,0,0,0,0,48,33,12,18,2,3,2,3,0,1,2,0,0,0,1,0,67,58,125
CARAPARI,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-08-01,0,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,3,3,6
CARIPUYO,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-08-01,0,0,0,0,0,3,1,0,1,2,4,5,0,0,1,1,0,0,0,0,7,11,18
CARMEN RIVERO TORREZ,vacunacion en menores  de 5 anos,influenza estacional dosis unica,2024-08-01,0,0,0,0,5,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,8,6,14
