,group,variable,month,ANTIPOLIOMELITICA 4TA DOSIS < A 1 AÑO - D,ANTIPOLIOMELITICA 4TA DOSIS < A 1 AÑO - D,ANTIPOLIOMELITICA 4TA DOSIS < A 1 AÑO - F,ANTIPOLIOMELITICA 4TA DOSIS < A 1 AÑO - F,ANTIPOLIOMELITICA 4TA DOSIS 12 A 23 MESES - D,ANTIPOLIOMELITICA 4TA DOSIS 12 A 23 MESES - D,ANTIPOLIOMELITICA 4TA DOSIS 12 A 23 MESES - F,ANTIPOLIOMELITICA 4TA DOSIS 12 A 23 MESES - F,ANTIPOLIOMELITICA 4TA DOSIS 2 AÑOS - D,ANTIPOLIOMELITICA 4TA DOSIS 2 AÑOS - D,ANTIPOLIOMELITICA 4TA DOSIS 2 AÑOS - F,ANTIPOLIOMELITICA 4TA DOSIS 2 AÑOS - F,ANTIPOLIOMELITICA 4TA DOSIS 3 AÑOS - D,ANTIPOLIOMELITICA 4TA DOSIS 3 AÑOS - D,ANTIPOLIOMELITICA 4TA DOSIS 3 AÑOS - F,ANTIPOLIOMELITICA 4TA DOSIS 3 AÑOS - F,ANTIPOLIOMELITICA 4TA DOSIS 4 AÑOS - D,ANTIPOLIOMELITICA 4TA DOSIS 4 AÑOS - D,ANTIPOLIOMELITICA 4TA DOSIS 4 AÑOS - F,ANTIPOLIOMELITICA 4TA DOSIS 4 AÑOS - F,TOTALES,TOTALES,TOTALES
SANTIAGO DE HUATA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-07-01,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,3,5
SANTIAGO DE MACHACA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-07-01,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,2,5
SANTIVAÑES,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-07-01,0,0,0,0,2,4,1,0,0,1,1,0,0,0,0,1,0,0,0,0,4,6,10
SANTUARIO DE QUILLACAS,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-07-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
SAPAHAQUI,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-07-01,0,0,0,0,2,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,4,6,10
SENA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-07-01,0,0,0,0,10,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,9,19
SHINAOTA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-07-01,0,0,0,0,19,21,6,2,2,3,0,1,0,2,1,1,0,0,0,0,28,30,58
SICA SICA (VILLA AROMA),vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-07-01,0,0,0,0,9,6,2,0,0,2,1,1,1,0,2,4,0,0,0,0,15,13,28
SICAYA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-07-01,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2
SIPE SIPE,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-07-01,0,0,0,0,25,19,6,7,3,3,4,1,0,1,0,2,0,0,0,2,38,35,73
SOPACHUY,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-07-01,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5
SORACACHI,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-07-01,0,0,0,0,6,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,10,7,17
SORATA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-07-01,0,0,0,0,3,4,1,2,0,2,0,0,1,1,0,0,0,0,0,0,5,9,14
SUCRE,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-07-01,0,0,0,0,191,204,8,13,8,7,1,1,3,6,0,0,4,3,1,1,216,235,451
TACACHI,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-07-01,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,4
TACACOMA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-07-01,0,0,0,0,2,5,1,0,1,1,0,1,0,1,0,0,0,0,0,0,4,8,12
TACOBAMBA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-07-01,0,0,0,0,4,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,7,7,14
TACOPAYA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-07-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
TAPACARI,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-07-01,0,0,0,0,13,8,9,11,0,0,0,0,0,0,0,0,0,0,0,1,22,20,42
TARABUCO,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-07-01,0,0,0,0,3,5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,7,6,13
TARACO,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-07-01,0,0,0,0,2,1,1,2,0,0,0,0,0,1,0,1,0,1,0,0,3,6,9
TARATA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-07-01,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
TARIJA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-07-01,0,0,0,0,116,77,27,22,11,8,7,9,3,6,6,3,2,2,4,5,176,132,308
TARVITA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-07-01,0,0,0,0,1,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,6,2,8
TEOPONTE,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-07-01,0,0,0,0,1,1,7,3,1,0,0,0,0,0,0,0,0,0,0,0,9,4,13
TIAHUANACU,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-07-01,0,0,0,0,5,7,3,1,0,0,0,1,0,0,4,2,0,0,5,3,17,14,31
TINGUIPAYA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-07-01,0,0,0,0,2,1,5,10,0,0,0,1,0,0,0,0,0,0,0,0,7,12,19
TIPUANI,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-07-01,0,0,0,0,2,3,5,7,0,0,2,0,0,0,0,0,0,0,0,0,9,10,19
TIQUIPAYA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-07-01,0,0,0,0,19,21,6,13,1,4,5,2,0,1,1,1,0,1,0,1,32,44,76
TIRAQUE (CBBA),vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-07-01,0,0,0,0,1,6,7,7,0,0,1,0,0,0,0,0,0,0,0,1,9,14,23
TOCO,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-07-01,0,0,0,0,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8
TOLATA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-07-01,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,3
TOLEDO,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-07-01,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,6
TOMAVE,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-07-01,0,0,0,0,2,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,4,5,9
TOMINA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-07-01,0,0,0,0,1,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,7,9
TORO TORO,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-07-01,0,0,0,0,2,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,6,2,8
TOTORA(CBBA),vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-07-01,0,0,0,0,8,9,6,1,2,1,1,1,0,0,0,0,0,0,1,0,18,12,30
TOTORA(ORR),vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-07-01,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7
TRIGAL,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-07-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
TRINIDAD,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-07-01,0,0,0,0,68,38,3,6,8,3,0,0,1,0,0,0,2,1,0,0,82,48,130
TUPIZA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-07-01,0,0,0,0,28,34,1,2,2,1,0,3,1,1,0,0,2,1,0,0,34,42,76
TURCO,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-07-01,0,0,0,0,4,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,3,7
UMALA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-07-01,0,0,0,0,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,4,1,5
UNCIA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-07-01,0,0,0,0,9,16,6,8,1,0,0,0,0,0,0,0,0,0,0,0,16,24,40
URIONDO (A. CONCEPCION),vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-07-01,0,0,0,0,9,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,10,11,21
URUBICHA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-07-01,0,0,0,0,6,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,8,3,11
UYUNI,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-07-01,0,0,0,0,17,11,1,1,2,2,0,0,1,1,0,0,1,0,0,0,22,15,37
VACAS,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-07-01,0,0,0,0,1,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,5,8
VALLEGRANDE,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-07-01,0,0,0,0,15,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,6,21
VIACHA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-07-01,0,0,0,0,33,28,9,8,2,1,2,1,0,3,1,3,1,0,0,1,48,45,93
VILA VILA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-07-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
VILLA CHARCAS,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-07-01,0,0,0,0,7,7,1,1,1,0,0,0,0,0,0,0,2,0,0,0,11,8,19
VILLA MONTES,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-07-01,0,0,0,0,24,25,4,4,1,0,1,1,0,0,0,1,1,0,0,1,31,32,63
VILLA NUEVA (LOMA ALTA),vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-07-01,0,0,0,0,1,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,6,4,10
VILLA RIVERO,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-07-01,0,0,0,0,8,6,1,3,0,0,0,1,0,0,1,3,0,0,0,0,10,13,23
VILLA SERRANO,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-07-01,0,0,0,0,1,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,9,11
VILLA TUNARI,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-07-01,0,0,0,0,70,66,14,9,5,2,4,4,2,1,5,3,1,1,0,1,101,87,188
VILLA VACA GUZMAN (MUYUPAMPA),vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-07-01,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,6
VILLAZON,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-07-01,0,0,0,0,27,20,2,2,3,2,2,2,1,1,1,1,0,0,0,1,36,29,65
VINTO,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-07-01,0,0,0,0,13,26,30,22,1,0,4,1,0,1,5,1,2,0,3,5,58,56,114
VITICHI,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-07-01,0,0,0,0,4,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,4,5,9
WALDO BALLIVIAN,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
WARNES,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-07-01,0,0,0,0,78,66,5,9,10,8,4,0,6,6,0,0,4,1,0,2,107,92,199
YACO,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-07-01,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,4,2,6
YACUIBA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-07-01,0,0,0,0,34,32,17,20,1,1,9,6,0,2,3,3,0,1,0,0,64,65,129
YAMPARAEZ,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-07-01,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
YANACACHI,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-07-01,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,3
YAPACANI,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-07-01,0,0,0,0,5,7,5,7,1,1,0,0,0,0,0,0,0,0,0,0,11,15,26
YOCALLA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-07-01,0,0,0,0,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9
YOTALA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-07-01,0,0,0,0,3,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9
YUNCHARA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-07-01,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
ZUDAÑEZ,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-07-01,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5
ACACIO,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-08-01,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
ACHACACHI,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-08-01,0,0,0,0,6,9,3,7,0,0,1,3,1,1,0,0,0,0,1,0,12,20,32
ACHOCALLA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-08-01,0,0,0,0,20,17,0,0,4,1,0,1,0,0,0,0,0,0,0,0,24,19,43
AIQUILE,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-08-01,0,0,0,0,6,8,8,4,1,0,1,1,0,0,0,1,0,0,0,0,16,14,30
ALALAY,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-08-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ALCALA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-08-01,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
ALTO BENI,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-08-01,0,0,0,0,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,3,9
ANCORAIMES,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-08-01,0,0,0,0,5,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,7,12
ANDAMARCA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-08-01,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,3
ANZALDO,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-08-01,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
APOLO,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-08-01,0,0,0,0,8,7,1,3,1,0,0,1,0,0,0,0,0,0,0,0,10,11,21
ARAMPAMPA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-08-01,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
ARANI,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-08-01,0,0,0,0,7,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,10,4,14
ARBIETO,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-08-01,0,0,0,0,8,9,6,8,0,0,1,1,0,0,2,2,1,0,0,0,18,20,38
ARQUE,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-08-01,0,0,0,0,6,3,7,2,1,1,0,1,0,0,0,0,0,0,0,0,14,7,21
ASCENCION DE GUARAYOS,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-08-01,0,0,0,0,10,10,2,0,3,1,1,0,1,0,0,0,0,0,0,0,17,11,28
ATOCHA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-08-01,0,0,0,0,5,7,1,1,0,1,0,0,0,0,0,0,0,0,0,0,6,9,15
AUCAPATA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-08-01,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6
AYATA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-08-01,0,0,0,0,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8
AYO AYO,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-08-01,0,0,0,0,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7
AYOPAYA (V. DE INDEPENDENCIA),vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-08-01,0,0,0,0,16,12,11,4,0,0,1,0,0,0,1,1,0,0,0,0,29,17,46
AZURDUY,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-08-01,0,0,0,0,1,3,2,2,0,0,0,0,0,0,0,0,0,0,0,1,3,6,9
BATALLAS,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-08-01,0,0,0,0,4,6,2,4,0,0,1,1,0,0,0,0,0,0,0,0,7,11,18
BAURES,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-08-01,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
BELLA FLOR,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-08-01,0,0,0,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6
BERMEJO,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-08-01,0,0,0,0,12,19,0,0,1,0,0,0,0,1,1,0,0,0,0,1,14,21,35
BETANZOS,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-08-01,0,0,0,0,9,14,3,3,0,1,0,0,0,0,0,0,0,0,0,0,12,18,30
BOLIVAR,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-08-01,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
BOLPEBRA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-08-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
BOYUIBE,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-08-01,0,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,8
BUENA VISTA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-08-01,0,0,0,0,11,6,2,0,0,0,0,0,0,0,0,0,0,1,0,0,13,7,20
CABEZAS,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-08-01,0,0,0,0,11,8,5,9,2,0,9,6,0,1,6,13,0,1,0,2,33,40,73
CAIROMA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-08-01,0,0,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,14
"CAIZA ""D""",vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-08-01,0,0,0,0,9,3,2,0,0,0,0,0,0,0,0,0,0,2,0,0,11,5,16
CAJUATA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-08-01,0,0,0,0,7,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,9,6,15
CALACOTO,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-08-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
CALAMARCA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-08-01,0,0,0,0,8,6,0,3,0,1,0,1,0,0,1,0,1,0,1,0,11,11,22
CAMARGO,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-08-01,0,0,0,0,4,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,8,3,11
CAMATAQUI (C. VILLA ABECIA),vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-08-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CAMIRI,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-08-01,0,0,0,0,16,10,3,2,0,0,0,0,0,0,0,0,1,0,0,0,20,12,32
CAPINOTA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-08-01,0,0,0,0,20,13,1,1,3,0,1,1,2,2,0,1,0,1,0,0,27,19,46
CAQUIAVIRI,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-08-01,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
CARACOLLO,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-08-01,0,0,0,0,5,4,2,8,0,1,1,1,0,0,0,0,0,0,0,0,8,14,22
CARANAVI,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-08-01,0,0,0,0,25,27,9,12,3,3,4,5,0,0,6,2,3,1,10,4,60,54,114
CARAPARI,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-08-01,0,0,0,0,7,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,6,13
CARIPUYO,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-08-01,0,0,0,0,2,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0,6,10,16
CARMEN RIVERO TORREZ,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-08-01,0,0,0,0,2,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,4,4,8
CATACORA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-08-01,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
CHACARILLA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-08-01,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
CHALLAPATA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-08-01,0,0,0,0,22,10,6,3,1,0,0,1,0,0,0,0,0,1,0,1,29,16,45
CHAQUI,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-08-01,0,0,0,0,5,6,1,5,0,0,0,0,0,1,0,0,0,0,0,0,6,12,18
CHARAGUA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-08-01,0,0,0,0,12,9,15,12,1,0,12,18,0,0,11,16,2,2,3,0,56,57,113
CHARAÑA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-08-01,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5
CHAYANTA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-08-01,0,0,0,0,5,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,7,5,12
CHIMORE,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-08-01,0,0,0,0,21,11,13,7,0,1,2,1,1,1,0,3,0,2,1,0,38,26,64
CHIPAYA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-08-01,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,2,4
CHOQUE COTA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-08-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-08-01,0,0,0,0,7,10,1,1,2,0,0,0,2,1,0,0,1,0,0,0,13,12,25
CHUMA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-08-01,0,0,0,0,1,3,3,1,0,0,1,0,0,0,0,1,2,0,1,1,8,6,14
CHUQUIHUTA AYLLU JUCUMANI,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-08-01,0,0,0,0,0,2,3,2,0,0,1,0,1,0,0,0,0,0,1,1,6,5,11
CKOCHAS,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-08-01,0,0,0,0,3,3,5,1,0,0,1,0,0,0,0,0,0,0,0,0,9,4,13
CLIZA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-08-01,0,0,0,0,11,10,3,4,1,1,0,1,0,0,0,0,0,0,0,0,15,16,31
COBIJA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-08-01,0,0,0,0,25,28,11,12,0,1,3,2,1,0,0,3,2,0,0,0,42,46,88
COCAPATA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-08-01,0,0,0,0,9,8,6,8,0,0,1,0,0,0,0,0,0,0,0,0,16,16,32
COCHABAMBA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-08-01,0,0,0,0,285,279,19,26,35,24,16,20,10,11,22,13,13,11,25,23,425,407,832
COLCAPIRHUA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-08-01,0,0,0,0,19,13,3,3,3,2,1,1,1,1,1,0,0,0,0,1,28,21,49
"COLCHA ""K""",vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-08-01,0,0,0,0,10,5,2,2,1,0,0,0,0,0,0,0,0,0,0,0,13,7,20
COLLANA,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-08-01,0,0,0,0,1,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,3,2,5
COLOMI,vacunacion en menores  de 5 anos,antipoliomelitica 4ta dosis,2024-08-01,0,0,0,0,17,14,0,1,1,1,1,0,0,1,0,1,0,0,0,2,19,20,39
