,group,variable,month,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS < A 1 AÑO - D,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS < A 1 AÑO - D,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS < A 1 AÑO - F,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS < A 1 AÑO - F,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS 12 A 23 MESES - D,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS 12 A 23 MESES - D,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS 12 A 23 MESES - F,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS 12 A 23 MESES - F,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS 2 AÑOS - D,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS 2 AÑOS - D,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS 2 AÑOS - F,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS 2 AÑOS - F,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS 3 AÑOS - D,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS 3 AÑOS - D,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS 3 AÑOS - F,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS 3 AÑOS - F,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS 4 AÑOS - D,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS 4 AÑOS - D,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS 4 AÑOS - F,INFLUENZA ESTACIONAL (6 A 11 M) 1RA DOSIS 4 AÑOS - F,TOTALES,TOTALES,TOTALES
SAN ANDRES,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,4,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,13
SAN ANDRES DE MACHACA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
SAN ANTONIO DE ESMORUCO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SAN ANTONIO DE LOMERIO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
SAN BENITO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SAN BORJA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,30,24,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,39,83
SAN BUENA VENTURA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,4,9,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,17
SAN CARLOS,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,21,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,18,39
SAN IGNACIO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,15,17,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,20,38
SAN IGNACIO DE VELASCO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,24,27,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,30,56
SAN JAVIER(STC),vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,18,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,13,31
SAN JOAQUIN,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,4,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,11
SAN JOSE DE CHIQUITOS,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,16,20,17,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,32,65
SAN JUAN DE YAPACANI,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7
SAN JULIAN,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,37,39,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,45,87
SAN LORENZO(PND),vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,2,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,11
SAN LORENZO(TJA),vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,14,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,24
SAN LUCAS,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,3,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,16
SAN MATIAS,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,15,12,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,15,32
SAN PABLO DE LIPEZ,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SAN PEDRO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,10,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,20
SAN PEDRO DE BUENA VISTA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,6,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,20
SAN PEDRO DE MACHA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,10
SAN PEDRO DE TIQUINA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7
SAN RAFAEL,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,4,7,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,17
SAN RAMON BENI,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,1,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,11
SAN RAMON SCZ,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9
SANTA ANA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,11
SANTA CRUZ DE LA SIERRA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,896,848,44,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,940,893,1833
SANTA ROSA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8
SANTA ROSA DEL SARA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,8,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,17
SANTIAGO DE CALLAPA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SANTIAGO DE HUARI,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
SANTIAGO DE HUATA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
SANTIAGO DE MACHACA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SANTIVAÑES,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
SANTUARIO DE QUILLACAS,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
SAPAHAQUI,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5
SENA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,10,7,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,22
SHINAOTA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,27,16,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,21,53
SICA SICA (VILLA AROMA),vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10
SICAYA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
SIPE SIPE,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,20,34,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,42,70
SORACACHI,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
SORATA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,12,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,21
SUCRE,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,141,112,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,113,259
TACACOMA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
TACOBAMBA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
TACOPAYA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
TAPACARI,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,3,1,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,14
TARABUCO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8
TARATA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,6,9,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,20
TARIJA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,114,90,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,105,234
TARVITA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
TEOPONTE,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
TIAHUANACU,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,4,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,15
TINGUIPAYA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,1,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9
TIPUANI,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,5,4,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,16
TIQUIPAYA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,33,34,17,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,48,98
TIRAQUE (CBBA),vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,8,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,13
TOLATA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,4,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,13
TOLEDO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5
TOMAVE,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
TOMINA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
TORO TORO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,11
TOTORA(CBBA),vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,9,13,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,18,30
TOTORA(ORR),vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
TRINIDAD,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,66,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,52,118
TUPIZA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,26,25,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,54
TURCO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
UMALA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
UNCIA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,11,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,23
URIONDO (A. CONCEPCION),vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,20
URUBICHA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,8
UYUNI,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,18,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,16,34
VACAS,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5
VALLEGRANDE,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,11
VIACHA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,11,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,20
VILA VILA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,8
VILLA CHARCAS,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,3,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,16
VILLA MONTES,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,26,20,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,22,48
VILLA RIVERO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6
VILLA SERRANO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
VILLA TUNARI,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,63,60,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,70,139
VILLAZON,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,27,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,25,53
VINTO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,32,20,48,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,50,130
VITICHI,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
WALDO BALLIVIAN,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
WARNES,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,67,74,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,76,150
YACO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
YACUIBA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,28,28,17,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,38,83
YAMPARAEZ,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
YANACACHI,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
YAPACANI,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,10,11,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,24
YOCALLA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5
YOTALA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6
ZUDAÑEZ,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-07-01,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
ACHACACHI,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-08-01,12,8,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,13,32
ACHOCALLA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-08-01,19,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,11,30
AIQUILE,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-08-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ALTO BENI,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-08-01,2,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,10
ANCORAIMES,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-08-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ANDAMARCA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-08-01,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
ANTEQUERA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-08-01,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
APOLO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-08-01,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
ARAMPAMPA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-08-01,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
ASCENCION DE GUARAYOS,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-08-01,2,4,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,14
ATOCHA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-08-01,6,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,13
AUCAPATA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-08-01,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6
AYOPAYA (V. DE INDEPENDENCIA),vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-08-01,4,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,15
BATALLAS,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-08-01,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8
BAURES,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-08-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
BELLA FLOR,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-08-01,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
BERMEJO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-08-01,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,21
BETANZOS,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-08-01,12,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,19
BOLIVAR,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-08-01,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
BOYUIBE,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-08-01,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
BUENA VISTA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-08-01,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,11
CABEZAS,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-08-01,9,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,22
"CAIZA ""D""",vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-08-01,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,10
CAJUATA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-08-01,13,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,25
CALAMARCA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-08-01,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9
CAMIRI,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-08-01,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,10
CAPINOTA,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-08-01,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5
CAQUIAVIRI,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-08-01,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7
CARACOLLO,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-08-01,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9
CARANAVI,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-08-01,18,31,9,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,48,75
CARAPARI,vacunacion en menores  de 5 anos,influenza estacional (6 a 11 m) 1ra dosis,2024-08-01,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
