,group,variable,month,4. Nº DE MUJERES EMBARAZADAS CON PRUEBA PARA SIFILIS (1RA PRUEBA) CANTIDAD,4. Nº DE MUJERES EMBARAZADAS CON PRUEBA PARA SIFILIS (1RA PRUEBA) CANTIDAD,TOTALES
LAJA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,33,33
LAS CARRERAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,2,2
LLICA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,1,1
LURIBAY,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,1,1
MACHACAMARCA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,2,2
MACHARETI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,9,9
MAIRANA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,30,30
MIZQUE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,25,25
MOJOCOYA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,4,4
MONTEAGUDO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,32,32
MONTERO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,48,48
OCURI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,3,3
ORURO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,1093,1093
PADCAYA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,12,12
PADILLA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,11,11
PAILON,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,8,8
PALOS BLANCOS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,7,7
PAMPA AULLAGAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,4,4
PAMPA GRANDE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,1,1
POCOATA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,8,8
POOPO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,5,5
PORCO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,22,22
POROMA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,9,9
PORONGO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,21,21
POTOSI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,386,386
PRESTO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,4,4
PUERTO CARABUCO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,8,8
PUERTO VILLARROEL,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,273,273
RAVELO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,15,15
REYES,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,15,15
RIBERALTA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,316,316
ROBORE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,13,13
SACABA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,568,568
SACACA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,6,6
SALINAS DE GARCI MENDOZA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,6,6
SAMAIPATA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,17,17
SAN BORJA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,4,4
SAN BUENA VENTURA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,10,10
SAN CARLOS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,43,43
SAN IGNACIO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,15,15
SAN IGNACIO DE VELASCO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,219,219
SAN JUAN DE YAPACANI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,3,3
SAN JULIAN,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,112,112
SAN LORENZO(PND),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,2,2
SAN LUCAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,47,47
SAN PEDRO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,17,17
SAN PEDRO DE BUENA VISTA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,18,18
SAN PEDRO DE MACHA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,4,4
SAN RAMON BENI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,15,15
SANTA CRUZ DE LA SIERRA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,1183,1183
SANTA ROSA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,13,13
SANTA ROSA DEL SARA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,19,19
SANTIAGO DE HUATA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,2,2
SICA SICA (VILLA AROMA),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,5,5
SOPACHUY,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,4,4
SORACACHI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,11,11
SUCRE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,551,551
TACACOMA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,5,5
TACOBAMBA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,5,5
TAPACARI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,8,8
TARABUCO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,7,7
TARIJA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,47,47
TARVITA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,9,9
TINGUIPAYA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,13,13
TOLEDO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,6,6
TOMAVE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,7,7
TOMINA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,7,7
TORO TORO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,5,5
TOTORA(CBBA),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,58,58
TOTORA(ORR),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,5,5
TRINIDAD,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,35,35
TURCO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,2,2
UNCIA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,25,25
URIONDO (A. CONCEPCION),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,2,2
UYUNI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,92,92
VILA VILA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,2,2
VILLA CHARCAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,11,11
VILLA SERRANO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,7,7
VILLA TUNARI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,1,1
VILLA VACA GUZMAN (MUYUPAMPA),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,7,7
VILLAZON,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,30,30
VINTO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,104,104
WALDO BALLIVIAN,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,3,3
YACUIBA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,13,13
YAMPARAEZ,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,3,3
YAPACANI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,1,1
YOCALLA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,2,2
YOTALA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,6,6
ZUDAÑEZ,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-07-01,0,5,5
ACACIO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,2,2
ALALAY,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,2,2
ALCALA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,2,2
ANDAMARCA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,2,2
ANTEQUERA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,2,2
APOLO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,8,8
ATOCHA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,15,15
AYOPAYA (V. DE INDEPENDENCIA),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,6,6
AZURDUY,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,9,9
BETANZOS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,38,38
BOYUIBE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,9,9
CABEZAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,5,5
"CAIZA ""D""",vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,18,18
CAMARGO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,14,14
CAMATAQUI (C. VILLA ABECIA),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,1,1
CAPINOTA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,14,14
CARACOLLO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,31,31
CARANAVI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,3,3
CARIPUYO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,8,8
CARMEN RIVERO TORREZ,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,10,10
CHAQUI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,6,6
CHARAGUA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,4,4
CHAYANTA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,11,11
CHIMORE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,57,57
CHUMA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,1,1
CKOCHAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,16,16
COBIJA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,2,2
COCAPATA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,23,23
COCHABAMBA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,251,251
COLCAPIRHUA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,38,38
"COLCHA ""K""",vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,4,4
COLLANA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,2,2
COLOMI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,38,38
COLPA BELGICA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,15,15
COLQUECHACA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,28,28
COLQUENCHA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,9,9
COMARAPA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,8,8
COROICO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,68,68
CORQUE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,4,4
COTOCA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,35,35
CUATRO CAÑADAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,17,17
CULPINA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,19,19
CURAHUARA DE CARANGAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,3,3
EL ALTO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,285,285
EL PUENTE(STC),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,1,1
EL PUENTE(TJA),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,2,2
EL TORNO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,54,54
EL VILLAR,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,3,3
ENTRE RIOS TRJ,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,7,7
ENTRE RIOS CBBA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,56,56
EUCALIPTUS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,1,1
FERNANDEZ ALONSO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,3,3
GAIOC JATUN AYLLU YURA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,2,2
GRAL. J.J. PEREZ (CHARAZANI),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,10,10
HUACARETA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,6,6
HUACAYA (VILLA DE HUACAYA),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,1,1
HUAYLLAMARCA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,1,1
INCAHUASI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,14,14
LA ASUNTA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,62,62
LA GUARDIA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,129,129
LA PAZ,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,330,330
LAGUNILLAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,10,10
LAJA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,31,31
LAS CARRERAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,3,3
LLICA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,4,4
LURIBAY,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,3,3
MACHACAMARCA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,6,6
MACHARETI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,5,5
MAIRANA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,13,13
MIZQUE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,18,18
MOJOCOYA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,2,2
MONTEAGUDO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,36,36
MONTERO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,54,54
OCURI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,12,12
OMEREQUE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,2,2
ORURO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,837,837
PADCAYA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,4,4
PADILLA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,5,5
PAILON,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,29,29
PALOS BLANCOS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,9,9
PAMPA AULLAGAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,1,1
PAMPA GRANDE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,16,16
POCOATA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,29,29
POOPO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,6,6
PORCO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,8,8
POROMA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,17,17
PORONGO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,7,7
POTOSI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,315,315
PRESTO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,5,5
PUERTO VILLARROEL,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,223,223
QUIABAYA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,3,3
QUIME,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,9,9
RAVELO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,1,1
REYES,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,21,21
RIBERALTA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,336,336
ROBORE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,25,25
RURRENABAQUE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,17,17
SACABA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,592,592
SAIPINA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,17,17
SALINAS DE GARCI MENDOZA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,5,5
SAMAIPATA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,20,20
SAN BORJA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,5,5
SAN BUENA VENTURA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,20,20
SAN CARLOS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,5,5
SAN IGNACIO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,14,14
SAN IGNACIO DE VELASCO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,161,161
SAN JAVIER(BNI),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,2,2
SAN JUAN DE YAPACANI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,8,8
SAN JULIAN,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,123,123
SAN LUCAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,35,35
SAN PEDRO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,14,14
SAN PEDRO DE BUENA VISTA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,28,28
SAN PEDRO DE MACHA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,8,8
SAN RAMON BENI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,10,10
SANTA CRUZ DE LA SIERRA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,995,995
SANTA ROSA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,4,4
SANTA ROSA DEL SARA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,18,18
SANTIAGO DE HUARI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,4,4
SANTIAGO DE HUATA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,2,2
SAPAHAQUI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,6,6
SICA SICA (VILLA AROMA),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,26,26
SOPACHUY,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,4,4
SORACACHI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,12,12
SORATA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,26,26
SUCRE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,470,470
TACACOMA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,11,11
TACOBAMBA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,7,7
TAPACARI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,3,3
TARABUCO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,9,9
TARIJA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,56,56
TARVITA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,10,10
TINGUIPAYA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,11,11
TOLEDO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,1,1
TOMAVE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,2,2
TOMINA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,3,3
TORO TORO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,10,10
TOTORA(CBBA),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,50,50
TOTORA(ORR),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,5,5
TURCO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,5,5
UNCIA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,34,34
UYUNI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,89,89
VALLEGRANDE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,7,7
VILA VILA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,3,3
VILLA CHARCAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,14,14
VILLA SERRANO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,2,2
VILLA TUNARI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,4,4
VILLA VACA GUZMAN (MUYUPAMPA),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,12,12
VILLAZON,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,18,18
VINTO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (1ra prueba),2024-08-01,0,105,105
