,group,variable,month,1. Nº DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA VIH (1RA PRUEBA) CANTIDAD,1. Nº DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA VIH (1RA PRUEBA) CANTIDAD,TOTALES
PASORAPA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,1,1
PATACAMAYA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,64,64
PAZÑA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,2,2
PELECHUCO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,14,14
POCOATA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,43,43
POCONA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,4,4
POJO (CBBA),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,26,26
POOPO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,9,9
PORCO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,29,29
POROMA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,9,9
PORONGO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,9,9
PORTACHUELO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,30,30
PORVENIR,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,6,6
POTOSI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,380,380
PRESTO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,5,5
PUCARANI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,16,16
PUERTO GONZALO MORENO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,10,10
PUERTO PEREZ,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,1,1
PUERTO RICO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,18,18
PUERTO SUAREZ,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,42,42
PUERTO VILLARROEL,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,378,378
PUNA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,15,15
PUNATA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,156,156
QUILLACOLLO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,180,180
QUIME,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,11,11
RAQAYPAMPA(ETA),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,11,11
RAVELO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,13,13
REYES,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,8,8
RIBERALTA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,441,441
ROBORE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,13,13
RURRENABAQUE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,1,1
SABAYA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,2,2
SACABA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,485,485
SACACA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,36,36
SAIPINA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,7,7
SALINAS DE GARCI MENDOZA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,5,5
SAMAIPATA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,24,24
SAN ANDRES DE MACHACA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,1,1
SAN ANTONIO DE LOMERIO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,5,5
SAN BENITO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,11,11
SAN BORJA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,97,97
SAN CARLOS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,49,49
SAN IGNACIO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,22,22
SAN IGNACIO DE VELASCO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,111,111
SAN JAVIER(STC),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,25,25
SAN JOAQUIN,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,7,7
SAN JOSE DE CHIQUITOS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,60,60
SAN JUAN DE YAPACANI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,3,3
SAN JULIAN,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,123,123
SAN LORENZO(PND),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,7,7
SAN LORENZO(TJA),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,34,34
SAN LUCAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,44,44
SAN MATIAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,44,44
SAN MIGUEL DE VELASCO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,8,8
SAN PEDRO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,23,23
SAN PEDRO DE BUENA VISTA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,31,31
SAN PEDRO DE CURAHUARA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,1,1
SAN PEDRO DE MACHA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,12,12
SAN PEDRO(PND),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,7,7
SAN RAFAEL,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,16,16
SAN RAMON BENI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,3,3
SAN RAMON SCZ,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,14,14
SANTA ANA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,50,50
SANTA CRUZ DE LA SIERRA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,3016,3016
SANTA ROSA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,16,16
SANTA ROSA DEL SARA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,18,18
SANTIAGO DE HUARI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,6,6
SANTIAGO DE HUATA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,4,4
SANTIAGO DE MACHACA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,3,3
SANTIVAÑES,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,9,9
SANTUARIO DE QUILLACAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,1,1
SAPAHAQUI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,3,3
SHINAOTA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,120,120
SICA SICA (VILLA AROMA),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,19,19
SICAYA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,2,2
SIPE SIPE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,134,134
SOPACHUY,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,7,7
SORACACHI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,9,9
SORATA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,12,12
SUCRE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,651,651
TACACOMA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,9,9
TACOBAMBA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,9,9
TACOPAYA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,6,6
TAHUA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,1,1
TAPACARI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,26,26
TARABUCO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,8,8
TARACO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,6,6
TARATA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,15,15
TARIJA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,193,193
TARVITA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,9,9
TEOPONTE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,8,8
TIAHUANACU,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,15,15
TINGUIPAYA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,10,10
TIPUANI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,11,11
TIQUIPAYA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,131,131
TIRAQUE (CBBA),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,10,10
TITO YUPANQUI (PARQUIPUJIO),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,4,4
TOCO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,10,10
TOLATA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,15,15
TOLEDO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,2,2
TOMAVE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,6,6
TOMINA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,4,4
TORO TORO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,14,14
TOTORA(CBBA),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,35,35
TOTORA(ORR),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,1,1
TRINIDAD,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,103,103
TUPIZA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,7,7
TURCO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,3,3
UNCIA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,40,40
URIONDO (A. CONCEPCION),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,28,28
URUBICHA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,3,3
UYUNI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,107,107
VACAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,5,5
VALLEGRANDE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,39,39
VIACHA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,175,175
VILA VILA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,7,7
VILLA CHARCAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,10,10
VILLA MONTES,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,37,37
VILLA NUEVA (LOMA ALTA),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,4,4
VILLA SERRANO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,7,7
VILLA TUNARI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,271,271
VILLA VACA GUZMAN (MUYUPAMPA),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,19,19
VILLAZON,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,66,66
VINTO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,117,117
WALDO BALLIVIAN,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,4,4
WARNES,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,164,164
YACUIBA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,165,165
YAMPARAEZ,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,3,3
YANACACHI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,1,1
YAPACANI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,91,91
YOCALLA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,8,8
YOTALA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,6,6
YUNCHARA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,4,4
ZUDAÑEZ,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-06-01,0,7,7
ACACIO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,1,1
ACHACACHI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,21,21
AIQUILE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,41,41
ALALAY,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,1,1
ALCALA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,3,3
ALTO BENI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,19,19
ANCORAIMES,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,7,7
ANDAMARCA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,2,2
ANTEQUERA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,2,2
ANZALDO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,7,7
APOLO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,21,21
ARAMPAMPA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,2,2
ARANI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,20,20
ARBIETO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,51,51
ARQUE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,8,8
ASCENCION DE GUARAYOS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,1,1
ATOCHA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,9,9
AYATA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,5,5
AYOPAYA (V. DE INDEPENDENCIA),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,28,28
AZURDUY,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,8,8
BATALLAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,29,29
BELEN DE ANDAMARCA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,2,2
BELLA FLOR,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,2,2
BERMEJO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,95,95
BETANZOS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,27,27
BOLIVAR,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,8,8
BOLPEBRA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,3,3
BOYUIBE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,4,4
BUENA VISTA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,24,24
CABEZAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,41,41
"CAIZA ""D""",vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,7,7
CAJUATA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,5,5
CALAMARCA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,13,13
CAMARGO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,19,19
CAMATAQUI (C. VILLA ABECIA),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,1,1
CAMIRI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,2,2
CAPINOTA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,31,31
CARACOLLO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,26,26
CARANAVI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,167,167
CARAPARI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,15,15
CARIPUYO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,3,3
CARMEN RIVERO TORREZ,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,16,16
CHALLAPATA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,92,92
CHAQUI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,12,12
CHARAGUA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,67,67
CHAYANTA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,18,18
CHIMORE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,35,35
CHIPAYA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,5,5
CHUA COCANI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,2,2
CHULUMANI (V. DE LA LIBERTAD),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,23,23
CHUMA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,6,6
CHUQUIHUTA AYLLU JUCUMANI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,4,4
CKOCHAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,13,13
CLIZA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,72,72
COBIJA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,92,92
COCAPATA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,29,29
COCHABAMBA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,1596,1596
COLCAPIRHUA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,106,106
"COLCHA ""K""",vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,10,10
COLLANA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,6,6
COLOMI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,29,29
COLPA BELGICA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,20,20
COLQUECHACA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,28,28
COLQUENCHA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,11,11
COLQUIRI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,32,32
COMARAPA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,48,48
COMBAYA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,2,2
CONCEPCION,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,20,20
CORO CORO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,3,3
COROICO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,50,50
CORQUE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,9,9
COTAGAITA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,3,3
COTOCA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,80,80
CUATRO CAÑADAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,37,37
CUCHUMUELA (V. G. VILLARROEL),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,1,1
CUEVO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,4,4
CULPINA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,19,19
CURAHUARA DE CARANGAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,4,4
CURVA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,1,1
DESAGUADERO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,9,9
EL ALTO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,1773,1773
EL CHORO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,4,4
EL PUENTE(STC),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,5,5
EL PUENTE(TJA),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,6,6
EL TORNO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,42,42
EL VILLAR,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,2,2
ENTRE RIOS TRJ,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,16,16
ENTRE RIOS CBBA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,95,95
ESCARA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,2,2
ESCOMA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,4,4
ESMERALDA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,1,1
EUCALIPTUS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,5,5
EUREKA (SANTOS MERCADO),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,1,1
FERNANDEZ ALONSO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,9,9
FILADELFIA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,8,8
GAIOC JATUN AYLLU YURA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,3,3
GENERAL SAAVEDRA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,38,38
GRAL. J.J. PEREZ (CHARAZANI),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,12,12
GUANAY,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,2,2
GUAQUI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,4,4
GUAYARAMERIN,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,146,146
HUACARAJE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,3,3
HUACARETA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (1ra prueba),2024-07-01,0,7,7
