,group,variable,month,7. Nº DE PERSONAS CON PRUEBA RÁPIDA DE VIH CANTIDAD,7. Nº DE PERSONAS CON PRUEBA RÁPIDA DE VIH CANTIDAD,TOTALES
ANZALDO,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,14,9,23
APOLO,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,3,10,13
ARANI,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,1,6,7
ARBIETO,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,3,14,17
ARQUE,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,2,10,12
ATOCHA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,2,13,15
AYATA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,5,8,13
AZURDUY,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,25,14,39
BATALLAS,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,8,11,19
BELEN DE URMIRI,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,0,1,1
BERMEJO,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,87,63,150
BETANZOS,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,10,11,21
BOLIVAR,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,0,6,6
BUENA VISTA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,3,5,8
CABEZAS,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,7,7,14
"CAIZA ""D""",vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,5,7,12
CALAMARCA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,2,6,8
CAMARGO,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,12,39,51
CAMATAQUI (C. VILLA ABECIA),vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,0,4,4
CAMIRI,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,2,5,7
CAPINOTA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,5,40,45
CARACOLLO,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,17,45,62
CARANAVI,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,72,56,128
CARANGAS,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,3,2,5
CARAPARI,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,2,7,9
CARIPUYO,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,3,4,7
CARMEN RIVERO TORREZ,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,42,9,51
CHALLAPATA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,30,30,60
CHARAGUA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,14,27,41
CHIMORE,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,28,43,71
CHIPAYA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,26,59,85
CHUMA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,1,2,3
CHUQUIHUTA AYLLU JUCUMANI,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,1,1,2
CLIZA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,13,3,16
COBIJA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,236,169,405
COCAPATA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,2,0,2
COCHABAMBA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,2097,3430,5527
COIPASA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,17,0,17
COLCAPIRHUA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,69,161,230
"COLCHA ""K""",vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,0,4,4
COLLANA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,6,11,17
COLOMI,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,0,14,14
COLPA BELGICA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,12,10,22
COLQUECHACA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,9,18,27
COLQUENCHA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,13,12,25
COLQUIRI,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,3,0,3
COMARAPA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,12,31,43
CONCEPCION,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,53,9,62
CORO CORO,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,1,0,1
COROICO,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,22,28,50
CORQUE,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,1,2,3
COTAGAITA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,14,6,20
COTOCA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,84,383,467
CUATRO CAÑADAS,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,35,59,94
CUEVO,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,4,5,9
CULPINA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,3,14,17
CURAHUARA DE CARANGAS,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,0,1,1
CURVA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,0,1,1
DESAGUADERO,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,3,4,7
EL ALTO,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,922,2138,3060
EL CHORO,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,2,0,2
EL PUENTE(STC),vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,24,56,80
EL PUENTE(TJA),vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,0,5,5
EL TORNO,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,11,18,29
ENTRE RIOS TRJ,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,8,21,29
ENTRE RIOS CBBA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,95,218,313
ESCARA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,0,7,7
ESCOMA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,1,4,5
ESMERALDA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,2,5,7
EUCALIPTUS,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,1,1,2
EUREKA (SANTOS MERCADO),vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,7,2,9
FERNANDEZ ALONSO,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,11,23,34
GENERAL SAAVEDRA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,1,3,4
GRAL. J.J. PEREZ (CHARAZANI),vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,1,3,4
GUAYARAMERIN,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,64,38,102
HUACHACALLA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,4,12,16
HUANUNI,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,58,101,159
ICLA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,3,14,17
INCAHUASI,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,6,9,15
INGAVI (HUMAITA),vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,0,1,1
IXIAMAS,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,10,7,17
JESUS DE MACHACA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,6,12,18
LA ASUNTA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,25,38,63
LA GUARDIA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,64,95,159
LA PAZ,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,1476,2761,4237
LA RIVERA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,0,2,2
LAGUNILLAS,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,1,0,1
LAJA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,2,0,2
LAS CARRERAS,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,1,0,1
LLALLAGUA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,5,3,8
LLICA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,0,3,3
LURIBAY,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,2,2,4
MACHACAMARCA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,0,21,21
MACHARETI,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,1,3,4
MAIRANA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,3,14,17
MAPIRI,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,3,14,17
MINEROS,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,7,2,9
MIZQUE,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,35,48,83
MOCOMOCO,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,0,1,1
MOJOCOYA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,26,11,37
MONTEAGUDO,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,43,75,118
MONTERO,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,98,145,243
MORO MORO,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,1,0,1
OKINAWA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,10,6,16
OMEREQUE,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,3,11,14
ORURO,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,578,1593,2171
PADCAYA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,3,2,5
PADILLA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,15,21,36
PAILON,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,29,79,108
PALOS BLANCOS,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,26,98,124
PAMPA AULLAGAS,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,4,11,15
PAPEL PAMPA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,1,4,5
PASORAPA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,1,6,7
PATACAMAYA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,25,54,79
PAZÑA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,1,2,3
PELECHUCO,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,10,4,14
POCOATA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,27,29,56
POCONA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,1,2,3
POOPO,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,20,72,92
PORCO,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,1,1,2
POROMA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,1,1,2
PORONGO,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,4,26,30
PORTACHUELO,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,1,5,6
PORVENIR,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,0,1,1
POTOSI,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,218,208,426
PRESTO,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,1,6,7
PUCARANI,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,4,5,9
PUERTO CARABUCO,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,10,12,22
PUERTO GONZALO MORENO,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,13,25,38
PUERTO PEREZ,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,4,4,8
PUERTO QUIJARRO,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,1,35,36
PUERTO RICO,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,0,2,2
PUERTO SUAREZ,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,7,64,71
PUERTO VILLARROEL,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,174,277,451
PUNA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,2,1,3
PUNATA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,124,178,302
QUILLACOLLO,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,280,746,1026
QUIRUSILLAS,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,1,0,1
RAVELO,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,2,4,6
REYES,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,7,5,12
RIBERALTA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,634,563,1197
ROBORE,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,15,13,28
RURRENABAQUE,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,37,44,81
SABAYA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,8,17,25
SACABA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,362,510,872
SACACA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,1,5,6
SALINAS DE GARCI MENDOZA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,2,1,3
SAMAIPATA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,2,5,7
SAN AGUSTIN,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,10,25,35
SAN ANDRES,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,0,5,5
SAN BENITO,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,2,2,4
SAN BORJA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,38,53,91
SAN BUENA VENTURA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,15,35,50
SAN CARLOS,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,24,37,61
SAN IGNACIO,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,8,20,28
SAN IGNACIO DE VELASCO,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,19,27,46
SAN JAVIER(BNI),vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,1,0,1
SAN JAVIER(STC),vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,26,33,59
SAN JUAN DE YAPACANI,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,4,4,8
SAN JULIAN,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,292,205,497
SAN LORENZO(PND),vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,1,0,1
SAN LORENZO(TJA),vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,3,5,8
SAN LUCAS,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,16,32,48
SAN MATIAS,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,13,17,30
SAN MIGUEL DE VELASCO,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,5,5,10
SAN PEDRO,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,28,48,76
SAN PEDRO DE BUENA VISTA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,49,55,104
SAN PEDRO DE TIQUINA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,17,17,34
SAN RAFAEL,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,0,1,1
SAN RAMON BENI,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,6,12,18
SAN RAMON SCZ,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,2,7,9
SANTA ANA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,22,36,58
SANTA CRUZ DE LA SIERRA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,2220,3936,6156
SANTA ROSA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,2,2,4
SANTA ROSA DEL SARA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,9,9,18
SANTIAGO DE CALLAPA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,3,7,10
SANTIAGO DE HUARI,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,24,23,47
SANTIAGO DE MACHACA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,2,3,5
SANTIVAÑES,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,0,3,3
SANTUARIO DE QUILLACAS,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,0,2,2
SAPAHAQUI,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,4,0,4
SHINAOTA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,67,170,237
SICA SICA (VILLA AROMA),vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,8,14,22
SICAYA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,5,3,8
SIPE SIPE,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,30,79,109
SOPACHUY,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,23,48,71
SORATA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,4,7,11
SUCRE,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,195,484,679
TACACOMA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,6,4,10
TACOPAYA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,5,9,14
TAPACARI,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,15,9,24
TARABUCO,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,23,111,134
TARACO,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,1,0,1
TARATA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,5,2,7
TARIJA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,192,297,489
TARVITA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,7,21,28
TEOPONTE,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,1,2,3
TIAHUANACU,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,13,10,23
TIPUANI,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,1,0,1
TIQUIPAYA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,55,226,281
TITO YUPANQUI (PARQUIPUJIO),vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,1,3,4
TOCO,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,2,2,4
TOLATA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,4,2,6
TOLEDO,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,1,1,2
TOMINA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,15,8,23
TORO TORO,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,7,19,26
TOTORA(CBBA),vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,14,25,39
TRINIDAD,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,34,53,87
TUPIZA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,45,6,51
UMALA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,2,0,2
UNCIA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,0,21,21
UYUNI,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,27,50,77
VACAS,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,1,3,4
VALLEGRANDE,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,17,29,46
VIACHA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,90,268,358
VILLA CHARCAS,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,7,14,21
VILLA MONTES,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,115,121,236
VILLA SERRANO,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,4,2,6
VILLA TUNARI,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,326,381,707
VILLA VACA GUZMAN (MUYUPAMPA),vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,12,50,62
VILLAZON,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,54,107,161
VINTO,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,82,86,168
WALDO BALLIVIAN,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,0,3,3
WARNES,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,106,139,245
YACUIBA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,125,185,310
YAMPARAEZ,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,0,2,2
YAPACANI,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,0,2,2
YOTALA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,1,0,1
YUNCHARA,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,1,3,4
ZUDAÑEZ,vih - sifilis,no de personas con prueba rapida de vih,2024-07-01,1,9,10
ACACIO,vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,3,3,6
ACHACACHI,vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,37,51,88
AIQUILE,vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,41,37,78
ALALAY,vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,13,14,27
ALCALA,vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,3,14,17
ANCORAIMES,vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,1,1,2
ANDAMARCA,vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,6,4,10
ANTEQUERA,vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,2,7,9
ANZALDO,vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,2,5,7
ARANI,vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,1,5,6
ARBIETO,vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,2,19,21
ARQUE,vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,5,7,12
ASCENCION DE GUARAYOS,vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,10,22,32
ATOCHA,vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,4,7,11
AYATA,vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,2,1,3
AYOPAYA (V. DE INDEPENDENCIA),vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,11,18,29
AZURDUY,vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,2,23,25
BATALLAS,vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,5,7,12
BERMEJO,vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,38,81,119
BETANZOS,vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,8,6,14
BOLIVAR,vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,5,2,7
BUENA VISTA,vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,7,11,18
CABEZAS,vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,35,38,73
"CAIZA ""D""",vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,4,5,9
CALAMARCA,vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,2,5,7
CAMARGO,vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,17,51,68
CAMATAQUI (C. VILLA ABECIA),vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,0,6,6
CAMIRI,vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,1,0,1
CAPINOTA,vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,9,33,42
CARACOLLO,vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,8,14,22
CARANAVI,vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,81,160,241
CARANGAS,vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,2,2,4
CARIPUYO,vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,2,2,4
CARMEN RIVERO TORREZ,vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,16,28,44
CHALLAPATA,vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,30,75,105
CHARAGUA,vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,5,15,20
CHIMORE,vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,351,398,749
CHIPAYA,vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,0,5,5
CHOQUE COTA,vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,18,27,45
CHUMA,vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,5,9,14
CHUQUIHUTA AYLLU JUCUMANI,vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,0,3,3
COBIJA,vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,263,470,733
COCAPATA,vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,1,0,1
COCHABAMBA,vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,1791,3197,4988
COIPASA,vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,6,0,6
COLCAPIRHUA,vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,114,135,249
COLLANA,vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,0,5,5
COLOMI,vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,9,5,14
COLPA BELGICA,vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,2,3,5
COLQUECHACA,vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,5,3,8
COLQUENCHA,vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,12,23,35
COLQUIRI,vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,2,0,2
COMARAPA,vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,15,30,45
COPACABANA,vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,6,0,6
CORO CORO,vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,0,1,1
COROICO,vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,20,30,50
CORQUE,vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,0,1,1
COTAGAITA,vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,7,5,12
COTOCA,vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,92,182,274
CUATRO CAÑADAS,vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,33,67,100
CUCHUMUELA (V. G. VILLARROEL),vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,0,2,2
CULPINA,vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,3,13,16
CURAHUARA DE CARANGAS,vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,2,2,4
DESAGUADERO,vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,5,3,8
EL ALTO,vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,756,1742,2498
EL PUENTE(STC),vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,29,47,76
EL PUENTE(TJA),vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,2,3,5
EL TORNO,vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,77,109,186
EL VILLAR,vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,0,1,1
ENTRE RIOS TRJ,vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,7,35,42
ENTRE RIOS CBBA,vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,201,314,515
ESCARA,vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,1,1,2
ESCOMA,vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,2,4,6
ESMERALDA,vih - sifilis,no de personas con prueba rapida de vih,2024-08-01,7,4,11
