,group,variable,month,2. Nº DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA VIH (2DA PRUEBA) CANTIDAD,2. Nº DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA VIH (2DA PRUEBA) CANTIDAD,TOTALES
VILLAZON,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,8,8
VINTO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,86,86
YAMPARAEZ,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,3,3
YAPACANI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,48,48
YOCALLA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,2,2
YOTALA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,7,7
ZUDAÑEZ,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-05-01,0,4,4
AIQUILE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,1,1
ANTEQUERA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,1,1
ATOCHA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,1,1
AZURDUY,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,10,10
BETANZOS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,21,21
"CAIZA ""D""",vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,1,1
CAMARGO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,17,17
CAPINOTA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,36,36
CARACOLLO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,3,3
CARIPUYO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,1,1
CARMEN RIVERO TORREZ,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,3,3
CHALLAPATA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,1,1
CHIMORE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,25,25
COBIJA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,19,19
COCAPATA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,7,7
COCHABAMBA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,34,34
COLCAPIRHUA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,3,3
COLOMI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,11,11
COLQUECHACA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,15,15
CORQUE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,1,1
COTOCA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,63,63
CUATRO CAÑADAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,4,4
CULPINA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,12,12
EL ALTO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,48,48
EL CHORO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,2,2
EL PUENTE(STC),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,3,3
EL PUENTE(TJA),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,1,1
EL VILLAR,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,7,7
ENTRE RIOS TRJ,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,3,3
ENTRE RIOS CBBA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,18,18
FERNANDEZ ALONSO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,5,5
HUACARETA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,8,8
HUACAYA (VILLA DE HUACAYA),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,3,3
HUACHACALLA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,1,1
HUANUNI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,38,38
ICLA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,4,4
INCAHUASI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,12,12
LA PAZ,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,3,3
LAJA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,5,5
LAS CARRERAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,1,1
MACHACAMARCA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,1,1
MACHARETI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,5,5
MAIRANA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,7,7
MINEROS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,13,13
MIZQUE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,26,26
MONTEAGUDO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,33,33
MONTERO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,76,76
OCURI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,14,14
ORURO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,318,318
PADCAYA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,16,16
PADILLA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,12,12
PAILON,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,15,15
PASORAPA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,2,2
POCOATA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,3,3
PORCO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,14,14
POROMA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,17,17
PORONGO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,3,3
PORVENIR,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,11,11
POTOSI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,47,47
PRESTO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,7,7
PUERTO VILLARROEL,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,17,17
RAVELO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,8,8
RIBERALTA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,15,15
ROBORE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,12,12
SACABA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,21,21
SAIPINA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,2,2
SALINAS DE GARCI MENDOZA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,4,4
SAN BORJA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,3,3
SAN IGNACIO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,11,11
SAN JOAQUIN,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,1,1
SAN JUAN DE YAPACANI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,3,3
SAN JULIAN,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,9,9
SAN LUCAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,40,40
SAN MIGUEL DE VELASCO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,12,12
SAN PEDRO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,6,6
SAN PEDRO DE BUENA VISTA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,10,10
SANTA ANA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,1,1
SANTA CRUZ DE LA SIERRA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,93,93
SANTA ROSA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,3,3
SANTA ROSA DEL SARA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,7,7
SICAYA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,3,3
SOPACHUY,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,4,4
SORACACHI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,1,1
SUCRE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,342,342
TAPACARI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,3,3
TARABUCO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,9,9
TARIJA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,94,94
TARVITA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,12,12
TINGUIPAYA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,10,10
TIQUIPAYA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,10,10
TOLEDO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,2,2
TOMINA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,10,10
TRINIDAD,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,1,1
TUPIZA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,3,3
URIONDO (A. CONCEPCION),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,2,2
URUBICHA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,1,1
VALLEGRANDE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,1,1
VILA VILA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,5,5
VILLA CHARCAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,15,15
VILLA MONTES,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,38,38
VILLA SERRANO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,10,10
VILLA TUNARI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,4,4
VILLA VACA GUZMAN (MUYUPAMPA),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,8,8
VILLAZON,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,9,9
VINTO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,98,98
YACUIBA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,1,1
YAMPARAEZ,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,4,4
YOCALLA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,1,1
YOTALA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,10,10
ZUDAÑEZ,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-06-01,0,7,7
ALCALA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,2,2
ANTEQUERA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,2,2
AZURDUY,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,10,10
BETANZOS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,14,14
"CAIZA ""D""",vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,1,1
CAMARGO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,16,16
CAMATAQUI (C. VILLA ABECIA),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,4,4
CAPINOTA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,36,36
CARACOLLO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,18,18
CARIPUYO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,1,1
CHALLAPATA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,1,1
CHAYANTA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,1,1
CHIMORE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,15,15
COBIJA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,31,31
COCAPATA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,11,11
COCHABAMBA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,41,41
"COLCHA ""K""",vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,4,4
COLOMI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,11,11
COLQUECHACA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,12,12
CONCEPCION,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,76,76
COTOCA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,48,48
CUATRO CAÑADAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,1,1
CULPINA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,24,24
EL ALTO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,340,340
EL CHORO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,2,2
EL PUENTE(STC),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,6,6
EL PUENTE(TJA),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,2,2
EL TORNO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,10,10
ENTRE RIOS TRJ,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,22,22
ENTRE RIOS CBBA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,20,20
EUCALIPTUS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,2,2
FERNANDEZ ALONSO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,7,7
GAIOC JATUN AYLLU YURA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,1,1
HUACARETA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,4,4
HUACAYA (VILLA DE HUACAYA),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,2,2
HUANUNI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,49,49
ICLA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,7,7
INCAHUASI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,12,12
LA ASUNTA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,18,18
LA GUARDIA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,1,1
LA PAZ,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,81,81
LAGUNILLAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,1,1
LAJA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,1,1
LAS CARRERAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,1,1
LLICA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,4,4
MACHACAMARCA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,1,1
MACHARETI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,4,4
MIZQUE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,9,9
MOJOCOYA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,7,7
MONTEAGUDO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,25,25
MONTERO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,72,72
OCURI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,4,4
ORURO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,301,301
PADCAYA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,8,8
PADILLA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,12,12
PAILON,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,1,1
POCOATA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,9,9
PORCO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,5,5
POROMA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,10,10
PORONGO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,6,6
PORVENIR,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,14,14
POTOSI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,7,7
PRESTO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,6,6
PUERTO RICO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,1,1
PUERTO VILLARROEL,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,17,17
RAVELO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,3,3
RIBERALTA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,6,6
ROBORE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,12,12
SACABA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,14,14
SAIPINA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,2,2
SALINAS DE GARCI MENDOZA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,4,4
SAN BORJA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,9,9
SAN IGNACIO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,12,12
SAN JUAN DE YAPACANI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,5,5
SAN JULIAN,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,6,6
SAN LUCAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,37,37
SAN MIGUEL DE VELASCO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,12,12
SAN PEDRO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,12,12
SAN PEDRO DE BUENA VISTA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,5,5
SAN PEDRO DE MACHA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,4,4
SANTA CRUZ DE LA SIERRA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,167,167
SANTA ROSA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,1,1
SANTA ROSA DEL SARA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,10,10
SOPACHUY,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,6,6
SUCRE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,487,487
TARABUCO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,10,10
TARIJA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,126,126
TARVITA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,9,9
TINGUIPAYA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,7,7
TIQUIPAYA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,11,11
TOLEDO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,2,2
TOMINA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,4,4
TOTORA(ORR),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,1,1
TUPIZA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,2,2
TURCO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,1,1
VALLEGRANDE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,2,2
VILA VILA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,3,3
VILLA CHARCAS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,18,18
VILLA MONTES,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,40,40
VILLA SERRANO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,11,11
VILLA TUNARI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,3,3
VILLA VACA GUZMAN (MUYUPAMPA),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,4,4
VILLAZON,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,8,8
VINTO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,112,112
YACUIBA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,2,2
YAMPARAEZ,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,2,2
YAPACANI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,1,1
YOTALA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,6,6
ZUDAÑEZ,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-07-01,0,9,9
ACHACACHI,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,1,1
ALCALA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,3,3
AZURDUY,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,13,13
BETANZOS,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,17,17
BOLPEBRA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,2,2
BUENA VISTA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,1,1
CAMARGO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,18,18
CAMATAQUI (C. VILLA ABECIA),vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,2,2
CAPINOTA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,28,28
CARACOLLO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,12,12
CARIPUYO,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,1,1
CARMEN RIVERO TORREZ,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,4,4
CHALLAPATA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,48,48
CHAYANTA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,1,1
CHIMORE,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,30,30
CHUMA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,2,2
COBIJA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,30,30
COCAPATA,vih - sifilis,no de mujeres embarazadas con prueba rapida vih (2da prueba),2024-08-01,0,17,17
