,group,variable,month,5. Nº DE MUJERES EMBARAZADAS CON PRUEBA PARA SIFILIS (2DA PRUEBA) CANTIDAD,5. Nº DE MUJERES EMBARAZADAS CON PRUEBA PARA SIFILIS (2DA PRUEBA) CANTIDAD,TOTALES
MIZQUE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,9,9
MOJOCOYA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,7,7
MONTEAGUDO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,21,21
MONTERO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,22,22
ORURO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,162,162
PADCAYA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,8,8
PADILLA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,12,12
PAILON,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,1,1
POCOATA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,4,4
PORCO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,5,5
POROMA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,10,10
PORONGO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,2,2
POTOSI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,8,8
PRESTO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,6,6
PUERTO VILLARROEL,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,17,17
RAVELO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,3,3
RIBERALTA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,3,3
ROBORE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,14,14
SACABA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,14,14
SALINAS DE GARCI MENDOZA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,4,4
SAN IGNACIO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,12,12
SAN JUAN DE YAPACANI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,5,5
SAN JULIAN,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,11,11
SAN LORENZO(PND),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,1,1
SAN LUCAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,36,36
SAN PEDRO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,9,9
SAN PEDRO DE BUENA VISTA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,5,5
SANTA CRUZ DE LA SIERRA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,109,109
SANTA ROSA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,1,1
SANTA ROSA DEL SARA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,6,6
SOPACHUY,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,6,6
SUCRE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,265,265
TARABUCO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,11,11
TARIJA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,33,33
TARVITA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,9,9
TINGUIPAYA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,1,1
TOLEDO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,2,2
TOMINA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,5,5
TOTORA(ORR),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,1,1
VILA VILA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,3,3
VILLA CHARCAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,17,17
VILLA SERRANO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,11,11
VILLA TUNARI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,3,3
VILLA VACA GUZMAN (MUYUPAMPA),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,4,4
VILLAZON,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,12,12
VINTO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,112,112
YACUIBA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,2,2
YAMPARAEZ,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,2,2
YOTALA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,6,6
ZUDAÑEZ,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-07-01,0,9,9
ALCALA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,3,3
AZURDUY,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,13,13
BETANZOS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,17,17
CAMARGO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,18,18
CAMATAQUI (C. VILLA ABECIA),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,2,2
CAPINOTA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,28,28
CARACOLLO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,14,14
CARIPUYO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,1,1
CARMEN RIVERO TORREZ,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,4,4
CHALLAPATA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,77,77
CHARAGUA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,1,1
CHIMORE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,30,30
CHUMA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,2,2
COBIJA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,3,3
COCAPATA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,17,17
COCHABAMBA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,60,60
"COLCHA ""K""",vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,4,4
COLOMI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,23,23
COLQUECHACA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,12,12
COTOCA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,29,29
CUATRO CAÑADAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,5,5
CULPINA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,2,2
CURAHUARA DE CARANGAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,2,2
EL ALTO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,23,23
EL PUENTE(STC),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,3,3
EL VILLAR,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,1,1
ENTRE RIOS TRJ,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,6,6
ENTRE RIOS CBBA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,57,57
EUCALIPTUS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,1,1
FERNANDEZ ALONSO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,3,3
HUACARETA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,9,9
HUANUNI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,47,47
HUAYLLAMARCA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,3,3
ICLA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,1,1
INCAHUASI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,15,15
JESUS DE MACHACA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,1,1
LA ASUNTA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,10,10
LA PAZ,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,18,18
LAJA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,2,2
LAS CARRERAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,2,2
LLICA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,1,1
MACHACAMARCA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,3,3
MACHARETI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,4,4
MAIRANA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,11,11
MIZQUE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,7,7
MOJOCOYA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,2,2
MONTEAGUDO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,33,33
MONTERO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,42,42
OCURI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,10,10
ORURO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,252,252
PADCAYA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,6,6
PADILLA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,5,5
POOPO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,3,3
PORCO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,3,3
POROMA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,18,18
PORONGO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,1,1
POTOSI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,13,13
PRESTO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,6,6
PUERTO VILLARROEL,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,12,12
RAVELO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,2,2
RIBERALTA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,8,8
ROBORE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,9,9
SACABA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,16,16
SALINAS DE GARCI MENDOZA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,1,1
SAN CARLOS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,3,3
SAN IGNACIO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,12,12
SAN JUAN DE YAPACANI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,3,3
SAN JULIAN,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,7,7
SAN LUCAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,36,36
SAN PEDRO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,5,5
SAN PEDRO DE BUENA VISTA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,8,8
SANTA CRUZ DE LA SIERRA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,245,245
SANTA ROSA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,2,2
SANTA ROSA DEL SARA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,11,11
SANTIAGO DE HUARI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,3,3
SOPACHUY,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,5,5
SORACACHI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,2,2
SUCRE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,268,268
TARABUCO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,13,13
TARIJA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,32,32
TARVITA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,13,13
TINGUIPAYA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,2,2
TOLEDO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,1,1
TOMINA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,6,6
TORO TORO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,2,2
VALLEGRANDE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,1,1
VILA VILA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,3,3
VILLA CHARCAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,12,12
VILLA SERRANO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,7,7
VILLA VACA GUZMAN (MUYUPAMPA),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,7,7
VILLAZON,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,7,7
VINTO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,104,104
YACUIBA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,6,6
YAMPARAEZ,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,3,3
YOTALA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,16,16
ZUDAÑEZ,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-08-01,0,6,6
ALCALA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,1,1
ANTEQUERA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,3,3
AZURDUY,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,14,14
BETANZOS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,12,12
"CAIZA ""D""",vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,7,7
CAMARGO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,5,5
CAMATAQUI (C. VILLA ABECIA),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,1,1
CAPINOTA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,25,25
CARACOLLO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,11,11
CARIPUYO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,1,1
CARMEN RIVERO TORREZ,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,4,4
CHALLAPATA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,43,43
CHAYANTA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,4,4
CHIMORE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,24,24
CHUMA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,1,1
CKOCHAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,1,1
COBIJA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,3,3
COCAPATA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,11,11
COCHABAMBA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,35,35
"COLCHA ""K""",vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,2,2
COLOMI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,9,9
COLQUECHACA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,3,3
CONCEPCION,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,69,69
COTOCA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,32,32
CUATRO CAÑADAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,2,2
CURAHUARA DE CARANGAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,2,2
EL ALTO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,305,305
EL TORNO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,5,5
EL VILLAR,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,2,2
ENTRE RIOS TRJ,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,10,10
ENTRE RIOS CBBA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,6,6
EUCALIPTUS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,2,2
FERNANDEZ ALONSO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,8,8
HUACARETA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,2,2
HUANUNI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,33,33
HUAYLLAMARCA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,2,2
ICLA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,1,1
INCAHUASI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,12,12
JESUS DE MACHACA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,1,1
LAJA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,5,5
LAS CARRERAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,2,2
LLICA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,2,2
MACHACAMARCA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,3,3
MACHARETI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,5,5
MAIRANA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,4,4
MIZQUE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,17,17
MOJOCOYA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,2,2
MONTEAGUDO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,24,24
MONTERO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,35,35
OCURI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,5,5
ORURO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,217,217
PADCAYA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,16,16
PADILLA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,12,12
PAILON,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,1,1
PAMPA GRANDE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,6,6
POCOATA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,21,21
PORCO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,17,17
POROMA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,9,9
PORONGO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,3,3
POTOSI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,18,18
PRESTO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,2,2
PUERTO RICO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,2,2
PUERTO VILLARROEL,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,11,11
RAVELO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,5,5
RIBERALTA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,6,6
ROBORE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,7,7
SACABA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,7,7
SACACA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,1,1
SALINAS DE GARCI MENDOZA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,2,2
SAN CARLOS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,1,1
SAN IGNACIO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,11,11
SAN JUAN DE YAPACANI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,2,2
SAN JULIAN,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,3,3
SAN LUCAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,29,29
SAN PEDRO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,4,4
SAN PEDRO DE BUENA VISTA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,6,6
SANTA CRUZ DE LA SIERRA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,87,87
SANTA ROSA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,5,5
SANTA ROSA DEL SARA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,7,7
SANTIAGO DE HUARI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,3,3
SUCRE,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,289,289
TAPACARI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,7,7
TARABUCO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,10,10
TARIJA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,37,37
TARVITA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,10,10
TINGUIPAYA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,1,1
TOLEDO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,4,4
TOMINA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,6,6
TOTORA(ORR),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,1,1
VILA VILA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,1,1
VILLA CHARCAS,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,12,12
VILLA SERRANO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,14,14
VILLA TUNARI,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,29,29
VILLA VACA GUZMAN (MUYUPAMPA),vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,8,8
VILLAZON,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,34,34
VINTO,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,79,79
YACUIBA,vih - sifilis,no de mujeres embarazadas con prueba para sifilis (2da prueba),2024-09-01,0,13,13
