,group,variable,month,L 1810 ANTIPOLIOMIELÍTICA 4TA DOSIS,L 1810 ANTIPOLIOMIELÍTICA 4TA DOSIS,TOTALES,TOTALES,TOTALES
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-03-01,11,0,11,0,11
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-03-01,311,17,311,17,328
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-03-01,11,18,11,18,29
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-03-01,2,15,2,15,17
SANTIAGO DE CALLAPA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-03-01,0,2,0,2,2
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-03-01,0,1,0,1,1
SANTIAGO DE MACHACA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-03-01,5,0,5,0,5
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-03-01,0,1,0,1,1
SAPAHAQUI,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-03-01,2,4,2,4,6
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-03-01,25,5,25,5,30
SOPACHUY,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-03-01,3,1,3,1,4
SORATA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-03-01,0,8,0,8,8
SUCRE,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-03-01,142,15,142,15,157
TACOBAMBA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-03-01,2,4,2,4,6
TACOPAYA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-03-01,1,0,1,0,1
TAPACARI,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-03-01,17,28,17,28,45
TARABUCO,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-03-01,2,2,2,2,4
TARIJA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-03-01,178,10,178,10,188
TARVITA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-03-01,16,19,16,19,35
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-03-01,3,0,3,0,3
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-03-01,2,2,2,2,4
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-03-01,0,4,0,4,4
TOLATA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-03-01,0,9,0,9,9
TOLEDO,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-03-01,1,0,1,0,1
TOMAVE,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-03-01,0,6,0,6,6
TOMINA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-03-01,12,4,12,4,16
TORO TORO,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-03-01,0,3,0,3,3
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-03-01,20,25,20,25,45
TOTORA(ORR),vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-03-01,0,3,0,3,3
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-03-01,35,0,35,0,35
TUPIZA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-03-01,78,52,78,52,130
UNCIA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-03-01,32,41,32,41,73
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-03-01,8,1,8,1,9
URUBICHA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-03-01,3,0,3,0,3
UYUNI,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-03-01,7,0,7,0,7
VALLEGRANDE,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-03-01,17,0,17,0,17
VIACHA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-03-01,5,6,5,6,11
VILLA CHARCAS,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-03-01,3,13,3,13,16
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-03-01,38,4,38,4,42
VILLA RIVERO,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-03-01,0,2,0,2,2
VILLA SERRANO,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-03-01,17,6,17,6,23
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-03-01,22,2,22,2,24
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-03-01,5,6,5,6,11
VILLAZON,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-03-01,26,9,26,9,35
VINTO,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-03-01,21,0,21,0,21
WARNES,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-03-01,32,9,32,9,41
YACUIBA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-03-01,75,4,75,4,79
YAMPARAEZ,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-03-01,1,0,1,0,1
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-03-01,1,3,1,3,4
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,1,1,1,1,2
AIQUILE,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,2,0,2,0,2
ALCALA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,11,3,11,3,14
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,3,1,3,1,4
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,1,1,1,1,2
ARBIETO,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,0,24,0,24,24
ARQUE,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,5,0,5,0,5
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,1,3,1,3,4
AZURDUY,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,2,2,2,2,4
BATALLAS,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,1,9,1,9,10
BERMEJO,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,19,29,19,29,48
BETANZOS,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,46,16,46,16,62
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,0,4,0,4,4
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,4,0,4,0,4
CABEZAS,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,4,18,4,18,22
CALACOTO,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,0,4,0,4,4
CAMARGO,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,15,11,15,11,26
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,4,6,4,6,10
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,2,6,2,6,8
CARAPARI,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,14,10,14,10,24
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,3,29,3,29,32
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,6,22,6,22,28
CHAQUI,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,3,4,3,4,7
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,9,3,9,3,12
CHARAÑA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,0,2,0,2,2
CHIMORE,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,2,4,2,4,6
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,5,0,5,0,5
COBIJA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,1,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,74,0,74,0,74
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,27,0,27,0,27
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,13,3,13,3,16
COLOMI,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,0,7,0,7,7
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,0,1,0,1,1
COMANCHE,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,10,3,10,3,13
CORO CORO,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,4,4,4,4,8
CORQUE,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,1,3,1,3,4
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,2,4,2,4,6
COTOCA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,21,12,21,12,33
CUEVO,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,8,2,8,2,10
CULPINA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,8,21,8,21,29
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,0,4,0,4,4
EL ALTO,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,115,91,115,91,206
EL TORNO,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,70,65,70,65,135
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,2,10,2,10,12
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,10,0,10,0,10
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,7,13,7,13,20
HUACARETA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,10,4,10,4,14
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,2,0,2,0,2
HUARINA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,2,0,2,0,2
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,0,3,0,3,3
ICLA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,1,11,1,11,12
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,23,25,23,25,48
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,1,3,1,3,4
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,2,0,2,0,2
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,12,8,12,8,20
LA PAZ,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,75,31,75,31,106
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,6,2,6,2,8
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,1,9,1,9,10
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,0,193,0,193,193
LURIBAY,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,2,0,2,0,2
MACHARETI,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,4,1,4,1,5
MIZQUE,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,4,0,4,0,4
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,44,9,44,9,53
MONTERO,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,139,8,139,8,147
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,0,1,0,1,1
ORURO,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,20,0,20,0,20
PADCAYA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,11,8,11,8,19
PADILLA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,13,6,13,6,19
PAILON,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,3,37,3,37,40
PALCA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,0,4,0,4,4
PAMPA AULLAGAS,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,3,1,3,1,4
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,3,0,3,0,3
POCOATA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,0,9,0,9,9
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,1,4,1,4,5
POROMA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,18,29,18,29,47
PORONGO,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,3,3,3,3,6
POTOSI,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,3,23,3,23,26
PRESTO,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,5,13,5,13,18
PUCARANI,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,3,0,3,0,3
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,3,0,3,0,3
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,11,0,11,0,11
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,11,4,11,4,15
PUNATA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,1,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,1,0,1,0,1
RAVELO,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,1,19,1,19,20
ROBORE,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,0,2,0,2,2
SACABA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,3,0,3,0,3
SACABAMBA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,0,1,0,1,1
SACACA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,4,6,4,6,10
SAIPINA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,0,3,0,3,3
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,7,5,7,5,12
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,11,9,11,9,20
SAN ANDRES DE MACHACA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,0,4,0,4,4
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,10,3,10,3,13
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,4,0,4,0,4
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,48,2,48,2,50
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,8,0,8,0,8
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,0,6,0,6,6
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,1,1,1,1,2
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,18,40,18,40,58
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,3,16,3,16,19
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,11,5,11,5,16
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,1,6,1,6,7
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,2,4,2,4,6
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,10,18,10,18,28
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,5,0,5,0,5
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,316,105,316,105,421
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,7,0,7,0,7
SANTIAGO DE CALLAPA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,0,4,0,4,4
SANTIAGO DE HUATA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,0,1,0,1,1
SANTIAGO DE MACHACA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,5,5,5,5,10
SAPAHAQUI,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,1,0,1,0,1
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,3,2,3,2,5
SORATA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,0,17,0,17,17
SUCRE,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,90,13,90,13,103
TACOBAMBA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,2,0,2,0,2
TACOPAYA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,10,0,10,0,10
TAPACARI,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,7,2,7,2,9
TARABUCO,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,20,12,20,12,32
TARATA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,6,6,6,6,12
TARIJA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,119,31,119,31,150
TARVITA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,6,16,6,16,22
TIPUANI,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,7,5,7,5,12
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,24,14,24,14,38
TOCO,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,1,0,1,0,1
TOLATA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,0,5,0,5,5
TOMINA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,6,13,6,13,19
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,0,4,0,4,4
TRIGAL,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,1,3,1,3,4
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,0,5,0,5,5
TUPIZA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,12,9,12,9,21
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,3,0,3,0,3
VALLEGRANDE,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,1,0,1,0,1
VIACHA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,16,32,16,32,48
VILA VILA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,0,10,0,10,10
VILLA CHARCAS,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,5,17,5,17,22
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,20,6,20,6,26
VILLA SERRANO,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,0,3,0,3,3
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,1,0,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,5,4,5,4,9
VILLAZON,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,37,2,37,2,39
WARNES,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,26,6,26,6,32
YACUIBA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,43,37,43,37,80
YOTALA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,2,21,2,21,23
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-04-01,4,14,4,14,18
AIQUILE,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-05-01,7,3,7,3,10
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-05-01,1,0,1,0,1
ARBIETO,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-05-01,0,5,0,5,5
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-05-01,0,2,0,2,2
BELEN DE ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-05-01,1,0,1,0,1
BETANZOS,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-05-01,2,0,2,0,2
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-05-01,2,2,2,2,4
CHIMORE,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-05-01,2,1,2,1,3
COBIJA,vacunaciones en ninos de 12 a 23 meses,l 1810       antipoliomielitica 4ta dosis,2012-05-01,26,16,26,16,42
