,group,variable,month,L 18.4 DPT 2DA DOSIS,L 18.4 DPT 2DA DOSIS,TOTALES,TOTALES,TOTALES
EL ALTO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-10-01,13,3,13,3,16
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-10-01,1,0,1,0,1
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-10-01,1,0,1,0,1
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-10-01,1,1,1,1,2
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-10-01,1,1,1,1,2
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-10-01,1,0,1,0,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-10-01,1,0,1,0,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-10-01,7,0,7,0,7
MONTERO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-10-01,4,1,4,1,5
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-10-01,0,1,0,1,1
ORURO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-10-01,9,1,9,1,10
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-10-01,2,0,2,0,2
PORCO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-10-01,17,0,17,0,17
POTOSI,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-10-01,3,0,3,0,3
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-10-01,0,3,0,3,3
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-10-01,1,0,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-10-01,2,0,2,0,2
PUNA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-10-01,1,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-10-01,6,1,6,1,7
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-10-01,1,0,1,0,1
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-10-01,1,0,1,0,1
SACABA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-10-01,3,0,3,0,3
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-10-01,1,0,1,0,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-10-01,4,2,4,2,6
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-10-01,0,1,0,1,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-10-01,2,22,2,22,24
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-10-01,0,1,0,1,1
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-10-01,1,0,1,0,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-10-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-10-01,29,20,29,20,49
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-10-01,3,3,3,3,6
SUCRE,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-10-01,1,0,1,0,1
TARIJA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-10-01,0,2,0,2,2
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-10-01,2,2,2,2,4
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-10-01,0,1,0,1,1
VILLAZON,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-10-01,2,0,2,0,2
WARNES,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-10-01,20,0,20,0,20
CAJUATA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-11-01,0,25,0,25,25
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-11-01,0,1,0,1,1
CARAPARI,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-11-01,2,0,2,0,2
CHIMORE,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-11-01,1,0,1,0,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-11-01,0,1,0,1,1
COCAPATA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-11-01,0,3,0,3,3
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-11-01,9,3,9,3,12
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-11-01,2,0,2,0,2
COLOMI,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-11-01,1,1,1,1,2
COTOCA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-11-01,2,0,2,0,2
EL ALTO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-11-01,58,4,58,4,62
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-11-01,1,3,1,3,4
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-11-01,2,0,2,0,2
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-11-01,3,1,3,1,4
HUANUNI,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-11-01,1,1,1,1,2
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-11-01,0,1,0,1,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-11-01,1,0,1,0,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-11-01,10,56,10,56,66
LORETO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-11-01,0,1,0,1,1
MINEROS,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-11-01,27,2,27,2,29
MIZQUE,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-11-01,1,0,1,0,1
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-11-01,0,1,0,1,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-11-01,5,0,5,0,5
ORURO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-11-01,8,0,8,0,8
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-11-01,1,0,1,0,1
PORVENIR,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-11-01,0,1,0,1,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-11-01,8,0,8,0,8
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-11-01,0,2,0,2,2
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-11-01,1,1,1,1,2
PUNATA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-11-01,2,0,2,0,2
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-11-01,5,4,5,4,9
REYES,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-11-01,1,0,1,0,1
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-11-01,2,1,2,1,3
SACABA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-11-01,3,0,3,0,3
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-11-01,0,5,0,5,5
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-11-01,1,1,1,1,2
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-11-01,1,0,1,0,1
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-11-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-11-01,1,0,1,0,1
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-11-01,0,2,0,2,2
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-11-01,0,1,0,1,1
SAN PEDRO(PND),vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-11-01,0,1,0,1,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-11-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-11-01,54,7,54,7,61
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-11-01,3,2,3,2,5
SUCRE,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-11-01,2,3,2,3,5
TACACOMA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-11-01,1,0,1,0,1
TARIJA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-11-01,10,1,10,1,11
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-11-01,1,2,1,2,3
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-11-01,4,1,4,1,5
TUPIZA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-11-01,1,0,1,0,1
VIACHA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-11-01,2,0,2,0,2
WARNES,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-11-01,3,0,3,0,3
YAMPARAEZ,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-11-01,1,1,1,1,2
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-11-01,0,11,0,11,11
ARBIETO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-12-01,2,0,2,0,2
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-12-01,1,0,1,0,1
BERMEJO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-12-01,1,0,1,0,1
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-12-01,2,0,2,0,2
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-12-01,1,0,1,0,1
CHIMORE,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-12-01,0,6,0,6,6
COBIJA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-12-01,7,7,7,7,14
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-12-01,5,1,5,1,6
COLOMI,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-12-01,0,1,0,1,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-12-01,18,3,18,3,21
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-12-01,0,1,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-12-01,2,1,2,1,3
HUACARETA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-12-01,0,2,0,2,2
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-12-01,1,0,1,0,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-12-01,10,0,10,0,10
LORETO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-12-01,0,1,0,1,1
MACHARETI,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-12-01,1,0,1,0,1
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-12-01,0,1,0,1,1
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-12-01,1,0,1,0,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-12-01,8,0,8,0,8
ORURO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-12-01,5,3,5,3,8
POTOSI,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-12-01,2,0,2,0,2
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-12-01,2,0,2,0,2
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-12-01,3,3,3,3,6
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-12-01,2,0,2,0,2
ROBORE,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-12-01,1,0,1,0,1
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-12-01,0,2,0,2,2
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-12-01,2,3,2,3,5
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-12-01,0,2,0,2,2
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-12-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-12-01,31,5,31,5,36
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-12-01,1,1,1,1,2
SUCRE,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-12-01,1,0,1,0,1
TAPACARI,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-12-01,1,1,1,1,2
TARIJA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-12-01,4,1,4,1,5
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-12-01,1,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-12-01,4,1,4,1,5
VIACHA,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-12-01,1,0,1,0,1
WARNES,vacunaciones en ninos de 12 a 23 meses,l 18.4       dpt 2da dosis,2012-12-01,6,0,6,0,6
