,group,variable,month,L 18.2 ANTI AMARÍLICA,L 18.2 ANTI AMARÍLICA,TOTALES,TOTALES,TOTALES
POCOATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,10,40,10,40,50
POCONA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,4,44,4,44,48
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,21,8,21,8,29
POOPO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,8,6,8,6,14
PORCO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,12,50,12,50,62
POROMA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,15,25,15,25,40
PORONGO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,9,22,9,22,31
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,65,10,65,10,75
PORVENIR,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,4,15,4,15,19
POSTRER VALLE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,0,3,0,3,3
POTOSI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,364,30,364,30,394
PRESTO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,3,10,3,10,13
PUCARANI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,20,35,20,35,55
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,1,14,1,14,15
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,2,18,2,18,20
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,7,4,7,4,11
PUERTO PEREZ,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,1,9,1,9,10
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,21,24,21,24,45
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,17,14,17,14,31
PUERTO SILES,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,2,2,2,2,4
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,13,34,13,34,47
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,98,26,98,26,124
PUNA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,11,41,11,41,52
PUNATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,56,5,56,5,61
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,190,15,190,15,205
QUIME,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,0,12,0,12,12
QUIRUSILLAS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,5,1,5,1,6
RAVELO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,18,55,18,55,73
REYES,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,25,5,25,5,30
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,166,133,166,133,299
ROBORE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,11,9,11,9,20
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,31,40,31,40,71
SABAYA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,6,6,6,6,12
SACABA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,247,33,247,33,280
SACACA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,10,27,10,27,37
SAIPINA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,3,18,3,18,21
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,8,8,8,8,16
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,6,16,6,16,22
SAN AGUSTIN,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,0,1,0,1,1
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,37,12,37,12,49
SAN ANDRES DE MACHACA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,1,3,1,3,4
SAN ANTONIO DE ESMORUCO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,0,1,0,1,1
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,5,5,5,5,10
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,9,5,9,5,14
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,73,38,73,38,111
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,4,0,4,0,4
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,39,20,39,20,59
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,22,50,22,50,72
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,78,20,78,20,98
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,2,13,2,13,15
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,25,6,25,6,31
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,5,2,5,2,7
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,36,10,36,10,46
SAN JUAN DE YAPACANI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,9,5,9,5,14
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,64,59,64,59,123
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,0,2,0,2,2
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,37,11,37,11,48
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,36,20,36,20,56
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,5,12,5,12,17
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,8,9,8,9,17
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,16,5,16,5,21
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,14,31,14,31,45
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,13,8,13,8,21
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,5,7,5,7,12
SAN PEDRO(PND),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,0,1,0,1,1
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,5,14,5,14,19
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,2,12,2,12,14
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,25,1,25,1,26
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,24,18,24,18,42
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,2397,150,2397,150,2547
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,29,20,29,20,49
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,16,21,16,21,37
SANTIAGO DE CALLAPA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,1,16,1,16,17
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,9,3,9,3,12
SANTIAGO DE HUATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,3,16,3,16,19
SANTIAGO DE MACHACA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,1,6,1,6,7
SANTIVAÑES,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,1,3,1,3,4
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,4,3,4,3,7
SAPAHAQUI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,2,8,2,8,10
SENA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,2,6,2,6,8
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,55,11,55,11,66
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,10,29,10,29,39
SICAYA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,4,8,4,8,12
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,70,8,70,8,78
SOPACHUY,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,6,3,6,3,9
SORACACHI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,8,8,8,8,16
SORATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,13,30,13,30,43
SUCRE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,561,130,561,130,691
TACACHI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,3,1,3,1,4
TACACOMA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,13,2,13,2,15
TACOBAMBA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,2,9,2,9,11
TACOPAYA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,15,2,15,2,17
TAPACARI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,24,29,24,29,53
TARABUCO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,14,10,14,10,24
TARACO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,4,6,4,6,10
TARATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,25,5,25,5,30
TARIJA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,328,63,328,63,391
TARVITA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,12,14,12,14,26
TEOPONTE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,7,3,7,3,10
TIAWANACU,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,16,0,16,0,16
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,35,17,35,17,52
TIPUANI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,5,9,5,9,14
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,74,38,74,38,112
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,25,12,25,12,37
TODOS SANTOS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,2,0,2,0,2
TOLEDO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,8,0,8,0,8
TOMAVE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,4,6,4,6,10
TOMINA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,13,8,13,8,21
TORO TORO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,5,23,5,23,28
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,13,12,13,12,25
TOTORA(ORR),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,3,7,3,7,10
TRIGAL,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,1,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,241,106,241,106,347
TUPIZA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,67,23,67,23,90
TURCO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,2,2,2,2,4
UMALA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,0,9,0,9,9
UNCIA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,54,8,54,8,62
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,6,21,6,21,27
URUBICHA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,14,15,14,15,29
UYUNI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,36,11,36,11,47
VACAS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,6,7,6,7,13
VALLEGRANDE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,19,4,19,4,23
VIACHA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,81,10,81,10,91
VILA VILA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,1,3,1,3,4
VILLA CHARCAS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,6,23,6,23,29
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,44,18,44,18,62
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,0,3,0,3,3
VILLA RIVERO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,5,14,5,14,19
VILLA SERRANO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,12,12,12,12,24
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,147,68,147,68,215
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,9,13,9,13,22
VILLAZON,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,74,31,74,31,105
VINTO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,126,0,126,0,126
VITICHI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,2,18,2,18,20
WARNES,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,194,49,194,49,243
YACO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,3,9,3,9,12
YACUIBA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,96,105,96,105,201
YAMPARAEZ,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,13,4,13,4,17
YANACACHI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,2,5,2,5,7
YAPACANI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,84,38,84,38,122
YOCALLA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,1,1,1,1,2
YOTALA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,5,8,5,8,13
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,1,2,1,2,3
ZUDAÑEZ,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-07-01,6,11,6,11,17
ACACIO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,2,7,2,7,9
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,43,65,43,65,108
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,17,29,17,29,46
AIQUILE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,33,21,33,21,54
ALALAY,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,0,10,0,10,10
ALCALA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,0,2,0,2,2
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,23,1,23,1,24
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,25,8,25,8,33
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,1,0,1,0,1
ANTEQUERA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,3,6,3,6,9
ANZALDO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,10,16,10,16,26
APOLO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,22,15,22,15,37
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,6,6,6,6,12
ARANI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,21,0,21,0,21
ARBIETO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,9,15,9,15,24
ARQUE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,19,34,19,34,53
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,82,12,82,12,94
ATOCHA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,4,23,4,23,27
AUCAPATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,3,7,3,7,10
AYATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,9,13,9,13,22
AYO AYO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,7,16,7,16,23
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,23,20,23,20,43
AZURDUY,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,9,10,9,10,19
BATALLAS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,26,23,26,23,49
BAURES,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,8,14,8,14,22
BELEN DE ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,1,0,1,0,1
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,0,24,0,24,24
BERMEJO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,41,81,41,81,122
BETANZOS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,28,48,28,48,76
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,5,10,5,10,15
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,0,5,0,5,5
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,10,7,10,7,17
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,3,17,3,17,20
CABEZAS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,13,50,13,50,63
CAIROMA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,7,6,7,6,13
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,21,12,21,12,33
CAJUATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,19,6,19,6,25
CALACOTO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,9,1,9,1,10
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,21,2,21,2,23
CAMARGO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,9,6,9,6,15
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,1,1,1,1,2
CAMIRI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,92,34,92,34,126
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,23,0,23,0,23
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,2,11,2,11,13
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,16,31,16,31,47
CARANAVI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,128,35,128,35,163
CARAPARI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,6,16,6,16,22
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,0,34,0,34,34
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,0,8,0,8,8
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,31,35,31,35,66
CHAQUI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,6,6,6,6,12
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,12,83,12,83,95
CHARAÑA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,5,2,5,2,7
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,18,43,18,43,61
CHIMORE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,69,8,69,8,77
CHIPAYA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,5,0,5,0,5
CHOQUE COTA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,3,0,3,0,3
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,11,17,11,17,28
CHUMA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,0,8,0,8,8
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,25,29,25,29,54
CLIZA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,18,13,18,13,31
COBIJA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,82,52,82,52,134
COCAPATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,11,20,11,20,31
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,1172,35,1172,35,1207
COIPASA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,0,3,0,3,3
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,142,9,142,9,151
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,26,13,26,13,39
COLLANA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,1,3,1,3,4
COLOMI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,36,30,36,30,66
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,4,10,4,10,14
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,12,54,12,54,66
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,1,24,1,24,25
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,1,48,1,48,49
COMANCHE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,0,1,0,1,1
COMARAPA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,21,21,21,21,42
COMBAYA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,0,2,0,2,2
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,43,11,43,11,54
COPACABANA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,9,9,9,9,18
CORIPATA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,14,29,14,29,43
CORO CORO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,2,9,2,9,11
COROICO,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,18,23,18,23,41
CORQUE,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,9,7,9,7,16
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,3,38,3,38,41
COTOCA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,121,17,121,17,138
CRUZ DE MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,0,1,0,1,1
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,40,12,40,12,52
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en ninos de 12 a 23 meses,l 18.2       anti amarilica,2012-08-01,0,9,0,9,9
