,group,variable,month,L 18.8 ANTIPOLIOMIELÍTICA 2DA DOSIS,L 18.8 ANTIPOLIOMIELÍTICA 2DA DOSIS,TOTALES,TOTALES,TOTALES
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-09-01,1,0,1,0,1
PASORAPA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-09-01,4,0,4,0,4
POTOSI,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-09-01,5,0,5,0,5
PUNATA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-09-01,2,2,2,2,4
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-09-01,1,3,1,3,4
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-09-01,1,0,1,0,1
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-09-01,0,1,0,1,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-09-01,2,3,2,3,5
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-09-01,1,0,1,0,1
SAN PABLO DE LIPEZ,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-09-01,2,0,2,0,2
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-09-01,1,0,1,0,1
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-09-01,0,2,0,2,2
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-09-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-09-01,38,0,38,0,38
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-09-01,2,0,2,0,2
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-09-01,1,3,1,3,4
SUCRE,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-09-01,1,1,1,1,2
TARIJA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-09-01,1,0,1,0,1
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-09-01,0,2,0,2,2
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-09-01,1,1,1,1,2
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-09-01,3,2,3,2,5
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-09-01,0,1,0,1,1
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-09-01,1,2,1,2,3
YACUIBA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-09-01,0,1,0,1,1
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-10-01,0,1,0,1,1
ARBIETO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-10-01,3,0,3,0,3
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-10-01,4,0,4,0,4
CAMIRI,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-10-01,0,1,0,1,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-10-01,0,1,0,1,1
CLIZA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-10-01,1,3,1,3,4
COBIJA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-10-01,0,2,0,2,2
COCAPATA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-10-01,0,2,0,2,2
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-10-01,18,0,18,0,18
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-10-01,1,0,1,0,1
COLOMI,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-10-01,0,4,0,4,4
COTOCA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-10-01,3,0,3,0,3
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-10-01,2,2,2,2,4
EL ALTO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-10-01,14,5,14,5,19
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-10-01,1,0,1,0,1
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-10-01,1,0,1,0,1
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-10-01,5,1,5,1,6
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-10-01,1,0,1,0,1
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-10-01,1,0,1,0,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-10-01,1,0,1,0,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-10-01,12,0,12,0,12
MONTERO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-10-01,4,1,4,1,5
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-10-01,3,1,3,1,4
ORURO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-10-01,7,2,7,2,9
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-10-01,2,0,2,0,2
POTOSI,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-10-01,2,2,2,2,4
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-10-01,1,0,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-10-01,3,0,3,0,3
PUNA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-10-01,1,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-10-01,6,1,6,1,7
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-10-01,2,0,2,0,2
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-10-01,1,0,1,0,1
SACABA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-10-01,3,0,3,0,3
SACACA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-10-01,0,2,0,2,2
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-10-01,1,0,1,0,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-10-01,4,2,4,2,6
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-10-01,0,3,0,3,3
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-10-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-10-01,2,0,2,0,2
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-10-01,0,1,0,1,1
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-10-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-10-01,50,24,50,24,74
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-10-01,3,4,3,4,7
TARIJA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-10-01,0,2,0,2,2
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-10-01,2,2,2,2,4
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-10-01,0,2,0,2,2
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-10-01,0,2,0,2,2
VILLAZON,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-10-01,2,0,2,0,2
WARNES,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-10-01,20,0,20,0,20
BETANZOS,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-11-01,2,0,2,0,2
CARAPARI,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-11-01,1,0,1,0,1
CHIMORE,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-11-01,1,0,1,0,1
CHUMA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-11-01,0,2,0,2,2
COBIJA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-11-01,0,1,0,1,1
COCAPATA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-11-01,0,3,0,3,3
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-11-01,25,3,25,3,28
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-11-01,4,0,4,0,4
COLOMI,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-11-01,1,1,1,1,2
COTOCA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-11-01,2,0,2,0,2
EL ALTO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-11-01,75,7,75,7,82
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-11-01,1,3,1,3,4
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-11-01,2,0,2,0,2
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-11-01,1,0,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-11-01,3,1,3,1,4
HUANUNI,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-11-01,1,1,1,1,2
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-11-01,0,1,0,1,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-11-01,1,0,1,0,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-11-01,7,3,7,3,10
LORETO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-11-01,0,1,0,1,1
MINEROS,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-11-01,0,2,0,2,2
MIZQUE,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-11-01,1,0,1,0,1
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-11-01,2,2,2,2,4
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-11-01,0,1,0,1,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-11-01,4,0,4,0,4
ORURO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-11-01,8,0,8,0,8
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-11-01,1,0,1,0,1
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-11-01,0,1,0,1,1
PORVENIR,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-11-01,0,1,0,1,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-11-01,7,0,7,0,7
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-11-01,1,1,1,1,2
PUNATA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-11-01,2,0,2,0,2
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-11-01,5,4,5,4,9
REYES,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-11-01,1,0,1,0,1
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-11-01,1,1,1,1,2
SACABA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-11-01,1,0,1,0,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-11-01,0,5,0,5,5
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-11-01,1,1,1,1,2
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-11-01,1,0,1,0,1
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-11-01,1,0,1,0,1
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-11-01,0,24,0,24,24
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-11-01,1,0,1,0,1
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-11-01,1,0,1,0,1
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-11-01,2,0,2,0,2
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-11-01,0,1,0,1,1
SAN PEDRO(PND),vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-11-01,0,1,0,1,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-11-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-11-01,84,7,84,7,91
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-11-01,3,2,3,2,5
SUCRE,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-11-01,2,5,2,5,7
TARIJA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-11-01,6,1,6,1,7
TEOPONTE,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-11-01,0,2,0,2,2
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-11-01,1,2,1,2,3
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-11-01,0,2,0,2,2
TOCO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-11-01,0,3,0,3,3
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-11-01,3,1,3,1,4
TUPIZA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-11-01,1,0,1,0,1
VIACHA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-11-01,3,0,3,0,3
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-11-01,2,1,2,1,3
WARNES,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-11-01,3,0,3,0,3
YAMPARAEZ,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-11-01,1,1,1,1,2
ARBIETO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-12-01,2,0,2,0,2
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-12-01,1,0,1,0,1
BETANZOS,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-12-01,3,0,3,0,3
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-12-01,1,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-12-01,5,1,5,1,6
COLOMI,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-12-01,0,1,0,1,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-12-01,1,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-12-01,19,3,19,3,22
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-12-01,0,1,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-12-01,2,1,2,1,3
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-12-01,1,0,1,0,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-12-01,9,0,9,0,9
LORETO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-12-01,0,1,0,1,1
MACHARETI,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-12-01,1,0,1,0,1
MIZQUE,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-12-01,1,0,1,0,1
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-12-01,1,0,1,0,1
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-12-01,2,1,2,1,3
ORURO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-12-01,5,3,5,3,8
POTOSI,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-12-01,2,0,2,0,2
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-12-01,2,0,2,0,2
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-12-01,6,3,6,3,9
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-12-01,2,0,2,0,2
ROBORE,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-12-01,1,0,1,0,1
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-12-01,0,2,0,2,2
SACABAMBA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-12-01,0,1,0,1,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-12-01,4,4,4,4,8
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-12-01,0,2,0,2,2
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-12-01,2,0,2,0,2
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-12-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-12-01,88,19,88,19,107
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-12-01,0,1,0,1,1
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-12-01,1,1,1,1,2
SUCRE,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-12-01,1,1,1,1,2
TAPACARI,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-12-01,1,1,1,1,2
TARIJA,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-12-01,2,1,2,1,3
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-12-01,1,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-12-01,4,1,4,1,5
WARNES,vacunaciones en ninos de 12 a 23 meses,l 18.8       antipoliomielitica 2da dosis,2012-12-01,7,0,7,0,7
