,group,variable,month,L 18.6 DPT 4TA DOSIS,L 18.6 DPT 4TA DOSIS,TOTALES,TOTALES,TOTALES
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,1,5,1,5,6
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,2,4,2,4,6
COTOCA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,6,3,6,3,9
CUEVO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,8,2,8,2,10
CULPINA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,8,21,8,21,29
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,0,4,0,4,4
EL ALTO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,96,92,96,92,188
EL TORNO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,76,59,76,59,135
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,1,13,1,13,14
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,10,0,10,0,10
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,7,27,7,27,34
HUACARETA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,1,4,1,4,5
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,2,0,2,0,2
HUARINA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,2,0,2,0,2
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,0,5,0,5,5
ICLA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,1,11,1,11,12
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,35,45,35,45,80
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,1,3,1,3,4
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,2,0,2,0,2
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,12,6,12,6,18
LA PAZ,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,64,20,64,20,84
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,6,2,6,2,8
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,0,9,0,9,9
MACHARETI,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,4,1,4,1,5
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,47,9,47,9,56
MONTERO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,139,8,139,8,147
ORURO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,16,0,16,0,16
PADCAYA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,7,8,7,8,15
PADILLA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,13,6,13,6,19
PAILON,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,3,37,3,37,40
PALCA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,0,5,0,5,5
PAMPA AULLAGAS,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,1,0,1,0,1
POCOATA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,0,4,0,4,4
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,1,4,1,4,5
POROMA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,18,29,18,29,47
PORONGO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,2,0,2,0,2
POTOSI,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,3,13,3,13,16
PRESTO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,4,7,4,7,11
PUCARANI,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,7,4,7,4,11
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,2,0,2,0,2
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,11,0,11,0,11
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,8,4,8,4,12
RAVELO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,1,17,1,17,18
ROBORE,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,0,2,0,2,2
SACABA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,3,0,3,0,3
SAIPINA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,0,3,0,3,3
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,4,3,4,3,7
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,3,0,3,0,3
SAN ANDRES DE MACHACA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,0,5,0,5,5
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,10,3,10,3,13
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,3,0,3,0,3
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,49,2,49,2,51
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,8,0,8,0,8
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,0,6,0,6,6
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,1,0,1,0,1
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,18,40,18,40,58
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,3,16,3,16,19
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,11,5,11,5,16
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,1,6,1,6,7
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,0,2,0,2,2
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,10,18,10,18,28
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,5,0,5,0,5
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,296,104,296,104,400
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,7,0,7,0,7
SANTIAGO DE CALLAPA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,3,10,3,10,13
SAPAHAQUI,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,1,0,1,0,1
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,2,2,2,2,4
SORATA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,0,6,0,6,6
SUCRE,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,72,13,72,13,85
TACOBAMBA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,3,0,3,0,3
TARABUCO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,20,12,20,12,32
TARIJA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,44,16,44,16,60
TARVITA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,6,16,6,16,22
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,24,0,24,0,24
TOMINA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,6,13,6,13,19
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,0,4,0,4,4
TRIGAL,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,1,3,1,3,4
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,0,5,0,5,5
TUPIZA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,21,25,21,25,46
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,7,0,7,0,7
VALLEGRANDE,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,1,0,1,0,1
VILLA CHARCAS,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,7,17,7,17,24
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,24,8,24,8,32
VILLA SERRANO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,0,3,0,3,3
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,1,0,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,5,4,5,4,9
VILLAZON,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,38,2,38,2,40
WARNES,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,26,6,26,6,32
YACUIBA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,35,15,35,15,50
YOTALA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,0,21,0,21,21
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-04-01,4,14,4,14,18
AIQUILE,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-05-01,7,3,7,3,10
ATOCHA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-05-01,3,0,3,0,3
BELEN DE ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-05-01,1,0,1,0,1
CAJUATA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-05-01,0,1,0,1,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-05-01,2,2,2,2,4
CHIMORE,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-05-01,1,0,1,0,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-05-01,26,16,26,16,42
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-05-01,3,0,3,0,3
EL ALTO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-05-01,7,0,7,0,7
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-05-01,0,3,0,3,3
HUACARETA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-05-01,1,0,1,0,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-05-01,2,1,2,1,3
MACHARETI,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-05-01,10,8,10,8,18
ORURO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-05-01,106,0,106,0,106
PADCAYA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-05-01,1,1,1,1,2
PAZÑA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-05-01,1,0,1,0,1
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-05-01,0,1,0,1,1
POROMA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-05-01,2,0,2,0,2
PORVENIR,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-05-01,2,0,2,0,2
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-05-01,1,0,1,0,1
REYES,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-05-01,6,0,6,0,6
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-05-01,1,0,1,0,1
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-05-01,6,5,6,5,11
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-05-01,1,0,1,0,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-05-01,32,4,32,4,36
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-05-01,1,9,1,9,10
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-05-01,0,6,0,6,6
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-05-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-05-01,27,0,27,0,27
SUCRE,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-05-01,16,0,16,0,16
TARIJA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-05-01,16,0,16,0,16
VACAS,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-05-01,1,0,1,0,1
VALLEGRANDE,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-05-01,19,0,19,0,19
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-05-01,0,1,0,1,1
WARNES,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-05-01,18,0,18,0,18
AIQUILE,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-06-01,14,4,14,4,18
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-06-01,1,0,1,0,1
ANZALDO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-06-01,0,1,0,1,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-06-01,0,3,0,3,3
BELEN DE ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-06-01,1,1,1,1,2
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-06-01,3,5,3,5,8
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-06-01,1,0,1,0,1
CARAPARI,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-06-01,0,2,0,2,2
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-06-01,3,1,3,1,4
CHOQUE COTA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-06-01,2,0,2,0,2
COBIJA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-06-01,41,7,41,7,48
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-06-01,25,0,25,0,25
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-06-01,0,3,0,3,3
EL ALTO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-06-01,1,0,1,0,1
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-06-01,2,2,2,2,4
EL TORNO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-06-01,1,0,1,0,1
HUACARETA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-06-01,0,1,0,1,1
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-06-01,0,5,0,5,5
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-06-01,1,1,1,1,2
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-06-01,0,2,0,2,2
ORURO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-06-01,114,0,114,0,114
PADCAYA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-06-01,0,1,0,1,1
PAMPA AULLAGAS,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-06-01,1,0,1,0,1
PAZÑA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-06-01,1,3,1,3,4
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-06-01,0,4,0,4,4
PUNATA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-06-01,4,0,4,0,4
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-06-01,1,0,1,0,1
REYES,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-06-01,1,1,1,1,2
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-06-01,1,6,1,6,7
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-06-01,0,1,0,1,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-06-01,13,8,13,8,21
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-06-01,4,5,4,5,9
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-06-01,15,0,15,0,15
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-06-01,1,0,1,0,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-06-01,19,0,19,0,19
TARIJA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-06-01,34,2,34,2,36
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-06-01,2,0,2,0,2
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-06-01,1,0,1,0,1
TUPIZA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-06-01,1,0,1,0,1
VALLEGRANDE,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-06-01,32,0,32,0,32
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-06-01,17,18,17,18,35
AIQUILE,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-07-01,8,8,8,8,16
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-07-01,3,0,3,0,3
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-07-01,2,1,2,1,3
CARAPARI,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-07-01,0,2,0,2,2
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-07-01,2,0,2,0,2
COBIJA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-07-01,27,9,27,9,36
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-07-01,103,0,103,0,103
COLOMI,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-07-01,5,5,5,5,10
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-07-01,0,2,0,2,2
COTOCA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-07-01,10,19,10,19,29
EL ALTO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-07-01,18,0,18,0,18
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-07-01,6,1,6,1,7
EL TORNO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-07-01,18,2,18,2,20
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-07-01,6,1,6,1,7
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-07-01,3,1,3,1,4
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-07-01,22,0,22,0,22
LA PAZ,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-07-01,5,0,5,0,5
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-07-01,0,7,0,7,7
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-07-01,3,0,3,0,3
MONTERO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-07-01,7,0,7,0,7
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-07-01,0,4,0,4,4
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-07-01,0,2,0,2,2
ORURO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-07-01,16,0,16,0,16
PADCAYA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-07-01,1,0,1,0,1
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-07-01,0,3,0,3,3
PORONGO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-07-01,0,1,0,1,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-07-01,7,0,7,0,7
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-07-01,4,0,4,0,4
PUNATA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-07-01,18,0,18,0,18
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-07-01,9,3,9,3,12
REYES,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-07-01,15,0,15,0,15
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-07-01,8,0,8,0,8
SACABA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-07-01,0,1,0,1,1
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-07-01,0,4,0,4,4
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-07-01,15,0,15,0,15
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-07-01,13,24,13,24,37
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-07-01,1,0,1,0,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-07-01,10,0,10,0,10
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-07-01,23,0,23,0,23
SUCRE,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-07-01,15,0,15,0,15
TARIJA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-07-01,5,0,5,0,5
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-07-01,15,0,15,0,15
TUPIZA,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-07-01,17,0,17,0,17
VALLEGRANDE,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-07-01,24,0,24,0,24
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-07-01,1,0,1,0,1
WARNES,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-07-01,2,0,2,0,2
AIQUILE,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-08-01,8,0,8,0,8
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-08-01,0,3,0,3,3
BERMEJO,vacunaciones en ninos de 12 a 23 meses,l 18.6       dpt 4ta dosis,2012-08-01,12,0,12,0,12
