,group,variable,month,L 18.9 ANTIPOLIOMIELÍTICA 3RA DOSIS,L 18.9 ANTIPOLIOMIELÍTICA 3RA DOSIS,TOTALES,TOTALES,TOTALES
LA PAZ,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-09-01,31,1,31,1,32
LORETO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-09-01,0,1,0,1,1
MINEROS,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-09-01,0,1,0,1,1
MIZQUE,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-09-01,0,1,0,1,1
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-09-01,1,0,1,0,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-09-01,6,1,6,1,7
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-09-01,0,1,0,1,1
ORURO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-09-01,23,1,23,1,24
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-09-01,1,0,1,0,1
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-09-01,1,0,1,0,1
PASORAPA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-09-01,0,3,0,3,3
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-09-01,0,1,0,1,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-09-01,12,0,12,0,12
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-09-01,1,0,1,0,1
PUNATA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-09-01,1,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-09-01,2,4,2,4,6
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-09-01,1,0,1,0,1
SACABA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-09-01,1,0,1,0,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-09-01,5,8,5,8,13
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-09-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-09-01,3,0,3,0,3
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-09-01,5,0,5,0,5
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-09-01,0,4,0,4,4
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-09-01,1,0,1,0,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-09-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-09-01,38,3,38,3,41
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-09-01,2,0,2,0,2
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-09-01,0,1,0,1,1
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-09-01,1,0,1,0,1
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-09-01,3,6,3,6,9
SUCRE,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-09-01,2,0,2,0,2
TARIJA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-09-01,3,3,3,3,6
TOMAVE,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-09-01,0,2,0,2,2
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-09-01,0,2,0,2,2
TURCO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-09-01,1,0,1,0,1
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-09-01,1,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-09-01,3,0,3,0,3
WARNES,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-09-01,1,0,1,0,1
YACUIBA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-09-01,2,0,2,0,2
AIQUILE,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-10-01,0,1,0,1,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-10-01,4,0,4,0,4
BAURES,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-10-01,0,1,0,1,1
CAMIRI,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-10-01,1,2,1,2,3
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-10-01,1,1,1,1,2
CHIMORE,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-10-01,1,0,1,0,1
COCAPATA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-10-01,0,3,0,3,3
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-10-01,14,7,14,7,21
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-10-01,3,0,3,0,3
COLOMI,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-10-01,2,2,2,2,4
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-10-01,2,0,2,0,2
COROICO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-10-01,1,1,1,1,2
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-10-01,1,0,1,0,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-10-01,3,4,3,4,7
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-10-01,0,1,0,1,1
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-10-01,1,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-10-01,22,15,22,15,37
EL TORNO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-10-01,1,0,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-10-01,2,0,2,0,2
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-10-01,1,0,1,0,1
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-10-01,0,1,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-10-01,2,0,2,0,2
HUANUNI,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-10-01,1,0,1,0,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-10-01,2,0,2,0,2
LA PAZ,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-10-01,32,0,32,0,32
LORETO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-10-01,0,1,0,1,1
MACHARETI,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-10-01,3,0,3,0,3
MIZQUE,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-10-01,1,1,1,1,2
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-10-01,1,0,1,0,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-10-01,2,1,2,1,3
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-10-01,0,1,0,1,1
OKINAWA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-10-01,1,0,1,0,1
ORURO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-10-01,20,0,20,0,20
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-10-01,1,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-10-01,3,3,3,3,6
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-10-01,1,0,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-10-01,1,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-10-01,6,6,6,6,12
REYES,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-10-01,1,0,1,0,1
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-10-01,2,0,2,0,2
ROBORE,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-10-01,1,0,1,0,1
SACABA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-10-01,1,0,1,0,1
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-10-01,0,1,0,1,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-10-01,3,1,3,1,4
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-10-01,2,0,2,0,2
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-10-01,0,1,0,1,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-10-01,3,0,3,0,3
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-10-01,1,0,1,0,1
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-10-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-10-01,46,24,46,24,70
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-10-01,0,1,0,1,1
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-10-01,3,4,3,4,7
SUCRE,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-10-01,3,0,3,0,3
TACACOMA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-10-01,0,1,0,1,1
TAPACARI,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-10-01,1,0,1,0,1
TARIJA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-10-01,5,3,5,3,8
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-10-01,3,1,3,1,4
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-10-01,1,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-10-01,1,1,1,1,2
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-10-01,1,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-10-01,1,0,1,0,1
WARNES,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-10-01,3,0,3,0,3
YACUIBA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-10-01,1,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-11-01,5,0,5,0,5
BAURES,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-11-01,1,1,1,1,2
CABEZAS,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-11-01,0,4,0,4,4
CAIROMA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-11-01,0,2,0,2,2
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-11-01,3,0,3,0,3
CHIMORE,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-11-01,4,0,4,0,4
COBIJA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-11-01,1,0,1,0,1
COCAPATA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-11-01,0,1,0,1,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-11-01,67,0,67,0,67
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-11-01,5,1,5,1,6
COLOMI,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-11-01,0,4,0,4,4
COMARAPA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-11-01,2,0,2,0,2
CORO CORO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-11-01,0,2,0,2,2
COTOCA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-11-01,5,0,5,0,5
EL ALTO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-11-01,24,8,24,8,32
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-11-01,5,0,5,0,5
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-11-01,8,2,8,2,10
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-11-01,1,0,1,0,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-11-01,2,0,2,0,2
LA PAZ,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-11-01,32,5,32,5,37
MINEROS,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-11-01,0,8,0,8,8
MONTERO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-11-01,6,1,6,1,7
ORURO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-11-01,22,4,22,4,26
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-11-01,1,0,1,0,1
POCONA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-11-01,1,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-11-01,9,1,9,1,10
PUERTO SILES,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-11-01,0,3,0,3,3
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-11-01,1,0,1,0,1
PUNA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-11-01,0,1,0,1,1
PUNATA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-11-01,0,1,0,1,1
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-11-01,8,8,8,8,16
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-11-01,4,0,4,0,4
SACABA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-11-01,3,0,3,0,3
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-11-01,4,3,4,3,7
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-11-01,0,2,0,2,2
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-11-01,2,0,2,0,2
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-11-01,0,4,0,4,4
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-11-01,1,0,1,0,1
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-11-01,1,0,1,0,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-11-01,4,0,4,0,4
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-11-01,40,11,40,11,51
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-11-01,3,0,3,0,3
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-11-01,1,0,1,0,1
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-11-01,1,1,1,1,2
SUCRE,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-11-01,1,3,1,3,4
TACACHI,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-11-01,4,0,4,0,4
TACACOMA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-11-01,2,1,2,1,3
TAPACARI,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-11-01,3,1,3,1,4
TARIJA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-11-01,4,2,4,2,6
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-11-01,2,2,2,2,4
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-11-01,2,2,2,2,4
TUPIZA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-11-01,0,5,0,5,5
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-11-01,2,0,2,0,2
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-11-01,2,0,2,0,2
VILLAZON,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-11-01,2,0,2,0,2
WARNES,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-11-01,1,0,1,0,1
YACUIBA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-11-01,3,0,3,0,3
YOTALA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-11-01,0,1,0,1,1
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-12-01,1,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-12-01,10,0,10,0,10
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-12-01,1,2,1,2,3
BAURES,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-12-01,0,1,0,1,1
CABEZAS,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-12-01,1,1,1,1,2
CAIROMA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-12-01,0,1,0,1,1
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-12-01,1,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-12-01,1,0,1,0,1
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-12-01,1,0,1,0,1
CHIMORE,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-12-01,1,1,1,1,2
COBIJA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-12-01,13,0,13,0,13
COCAPATA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-12-01,0,2,0,2,2
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-12-01,23,0,23,0,23
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-12-01,6,0,6,0,6
COLOMI,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-12-01,0,2,0,2,2
COTOCA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-12-01,3,0,3,0,3
EL ALTO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-12-01,35,1,35,1,36
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-12-01,2,3,2,3,5
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-12-01,0,1,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-12-01,5,4,5,4,9
HUANUNI,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-12-01,1,0,1,0,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-12-01,2,0,2,0,2
LA PAZ,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-12-01,23,3,23,3,26
MIZQUE,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-12-01,0,3,0,3,3
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-12-01,1,0,1,0,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-12-01,3,1,3,1,4
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-12-01,0,3,0,3,3
ORURO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-12-01,7,2,7,2,9
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-12-01,1,0,1,0,1
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-12-01,1,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-12-01,11,0,11,0,11
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-12-01,2,0,2,0,2
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-12-01,2,2,2,2,4
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-12-01,5,1,5,1,6
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-12-01,0,1,0,1,1
ROBORE,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-12-01,0,1,0,1,1
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-12-01,1,1,1,1,2
SACABA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-12-01,4,0,4,0,4
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-12-01,1,0,1,0,1
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-12-01,0,1,0,1,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,l 18.9       antipoliomielitica 3ra dosis,2012-12-01,0,13,0,13,13
