,group,variable,month,L 19.6 ANTIPOLIOMIELÍTICA 2DA DOSIS CANTIDAD,L 19.6 ANTIPOLIOMIELÍTICA 2DA DOSIS CANTIDAD,TOTALES
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-06-01,1,33,34
SORACACHI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-06-01,0,1,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-06-01,1,0,1
TAPACARI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-06-01,0,4,4
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-06-01,0,5,5
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-06-01,1,0,1
YACUIBA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-06-01,0,3,3
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-07-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-07-01,3,1,4
BOLIVAR,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-07-01,0,1,1
"CAIZA ""D""",vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-07-01,0,9,9
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-07-01,13,0,13
COTOCA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-07-01,0,2,2
EL ALTO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-07-01,1,0,1
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-07-01,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-07-01,0,2,2
GUTIERREZ,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-07-01,0,2,2
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-07-01,0,8,8
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-07-01,0,3,3
ORURO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-07-01,2,0,2
POCONA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-07-01,0,2,2
PUNATA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-07-01,1,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-07-01,1,0,1
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-07-01,4,0,4
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-07-01,1,0,1
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-07-01,0,1,1
SAN PABLO DE LIPEZ,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-07-01,1,0,1
SAN PEDRO(PND),vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-07-01,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-07-01,4,2,6
SUCRE,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-07-01,0,1,1
TAPACARI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-07-01,0,1,1
TARVITA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-07-01,0,1,1
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-07-01,1,1,2
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-07-01,1,5,6
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-07-01,2,0,2
VILLAZON,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-07-01,1,0,1
YACUIBA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-07-01,1,0,1
ANZALDO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-08-01,0,2,2
ARBIETO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-08-01,0,24,24
BELLA FLOR,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-08-01,0,1,1
BETANZOS,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-08-01,0,2,2
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-08-01,1,0,1
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-08-01,0,1,1
CHIMORE,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-08-01,1,0,1
CLIZA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-08-01,0,6,6
COBIJA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-08-01,1,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-08-01,3,1,4
COMARAPA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-08-01,2,0,2
COTOCA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-08-01,1,0,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-08-01,3,0,3
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-08-01,1,0,1
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-08-01,1,1,2
LA PAZ,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-08-01,1,0,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-08-01,4,3,7
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-08-01,0,1,1
ORURO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-08-01,11,0,11
POTOSI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-08-01,5,0,5
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-08-01,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-08-01,1,0,1
PUNA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-08-01,0,3,3
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-08-01,0,1,1
SACABA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-08-01,0,1,1
SAN BENITO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-08-01,0,1,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-08-01,2,0,2
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-08-01,2,0,2
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-08-01,0,1,1
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-08-01,0,9,9
SAN RAMON SCZ,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-08-01,2,1,3
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-08-01,60,0,60
SUCRE,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-08-01,2,0,2
TAPACARI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-08-01,0,11,11
TARIJA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-08-01,3,2,5
TEOPONTE,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-08-01,0,2,2
TOCO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-08-01,0,1,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-08-01,1,0,1
VINTO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-08-01,1,0,1
WARNES,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-08-01,1,0,1
YACUIBA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-08-01,0,3,3
AIQUILE,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-09-01,1,0,1
ANZALDO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-09-01,3,0,3
ARBIETO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-09-01,4,5,9
ARQUE,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-09-01,0,2,2
BELLA FLOR,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-09-01,0,2,2
BERMEJO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-09-01,2,17,19
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-09-01,21,6,27
CARAPARI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-09-01,3,11,14
COBIJA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-09-01,3,4,7
COCAPATA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-09-01,0,2,2
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-09-01,28,49,77
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-09-01,4,0,4
COLOMI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-09-01,0,1,1
COMARAPA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-09-01,2,0,2
COPACABANA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-09-01,1,0,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-09-01,3,0,3
EL ALTO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-09-01,10,2,12
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-09-01,8,0,8
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-09-01,2,0,2
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-09-01,1,0,1
HUACARETA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-09-01,0,3,3
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-09-01,1,0,1
LA PAZ,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-09-01,9,9,18
MACHARETI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-09-01,0,2,2
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-09-01,0,2,2
MONTERO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-09-01,17,1,18
ORURO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-09-01,5,1,6
POROMA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-09-01,0,1,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-09-01,2,1,3
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-09-01,1,0,1
PUNATA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-09-01,0,1,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-09-01,1,2,3
SACABA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-09-01,1,0,1
SACACA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-09-01,1,0,1
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-09-01,2,0,2
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-09-01,2,0,2
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-09-01,0,4,4
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-09-01,0,2,2
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-09-01,4,10,14
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-09-01,0,1,1
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-09-01,0,2,2
SAN PEDRO(PND),vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-09-01,0,1,1
SAN RAMON SCZ,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-09-01,6,0,6
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-09-01,40,59,99
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-09-01,0,1,1
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-09-01,1,6,7
SUCRE,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-09-01,12,6,18
TACOBAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-09-01,0,1,1
TAPACARI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-09-01,0,4,4
TARIJA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-09-01,0,1,1
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-09-01,0,1,1
TOCO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-09-01,0,2,2
TOLEDO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-09-01,0,4,4
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-09-01,1,0,1
VACAS,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-09-01,1,3,4
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-09-01,0,5,5
WARNES,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-09-01,1,0,1
ZUDAÑEZ,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-09-01,1,2,3
AIQUILE,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-10-01,0,1,1
ANZALDO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-10-01,0,1,1
ARBIETO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-10-01,0,2,2
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-10-01,2,3,5
ATOCHA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-10-01,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-10-01,3,0,3
BELEN DE URMIRI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-10-01,0,5,5
BOYUIBE,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-10-01,3,0,3
CABEZAS,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-10-01,1,1,2
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-10-01,2,0,2
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-10-01,29,5,34
CARANAVI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-10-01,10,0,10
CARIPUYO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-10-01,0,17,17
CHIMORE,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-10-01,2,1,3
CLIZA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-10-01,6,2,8
COBIJA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-10-01,0,1,1
COCAPATA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-10-01,1,1,2
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-10-01,19,44,63
COLOMI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-10-01,0,3,3
COMANCHE,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-10-01,0,5,5
COPACABANA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-10-01,0,11,11
COTOCA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-10-01,3,1,4
EL ALTO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-10-01,3,3,6
EL VILLAR,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-10-01,5,0,5
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-10-01,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-10-01,4,0,4
HUACARETA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-10-01,1,0,1
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-10-01,1,0,1
LA PAZ,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-10-01,26,2,28
MIZQUE,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-10-01,2,0,2
MONTERO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-10-01,15,2,17
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-10-01,1,0,1
OKINAWA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-10-01,3,0,3
OMEREQUE,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-10-01,2,2,4
ORURO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-10-01,7,1,8
PASORAPA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-10-01,3,1,4
PAZÑA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-10-01,0,18,18
POTOSI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-10-01,8,0,8
PUERTO GONZALO MORENO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-10-01,6,2,8
PUERTO PEREZ,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-10-01,0,6,6
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-10-01,2,0,2
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-10-01,3,4,7
QUIME,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-10-01,3,1,4
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-10-01,1,0,1
SACABA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-10-01,0,1,1
SAN BENITO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-10-01,3,4,7
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-10-01,0,1,1
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-10-01,7,1,8
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-10-01,0,3,3
SAN RAMON SCZ,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-10-01,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-10-01,246,159,405
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-10-01,2,4,6
SUCRE,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-10-01,2,3,5
TARABUCO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-10-01,0,10,10
TARIJA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-10-01,1,4,5
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-10-01,1,2,3
TOCO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-10-01,0,2,2
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-10-01,0,1,1
TUPIZA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-10-01,5,0,5
VILLA RIVERO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-10-01,1,0,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-10-01,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-10-01,0,1,1
VITICHI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-10-01,8,8,16
WARNES,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-10-01,7,0,7
YACUIBA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-10-01,2,0,2
YUNCHARA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-10-01,0,1,1
ANZALDO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,0,6,6
ARBIETO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,1,3,4
ATOCHA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,0,6,6
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,0,6,6
AZURDUY,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,5,12,17
BETANZOS,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,3,0,3
CALACOTO,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,1,0,1
CAMIRI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,2,0,2
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,31,19,50
CAQUIAVIRI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,1,0,1
CARAPARI,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,2,7,9
CHUMA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,0,4,4
CLIZA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,0,5,5
COBIJA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,0,2,2
COCAPATA,vacunaciones en ninos de 2 a 4 anos,l 19.6       antipoliomielitica 2da dosis,2012-11-01,0,3,3
