,group,variable,month,L 19.3 DPT 3RA DOSIS CANTIDAD,L 19.3 DPT 3RA DOSIS CANTIDAD,TOTALES
COCAPATA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-12-01,0,1,1
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-12-01,6,1,7
COLOMI,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-12-01,1,0,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-12-01,5,0,5
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-12-01,0,3,3
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-12-01,0,1,1
GUAQUI,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-12-01,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-12-01,0,3,3
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-12-01,0,2,2
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-12-01,2,0,2
LA PAZ,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-12-01,2,0,2
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-12-01,0,2,2
MONTERO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-12-01,6,0,6
ORURO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-12-01,6,5,11
POTOSI,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-12-01,1,0,1
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-12-01,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-12-01,2,2,4
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-12-01,2,10,12
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-12-01,1,0,1
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-12-01,0,2,2
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-12-01,0,1,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-12-01,1,3,4
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-12-01,0,2,2
SAN JAVIER(STC),vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-12-01,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-12-01,1,0,1
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-12-01,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-12-01,7,1,8
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-12-01,1,1,2
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-12-01,0,1,1
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-12-01,1,0,1
SORATA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-12-01,9,8,17
SUCRE,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-12-01,3,0,3
TACOBAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-12-01,1,1,2
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-12-01,0,3,3
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-12-01,1,0,1
WARNES,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-12-01,2,0,2
YACUIBA,vacunaciones en ninos de 2 a 4 anos,l 19.3       dpt 3ra dosis,2012-12-01,1,0,1
