,group,variable,month,L 19.4 DPT 4TA DOSIS CANTIDAD,L 19.4 DPT 4TA DOSIS CANTIDAD,TOTALES
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,0,6,6
SAPAHAQUI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,5,7,12
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,35,8,43
SICAYA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,1,13,14
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,42,242,284
SOPACHUY,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,11,3,14
SORATA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,0,13,13
SUCRE,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,157,222,379
TACACOMA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,2,0,2
TACOBAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,6,15,21
TACOPAYA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,4,0,4
TAPACARI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,5,6,11
TARABUCO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,9,14,23
TARATA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,3,0,3
TARIJA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,66,29,95
TARVITA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,6,10,16
TINGUIPAYA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,10,7,17
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,1,46,47
TOCO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,2,9,11
TOLEDO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,9,13,22
TOMAVE,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,0,39,39
TOMINA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,18,5,23
TORO TORO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,2,5,7
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,26,52,78
TOTORA(ORR),vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,0,1,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,67,86,153
TUPIZA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,60,163,223
TURCO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,0,5,5
UNCIA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,9,68,77
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,9,1,10
UYUNI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,8,0,8
VALLEGRANDE,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,3,0,3
VIACHA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,3,0,3
VILA VILA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,9,3,12
VILLA CHARCAS,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,9,20,29
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,25,12,37
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,4,0,4
VILLA RIVERO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,0,14,14
VILLA SERRANO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,10,6,16
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,35,164,199
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,2,3,5
VILLAZON,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,14,12,26
VINTO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,3,0,3
VITICHI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,31,0,31
WARNES,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,49,11,60
YACO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,3,2,5
YACUIBA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,17,16,33
YAPACANI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,16,3,19
YOCALLA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,8,2,10
YUNCHARA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,1,6,7
ZUDAÑEZ,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-03-01,0,5,5
ACACIO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,2,0,2
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,2,18,20
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,0,6,6
ALCALA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,2,0,2
ANCORAIMES,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,0,33,33
ANZALDO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,0,13,13
ARAMPAMPA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,7,2,9
BATALLAS,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,7,25,32
BERMEJO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,11,57,68
BETANZOS,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,12,67,79
CABEZAS,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,32,29,61
"CAIZA ""D""",vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,0,19,19
CALAMARCA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,0,10,10
CAMARGO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,7,23,30
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,0,20,20
CARAPARI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,7,32,39
CARMEN RIVERO TORREZ,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,33,15,48
CHAQUI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,21,25,46
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,51,34,85
CHARAÑA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,0,2,2
CHIMORE,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,9,14,23
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,0,15,15
COCAPATA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,0,1,1
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,7,0,7
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,11,0,11
COLPA BELGICA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,3,0,3
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,2,15,17
COLQUIRI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,7,18,25
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,10,32,42
COTOCA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,44,17,61
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,0,16,16
CUEVO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,0,21,21
CULPINA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,21,78,99
EL ALTO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,398,1099,1497
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,0,10,10
EL TORNO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,58,59,117
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,8,32,40
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,4,6,10
GUAQUI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,0,2,2
GUTIERREZ,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,51,136,187
HUACARETA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,1,10,11
HUANUNI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,0,8,8
HUARACAJE,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,1,0,1
HUARINA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,3,10,13
HUMANATA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,0,2,2
ICHOCA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,4,89,93
ICLA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,9,15,24
INCAHUASI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,84,65,149
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,0,21,21
JESUS DE MACHACA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,2,0,2
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,2,14,16
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,44,109,153
LA PAZ,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,99,67,166
LAGUNILLAS,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,13,8,21
LAJA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,1,7,8
LAS CARRERAS,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,7,5,12
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,91,218,309
MACHARETI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,0,8,8
MINEROS,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,0,13,13
MIZQUE,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,4,15,19
MOJOCOYA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,17,11,28
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,24,5,29
MONTERO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,93,37,130
OKINAWA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,14,12,26
ORURO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,9,0,9
PADCAYA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,8,9,17
PADILLA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,9,5,14
PAILON,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,49,148,197
PALCA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,5,8,13
POCOATA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,32,109,141
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,2,3,5
POROMA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,40,119,159
PORONGO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,0,3,3
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,2,0,2
POTOSI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,17,11,28
PRESTO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,7,20,27
PUCARA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,9,2,11
PUCARANI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,11,59,70
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,5,0,5
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,8,46,54
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,17,4,21
PUNATA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,1,0,1
RAVELO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,7,31,38
ROBORE,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,0,22,22
SACABA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,4,0,4
SAIPINA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,0,3,3
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,7,24,31
SAMAIPATA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,1,0,1
SAN AGUSTIN,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,2,4,6
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,0,1,1
SAN ANDRES DE MACHACA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,0,3,3
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,17,12,29
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,1,0,1
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,142,68,210
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,7,3,10
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,0,18,18
SAN LUCAS,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,72,100,172
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,9,22,31
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,3,16,19
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,3,19,22
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,0,14,14
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,11,0,11
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,292,1340,1632
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,2,0,2
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,26,33,59
SANTIAGO DE CALLAPA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,2,20,22
SANTIAGO DE HUATA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,1,9,10
SAPAHAQUI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,3,10,13
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,14,46,60
SORATA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,0,28,28
SUCRE,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,160,219,379
TACOBAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,3,17,20
TACOPAYA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,4,6,10
TARABUCO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,14,37,51
TARIJA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,32,111,143
TARVITA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,12,22,34
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,43,53,96
TOLATA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,0,6,6
TOMINA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,24,17,41
TRIGAL,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,1,0,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,0,1,1
TUPIZA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,32,49,81
UNCIA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,0,71,71
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,5,4,9
URUBICHA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,8,0,8
VACAS,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,0,2,2
VIACHA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,6,15,21
VILLA CHARCAS,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,0,61,61
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,28,8,36
VILLA SERRANO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,14,27,41
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,2,3,5
VILLAZON,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,22,73,95
WARNES,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,40,72,112
YACUIBA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,26,99,125
YAPACANI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,13,63,76
YOCALLA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,2,0,2
YOTALA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-04-01,9,32,41
ANDAMARCA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-05-01,3,1,4
ARQUE,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-05-01,0,1,1
BELEN DE ANDAMARCA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-05-01,2,0,2
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-05-01,1,2,3
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-05-01,0,18,18
CHAQUI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-05-01,0,1,1
CHIMORE,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-05-01,2,2,4
COBIJA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-05-01,8,32,40
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-05-01,1,0,1
COLPA BELGICA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-05-01,2,0,2
EL ALTO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-05-01,9,0,9
JESUS DE MACHACA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-05-01,0,32,32
LA PAZ,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-05-01,9,0,9
MACHARETI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-05-01,0,6,6
ORURO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-05-01,48,6,54
PAZÑA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-05-01,0,1,1
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-05-01,1,4,5
POTOSI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-05-01,0,5,5
PUCARANI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-05-01,2,0,2
PUNA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-05-01,6,0,6
RAVELO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-05-01,0,9,9
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-05-01,2,0,2
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-05-01,3,0,3
SAN BENITO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-05-01,0,2,2
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-05-01,11,0,11
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-05-01,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-05-01,10,5,15
SUCRE,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-05-01,3,0,3
TARIJA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-05-01,15,0,15
TOTORA(ORR),vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-05-01,0,1,1
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-05-01,1,0,1
VACAS,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-05-01,3,4,7
VIACHA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-05-01,10,0,10
VILLA RIVERO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-05-01,0,2,2
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-05-01,1,0,1
WARNES,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-05-01,4,0,4
ANDAMARCA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-06-01,4,0,4
BELEN DE ANDAMARCA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-06-01,0,2,2
BOLPEBRA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-06-01,1,11,12
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-06-01,4,6,10
CARAPARI,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-06-01,0,2,2
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-06-01,1,0,1
CHOQUE COTA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-06-01,1,0,1
COBIJA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-06-01,19,13,32
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.4       dpt 4ta dosis,2012-06-01,10,0,10
