,group,variable,month,L 19.5 ANTIPOLIOMIELÍTICA 1RA DOSIS CANTIDAD,L 19.5 ANTIPOLIOMIELÍTICA 1RA DOSIS CANTIDAD,TOTALES
UNCIA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,0,32,32
UYUNI,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,32,0,32
VACAS,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,3,5,8
VIACHA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,2,3,5
VILA VILA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,30,8,38
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,1,0,1
VILLA RIVERO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,1,0,1
VILLA SERRANO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,0,1,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,33,3,36
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,14,1,15
VILLAZON,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,1,0,1
VITICHI,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,5,15,20
WARNES,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,5,0,5
YACO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,0,1,1
YACUIBA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,3,27,30
YOCALLA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,1,0,1
ZUDAÑEZ,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-03-01,13,11,24
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,3,19,22
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,2,3,5
AIQUILE,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,2,7,9
ALALAY,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,0,9,9
ANCORAIMES,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,0,1,1
ANZALDO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,0,23,23
APOLO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,0,3,3
ARAMPAMPA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,2,0,2
ARBIETO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,10,16,26
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,14,2,16
AYATA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,0,20,20
AYO AYO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,0,23,23
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,1,14,15
BERMEJO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,3,56,59
BETANZOS,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,36,63,99
BOYUIBE,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,1,4,5
BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,53,110,163
CABEZAS,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,0,12,12
"CAIZA ""D""",vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,1,0,1
CALAMARCA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,0,16,16
CAMIRI,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,1,0,1
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,25,0,25
CAQUIAVIRI,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,1,14,15
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,0,3,3
CARAPARI,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,0,11,11
CARMEN RIVERO TORREZ,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,2,4,6
CHAQUI,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,3,3,6
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,2,16,18
CHUMA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,0,24,24
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,6,15,21
CLIZA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,29,71,100
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,30,28,58
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,10,28,38
COLPA BELGICA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,0,3,3
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,0,1,1
COLQUENCHA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,5,7,12
COMARAPA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,7,138,145
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,8,16,24
CORIPATA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,10,3,13
COROICO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,8,0,8
CORQUE,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,0,4,4
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,0,1,1
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,24,2,26
EL ALTO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,161,75,236
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,4,2,6
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,14,21,35
ESCOMA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,5,0,5
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,6,82,88
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,12,33,45
GUAQUI,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,0,13,13
GUTIERREZ,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,0,14,14
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,0,7,7
HUANUNI,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,0,5,5
HUARINA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,0,2,2
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,4,0,4
LA PAZ,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,50,144,194
LAJA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,6,3,9
LURIBAY,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,5,3,8
MECAPACA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,0,14,14
MINEROS,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,21,103,124
MIZQUE,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,8,15,23
MOJOCOYA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,30,8,38
MONTERO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,111,0,111
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,0,26,26
OCURI,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,6,11,17
ORURO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,9,115,124
PAILON,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,2,1,3
PALCA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,1,10,11
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,5,3,8
PASORAPA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,1,0,1
POCOATA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,3,7,10
POCONA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,0,6,6
POOPO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,4,3,7
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,0,1,1
PRESTO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,0,7,7
PUCARANI,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,4,8,12
PUERTO PEREZ,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,2,8,10
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,48,172,220
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,2,2,4
PUNA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,0,22,22
PUNATA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,2,3,5
QUIABAYA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,18,0,18
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,1,0,1
QUIME,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,0,3,3
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,0,4,4
ROBORE,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,1,0,1
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,8,6,14
SACABA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,1,6,7
SAIPINA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,6,0,6
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,0,17,17
SAN ANDRES DE MACHACA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,1,11,12
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,1,1,2
SAN BENITO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,2,2,4
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,2,0,2
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,7,0,7
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,19,20,39
SAN JAVIER(BNI),vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,3,3,6
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,6,29,35
SAN JUAN DE YAPACANI,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,4,1,5
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,10,15,25
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,70,23,93
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,0,19,19
SAN RAMON BENI,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,1,0,1
SAN RAMON SCZ,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,54,0,54
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,146,181,327
SAPAHAQUI,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,1,6,7
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,0,12,12
SOPACHUY,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,7,0,7
SUCRE,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,102,26,128
TACOBAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,0,11,11
TAPACARI,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,7,15,22
TARABUCO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,1,0,1
TARACO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,20,0,20
TIAWANACU,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,0,7,7
TINGUIPAYA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,5,0,5
TIPUANI,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,10,0,10
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,12,11,23
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,3,0,3
TOCO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,0,18,18
TOMINA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,0,1,1
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,0,4,4
TUPIZA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,3,7,10
UNCIA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,0,5,5
VIACHA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,2,17,19
VILA VILA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,5,4,9
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,6,0,6
VILLA RIVERO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,1,0,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,4,7,11
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,1,3,4
VILLAZON,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,1,0,1
VINTO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,0,6,6
WARNES,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,4,4,8
YACUIBA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,35,1,36
YANACACHI,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,14,0,14
YAPACANI,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,0,10,10
YOCALLA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,7,0,7
YOTALA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,2,0,2
YUNCHARA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,1,7,8
ZUDAÑEZ,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-04-01,1,13,14
ARBIETO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-05-01,0,4,4
ARQUE,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-05-01,0,2,2
ATOCHA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-05-01,1,0,1
BELLA FLOR,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-05-01,0,13,13
"CAIZA ""D""",vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-05-01,0,5,5
CHAQUI,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-05-01,0,5,5
CHOQUE COTA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-05-01,0,2,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-05-01,1,0,1
COBIJA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-05-01,3,0,3
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-05-01,11,3,14
COLOMI,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-05-01,1,0,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-05-01,7,0,7
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-05-01,6,1,7
HUANUNI,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-05-01,1,3,4
LA PAZ,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-05-01,23,0,23
LORETO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-05-01,0,1,1
MIZQUE,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-05-01,0,20,20
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-05-01,1,0,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-05-01,8,7,15
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-05-01,0,3,3
OCURI,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-05-01,0,40,40
ORURO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-05-01,40,5,45
POCONA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-05-01,3,0,3
POTOSI,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-05-01,1,6,7
PUNA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-05-01,3,0,3
QUIME,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-05-01,0,1,1
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-05-01,0,1,1
SAN BENITO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-05-01,1,3,4
SAN JUAN DE YAPACANI,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-05-01,3,0,3
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-05-01,1,1,2
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-05-01,0,7,7
SAN PEDRO(PND),vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-05-01,0,4,4
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-05-01,16,0,16
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-05-01,1,0,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-05-01,13,0,13
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-05-01,2,7,9
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-05-01,3,17,20
TOCO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-05-01,0,2,2
TOLATA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-05-01,1,0,1
URUBICHA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-05-01,0,5,5
VACAS,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-05-01,0,1,1
VIACHA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-05-01,1,0,1
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-05-01,1,0,1
VILLA RIVERO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-05-01,0,1,1
YACUIBA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-05-01,5,9,14
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-06-01,1,0,1
ANDAMARCA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-06-01,0,14,14
ANTEQUERA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-06-01,4,0,4
ANZALDO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-06-01,0,4,4
ARBIETO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-06-01,7,2,9
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-06-01,0,3,3
ATOCHA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-06-01,1,16,17
AYATA,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-06-01,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-06-01,3,0,3
BELLA FLOR,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-06-01,0,1,1
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,l 19.5       antipoliomielitica 1ra dosis,2012-06-01,1,0,1
