,group,variable,month,L 19.7 ANTIPOLIOMIELÍTICA 3RA DOSIS CANTIDAD,L 19.7 ANTIPOLIOMIELÍTICA 3RA DOSIS CANTIDAD,TOTALES
COCAPATA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-11-01,0,2,2
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-11-01,14,0,14
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-11-01,6,2,8
COLOMI,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-11-01,0,1,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-11-01,3,0,3
EL ALTO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-11-01,12,13,25
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-11-01,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-11-01,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-11-01,1,0,1
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-11-01,1,0,1
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-11-01,1,0,1
LA PAZ,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-11-01,4,7,11
MINEROS,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-11-01,0,3,3
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-11-01,1,0,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-11-01,3,2,5
OMEREQUE,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-11-01,0,2,2
ORURO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-11-01,7,0,7
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-11-01,0,1,1
PAMPA GRANDE,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-11-01,0,1,1
POCONA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-11-01,0,2,2
POTOSI,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-11-01,1,2,3
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-11-01,1,0,1
PUNA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-11-01,0,3,3
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-11-01,3,15,18
SACABA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-11-01,25,50,75
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-11-01,1,2,3
SAN JAVIER(STC),vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-11-01,1,0,1
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-11-01,1,0,1
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-11-01,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-11-01,19,23,42
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-11-01,2,1,3
SUCRE,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-11-01,7,9,16
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-11-01,2,1,3
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-11-01,1,5,6
VILLA RIVERO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-11-01,0,2,2
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-11-01,1,1,2
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-11-01,1,1,2
WARNES,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-11-01,2,0,2
YACUIBA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-11-01,11,46,57
ARBIETO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-12-01,0,1,1
CAMIRI,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-12-01,1,1,2
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-12-01,1,0,1
CHIMORE,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-12-01,1,2,3
COCAPATA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-12-01,0,2,2
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-12-01,8,1,9
COLOMI,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-12-01,1,0,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-12-01,4,0,4
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-12-01,0,1,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-12-01,0,3,3
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-12-01,0,1,1
GUAQUI,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-12-01,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-12-01,0,1,1
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-12-01,0,2,2
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-12-01,2,0,2
LA PAZ,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-12-01,2,1,3
ORURO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-12-01,6,5,11
POTOSI,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-12-01,1,0,1
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-12-01,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-12-01,2,2,4
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-12-01,2,73,75
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-12-01,0,2,2
SACABAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-12-01,0,3,3
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-12-01,0,1,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-12-01,1,2,3
SAN JAVIER(STC),vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-12-01,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-12-01,7,0,7
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-12-01,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-12-01,21,56,77
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-12-01,1,1,2
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-12-01,0,1,1
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-12-01,2,0,2
SUCRE,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-12-01,3,0,3
TACOBAMBA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-12-01,1,1,2
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-12-01,0,3,3
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-12-01,1,0,1
YACUIBA,vacunaciones en ninos de 2 a 4 anos,l 19.7       antipoliomielitica 3ra dosis,2012-12-01,1,0,1
