,group,variable,month,L 1910 ANTI AMARÍLICA CANTIDAD,L 1910 ANTI AMARÍLICA CANTIDAD,TOTALES
HUARINA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,1,0,1
ICLA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,4,0,4
INCAHUASI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,0,5,5
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,0,1,1
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,9,0,9
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,11,11,22
LA PAZ,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,42,10,52
LAJA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,0,7,7
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,4,3,7
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,0,2,2
MAPIRI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,3,0,3
MINEROS,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,4,2,6
MIZQUE,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,7,4,11
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,0,1,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,26,3,29
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,0,9,9
OKINAWA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,1,3,4
ORURO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,8,0,8
PADCAYA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,0,2,2
PADILLA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,2,1,3
PAILON,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,2,7,9
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,14,2,16
PAMPA GRANDE,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,0,3,3
PAZÑA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,1,0,1
PELECHUCO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,1,4,5
POCOATA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,0,12,12
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,1,0,1
POOPO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,1,0,1
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,1,0,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,20,4,24
PUCARANI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,4,2,6
PUERTO PEREZ,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,2,0,2
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,4,0,4
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,2,0,2
PUNATA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,3,5,8
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,23,12,35
REYES,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,0,1,1
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,2,0,2
SACABA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,20,3,23
SACABAMBA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,0,2,2
SACACA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,0,3,3
SAN ANDRES DE MACHACA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,0,1,1
SAN BENITO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,0,2,2
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,1,12,13
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,0,3,3
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,2,0,2
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,15,0,15
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,0,26,26
SAN LUCAS,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,0,1,1
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,5,7,12
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,1,0,1
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,1,0,1
SAN RAFAEL,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,2,0,2
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,164,25,189
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,5,2,7
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,0,1,1
SANTIVAÑES,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,1,0,1
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,8,0,8
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,1,1,2
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,7,0,7
SORACACHI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,0,5,5
SORATA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,0,3,3
SUCRE,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,45,12,57
TACACOMA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,0,8,8
TACOBAMBA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,0,3,3
TAPACARI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,3,0,3
TARABUCO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,1,0,1
TARATA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,0,1,1
TARIJA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,19,4,23
TARVITA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,1,1,2
TEOPONTE,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,5,0,5
TIPUANI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,0,1,1
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,12,12,24
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,3,3,6
TOCO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,0,2,2
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,3,1,4
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,23,116,139
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,1,0,1
VACAS,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,1,0,1
VIACHA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,1,0,1
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,5,0,5
VILLA RIVERO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,0,1,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,9,4,13
VILLAZON,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,2,1,3
VINTO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,9,0,9
WARNES,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,11,24,35
YACUIBA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,3,5,8
YANACACHI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,0,6,6
YAPACANI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,2,5,7
ZUDAÑEZ,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-04-01,2,2,4
ACACIO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,2,0,2
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,4,5,9
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,7,0,7
ALALAY,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,0,1,1
ANCORAIMES,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,0,1,1
ANTEQUERA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,0,1,1
APOLO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,1,5,6
ARAMPAMPA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,0,11,11
ARANI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,0,1,1
ARBIETO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,0,5,5
ARQUE,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,2,37,39
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,2,0,2
AYO AYO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,0,3,3
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,0,9,9
BATALLAS,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,2,0,2
BERMEJO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,3,11,14
BETANZOS,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,3,9,12
BOYUIBE,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,0,1,1
"CAIZA ""D""",vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,0,3,3
CALAMARCA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,2,0,2
CAMIRI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,3,0,3
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,1,0,1
CARANAVI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,7,5,12
CARMEN RIVERO TORREZ,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,0,1,1
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,1,0,1
CHAQUI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,0,8,8
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,0,6,6
CHIMORE,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,1,3,4
CHOQUE COTA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,0,2,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,2,0,2
CHUMA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,3,15,18
CLIZA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,1,0,1
COBIJA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,2,2,4
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,98,5,103
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,22,23,45
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,5,0,5
COLLANA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,1,0,1
COLOMI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,1,14,15
COLQUENCHA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,1,0,1
COPACABANA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,0,4,4
CORIPATA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,1,0,1
CORQUE,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,1,0,1
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,2,0,2
COTOCA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,14,10,24
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,0,1,1
CULPINA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,5,0,5
CURAHUARA DE CARANGAS,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,3,0,3
CURVA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,0,1,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,123,9,132
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,1,0,1
EL TORNO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,3,0,3
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,6,0,6
EXALTACION,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,0,5,5
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,2,0,2
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,1,0,1
GUANAY,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,0,3,3
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,4,10,14
GUTIERREZ,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,0,1,1
HUACHACALLA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,2,0,2
HUANUNI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,1,19,20
HUARINA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,1,0,1
ICLA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,0,2,2
INCAHUASI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,0,4,4
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,0,4,4
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,11,2,13
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,14,0,14
LA PAZ,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,81,50,131
LAJA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,3,5,8
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,0,4,4
LORETO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,0,1,1
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,0,3,3
MAPIRI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,3,0,3
MECAPACA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,1,0,1
MIZQUE,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,0,6,6
MONTERO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,12,3,15
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,2,27,29
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,0,5,5
OCURI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,0,12,12
OKINAWA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,1,0,1
OMEREQUE,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,0,1,1
ORURO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,25,7,32
PADCAYA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,0,2,2
PADILLA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,1,0,1
PAILON,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,0,6,6
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,5,0,5
PAMPA GRANDE,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,3,0,3
PELECHUCO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,0,3,3
POCOATA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,0,7,7
POCONA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,1,0,1
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,1,2,3
POOPO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,5,2,7
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,0,1,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,17,1,18
PRESTO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,1,0,1
PUCARANI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,2,1,3
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,2,0,2
PUERTO RICO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,1,3,4
PUNA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,3,0,3
PUNATA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,0,8,8
QUIABAYA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,1,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,39,40,79
QUIME,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,0,2,2
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,1,0,1
ROBORE,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,0,1,1
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,1,1,2
SACABA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,36,8,44
SACABAMBA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,2,3,5
SACACA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,1,1,2
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,2,0,2
SAN BENITO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,7,0,7
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,15,3,18
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,1,13,14
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,4,1,5
SAN JAVIER(BNI),vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,0,1,1
SAN JAVIER(STC),vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,2,0,2
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,1,0,1
SAN LORENZO(PND),vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,0,2,2
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,0,1,1
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,1,1,2
SAN PABLO DE LIPEZ,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,1,0,1
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,0,2,2
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,0,1,1
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,169,8,177
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,2,0,2
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,1,0,1
SANTIAGO DE MACHACA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,1,0,1
SANTIVAÑES,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,0,6,6
SAPAHAQUI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,0,2,2
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,3,0,3
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,5,4,9
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,8,0,8
SORACACHI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,0,1,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,13,2,15
TACACOMA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,0,5,5
TACOPAYA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,7,8,15
TAPACARI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,0,5,5
TARIJA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,18,15,33
TINGUIPAYA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,0,1,1
TIPUANI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,0,4,4
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,11,6,17
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,1,0,1
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,4,8,12
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,12,4,16
TUPIZA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,1,0,1
UMALA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,0,4,4
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,1,0,1
VACAS,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,0,2,2
VIACHA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,22,2,24
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,5,0,5
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,4,10,14
VILLAZON,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,14,3,17
VINTO,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,0,5,5
WARNES,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,13,3,16
YACUIBA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,0,8,8
YAPACANI,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,1,1,2
YOCALLA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,1,5,6
YOTALA,vacunaciones en ninos de 2 a 4 anos,l 1910         anti amarilica,2012-05-01,0,1,1
