,group,variable,month,MUJERES CON VISITA DE CONTROL EN LAS 48 HRS SIGUIENTES AL PARTO < A 10,MUJERES CON VISITA DE CONTROL EN LAS 48 HRS SIGUIENTES AL PARTO < A 10,MUJERES CON VISITA DE CONTROL EN LAS 48 HRS SIGUIENTES AL PARTO 10 A 14,MUJERES CON VISITA DE CONTROL EN LAS 48 HRS SIGUIENTES AL PARTO 10 A 14,MUJERES CON VISITA DE CONTROL EN LAS 48 HRS SIGUIENTES AL PARTO 15 A 19,MUJERES CON VISITA DE CONTROL EN LAS 48 HRS SIGUIENTES AL PARTO 15 A 19,MUJERES CON VISITA DE CONTROL EN LAS 48 HRS SIGUIENTES AL PARTO 20 A 34,MUJERES CON VISITA DE CONTROL EN LAS 48 HRS SIGUIENTES AL PARTO 20 A 34,MUJERES CON VISITA DE CONTROL EN LAS 48 HRS SIGUIENTES AL PARTO 35 A 49,MUJERES CON VISITA DE CONTROL EN LAS 48 HRS SIGUIENTES AL PARTO 35 A 49,MUJERES CON VISITA DE CONTROL EN LAS 48 HRS SIGUIENTES AL PARTO 50 Y +,MUJERES CON VISITA DE CONTROL EN LAS 48 HRS SIGUIENTES AL PARTO 50 Y +,TOTALES,TOTALES,TOTALES
BAURES,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,1,0,1,1,0,0,0,0,2,1,3
BERMEJO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,3,1,20,0,5,0,0,0,28,1,29
BETANZOS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,6,0,10,1,1,1,0,0,17,2,19
BOLIVAR,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,0,1,0,3,0,2,0,0,0,6,6
BOYUIBE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2
BUENA VISTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2
CABEZAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,3,1,10,5,2,0,0,0,15,6,21
CAIROMA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,1,0,3,1,0,1,0,0,4,2,6
"CAIZA ""D""","atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,2,0,2,2,1,0,0,0,5,2,7
CAJUATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,0,0,10,0,0,0,0,0,10,0,10
CALACOTO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,0,0,2,2,0,0,0,0,2,2,4
CALAMARCA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,1,3,5,4,0,0,0,0,6,7,13
CAMARGO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,1,0,12,1,3,0,0,0,16,1,17
CAMIRI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,1,0,6,0,0,0,0,0,7,0,7
CAPINOTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,2,0,10,2,2,0,0,0,14,2,16
CAQUIAVIRI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,0,0,1,2,0,2,0,0,1,4,5
CARACOLLO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,2,0,1,0,11,0,0,0,0,0,14,0,14
CARANAVI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,1,0,6,0,38,2,6,1,0,0,51,3,54
CARAPARI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,0,0,10,1,1,0,0,0,11,1,12
CARIPUYO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,2,1,0,1,0,0,0,0,2,2,4
CARMEN RIVERO TORREZ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,1,0,1,1,0,0,0,0,2,1,3
CHACARILLA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
CHALLAPATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,11,2,28,4,4,1,0,0,43,7,50
CHAQUI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,1,0,0,2,0,0,0,0,1,2,3
CHARAGUA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,4,1,27,2,3,0,0,0,34,3,37
CHAYANTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,1,3,7,0,0,0,0,0,8,3,11
CHIMORE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,1,1,0,3,1,1,0,0,0,5,2,7
CHIPAYA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,1,0,0,1,0,0,0,0,1,1,2
CHOQUE COTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
CHUA COCANI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,0,0,0,2,0,1,0,0,0,3,3
CHULUMANI (V. DE LA LIBERTAD),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,4,0,17,2,0,0,0,0,21,2,23
CHUMA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,0,0,3,1,0,0,0,0,3,1,4
CHUQUIHUTA AYLLU JUCUMANI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,2,0,5,0,0,0,0,0,7,0,7
CKOCHAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,2,1,2,5,0,1,0,0,4,7,11
CLIZA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,8,0,14,0,4,0,0,0,26,0,26
COBIJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,2,0,7,0,50,0,1,0,0,0,60,0,60
COCAPATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,3,2,3,6,3,1,0,0,9,9,18
COCHABAMBA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,3,0,88,1,685,1,182,1,0,0,958,3,961
COLCAPIRHUA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,1,0,8,0,26,1,3,0,0,0,38,1,39
"COLCHA ""K""","atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,2,0,2,3,0,1,0,0,4,4,8
COLLANA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
COLOMI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,4,0,13,0,3,0,0,0,20,0,20
COLPA BELGICA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
COLQUECHACA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,2,3,7,6,0,4,0,0,9,13,22
COLQUENCHA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,0,0,2,2,0,1,0,0,2,3,5
COLQUIRI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,1,2,3,6,0,0,0,0,4,8,12
COMARAPA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,3,0,14,0,4,0,0,0,21,0,21
CONCEPCION,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,4,0,18,0,12,0,0,0,34,0,34
COPACABANA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,1,0,3,0,0,0,0,0,4,0,4
CORIPATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,0,0,8,0,2,0,0,0,10,0,10
CORO CORO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,1,1,0,2,1,1,0,0,2,4,6
COROICO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,1,0,2,1,14,3,2,1,0,0,19,5,24
CORQUE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,0,1,1,1,0,0,0,0,1,2,3
COTAGAITA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,2,0,5,1,2,0,0,0,9,1,10
COTOCA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,3,1,22,3,1,0,0,0,26,4,30
CUATRO CAÑADAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,2,0,9,0,2,0,0,0,13,0,13
CUEVO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,2,0,3,1,0,0,0,0,5,1,6
CULPINA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,3,2,3,1,1,0,0,0,7,3,10
CURAHUARA DE CARANGAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
CURVA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3
DESAGUADERO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,0,0,4,1,0,0,0,0,4,1,5
EL ALTO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,1,0,75,0,1057,17,158,2,0,0,1291,19,1310
EL PUENTE(STC),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,1,0,2,0,1,0,0,0,4,0,4
EL PUENTE(TJA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,0,0,1,2,1,3,0,0,2,5,7
EL TORNO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,6,0,46,0,6,0,0,0,58,0,58
EL VILLAR,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
ENTRE RIOS TRJ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,1,0,2,0,2,0,0,0,5,0,5
ENTRE RIOS CBBA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,6,0,15,1,1,0,0,0,22,1,23
ESCARA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
ESCOMA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,1,0,2,0,0,0,0,0,3,0,3
EUCALIPTUS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2
FERNANDEZ ALONSO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,1,0,3,0,1,0,0,0,5,0,5
FILADELFIA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
GAIOC JATUN AYLLU YURA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
GIA-TIM,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
GRAL. J.J. PEREZ (CHARAZANI),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,0,1,0,6,0,1,0,0,0,8,8
GUANAY,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,1,0,2,0,13,0,0,0,0,0,16,0,16
GUAQUI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,0,0,1,1,2,0,0,0,3,1,4
GUAYARAMERIN,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,0,0,7,0,0,0,0,0,7,0,7
GUTIERREZ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,2,0,3,1,2,1,0,0,7,2,9
HUACARAJE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,2,0,1,0,0,0,0,0,3,0,3
HUACARETA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,1,0,0,0,1,0,0,0,2,0,2
HUACAYA (VILLA DE HUACAYA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,1,0,2,1,0,1,0,0,3,2,5
HUANUNI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,2,0,10,0,1,0,0,0,13,0,13
HUARINA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,0,0,1,1,1,0,0,0,2,1,3
HUAYLLAMARCA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,0,0,4,0,0,0,0,0,4,0,4
HUMANATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,1,1,1,0,1,0,0,0,3,1,4
ICHOCA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
ICLA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
INCAHUASI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,5,3,4,5,1,0,0,0,10,8,18
INGAVI (HUMAITA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
INQUISIVI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,1,0,4,7,0,0,0,0,5,7,12
IRUPANA (VILLA DE LANZA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,1,0,3,1,1,1,0,0,5,2,7
IXIAMAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,2,1,2,0,1,0,0,0,5,1,6
JESUS DE MACHACA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,2,0,2,2,0,1,0,0,4,3,7
LA ASUNTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,8,0,31,2,5,0,0,0,44,2,46
LA GUARDIA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,7,0,30,0,3,0,0,0,40,0,40
LA PAZ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,1,0,56,0,519,2,153,0,0,0,729,2,731
LAGUNILLAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
LAJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,1,1,3,11,1,1,0,0,5,13,18
LICOMA PAMPA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2
LLALLAGUA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,15,0,43,0,10,0,0,0,68,0,68
LLICA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
LURIBAY,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3
MACHARETI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,0,0,2,1,0,0,0,0,2,1,3
MAGDALENA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,1,0,0,1,0,0,0,0,1,1,2
MAIRANA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,1,0,10,0,3,0,0,0,14,0,14
MALLA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,0,0,1,3,0,0,0,0,1,3,4
MAPIRI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,1,0,13,0,0,0,0,0,14,0,14
MINEROS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,4,0,6,0,7,0,0,0,17,0,17
MIZQUE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,1,0,4,0,5,0,2,0,0,0,12,0,12
MOCOMOCO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,0,3,0,4,0,0,0,0,0,7,7
MOJOCOYA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2
MONTEAGUDO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,1,0,0,0,21,0,6,1,0,0,28,1,29
MONTERO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,0,0,13,0,1,0,0,0,14,0,14
MORO MORO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
MOROCHATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,0,0,5,2,0,0,0,0,5,2,7
NACEBE (SANTA ROSA DEL ABUNA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
OCURI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,0,3,5,4,0,1,0,0,5,8,13
OKINAWA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",mujeres con visita de control en las 48 hrs siguientes al parto,2024-07-01,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3
