,group,variable,month,CESAREAS < A 10,CESAREAS < A 10,CESAREAS 10 A 14,CESAREAS 10 A 14,CESAREAS 15 A 19,CESAREAS 15 A 19,CESAREAS 20 A 34,CESAREAS 20 A 34,CESAREAS 35 A 49,CESAREAS 35 A 49,CESAREAS 50 Y +,CESAREAS 50 Y +,TOTALES,TOTALES,TOTALES
SAN BORJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,0,0,2,0,10,0,4,0,0,0,16,0,16
SAN BUENA VENTURA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,0,0,2,0,8,0,2,0,0,0,12,0,12
SAN CARLOS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,1,0,1,0,9,0,1,0,0,0,12,0,12
SAN IGNACIO DE VELASCO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,0,0,4,0,26,0,7,0,0,0,37,0,37
SAN JAVIER(STC),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3
SAN JOAQUIN,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,0,0,1,0,2,0,0,0,0,0,3,0,3
SAN JOSE DE CHIQUITOS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,1,0,7,0,16,0,3,0,0,0,27,0,27
SAN JULIAN,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,0,0,3,0,7,0,1,0,0,0,11,0,11
SAN LUCAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,1,0,2,0,2,0,0,0,0,0,5,0,5
SAN RAMON BENI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2
SANTA ANA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,1,0,1,0,8,0,2,0,0,0,12,0,12
SANTA CRUZ DE LA SIERRA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,21,0,8,0,208,0,1431,0,297,0,0,0,1965,0,1965
SHINAOTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,0,0,1,0,15,0,5,0,0,0,21,0,21
SOPACHUY,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
SUCRE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,1,0,21,0,141,0,49,0,0,0,212,0,212
TARABUCO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,0,0,0,0,2,0,1,0,0,0,3,0,3
TARIJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,0,0,6,0,106,0,71,0,0,0,183,0,183
TARVITA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,0,0,4,0,1,0,0,0,0,0,5,0,5
TIQUIPAYA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,0,0,3,0,22,0,2,0,0,0,27,0,27
TOTORA(CBBA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
TRINIDAD,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,0,0,25,0,87,0,17,0,0,0,129,0,129
TUPIZA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,0,0,3,0,9,0,3,0,0,0,15,0,15
UNCIA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,0,0,0,0,3,0,1,0,0,0,4,0,4
UYUNI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,0,0,3,0,9,0,4,0,0,0,16,0,16
VALLEGRANDE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,0,0,0,0,22,0,3,0,0,0,25,0,25
VIACHA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,0,0,3,0,22,0,6,0,0,0,31,0,31
VILLA MONTES,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,0,0,4,0,18,0,4,0,0,0,26,0,26
VILLA TUNARI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,2,0,12,0,37,0,15,0,0,0,66,0,66
VILLAZON,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,0,0,0,0,5,0,0,0,0,0,5,0,5
VINTO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,0,0,0,0,16,0,2,0,0,0,18,0,18
WARNES,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,0,0,12,0,48,0,3,0,0,0,63,0,63
YACUIBA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,0,0,5,0,37,0,13,0,0,0,55,0,55
YAPACANI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-04-01,0,0,1,0,5,0,17,0,7,0,0,0,30,0,30
ACHACACHI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,0,0,2,0,10,0,0,0,0,0,12,0,12
AIQUILE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,0,0,0,0,6,0,1,0,0,0,7,0,7
ASCENCION DE GUARAYOS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,0,0,3,0,13,0,2,0,0,0,18,0,18
ATOCHA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
AZURDUY,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
BAURES,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
BERMEJO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,0,0,1,0,14,0,1,0,0,0,16,0,16
CAMARGO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3
CAMIRI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,0,0,6,0,29,0,5,0,0,0,40,0,40
CARACOLLO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,0,0,0,0,5,0,0,0,0,0,5,0,5
CARANAVI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,0,0,6,0,31,0,6,0,0,0,43,0,43
CHALLAPATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,0,0,3,0,6,0,2,0,0,0,11,0,11
CHARAGUA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,0,0,2,0,7,0,1,0,0,0,10,0,10
CHULUMANI (V. DE LA LIBERTAD),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,0,0,0,0,5,0,2,0,0,0,7,0,7
CLIZA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,0,0,3,0,12,0,0,0,0,0,15,0,15
COBIJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,3,0,9,0,45,0,6,0,0,0,63,0,63
COCHABAMBA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,0,0,35,0,445,0,212,0,0,0,692,0,692
COLCAPIRHUA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,0,0,0,0,3,0,2,0,0,0,5,0,5
COMARAPA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,0,0,4,0,5,0,0,0,0,0,9,0,9
COROICO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,0,0,0,0,3,0,1,0,0,0,4,0,4
CUATRO CAÑADAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,0,0,2,0,6,0,1,0,0,0,9,0,9
EL ALTO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,0,0,27,0,267,0,61,0,0,0,355,0,355
EL TORNO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,0,0,7,0,33,0,5,0,0,0,45,0,45
ENTRE RIOS TRJ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,0,0,1,0,3,0,2,0,0,0,6,0,6
ESCOMA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
GUANAY,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,0,0,0,0,2,0,2,0,0,0,4,0,4
GUAYARAMERIN,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,0,0,3,0,23,0,5,0,0,0,31,0,31
HUANUNI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,1,0,2,0,12,0,1,0,0,0,16,0,16
LA GUARDIA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,0,0,1,0,27,0,5,0,0,0,33,0,33
LA PAZ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,1,0,32,0,399,0,121,0,0,0,553,0,553
LLALLAGUA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,0,0,7,0,17,0,3,0,0,0,27,0,27
MAIRANA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,0,0,1,0,5,0,1,0,0,0,7,0,7
MINEROS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,2,0,1,0,0,0,0,0,0,0,3,0,3
MIZQUE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
MONTEAGUDO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,0,0,1,0,8,0,2,0,0,0,11,0,11
MONTERO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,3,0,17,0,98,0,12,0,0,0,130,0,130
ORURO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,0,0,12,0,220,0,68,0,0,0,300,0,300
PADILLA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,0,0,0,0,5,0,0,0,0,0,5,0,5
PAILON,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,1,0,6,0,9,0,4,0,0,0,20,0,20
PATACAMAYA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,0,0,1,0,3,0,1,0,0,0,5,0,5
PORTACHUELO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,0,0,0,0,7,0,1,0,0,0,8,0,8
POTOSI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,0,0,16,0,106,0,32,0,0,0,154,0,154
PUERTO QUIJARRO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,0,0,2,0,6,0,0,0,0,0,8,0,8
PUERTO SUAREZ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,0,0,2,0,14,0,3,0,0,0,19,0,19
PUERTO VILLARROEL,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,0,0,2,0,30,0,4,0,0,0,36,0,36
PUNATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,0,0,8,0,39,0,16,0,0,0,63,0,63
QUILLACOLLO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,0,0,16,0,42,0,10,0,0,0,68,0,68
RIBERALTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,1,0,13,0,68,0,13,0,0,0,95,0,95
ROBORE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,0,0,3,0,6,0,4,0,0,0,13,0,13
RURRENABAQUE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,0,0,2,0,3,0,4,0,0,0,9,0,9
SACABA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,0,0,7,0,70,0,8,0,0,0,85,0,85
SAN BORJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,0,0,0,0,4,0,1,0,0,0,5,0,5
SAN BUENA VENTURA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,0,0,1,0,3,0,0,0,0,0,4,0,4
SAN CARLOS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,0,0,1,0,12,0,1,0,0,0,14,0,14
SAN IGNACIO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2
SAN IGNACIO DE VELASCO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,1,0,7,0,21,0,4,0,0,0,33,0,33
SAN JAVIER(STC),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,0,0,1,0,5,0,0,0,0,0,6,0,6
SAN JOAQUIN,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3
SAN JOSE DE CHIQUITOS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,0,0,2,0,10,0,2,0,0,0,14,0,14
SAN JULIAN,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,0,0,2,0,12,0,6,0,0,0,20,0,20
SANTA ANA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,0,0,4,0,4,0,1,0,0,0,9,0,9
SANTA CRUZ DE LA SIERRA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,1,0,173,0,1320,0,214,0,0,0,1708,0,1708
SHINAOTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,0,0,1,0,15,0,3,0,0,0,19,0,19
SUCRE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,0,0,12,0,140,0,29,0,0,0,181,0,181
TARABUCO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
TARIJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,1,0,10,0,100,0,54,0,0,0,165,0,165
TARVITA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
TIQUIPAYA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,0,0,8,0,26,0,9,0,0,0,43,0,43
TOTORA(CBBA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,0,0,1,0,0,0,1,0,0,0,2,0,2
TRINIDAD,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,2,0,21,0,84,0,10,0,0,0,117,0,117
TUPIZA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,0,0,1,0,4,0,2,0,0,0,7,0,7
UNCIA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,0,0,0,0,2,0,3,0,0,0,5,0,5
UYUNI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,0,0,0,0,7,0,4,0,0,0,11,0,11
VALLEGRANDE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,1,0,5,0,17,0,10,0,0,0,33,0,33
VIACHA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,0,0,2,0,12,0,6,0,0,0,20,0,20
VILLA MONTES,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,0,0,6,0,18,0,6,0,0,0,30,0,30
VILLA TUNARI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,0,0,7,0,37,0,14,0,0,0,58,0,58
VILLAZON,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,0,0,0,0,7,0,3,0,0,0,10,0,10
VINTO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,0,0,3,0,9,0,4,0,0,0,16,0,16
WARNES,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,0,0,7,0,43,0,5,0,0,0,55,0,55
YACUIBA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,0,0,7,0,49,0,11,0,0,0,67,0,67
YAPACANI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-05-01,0,0,0,0,3,0,26,0,4,0,0,0,33,0,33
ACHACACHI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-06-01,0,0,0,0,0,0,1,0,2,0,0,0,3,0,3
AIQUILE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-06-01,0,0,0,0,2,0,3,0,1,0,0,0,6,0,6
ASCENCION DE GUARAYOS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-06-01,0,0,1,0,1,0,13,0,2,0,0,0,17,0,17
AZURDUY,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-06-01,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3
BERMEJO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-06-01,0,0,0,0,1,0,14,0,4,0,0,0,19,0,19
CABEZAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-06-01,0,0,0,0,1,0,4,0,0,0,0,0,5,0,5
CAMARGO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-06-01,0,0,0,0,1,0,2,0,0,0,0,0,3,0,3
CAMIRI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-06-01,0,0,0,0,3,0,22,0,4,0,0,0,29,0,29
CARACOLLO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-06-01,0,0,0,0,0,0,6,0,0,0,0,0,6,0,6
CARANAVI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-06-01,0,0,2,0,8,0,23,0,1,0,0,0,34,0,34
CHALLAPATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-06-01,0,0,0,0,1,0,10,0,2,0,0,0,13,0,13
CHARAGUA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-06-01,0,0,0,0,0,0,6,0,1,0,0,0,7,0,7
CHULUMANI (V. DE LA LIBERTAD),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-06-01,0,0,0,0,0,0,4,0,4,0,0,0,8,0,8
CLIZA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-06-01,0,0,1,0,2,0,6,0,2,0,0,0,11,0,11
COBIJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-06-01,0,0,2,0,5,0,52,0,3,0,0,0,62,0,62
COCHABAMBA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-06-01,0,0,4,0,36,0,453,0,184,0,0,0,677,0,677
COLCAPIRHUA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-06-01,0,0,0,0,0,0,6,0,2,0,0,0,8,0,8
COMARAPA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-06-01,0,0,0,0,3,0,6,0,1,0,0,0,10,0,10
CONCEPCION,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-06-01,0,0,0,0,1,0,3,0,0,0,0,0,4,0,4
COROICO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-06-01,0,0,2,0,2,0,9,0,1,0,0,0,14,0,14
COTOCA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-06-01,0,0,0,0,2,0,17,0,2,0,0,0,21,0,21
CUATRO CAÑADAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-06-01,0,0,0,0,0,0,8,0,4,0,0,0,12,0,12
EL ALTO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-06-01,0,0,0,0,30,0,298,0,35,0,0,0,363,0,363
EL TORNO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-06-01,0,0,0,0,8,0,20,0,1,0,0,0,29,0,29
ENTRE RIOS TRJ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-06-01,0,0,0,0,0,0,3,0,1,0,0,0,4,0,4
ESCOMA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-06-01,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2
GUANAY,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-06-01,0,0,0,0,1,0,3,0,0,0,0,0,4,0,4
GUAYARAMERIN,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-06-01,0,0,1,0,5,0,10,0,1,0,0,0,17,0,17
HUANUNI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-06-01,0,0,0,0,1,0,2,0,0,0,0,0,3,0,3
LA GUARDIA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-06-01,0,0,0,0,1,0,21,0,7,0,0,0,29,0,29
LA PAZ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-06-01,0,0,1,0,31,0,502,0,170,0,0,0,704,0,704
LLALLAGUA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-06-01,0,0,0,0,5,0,23,0,4,0,0,0,32,0,32
MAGDALENA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-06-01,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2
MINEROS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-06-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
MONTEAGUDO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-06-01,0,0,1,0,1,0,3,0,5,0,0,0,10,0,10
MONTERO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-06-01,0,0,0,0,15,0,59,0,11,0,0,0,85,0,85
ORURO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",cesareas,2024-06-01,0,0,1,0,17,0,153,0,69,0,0,0,240,0,240
