,group,variable,month,PRIMER CONTROL POST PARTO < A 10,PRIMER CONTROL POST PARTO < A 10,PRIMER CONTROL POST PARTO 10 A 14,PRIMER CONTROL POST PARTO 10 A 14,PRIMER CONTROL POST PARTO 15 A 19,PRIMER CONTROL POST PARTO 15 A 19,PRIMER CONTROL POST PARTO 20 A 34,PRIMER CONTROL POST PARTO 20 A 34,PRIMER CONTROL POST PARTO 35 A 49,PRIMER CONTROL POST PARTO 35 A 49,PRIMER CONTROL POST PARTO 50 Y +,PRIMER CONTROL POST PARTO 50 Y +,TOTALES,TOTALES,TOTALES
TOLATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-07-01,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
TOLEDO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-07-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
TOMAVE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-07-01,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2
TOMINA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-07-01,0,0,0,0,0,0,4,0,0,0,0,0,4,0,4
TORO TORO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-07-01,0,0,0,0,1,0,3,3,1,1,0,0,5,4,9
TOTORA(CBBA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-07-01,0,0,0,0,2,0,12,3,1,0,0,0,15,3,18
TOTORA(ORR),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-07-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
TRIGAL,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-07-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
TRINIDAD,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-07-01,0,0,0,0,0,1,5,2,4,0,0,0,9,3,12
TUPIZA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-07-01,0,0,0,0,19,0,37,3,7,1,0,0,63,4,67
TURCO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-07-01,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
UMALA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-07-01,0,0,0,0,0,1,0,1,0,1,0,0,0,3,3
UNCIA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-07-01,0,0,0,0,0,0,1,3,2,0,0,0,3,3,6
URIONDO (A. CONCEPCION),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-07-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
URUBICHA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-07-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
UYUNI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-07-01,0,0,0,0,2,0,12,1,0,0,0,0,14,1,15
VALLEGRANDE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-07-01,0,0,0,0,2,0,11,0,1,0,0,0,14,0,14
VIACHA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-07-01,0,0,0,0,1,0,10,3,3,0,0,0,14,3,17
VILA VILA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-07-01,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2
VILLA CHARCAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-07-01,0,0,0,0,5,1,6,4,1,3,0,0,12,8,20
VILLA MONTES,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-07-01,0,0,0,0,5,1,42,1,9,0,0,0,56,2,58
VILLA SERRANO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-07-01,0,0,0,0,0,0,2,1,0,0,0,0,2,1,3
VILLA TUNARI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-07-01,0,0,0,0,10,1,63,2,9,1,0,0,82,4,86
VILLA VACA GUZMAN (MUYUPAMPA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-07-01,0,0,1,0,0,0,2,0,0,0,0,0,3,0,3
VILLAZON,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-07-01,0,0,0,0,4,0,35,0,5,0,0,0,44,0,44
VINTO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-07-01,0,0,1,0,7,0,42,0,8,0,0,0,58,0,58
VITICHI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-07-01,0,0,0,0,0,0,3,1,0,0,0,0,3,1,4
WALDO BALLIVIAN,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-07-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
WARNES,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-07-01,0,0,0,0,23,1,131,5,11,0,0,0,165,6,171
YACO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-07-01,0,0,0,0,2,0,3,4,0,3,0,0,5,7,12
YACUIBA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-07-01,0,0,1,0,12,0,39,0,12,0,0,0,64,0,64
YAMPARAEZ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-07-01,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
YAPACANI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-07-01,0,0,1,0,10,0,41,1,9,0,0,0,61,1,62
YOCALLA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-07-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
YOTALA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-07-01,0,0,0,0,0,0,5,0,0,0,0,0,5,0,5
YUNCHARA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-07-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
ZUDAÑEZ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-07-01,0,0,0,0,0,1,4,0,0,1,0,0,4,2,6
ACACIO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,1,0,0,1,0,1,0,0,1,2,3
ACHACACHI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,0,2,1,6,0,3,0,0,1,11,12
ACHOCALLA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,1,0,10,0,4,0,0,0,15,0,15
AIQUILE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,3,0,20,1,5,0,0,0,28,1,29
ALCALA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
ALTO BENI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,1,0,0,0,7,0,1,0,0,0,9,0,9
ANCORAIMES,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,0,1,1,8,0,0,0,0,1,9,10
ANZALDO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,0,1,1,1,0,0,0,0,1,2,3
APOLO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,3,3,8,2,2,1,0,0,13,6,19
ARAMPAMPA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,1,0,0,3,0,1,0,0,1,4,5
ARANI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
ARBIETO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,0,0,9,1,5,0,0,0,14,1,15
ARQUE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,0,2,0,5,0,1,0,0,0,8,8
ASCENCION DE GUARAYOS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,10,0,24,0,2,0,0,0,36,0,36
ATOCHA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2
AUCAPATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
AYATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,0,0,1,4,0,0,0,0,1,4,5
AYO AYO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,0,1,2,3,0,0,0,0,2,4,6
AYOPAYA (V. DE INDEPENDENCIA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,3,4,8,3,2,0,0,0,13,7,20
AZURDUY,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,2,1,5,1,0,1,0,0,7,3,10
BATALLAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,0,0,5,3,0,1,0,0,5,4,9
BAURES,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2
BELEN DE ANDAMARCA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
BERMEJO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,4,0,21,0,11,0,0,0,36,0,36
BETANZOS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,1,1,0,3,0,0,0,0,1,4,5
BOLIVAR,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
BOYUIBE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,2,0,1,0,0,0,0,0,3,0,3
BUENA VISTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,0,0,2,0,1,0,0,0,3,0,3
CABEZAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,1,0,12,7,1,0,0,0,14,7,21
CAIROMA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,0,0,3,4,0,1,0,0,3,5,8
"CAIZA ""D""","atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,1,1,3,1,1,0,0,0,5,2,7
CAJUATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3
CALAMARCA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
CAMARGO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,0,0,17,1,6,0,0,0,23,1,24
CAMIRI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,2,0,7,0,29,0,3,0,0,0,41,0,41
CAPINOTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,1,0,7,1,0,0,0,0,8,1,9
CAQUIAVIRI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
CARACOLLO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,1,0,14,4,1,0,0,0,16,4,20
CARANAVI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,1,0,9,0,44,1,10,0,0,0,64,1,65
CARAPARI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,0,0,3,1,1,0,0,0,4,1,5
CARIPUYO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,0,0,4,1,0,0,0,0,4,1,5
CARMEN RIVERO TORREZ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2
CHACARILLA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
CHALLAPATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,9,2,29,6,6,0,0,0,44,8,52
CHAQUI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,1,1,2,3,1,1,0,0,4,5,9
CHARAGUA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,0,0,8,5,0,0,0,0,8,5,13
CHAYANTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,3,2,0,3,1,1,0,0,4,6,10
CHIMORE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,3,0,12,1,1,0,0,0,16,1,17
CHIPAYA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,0,0,0,1,1,0,0,0,1,1,2
CHUA COCANI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,0,0,2,2,0,0,0,0,2,2,4
CHULUMANI (V. DE LA LIBERTAD),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,2,0,9,1,1,0,0,0,12,1,13
CHUMA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
CHUQUIHUTA AYLLU JUCUMANI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,2,0,3,1,0,1,0,0,5,2,7
CKOCHAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,0,2,2,1,0,1,0,0,2,4,6
CLIZA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,5,0,18,0,4,0,0,0,27,0,27
COBIJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,3,0,14,0,2,0,0,0,19,0,19
COCHABAMBA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,1,0,45,0,422,3,77,0,0,0,545,3,548
COLCAPIRHUA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
"COLCHA ""K""","atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,1,0,2,3,2,1,0,0,5,4,9
COLOMI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,1,0,1,0,8,1,6,0,0,0,16,1,17
COLPA BELGICA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,0,0,0,0,5,0,0,0,5,0,5
COLQUECHACA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,3,1,10,5,2,2,0,0,15,8,23
COLQUENCHA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,1,1,2,1,1,0,0,0,4,2,6
COLQUIRI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,1,0,3,3,1,1,0,0,5,4,9
COMANCHE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
COMARAPA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,4,1,11,0,3,0,0,0,18,1,19
COMBAYA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
CONCEPCION,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,1,0,8,0,27,0,0,1,0,0,36,1,37
COPACABANA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
CORIPATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,0,0,10,0,2,0,0,0,12,0,12
CORO CORO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2
COROICO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,5,0,18,1,8,0,0,0,31,1,32
CORQUE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,1,0,3,0,2,0,0,0,6,0,6
COTAGAITA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
COTOCA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,2,1,11,3,0,0,0,0,13,4,17
CUATRO CAÑADAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,2,0,4,0,1,0,0,0,7,0,7
CUEVO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,0,0,2,0,1,0,0,0,3,0,3
CULPINA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,1,0,8,5,1,0,0,0,10,5,15
CURAHUARA DE CARANGAS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
EL ALTO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,1,0,35,2,554,24,45,4,0,0,635,30,665
EL CHORO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,0,1,1,0,0,0,0,0,1,1,2
EL PUENTE(STC),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3
EL PUENTE(TJA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3
EL TORNO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,0,0,35,0,0,0,0,0,35,0,35
EL VILLAR,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2
ENTRE RIOS TRJ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,1,0,8,3,0,0,0,0,9,3,12
ENTRE RIOS CBBA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,5,0,11,0,1,0,0,0,17,0,17
ESCOMA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
FERNANDEZ ALONSO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,1,0,4,0,1,0,0,0,6,0,6
FILADELFIA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2
GAIOC JATUN AYLLU YURA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2
GENERAL SAAVEDRA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,1,0,5,1,0,0,0,0,6,1,7
GIA-TIM,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,0,0,1,2,0,0,0,0,1,2,3
GRAL. J.J. PEREZ (CHARAZANI),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,0,1,0,3,1,0,0,0,1,4,5
GUAQUI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,1,0,2,1,0,2,0,0,3,3,6
GUAYARAMERIN,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,5,0,12,0,0,0,0,0,17,0,17
GUTIERREZ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,1,1,4,0,0,0,0,0,5,1,6
HUACARAJE,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,1,0,3,0,1,0,0,0,5,0,5
HUACARETA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,1,0,3,1,1,0,0,0,5,1,6
HUANUNI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,2,0,13,0,4,0,0,0,19,0,19
HUARINA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,0,0,4,2,0,1,0,0,4,3,7
HUMANATA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,0,1,1,0,1,0,0,0,2,1,3
ICLA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,0,2,1,2,0,1,0,0,1,5,6
INCAHUASI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,1,1,4,4,3,1,0,0,8,6,14
INQUISIVI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,1,5,3,6,0,2,0,0,4,13,17
IRUPANA (VILLA DE LANZA),"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,0,0,5,2,1,0,0,0,6,2,8
JESUS DE MACHACA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,0,0,3,0,1,1,0,0,4,1,5
LA ASUNTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,9,1,37,0,4,1,0,0,50,2,52
LA GUARDIA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,7,0,51,0,5,0,0,0,63,0,63
LA PAZ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",primer control post parto,2024-08-01,0,0,0,0,32,1,295,1,109,0,0,0,436,2,438
