,group,variable,month,PARTOS ATENDIDOS POR PERSONAL DE SALUD CALIFICADO Y PARTERA (ARTICULACION) < A 10,PARTOS ATENDIDOS POR PERSONAL DE SALUD CALIFICADO Y PARTERA (ARTICULACION) < A 10,PARTOS ATENDIDOS POR PERSONAL DE SALUD CALIFICADO Y PARTERA (ARTICULACION) 10 A 14,PARTOS ATENDIDOS POR PERSONAL DE SALUD CALIFICADO Y PARTERA (ARTICULACION) 10 A 14,PARTOS ATENDIDOS POR PERSONAL DE SALUD CALIFICADO Y PARTERA (ARTICULACION) 15 A 19,PARTOS ATENDIDOS POR PERSONAL DE SALUD CALIFICADO Y PARTERA (ARTICULACION) 15 A 19,PARTOS ATENDIDOS POR PERSONAL DE SALUD CALIFICADO Y PARTERA (ARTICULACION) 20 A 34,PARTOS ATENDIDOS POR PERSONAL DE SALUD CALIFICADO Y PARTERA (ARTICULACION) 20 A 34,PARTOS ATENDIDOS POR PERSONAL DE SALUD CALIFICADO Y PARTERA (ARTICULACION) 35 A 49,PARTOS ATENDIDOS POR PERSONAL DE SALUD CALIFICADO Y PARTERA (ARTICULACION) 35 A 49,PARTOS ATENDIDOS POR PERSONAL DE SALUD CALIFICADO Y PARTERA (ARTICULACION) 50 Y +,PARTOS ATENDIDOS POR PERSONAL DE SALUD CALIFICADO Y PARTERA (ARTICULACION) 50 Y +,TOTALES,TOTALES,TOTALES
TOMINA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-11-01,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
YUNCHARA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-11-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
CARIPUYO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-12-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
HUARINA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-12-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
INCAHUASI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-12-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
JESUS DE MACHACA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-12-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
LA PAZ,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-12-01,0,0,0,0,0,0,6,0,1,0,0,0,7,0,7
LORETO,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-12-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
PALOS BLANCOS,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-12-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
SAN BORJA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-12-01,0,0,0,0,0,0,0,4,0,0,0,0,0,4,4
SAN JUAN DE YAPACANI,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-12-01,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
SAN PEDRO DE BUENA VISTA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-12-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-12-01,0,0,0,0,0,0,7,0,2,0,0,0,9,0,9
TACACOMA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-12-01,0,0,0,0,0,0,2,1,0,0,0,0,2,1,3
TRINIDAD,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-12-01,0,0,0,0,2,0,6,0,0,0,0,0,8,0,8
UNCIA,"atencion de parto y puerperio en servicio y domicilio, otro tipo de atenciones ligadas al parto",partos atendidos por personal de salud calificado y partera (articulacion),2024-12-01,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
