,group,variable,month,TOTAL 6.1 CONTROL DEL NIÑO MENOR DE 1 AÑO NUEVO,TOTAL 6.1 CONTROL DEL NIÑO MENOR DE 1 AÑO NUEVO,TOTAL 6.1 CONTROL DEL NIÑO MENOR DE 1 AÑO REPETIDO,TOTAL 6.1 CONTROL DEL NIÑO MENOR DE 1 AÑO REPETIDO,TOTALES,TOTALES,TOTALES
ACHOCALLA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,15,13,130,119,145,132,277
AIQUILE,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,22,28,245,204,267,232,499
ALALAY,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,5,4,17,18,22,22,44
ALCALA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,2,2,22,20,24,22,46
ALTO BENI,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,8,6,223,65,231,71,302
ANCORAIMES,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,10,13,100,95,110,108,218
ANDAMARCA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,2,2,32,30,34,32,66
ANTEQUERA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,1,1,31,27,32,28,60
ANZALDO,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,3,9,52,36,55,45,100
APOLO,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,11,11,190,170,201,181,382
ARAMPAMPA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,1,4,30,19,31,23,54
ARANI,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,18,18,132,97,150,115,265
ARBIETO,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,20,8,190,198,210,206,416
ARQUE,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,4,10,151,112,155,122,277
ASCENCION DE GUARAYOS,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,47,43,251,229,298,272,570
ATOCHA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,10,8,116,99,126,107,233
AUCAPATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,6,4,57,48,63,52,115
AYATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,6,9,56,43,62,52,114
AYO AYO,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,3,9,78,67,81,76,157
AYOPAYA (V. DE INDEPENDENCIA),control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,20,21,266,260,286,281,567
AZURDUY,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,10,14,102,70,112,84,196
BATALLAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,17,9,167,130,184,139,323
BAURES,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,5,5,40,32,45,37,82
BELEN DE ANDAMARCA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,2,0,16,12,18,12,30
BELEN DE URMIRI,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,2,2,13,11,15,13,28
BELLA FLOR,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,7,3,18,28,25,31,56
BERMEJO,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,164,171,164,144,328,315,643
BETANZOS,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,37,33,261,272,298,305,603
BOLIVAR,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,2,7,47,54,49,61,110
BOLPEBRA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,3,2,17,15,20,17,37
BOYUIBE,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,4,1,24,34,28,35,63
BUENA VISTA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,9,13,94,112,103,125,228
CABEZAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,13,14,180,146,193,160,353
CAIROMA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,12,7,70,65,82,72,154
"CAIZA ""D""",control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,11,6,79,57,90,63,153
CAJUATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,14,14,105,97,119,111,230
CALACOTO,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,6,3,30,34,36,37,73
CALAMARCA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,8,9,82,83,90,92,182
CAMARGO,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,25,16,127,130,152,146,298
CAMATAQUI (C. VILLA ABECIA),control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,0,0,27,22,27,22,49
CAMIRI,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,55,38,274,224,329,262,591
CAPINOTA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,28,17,222,232,250,249,499
CAQUIAVIRI,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,8,8,97,67,105,75,180
CARACOLLO,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,12,15,155,164,167,179,346
CARANAVI,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,85,125,324,348,409,473,882
CARANGAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,0,0,5,2,5,2,7
CARAPARI,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,17,12,152,114,169,126,295
CARIPUYO,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,9,6,58,64,67,70,137
CARMEN RIVERO TORREZ,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,10,21,23,26,33,47,80
CATACORA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,0,0,4,8,4,8,12
CHACARILLA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,2,0,3,10,5,10,15
CHALLAPATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,54,30,380,318,434,348,782
CHAQUI,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,8,4,67,49,75,53,128
CHARAGUA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,38,55,212,184,250,239,489
CHARAÑA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,1,0,18,17,19,17,36
CHAYANTA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,16,15,108,107,124,122,246
CHIMORE,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,124,102,229,188,353,290,643
CHIPAYA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,2,0,18,7,20,7,27
CHOQUE COTA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,0,0,8,13,8,13,21
CHUA COCANI,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,1,1,14,15,15,16,31
CHULUMANI (V. DE LA LIBERTAD),control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,24,20,75,85,99,105,204
CHUMA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,7,11,70,76,77,87,164
CHUQUIHUTA AYLLU JUCUMANI,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,16,7,38,61,54,68,122
CKOCHAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,18,12,109,141,127,153,280
CLIZA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,122,88,118,141,240,229,469
COBIJA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,76,79,549,484,625,563,1188
COCAPATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,26,22,172,132,198,154,352
COCHABAMBA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,1234,1140,3614,3216,4848,4356,9204
COIPASA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,1,0,6,6,7,6,13
COLCAPIRHUA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,65,81,285,274,350,355,705
"COLCHA ""K""",control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,20,8,150,142,170,150,320
COLLANA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,1,2,17,22,18,24,42
COLOMI,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,18,17,190,188,208,205,413
COLPA BELGICA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,7,6,1,1,8,7,15
COLQUECHACA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,41,40,271,255,312,295,607
COLQUENCHA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,4,1,64,77,68,78,146
COLQUIRI,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,23,27,130,139,153,166,319
COMANCHE,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,1,3,18,21,19,24,43
COMARAPA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,17,12,129,130,146,142,288
COMBAYA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,1,4,9,21,10,25,35
CONCEPCION,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,16,15,175,166,191,181,372
COPACABANA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,5,8,71,69,76,77,153
CORIPATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,14,11,174,105,188,116,304
CORO CORO,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,6,6,65,61,71,67,138
COROICO,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,16,20,104,80,120,100,220
CORQUE,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,3,2,56,73,59,75,134
COTAGAITA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,17,18,128,153,145,171,316
COTOCA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,73,67,389,365,462,432,894
CRUZ DE MACHACAMARCA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,0,2,2,0,2,2,4
CUATRO CAÑADAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,12,24,163,185,175,209,384
CUCHUMUELA (V. G. VILLARROEL),control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,4,1,7,9,11,10,21
CUEVO,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,3,5,37,34,40,39,79
CULPINA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,13,11,155,144,168,155,323
CURAHUARA DE CARANGAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,3,8,58,54,61,62,123
CURVA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,3,2,43,18,46,20,66
DESAGUADERO,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,8,4,36,48,44,52,96
EL ALTO,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,1121,1007,6709,6285,7830,7292,15122
EL CHORO,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,3,3,53,42,56,45,101
EL PUENTE(STC),control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,6,6,99,94,105,100,205
EL PUENTE(TJA),control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,10,14,71,73,81,87,168
EL TORNO,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,64,48,398,433,462,481,943
EL VILLAR,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,1,1,31,27,32,28,60
ENTRE RIOS TRJ,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,18,25,171,147,189,172,361
ENTRE RIOS CBBA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,60,53,184,167,244,220,464
ESCARA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,0,0,1,7,1,7,8
ESCOMA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,16,10,32,30,48,40,88
ESMERALDA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,0,0,1,1,1,1,2
EUCALIPTUS,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,21,9,53,35,74,44,118
EUREKA (SANTOS MERCADO),control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,0,0,12,10,12,10,22
EXALTACION,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,3,2,12,13,15,15,30
FERNANDEZ ALONSO,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,17,11,105,105,122,116,238
FILADELFIA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,4,5,53,52,57,57,114
GENERAL SAAVEDRA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,19,17,169,128,188,145,333
GRAL. J.J. PEREZ (CHARAZANI),control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,8,3,79,59,87,62,149
GUANAY,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,12,11,141,143,153,154,307
GUAQUI,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,1,7,22,32,23,39,62
GUAYARAMERIN,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,51,62,438,412,489,474,963
GUTIERREZ,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,10,15,130,119,140,134,274
HUACARETA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,8,7,86,67,94,74,168
HUACAYA (VILLA DE HUACAYA),control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,3,2,32,30,35,32,67
HUACHACALLA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,1,1,5,6,6,7,13
HUANUNI,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,16,26,188,213,204,239,443
HUARACAJE,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,4,6,20,35,24,41,65
HUARINA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,2,5,36,34,38,39,77
HUATAJATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,3,3,20,25,23,28,51
HUAYLLAMARCA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,2,3,37,40,39,43,82
HUMANATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,3,2,17,31,20,33,53
ICHOCA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,6,3,21,20,27,23,50
ICLA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,4,8,52,56,56,64,120
INCAHUASI,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,17,12,78,108,95,120,215
INGAVI (HUMAITA),control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,1,2,11,12,12,14,26
INQUISIVI,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,12,11,90,97,102,108,210
IRUPANA (VILLA DE LANZA),control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,20,18,123,119,143,137,280
IXIAMAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,7,5,110,76,117,81,198
JESUS DE MACHACA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,10,8,105,106,115,114,229
LA ASUNTA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,69,45,366,325,435,370,805
LA GUARDIA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,35,42,533,488,568,530,1098
LA PAZ,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,1538,1371,4125,3707,5663,5078,10741
LA RIVERA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,1,1,0,0,1,1,2
LAGUNILLAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,2,4,44,61,46,65,111
LAJA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,13,11,179,131,192,142,334
LAS CARRERAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,2,2,23,21,25,23,48
LICOMA PAMPA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,3,1,29,22,32,23,55
LLALLAGUA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,61,66,333,298,394,364,758
LLICA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,4,2,20,31,24,33,57
LORETO,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,15,10,22,35,37,45,82
LURIBAY,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,6,7,42,48,48,55,103
MACHACAMARCA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,1,2,31,35,32,37,69
MACHARETI,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,2,1,55,66,57,67,124
MAGDALENA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,24,10,107,98,131,108,239
MAIRANA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,9,10,75,104,84,114,198
MALLA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,0,0,13,16,13,16,29
MAPIRI,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,20,24,138,129,158,153,311
MECAPACA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,11,8,102,60,113,68,181
MINEROS,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,24,20,181,184,205,204,409
MIZQUE,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,20,16,348,353,368,369,737
MOCOMOCO,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,18,16,89,78,107,94,201
MOJINETE,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,1,2,2,9,3,11,14
MOJOCOYA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,3,5,63,50,66,55,121
MONTEAGUDO,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,28,27,197,177,225,204,429
MONTERO,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,193,165,861,896,1054,1061,2115
MORO MORO,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,3,1,16,11,19,12,31
MOROCHATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,11,6,125,77,136,83,219
NACEBE (SANTA ROSA DEL ABUNA),control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,2,0,23,19,25,19,44
NAZACARA DE PACAJES,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,0,0,9,5,9,5,14
NUEVO MANOA (NUEVA ESPERANZA),control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,4,2,37,28,41,30,71
OCURI,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,16,16,120,132,136,148,284
OKINAWA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,16,13,145,101,161,114,275
OMEREQUE,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,7,4,85,75,92,79,171
ORURO,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,526,541,1977,1932,2503,2473,4976
PADCAYA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,20,24,135,133,155,157,312
PADILLA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,8,12,78,69,86,81,167
PAILON,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,42,16,146,118,188,134,322
PALCA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,21,28,168,118,189,146,335
PALOS BLANCOS,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,37,25,262,237,299,262,561
PAMPA AULLAGAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,5,3,21,32,26,35,61
PAMPA GRANDE,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,4,3,47,68,51,71,122
PAPEL PAMPA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,6,1,38,41,44,42,86
PASORAPA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,1,3,37,25,38,28,66
PATACAMAYA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,18,16,174,166,192,182,374
PAZÑA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,4,6,48,59,52,65,117
PELECHUCO,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,4,7,71,60,75,67,142
POCOATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,26,18,158,161,184,179,363
POCONA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,8,9,128,101,136,110,246
POJO (CBBA),control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,26,23,113,108,139,131,270
POOPO,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,2,0,52,41,54,41,95
PORCO,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,20,10,110,93,130,103,233
POROMA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,16,7,123,97,139,104,243
PORONGO,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,10,12,60,57,70,69,139
PORTACHUELO,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,18,19,82,73,100,92,192
PORVENIR,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,5,5,60,46,65,51,116
POSTRER VALLE,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,1,1,11,9,12,10,22
POTOSI,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,400,407,1302,1231,1702,1638,3340
PRESTO,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,8,7,68,61,76,68,144
PUCARA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,0,0,10,9,10,9,19
PUCARANI,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,16,23,196,216,212,239,451
PUERTO ACOSTA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,12,16,55,63,67,79,146
PUERTO CARABUCO,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,12,13,106,64,118,77,195
PUERTO GONZALO MORENO,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,12,7,143,105,155,112,267
PUERTO PEREZ,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,6,5,46,41,52,46,98
PUERTO QUIJARRO,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,23,13,142,129,165,142,307
PUERTO RICO,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,7,9,76,75,83,84,167
PUERTO SILES,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,1,1,18,7,19,8,27
PUERTO SUAREZ,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,23,18,100,101,123,119,242
PUERTO VILLARROEL,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,122,115,717,740,839,855,1694
PUNA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,19,19,162,153,181,172,353
PUNATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,36,45,279,267,315,312,627
QUIABAYA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,4,3,30,30,34,33,67
QUILLACOLLO,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,471,425,1214,1131,1685,1556,3241
QUIME,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,8,5,81,81,89,86,175
QUIRUSILLAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,0,1,11,9,11,10,21
RAVELO,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,32,22,149,138,181,160,341
REYES,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,9,13,102,101,111,114,225
RIBERALTA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,115,135,928,902,1043,1037,2080
ROBORE,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,16,9,113,110,129,119,248
RURRENABAQUE,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,13,13,150,127,163,140,303
SABAYA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,4,1,28,17,32,18,50
SACABA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,132,136,1331,1264,1463,1400,2863
SACABAMBA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,4,6,38,43,42,49,91
SACACA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,23,17,167,171,190,188,378
SAIPINA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,6,11,47,41,53,52,105
SALINAS DE GARCI MENDOZA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,8,10,125,132,133,142,275
SAMAIPATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,10,9,67,63,77,72,149
SAN AGUSTIN,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,2,1,9,15,11,16,27
SAN ANDRES,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,40,17,87,85,127,102,229
SAN ANDRES DE MACHACA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,3,6,18,21,21,27,48
SAN ANTONIO DE ESMORUCO,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,3,1,10,13,13,14,27
SAN ANTONIO DE LOMERIO,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,2,4,51,63,53,67,120
SAN BENITO,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,20,14,130,113,150,127,277
SAN BORJA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,52,45,404,393,456,438,894
SAN BUENA VENTURA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,8,6,101,84,109,90,199
SAN CARLOS,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,95,13,194,212,289,225,514
SAN IGNACIO,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,96,86,106,95,202,181,383
SAN IGNACIO DE VELASCO,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,65,65,622,637,687,702,1389
SAN JAVIER(BNI),control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,3,8,10,9,13,17,30
SAN JAVIER(STC),control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,15,6,87,88,102,94,196
SAN JOAQUIN,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,6,9,44,34,50,43,93
SAN JOSE DE CHIQUITOS,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,21,17,90,109,111,126,237
SAN JUAN DE YAPACANI,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,5,2,70,75,75,77,152
SAN JULIAN,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,47,37,398,368,445,405,850
SAN LORENZO(PND),control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,6,12,44,37,50,49,99
SAN LORENZO(TJA),control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,18,17,223,214,241,231,472
SAN LUCAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,22,25,254,204,276,229,505
SAN MATIAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,22,27,92,102,114,129,243
SAN MIGUEL DE VELASCO,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,9,9,130,121,139,130,269
SAN PABLO DE LIPEZ,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,2,3,22,22,24,25,49
SAN PEDRO,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,13,18,116,128,129,146,275
SAN PEDRO DE BUENA VISTA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,52,21,222,212,274,233,507
SAN PEDRO DE CURAHUARA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,2,5,34,30,36,35,71
SAN PEDRO DE QUEMES,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,1,2,4,3,5,5,10
SAN PEDRO DE TIQUINA,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,1,5,37,27,38,32,70
SAN PEDRO(PND),control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,0,1,7,9,7,10,17
SAN RAFAEL,control de crecimiento infantil, control del nino menor de 1 ano,2014-08-01,0,2,64,36,64,38,102
