,group,variable,month,INFLUENZA ESTACIONAL 5 A 9 - D,INFLUENZA ESTACIONAL 5 A 9 - D,INFLUENZA ESTACIONAL 5 A 9 - F,INFLUENZA ESTACIONAL 5 A 9 - F,INFLUENZA ESTACIONAL 10 AÑOS - D,INFLUENZA ESTACIONAL 10 AÑOS - D,INFLUENZA ESTACIONAL 10 AÑOS - F,INFLUENZA ESTACIONAL 10 AÑOS - F,INFLUENZA ESTACIONAL 11 AÑOS - D,INFLUENZA ESTACIONAL 11 AÑOS - D,INFLUENZA ESTACIONAL 11 AÑOS - F,INFLUENZA ESTACIONAL 11 AÑOS - F,INFLUENZA ESTACIONAL 12 A 20 - D,INFLUENZA ESTACIONAL 12 A 20 - D,INFLUENZA ESTACIONAL 12 A 20 - F,INFLUENZA ESTACIONAL 12 A 20 - F,INFLUENZA ESTACIONAL 21 A 59 - D,INFLUENZA ESTACIONAL 21 A 59 - D,INFLUENZA ESTACIONAL 21 A 59 - F,INFLUENZA ESTACIONAL 21 A 59 - F,INFLUENZA ESTACIONAL 60 Y MAS - D,INFLUENZA ESTACIONAL 60 Y MAS - D,INFLUENZA ESTACIONAL 60 Y MAS - F,INFLUENZA ESTACIONAL 60 Y MAS - F,TOTALES,TOTALES,TOTALES
ANCORAIMES,otras vacunaciones,influenza estacional,2024-07-01,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,32,37,45,45,90
ANDAMARCA,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,5,11,15,18,33
ANTEQUERA,otras vacunaciones,influenza estacional,2024-07-01,9,0,2,10,0,0,0,1,0,2,0,1,1,1,10,3,2,7,46,16,3,1,5,2,78,44,122
ANZALDO,otras vacunaciones,influenza estacional,2024-07-01,4,2,1,0,1,1,0,0,0,0,0,0,0,2,0,0,1,1,1,1,5,13,46,57,59,77,136
APOLO,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,20,15,12,29,32,61
ARAMPAMPA,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,12,24
ARBIETO,otras vacunaciones,influenza estacional,2024-07-01,13,7,20,25,1,2,7,5,2,0,15,17,2,4,10,12,3,3,42,14,10,16,49,71,174,176,350
ARQUE,otras vacunaciones,influenza estacional,2024-07-01,0,0,19,21,0,0,3,5,0,0,2,2,0,1,1,1,0,2,0,1,2,1,31,25,58,59,117
ASCENCION DE GUARAYOS,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,11,11,16,30,27,57
ATOCHA,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,18,27,24,34,58
AYATA,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,19,31,23,37,60
AYO AYO,otras vacunaciones,influenza estacional,2024-07-01,3,0,2,1,0,0,1,0,0,1,0,0,0,0,2,0,1,0,2,2,2,6,5,9,18,19,37
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,influenza estacional,2024-07-01,0,0,14,8,0,0,2,1,0,0,0,3,0,0,1,1,0,0,0,0,33,34,67,86,117,133,250
AZURDUY,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,20,10,25,15,40
BATALLAS,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,28,39,40,53,93
BAURES,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,0,0,8,12,20
BELEN DE ANDAMARCA,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
BELEN DE URMIRI,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2
BERMEJO,otras vacunaciones,influenza estacional,2024-07-01,6,6,1,2,0,1,0,0,2,0,0,0,1,4,0,2,9,15,0,0,19,21,17,22,55,73,128
BETANZOS,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,30,28,44,56,74,130
BOLIVAR,otras vacunaciones,influenza estacional,2024-07-01,1,1,1,10,0,0,2,1,0,1,9,2,0,0,3,2,0,0,16,12,7,9,25,36,64,74,138
BOLPEBRA,otras vacunaciones,influenza estacional,2024-07-01,0,0,12,8,0,1,5,2,0,0,2,7,1,0,7,14,0,2,17,10,0,0,0,0,44,44,88
BUENA VISTA,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,12,9,14,17,31
CABEZAS,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,1,0,5,8,13
CAIROMA,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,8,5,19,10,29
"CAIZA ""D""",otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,11,19,18,23,41
CAJUATA,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,4,14,7,21
CALAMARCA,otras vacunaciones,influenza estacional,2024-07-01,1,2,23,21,0,1,15,7,0,1,7,8,2,0,1,1,3,8,0,3,12,13,1,1,65,66,131
CAMARGO,otras vacunaciones,influenza estacional,2024-07-01,5,5,6,2,0,2,2,0,1,0,0,1,8,7,6,11,9,12,13,32,8,10,5,8,63,90,153
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,2,4,4,8
CAMIRI,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,52,36,46,95,98,193
CAPINOTA,otras vacunaciones,influenza estacional,2024-07-01,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,17,37,24,42,66
CAQUIAVIRI,otras vacunaciones,influenza estacional,2024-07-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,13,12,18,23,32,55
CARACOLLO,otras vacunaciones,influenza estacional,2024-07-01,2,3,15,8,0,0,4,1,0,0,1,6,2,3,13,16,2,15,41,65,22,32,22,29,124,178,302
CARANAVI,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,41,33,24,100,65,165
CARAPARI,otras vacunaciones,influenza estacional,2024-07-01,6,22,10,16,3,2,1,0,2,4,0,2,7,2,0,2,9,15,0,1,12,10,16,10,66,86,152
CARIPUYO,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,3,6
CARMEN RIVERO TORREZ,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,2,5,3,8
CHACARILLA,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,3,1,4
CHALLAPATA,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,59,53,61,57,118
CHAQUI,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,14,16,21,26,47
CHARAGUA,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,16,21,18,36,34,70
CHARAÑA,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,3,7,10
CHAYANTA,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,29,13,29,42
CHIMORE,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,21,31,29,57,50,107
CHOQUE COTA,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,7,6,8,14
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,11,29,25,46,36,82
CHUMA,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,6,7,13
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,3,9,5,15,20
CKOCHAS,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,16,15,27,26,43,69
CLIZA,otras vacunaciones,influenza estacional,2024-07-01,15,20,24,17,1,3,3,2,3,0,5,1,5,5,14,12,14,8,41,34,7,7,17,32,149,141,290
COBIJA,otras vacunaciones,influenza estacional,2024-07-01,6,8,30,22,1,0,6,8,1,1,10,2,9,13,218,69,18,21,153,90,10,6,14,11,476,251,727
COCAPATA,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,26,44,40,69,66,135
COCHABAMBA,otras vacunaciones,influenza estacional,2024-07-01,26,24,23,23,4,3,2,2,2,2,4,3,13,18,53,49,16,31,89,126,824,1047,489,639,1545,1967,3512
COLCAPIRHUA,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,41,105,153,141,194,335
"COLCHA ""K""",otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,33,35,46,45,91
COLOMI,otras vacunaciones,influenza estacional,2024-07-01,34,41,53,44,1,8,0,2,4,8,1,1,17,41,20,27,26,82,12,15,36,53,64,60,268,382,650
COLPA BELGICA,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,18,48,22,50,72
COLQUECHACA,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,43,46,48,54,102
COLQUENCHA,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,17,18,3,0,21,22,43
COLQUIRI,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,37,50,41,50,91
COMANCHE,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,4,6,10
COMARAPA,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,6,7,14,18,32
CONCEPCION,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,11,8,3,24,14,38
COPACABANA,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,4,2,12,10,22
CORIPATA,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,14,18,15,38,29,67
CORO CORO,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,19,23,23,25,48
COROICO,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,23,9,5,34,28,62
CORQUE,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,3,5,11,20,31
COTAGAITA,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,45,63,51,76,127
COTOCA,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,84,63,60,142,144,286
CUATRO CAÑADAS,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,5
CULPINA,otras vacunaciones,influenza estacional,2024-07-01,3,2,19,17,9,8,10,5,1,0,5,4,2,2,0,1,18,29,3,6,23,22,30,50,123,146,269
CURAHUARA DE CARANGAS,otras vacunaciones,influenza estacional,2024-07-01,2,0,1,0,0,1,0,0,0,0,0,0,0,1,109,0,2,2,17,6,4,3,7,11,142,24,166
CURVA,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,6,5,7,12
DESAGUADERO,otras vacunaciones,influenza estacional,2024-07-01,0,1,48,44,0,0,1,3,0,0,7,9,0,0,60,49,0,1,41,38,0,0,17,7,174,152,326
EL ALTO,otras vacunaciones,influenza estacional,2024-07-01,427,420,602,688,75,92,151,159,87,84,137,150,289,463,586,870,416,1040,158,469,346,417,107,176,3381,5028,8409
EL CHORO,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,10,13,12,15,27
EL PUENTE(STC),otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,9,5,18,15,33
EL PUENTE(TJA),otras vacunaciones,influenza estacional,2024-07-01,13,4,9,15,2,2,5,4,3,3,4,1,4,13,29,25,24,54,62,86,4,9,30,37,189,253,442
EL TORNO,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,57,24,39,76,96,172
EL VILLAR,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,14,8,22
ENTRE RIOS TRJ,otras vacunaciones,influenza estacional,2024-07-01,22,19,26,34,4,1,1,3,2,6,2,1,7,9,13,23,25,46,29,74,14,21,5,10,150,247,397
ENTRE RIOS CBBA,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,13,24,24,49,37,86
ESCOMA,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,0,2,17,6,23
ESMERALDA,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,4,8
EUCALIPTUS,otras vacunaciones,influenza estacional,2024-07-01,0,2,0,0,0,0,0,0,1,1,0,0,0,4,1,1,3,7,3,10,1,1,5,7,14,33,47
EUREKA (SANTOS MERCADO),otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2
EXALTACION,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,3,1,4
FERNANDEZ ALONSO,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,11,9,17,10,27
FILADELFIA,otras vacunaciones,influenza estacional,2024-07-01,2,0,9,7,0,0,3,1,0,0,0,2,1,0,1,1,0,0,2,4,4,0,3,3,25,18,43
GAIOC JATUN AYLLU YURA,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,4,3,8,11
GENERAL SAAVEDRA,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,12,11,17,15,32
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,12,21,14,40,26,66
GUAQUI,otras vacunaciones,influenza estacional,2024-07-01,0,1,0,1,0,0,0,0,1,0,1,0,1,1,42,1,2,6,6,2,12,9,6,8,71,29,100
GUAYARAMERIN,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,3,1,8,7,15
GUTIERREZ,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,27,21,35,32,67
HUACARAJE,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,5,2,11,10,21
HUACARETA,otras vacunaciones,influenza estacional,2024-07-01,2,4,0,0,1,0,0,0,3,0,0,0,1,2,1,0,1,5,4,6,2,6,7,9,22,32,54
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2
HUACHACALLA,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2
HUANUNI,otras vacunaciones,influenza estacional,2024-07-01,3,7,12,7,3,0,3,0,1,2,0,0,4,4,19,23,13,12,75,80,3,4,13,24,149,163,312
HUARINA,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,6,10,10,16,26
HUATAJATA,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,23,33,24,35,59
HUAYLLAMARCA,otras vacunaciones,influenza estacional,2024-07-01,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,3,4,6,10
HUMANATA,otras vacunaciones,influenza estacional,2024-07-01,0,0,1,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,17,7,0,0,18,13,31
ICHOCA,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,18,17,18,35
ICLA,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,6,10,13,18,31
INCAHUASI,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,0,0,10,8,15,23,38
INGAVI (HUMAITA),otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
INQUISIVI,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,13,32,34,54,47,101
IRUPANA (VILLA DE LANZA),otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,23,20,33,24,57
IXIAMAS,otras vacunaciones,influenza estacional,2024-07-01,0,3,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,3,1,1,6,1,8,3,15,14,29
JESUS DE MACHACA,otras vacunaciones,influenza estacional,2024-07-01,0,2,0,0,0,0,0,0,0,0,0,0,4,4,9,3,8,9,56,21,20,19,59,67,156,125,281
LA ASUNTA,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,23,4,1,32,24,56
LA GUARDIA,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,45,59,87,94,132,226
LA PAZ,otras vacunaciones,influenza estacional,2024-07-01,147,170,41,35,17,32,6,13,33,30,6,5,142,164,137,54,299,651,320,268,839,1099,212,236,2199,2757,4956
LAGUNILLAS,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,0,9,8,17
LAJA,otras vacunaciones,influenza estacional,2024-07-01,18,12,76,80,1,3,5,12,1,2,7,7,2,1,95,85,2,9,9,10,41,63,59,62,316,346,662
LAS CARRERAS,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,2,5
LICOMA PAMPA,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,1,4,5,9
LLALLAGUA,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,25,45,64,65,89,154
LLICA,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,10,8,15,16,31
LORETO,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,3,4
LURIBAY,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,13,16,31,34,65
MACHACAMARCA,otras vacunaciones,influenza estacional,2024-07-01,1,3,4,3,0,0,0,1,0,0,3,3,2,1,5,5,2,7,12,7,3,1,9,17,41,48,89
MACHARETI,otras vacunaciones,influenza estacional,2024-07-01,1,2,4,4,1,1,0,3,0,0,1,6,0,0,19,9,4,5,7,13,1,1,3,2,41,46,87
MAGDALENA,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,5,6,5,11
MAIRANA,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,3,3,18,12,30
MAPIRI,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,19,8,24,16,40
MECAPACA,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,4,2,6
MINEROS,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,4,10,4,14
MIZQUE,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,28,39,65,55,93,148
MOCOMOCO,otras vacunaciones,influenza estacional,2024-07-01,1,0,2,0,1,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,21,15,21,22,47,40,87
MOJINETE,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2
MOJOCOYA,otras vacunaciones,influenza estacional,2024-07-01,0,1,0,0,0,0,0,0,0,1,0,0,0,4,0,0,4,11,0,3,12,13,38,30,54,63,117
MONTEAGUDO,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,28,38,35,71,63,134
MONTERO,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,112,139,63,233,175,408
MORO MORO,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,2,3,5,8
MOROCHATA,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,2,6
NAZACARA DE PACAJES,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,3,5
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
OCURI,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,5,7,6,13
OMEREQUE,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,1,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,1,3,44,43,46,50,96
ORURO,otras vacunaciones,influenza estacional,2024-07-01,129,148,153,201,28,19,39,34,27,13,56,48,65,108,199,220,151,321,287,509,170,213,230,337,1534,2171,3705
PADCAYA,otras vacunaciones,influenza estacional,2024-07-01,2,7,18,24,0,0,4,4,0,0,6,3,5,8,3,11,12,47,6,27,18,16,19,21,93,168,261
PADILLA,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,4,5
PAILON,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,14,44,41,61,55,116
PALCA,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,28,36,37,41,78
PALOS BLANCOS,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,14,34,31,52,45,97
PAMPA AULLAGAS,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,5,4,10,11,21
PAMPA GRANDE,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,29,4,11,21,40,61
PATACAMAYA,otras vacunaciones,influenza estacional,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,1,6,4,10
