,group,variable,month,COVID-19 DOSIS UNICA 5 A 9 - D,COVID-19 DOSIS UNICA 5 A 9 - D,COVID-19 DOSIS UNICA 5 A 9 - F,COVID-19 DOSIS UNICA 5 A 9 - F,COVID-19 DOSIS UNICA 10 AÑOS - D,COVID-19 DOSIS UNICA 10 AÑOS - D,COVID-19 DOSIS UNICA 10 AÑOS - F,COVID-19 DOSIS UNICA 10 AÑOS - F,COVID-19 DOSIS UNICA 11 AÑOS - D,COVID-19 DOSIS UNICA 11 AÑOS - D,COVID-19 DOSIS UNICA 11 AÑOS - F,COVID-19 DOSIS UNICA 11 AÑOS - F,COVID-19 DOSIS UNICA 12 A 20 - D,COVID-19 DOSIS UNICA 12 A 20 - D,COVID-19 DOSIS UNICA 12 A 20 - F,COVID-19 DOSIS UNICA 12 A 20 - F,COVID-19 DOSIS UNICA 21 A 59 - D,COVID-19 DOSIS UNICA 21 A 59 - D,COVID-19 DOSIS UNICA 21 A 59 - F,COVID-19 DOSIS UNICA 21 A 59 - F,COVID-19 DOSIS UNICA 60 Y MAS - D,COVID-19 DOSIS UNICA 60 Y MAS - D,COVID-19 DOSIS UNICA 60 Y MAS - F,COVID-19 DOSIS UNICA 60 Y MAS - F,TOTALES,TOTALES,TOTALES
VILLA TUNARI,otras vacunaciones,covid-19 dosis unica,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,12,11,62,68,14,17,28,36,0,1,0,1,116,134,250
VILLAZON,otras vacunaciones,covid-19 dosis unica,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,3,1,4
VINTO,otras vacunaciones,covid-19 dosis unica,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,8,4,2,1,0,0,0,0,11,6,17
WARNES,otras vacunaciones,covid-19 dosis unica,2024-04-01,0,0,0,0,0,0,0,0,0,1,6,14,9,11,12,13,7,0,0,0,0,0,0,0,34,39,73
YACUIBA,otras vacunaciones,covid-19 dosis unica,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,6,0,2,0,0,0,0,17,8,25
YAMPARAEZ,otras vacunaciones,covid-19 dosis unica,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
YANACACHI,otras vacunaciones,covid-19 dosis unica,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,37,23,0,0,0,2,37,32,69
YAPACANI,otras vacunaciones,covid-19 dosis unica,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,6,3,9
YOTALA,otras vacunaciones,covid-19 dosis unica,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
AIQUILE,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
ANTEQUERA,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,5,7,8,9,17
ASCENCION DE GUARAYOS,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,5,4,0,0,2,1,9,6,15
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,1,0,2,1,0,0,8,6,14
BATALLAS,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,3,3
BELEN DE ANDAMARCA,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
BELLA FLOR,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,2,3,5
BERMEJO,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,2,3,0,1,0,1,1,14,3,17
BOYUIBE,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,2,1,0,0,0,0,0,0,23,1,24
CABEZAS,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,12
CALACOTO,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,1,0,0,2,2,8,5,13
CAMARGO,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,3,4
CAMIRI,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,3,1,4
CAPINOTA,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
CAQUIAVIRI,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,4
CARACOLLO,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,0,1,1,1,0,1,3,7,10
CHALLAPATA,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,4,0,0,0,0,4,5,9
CHARAGUA,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,16,0,16
CHIMORE,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,1,0,2,1,0,0,0,0,30,1,31
CHIPAYA,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0,1,0,1,5,6
COBIJA,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
COCAPATA,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,5,4,1,9,0,0,0,0,8,15,23
COCHABAMBA,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,5,6,19,12,44,29,96,102,26,18,11,6,201,173,374
COIPASA,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,5
COLCAPIRHUA,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,2,0,0,1,0,3,6,9
COLOMI,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
COLQUIRI,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,4,5,0,0,4,1,9,11,20
CORQUE,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,2,1,3
CRUZ DE MACHACAMARCA,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,2,1,3
CUEVO,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,2,2,4
CULPINA,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,3
EL ALTO,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,4,7,3,5,8,2,2,0,2,21,22,43
EL CHORO,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3
EL PUENTE(STC),otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,3
EL PUENTE(TJA),otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,5,6
EL TORNO,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
ENTRE RIOS CBBA,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,1,2,2,0,0,0,0,9,3,12
GUTIERREZ,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
HUANUNI,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,7,10,2,1,3,4,0,0,14,16,30
LA ASUNTA,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
LA GUARDIA,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,13,4,0,0,0,0,0,0,15,6,21
LA PAZ,otras vacunaciones,covid-19 dosis unica,2024-05-01,1,0,0,0,0,0,0,0,0,0,0,1,2,7,22,41,74,60,9,19,10,16,5,4,123,148,271
LA RIVERA,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,2,2,4
LAGUNILLAS,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,1,3,0,0,0,1,7,15,22
LLALLAGUA,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,6,3,3,15,13,0,0,0,1,21,23,44
MAIRANA,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,5,3,8,11
MONTEAGUDO,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2
MONTERO,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,7
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,1,4,6,10
ORURO,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,5,4,15,0,7,15,6,2,2,1,2,2,37,24,61
PAILON,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,2,0,0,0,0,0,0,17,2,19
PAMPA AULLAGAS,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,2,1,3
PAZÑA,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,2,2,4
PELECHUCO,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,5,0,0,0,0,4,5,9
POCOATA,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,0,9,5,1,0,2,2,14,11,25
POCONA,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
POOPO,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,29,1,3,3,10,20,11,4,2,5,25,16,80,49,129
POROMA,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
PORONGO,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,0,0,0,0,0,6,0,6
PORTACHUELO,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,9,10,0,0,16,7,26,20,46
POSTRER VALLE,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,7
POTOSI,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,32,84,0,0,56,82,0,0,13,12,0,0,101,178,279
PUCARANI,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,1,0,4,3,7
PUERTO GONZALO MORENO,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,2,3,0,1,0,0,3,8,11
PUERTO VILLARROEL,otras vacunaciones,covid-19 dosis unica,2024-05-01,2,1,18,8,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,21,11,32
PUNA,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
QUILLACOLLO,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,8,4,12,7,2,1,0,2,27,14,41
RAVELO,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,9,7,10,0,0,12,9,24,30,54
SACABA,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,3,7,6,12,4,0,4,6,5,30,24,54
SACACA,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
SALINAS DE GARCI MENDOZA,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,2,3
SAN BENITO,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,2
SAN IGNACIO,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,2,1,0,0,1,1,6,3,9
SAN IGNACIO DE VELASCO,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,4,0,4
SAN PEDRO DE MACHA,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,8,0,0,0,2,2,12,14
SAN PEDRO DE QUEMES,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SAN PEDRO DE TIQUINA,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,0,0,1,2,4,6
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,36,32,37,29,192,124,53,68,25,13,4,14,347,280,627
SANTA ROSA DEL SARA,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,5,1,0,0,1,0,0,7,6,13
SANTUARIO DE QUILLACAS,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,3,0,0,0,1,4,6,10
SIPE SIPE,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,1,1,1,0,0,0,0,6,4,10
SORACACHI,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,1,8,3,12,15
SUCRE,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,2,3,5
TAPACARI,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
TARABUCO,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
TARIJA,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,0,0,0,1,1,1,3,7,10
TINGUIPAYA,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,1,1,0,2,1,8,2,10
TIQUIPAYA,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,2,3,5
TOCO,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,1,4,5
TOLEDO,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,5,7,5,12
TOMAVE,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,12,3,13,5,18
TOMINA,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
TOTORA(ORR),otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
TRIGAL,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
TUPIZA,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,6,0,3,3,6,3,6,11,21,32
UNCIA,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,1,2,0,1,0,0,2,0,7,5,12
UYUNI,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,4,2,0,0,11,3,14
VACAS,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3
VIACHA,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,1,0,2,1,0,0,0,0,0,103,3,106
VILLA MONTES,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,0,1,0,1,0,0,0,0,0,29,1,30
VILLA TUNARI,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,2
VILLAZON,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,2,6,0,0,6,8,14
VINTO,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,11,0,0,0,0,0,0,6,12,18
VITICHI,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,4,2,0,0,0,0,9,9,18
YACUIBA,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,4,2,6
YAMPARAEZ,otras vacunaciones,covid-19 dosis unica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
ANTEQUERA,otras vacunaciones,covid-19 dosis unica,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,6,0,0,0,1,5,7,12
ARBIETO,otras vacunaciones,covid-19 dosis unica,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
ATOCHA,otras vacunaciones,covid-19 dosis unica,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,2,6,12,22,33,7,5,1,2,41,62,103
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,covid-19 dosis unica,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,1,1,1,1,4,3,8,7,15
BERMEJO,otras vacunaciones,covid-19 dosis unica,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,1,0,0,0,0,0,0,15,2,17
BETANZOS,otras vacunaciones,covid-19 dosis unica,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
BUENA VISTA,otras vacunaciones,covid-19 dosis unica,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,1,0,2,0,0,0,0,0,13,0,13
CABEZAS,otras vacunaciones,covid-19 dosis unica,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,2,0,0,0,0,0,19,0,19
CALACOTO,otras vacunaciones,covid-19 dosis unica,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,0,1,0,2,4,6
CAMARGO,otras vacunaciones,covid-19 dosis unica,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
CAMIRI,otras vacunaciones,covid-19 dosis unica,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,2,1,1,1,2,6,0,0,13,9,22
CAPINOTA,otras vacunaciones,covid-19 dosis unica,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,3,2,5
CAQUIAVIRI,otras vacunaciones,covid-19 dosis unica,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
CARACOLLO,otras vacunaciones,covid-19 dosis unica,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,2,2,0,0,0,0,4,4,8
CARIPUYO,otras vacunaciones,covid-19 dosis unica,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,2,3
CARMEN RIVERO TORREZ,otras vacunaciones,covid-19 dosis unica,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
CATACORA,otras vacunaciones,covid-19 dosis unica,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,2
CHALLAPATA,otras vacunaciones,covid-19 dosis unica,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,3,1,0,0,0,0,0,5,5,10
CHAQUI,otras vacunaciones,covid-19 dosis unica,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
CHARAGUA,otras vacunaciones,covid-19 dosis unica,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,10,0,10
CHARAÑA,otras vacunaciones,covid-19 dosis unica,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,3
CHIPAYA,otras vacunaciones,covid-19 dosis unica,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
CHOQUE COTA,otras vacunaciones,covid-19 dosis unica,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
CLIZA,otras vacunaciones,covid-19 dosis unica,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,2,3
COBIJA,otras vacunaciones,covid-19 dosis unica,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,4,4,0,0,1,0,6,6,12
COCHABAMBA,otras vacunaciones,covid-19 dosis unica,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,3,1,15,31,26,36,56,47,7,13,3,2,110,130,240
COLCAPIRHUA,otras vacunaciones,covid-19 dosis unica,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0,0,0,0,0,0,2,4,6
COLOMI,otras vacunaciones,covid-19 dosis unica,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0,0,1,2,4,6
COLPA BELGICA,otras vacunaciones,covid-19 dosis unica,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,3
CONCEPCION,otras vacunaciones,covid-19 dosis unica,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,4,1,5
CORO CORO,otras vacunaciones,covid-19 dosis unica,2024-06-01,0,0,3,2,0,0,2,1,0,0,1,0,0,0,4,6,2,5,9,4,0,0,6,4,27,22,49
CORQUE,otras vacunaciones,covid-19 dosis unica,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,4,0,0,0,0,0,0,8,4,12
COTOCA,otras vacunaciones,covid-19 dosis unica,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,3
