,group,variable,month,COVID-19 DOSIS ANUAL 5 A 9 - D,COVID-19 DOSIS ANUAL 5 A 9 - D,COVID-19 DOSIS ANUAL 5 A 9 - F,COVID-19 DOSIS ANUAL 5 A 9 - F,COVID-19 DOSIS ANUAL 10 AÑOS - D,COVID-19 DOSIS ANUAL 10 AÑOS - D,COVID-19 DOSIS ANUAL 10 AÑOS - F,COVID-19 DOSIS ANUAL 10 AÑOS - F,COVID-19 DOSIS ANUAL 11 AÑOS - D,COVID-19 DOSIS ANUAL 11 AÑOS - D,COVID-19 DOSIS ANUAL 11 AÑOS - F,COVID-19 DOSIS ANUAL 11 AÑOS - F,COVID-19 DOSIS ANUAL 12 A 20 - D,COVID-19 DOSIS ANUAL 12 A 20 - D,COVID-19 DOSIS ANUAL 12 A 20 - F,COVID-19 DOSIS ANUAL 12 A 20 - F,COVID-19 DOSIS ANUAL 21 A 59 - D,COVID-19 DOSIS ANUAL 21 A 59 - D,COVID-19 DOSIS ANUAL 21 A 59 - F,COVID-19 DOSIS ANUAL 21 A 59 - F,COVID-19 DOSIS ANUAL 60 Y MAS - D,COVID-19 DOSIS ANUAL 60 Y MAS - D,COVID-19 DOSIS ANUAL 60 Y MAS - F,COVID-19 DOSIS ANUAL 60 Y MAS - F,TOTALES,TOTALES,TOTALES
VILLA MONTES,otras vacunaciones,covid-19 dosis anual,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,15,7,3,3,0,1,1,0,21,11,32
VILLA RIVERO,otras vacunaciones,covid-19 dosis anual,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,1,2,3,5
VILLA TUNARI,otras vacunaciones,covid-19 dosis anual,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,2
VILLAZON,otras vacunaciones,covid-19 dosis anual,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,7,0,2,3,1,0,0,16,11,27
VINTO,otras vacunaciones,covid-19 dosis anual,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,2,8,12,22,34,24,13,15,16,15,13,15,90,99,189
VITICHI,otras vacunaciones,covid-19 dosis anual,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,2,6,0,0,0,0,4,14,18
YACUIBA,otras vacunaciones,covid-19 dosis anual,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,6,0,0,2,0,0,0,13,6,19
YAPACANI,otras vacunaciones,covid-19 dosis anual,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,12,3,0,0,1,1,0,0,14,5,19
ANZALDO,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,1,0,0,5,2,9,5,14
ARBIETO,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,0,0,0,4,2,6
ASCENCION DE GUARAYOS,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3
ATOCHA,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
AUCAPATA,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,10,0,0,4,6,0,0,11,18,29
BERMEJO,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,3,3,2,0,1,1,13,6,19
BUENA VISTA,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,4,0,0,0,0,0,0,5,4,9
CAMIRI,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,2,0,0,0,0,3,4,7
CAPINOTA,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,0,0,1,0,0,10,7,17
CARAPARI,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,2,4,6
CARIPUYO,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3
CARMEN RIVERO TORREZ,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,3,3
CHALLAPATA,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,13,23,1,0,0,0,0,0,14,29,43
CHARAGUA,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,8,1,9
CHIPAYA,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,0,0,0,0,6,6
CHOQUE COTA,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
CKOCHAS,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,2,3,5
CLIZA,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,5,4,3,1,1,1,1,10,12,22
COCHABAMBA,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,29,33,49,59,234,237,212,110,51,67,15,7,590,513,1103
COIPASA,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
COLOMI,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,8,2,2,0,0,2,3,14,13,27
CONCEPCION,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,3,30,0,0,1,0,0,0,5,41,46
CORQUE,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,5,0,5
COTOCA,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,3,6,2,0,14,19,2,5,3,2,1,1,25,33,58
CUATRO CAÑADAS,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,0,0,6,4,9,7,16
CUEVO,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,2,1,5,2,7
CURAHUARA DE CARANGAS,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
EL ALTO,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,10,0,0,3,0,0,0,13,11,24
EL CHORO,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
EL PUENTE(STC),otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,7,0,0,8,3,9,12,21
EL PUENTE(TJA),otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
EL TORNO,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,5,1,3,3,4,10,3,3,2,2,1,1,18,20,38
ESCARA,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,8,0,0,2,5,8,19,27
FERNANDEZ ALONSO,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
HUAYLLAMARCA,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,5,4,0,1,0,1,6,9,15
LA GUARDIA,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,10,2,0,1,1,0,0,24,11,35
LA PAZ,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,1,31,26,15,4,2,2,0,1,51,38,89
MACHACAMARCA,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,6,0,0,1,1,0,0,9,7,16
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,3,1,4
ORURO,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,1,27,48,5,4,12,12,0,0,52,71,123
PAZÑA,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,2,0,0,0,5,3,8
POCONA,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,4,2,6,3,6,6,8,16,25,41
POJO (CBBA),otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,4,3,0,2,7,8,15
POROMA,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,4
POTOSI,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
RAVELO,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,2,4,0,0,0,2,3,9,12
ROBORE,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,5,2,0,0,0,0,27,2,29
SACABA,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,5,41,25,36,43,6,7,4,10,94,94,188
SACACA,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,2
SALINAS DE GARCI MENDOZA,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,2,4,6
SAMAIPATA,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,1,2,1,2,3,8,7,15
SAN ANTONIO DE LOMERIO,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,1,2,2,2,3,1,1,0,7,11,18
SAN BORJA,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
SAN CARLOS,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3
SAN IGNACIO DE VELASCO,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,4,0,0,0,0,0,0,4,4,8
SAN JAVIER(STC),otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,11,0,11
SAN JOSE DE CHIQUITOS,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SAN JUAN DE YAPACANI,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3
SAN JULIAN,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,0,16,11,1,0,2,0,3,1,30,16,46
SAN MIGUEL DE VELASCO,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,6,27,4,7,8,12,19,50,69
SAN PEDRO DE BUENA VISTA,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
SAN RAMON SCZ,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,1,5,0,0,0,0,0,0,6,10,16
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,105,100,47,52,665,563,254,157,88,63,32,26,1191,961,2152
SANTA ROSA DEL SARA,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,0,0,1,0,0,3,4,7
SANTIVAÑES,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
SORACACHI,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,0,10,6,16
TARIJA,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,3,7,1,1,19,26,3,1,9,5,1,1,36,41,77
TIRAQUE (CBBA),otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,3,1,0,0,1,6,5,11
TOCO,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,8,3,1,4,11,2,5,6,5,18,30,48
TOLATA,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,3,2,5
TOLEDO,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,3,4
TOTORA(CBBA),otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,2,7,4,11
TUPIZA,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,6,0,3,1,2,0,0,5,11,16
TURCO,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,6,0,0,4,7,11
URUBICHA,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,2,3,5
UYUNI,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,4
VILLA MONTES,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,2,2,1,0,0,0,0,17,3,20
VILLAZON,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,2,0,0,0,5,1,6
VITICHI,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,0,3,2,5
YACUIBA,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,4,1,5
YAPACANI,otras vacunaciones,covid-19 dosis anual,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,13,4,1,1,1,0,0,0,17,7,24
AIQUILE,otras vacunaciones,covid-19 dosis anual,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,3,4
ANTEQUERA,otras vacunaciones,covid-19 dosis anual,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,0,3
ANZALDO,otras vacunaciones,covid-19 dosis anual,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,1,0,2,1,6,6,13,19
ARBIETO,otras vacunaciones,covid-19 dosis anual,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,7,8,5,13,1,1,0,2,16,26,42
ATOCHA,otras vacunaciones,covid-19 dosis anual,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,21,4,5,0,0,21,26,47
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,covid-19 dosis anual,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,8,0,0,9,10,0,0,5,8,17,28,45
BELEN DE ANDAMARCA,otras vacunaciones,covid-19 dosis anual,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,6,4,0,0,4,3,11,10,21
BERMEJO,otras vacunaciones,covid-19 dosis anual,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,5,4,0,0,0,0,18,14,32
BOYUIBE,otras vacunaciones,covid-19 dosis anual,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,27,1,2,2,3,1,0,1,0,0,33,5,38
CABEZAS,otras vacunaciones,covid-19 dosis anual,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,20,0,2,2,0,0,0,0,38,2,40
CAMIRI,otras vacunaciones,covid-19 dosis anual,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,2
CAPINOTA,otras vacunaciones,covid-19 dosis anual,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,3,4,3,0,0,0,0,6,7,13
CARACOLLO,otras vacunaciones,covid-19 dosis anual,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
CARAPARI,otras vacunaciones,covid-19 dosis anual,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,2,4
CARIPUYO,otras vacunaciones,covid-19 dosis anual,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,2
CARMEN RIVERO TORREZ,otras vacunaciones,covid-19 dosis anual,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
CHALLAPATA,otras vacunaciones,covid-19 dosis anual,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,10,20,7,9,12,5,4,3,36,39,75
CHIPAYA,otras vacunaciones,covid-19 dosis anual,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,1,0,1,5,2,8,6,14
CHOQUE COTA,otras vacunaciones,covid-19 dosis anual,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,5,5
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,covid-19 dosis anual,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,1,0,1,0,0,0,0,3,6,9
CLIZA,otras vacunaciones,covid-19 dosis anual,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,5,4,5,1,1,2,0,11,12,23
COCHABAMBA,otras vacunaciones,covid-19 dosis anual,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,10,61,66,26,37,8,5,5,5,106,130,236
COLOMI,otras vacunaciones,covid-19 dosis anual,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,5,7,7,9,16
CORQUE,otras vacunaciones,covid-19 dosis anual,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,2,6,6,7,4,0,0,17,14,31
CUEVO,otras vacunaciones,covid-19 dosis anual,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
CURAHUARA DE CARANGAS,otras vacunaciones,covid-19 dosis anual,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,3
EL ALTO,otras vacunaciones,covid-19 dosis anual,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,8,1,7,17,12,2,0,0,1,23,30,53
EL CHORO,otras vacunaciones,covid-19 dosis anual,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,4,1,0,5,3,0,2,1,1,18,10,28
EL PUENTE(STC),otras vacunaciones,covid-19 dosis anual,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,4,3,0,0,0,0,0,5,5,10
EL PUENTE(TJA),otras vacunaciones,covid-19 dosis anual,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,11,0,0,0,1,0,0,3,13,16
ESMERALDA,otras vacunaciones,covid-19 dosis anual,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,2,0,0,2,2,0,0,8,4,12
FERNANDEZ ALONSO,otras vacunaciones,covid-19 dosis anual,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,6,4,5,0,0,0,0,11,11,22
GENERAL SAAVEDRA,otras vacunaciones,covid-19 dosis anual,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,8,2,0,2,1,1,0,11,11,22
HUAYLLAMARCA,otras vacunaciones,covid-19 dosis anual,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,11,12,3,4,4,3,0,0,20,19,39
LA PAZ,otras vacunaciones,covid-19 dosis anual,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,2,9,23,2,3,10,9,7,2,34,42,76
LAGUNILLAS,otras vacunaciones,covid-19 dosis anual,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,2,6,7,0,0,3,1,22,10,32
MACHACAMARCA,otras vacunaciones,covid-19 dosis anual,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,4,0,0,0,0,0,0,3,5,8
MINEROS,otras vacunaciones,covid-19 dosis anual,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,10,9,0,0,1,0,0,0,11,13,24
MOJINETE,otras vacunaciones,covid-19 dosis anual,2024-08-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,0,0,3,1,9,7,16
MONTERO,otras vacunaciones,covid-19 dosis anual,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,3,6,130,0,1,3,1,0,148,9,157
ORURO,otras vacunaciones,covid-19 dosis anual,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,7,12,0,0,0,1,0,0,8,25,33
POROMA,otras vacunaciones,covid-19 dosis anual,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
POTOSI,otras vacunaciones,covid-19 dosis anual,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,20,25,0,0,0,0,0,0,20,29,49
PUERTO QUIJARRO,otras vacunaciones,covid-19 dosis anual,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,43,0,0,0,0,20,46,66
SACABA,otras vacunaciones,covid-19 dosis anual,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,1,4,1,10,16,16,16,38,32,3,1,3,5,74,72,146
SACACA,otras vacunaciones,covid-19 dosis anual,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,3,2,6,0,0,5,6,10,16,26
SALINAS DE GARCI MENDOZA,otras vacunaciones,covid-19 dosis anual,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,5,9,0,0,0,1,7,14,21
SAMAIPATA,otras vacunaciones,covid-19 dosis anual,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,1,2,0,0,0,1,7,8,15
SAN IGNACIO DE VELASCO,otras vacunaciones,covid-19 dosis anual,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,0,0,0,0,0,0,4,3,7
SAN JUAN DE YAPACANI,otras vacunaciones,covid-19 dosis anual,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,3
SAN LUCAS,otras vacunaciones,covid-19 dosis anual,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,2,3
SAN PEDRO,otras vacunaciones,covid-19 dosis anual,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,6,0,0,0,0,2,18,20
SAN RAFAEL,otras vacunaciones,covid-19 dosis anual,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,39,0,0,0,0,0,0,0,0,50,39,89
SAN RAMON SCZ,otras vacunaciones,covid-19 dosis anual,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,2,2,4
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid-19 dosis anual,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,24,44,11,23,380,276,52,90,27,13,8,10,502,456,958
SANTIVAÑES,otras vacunaciones,covid-19 dosis anual,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,2,3
