,group,variable,month,VPH 1RA DOSIS (DOSIS UNICA) 5 A 9 - D,VPH 1RA DOSIS (DOSIS UNICA) 5 A 9 - D,VPH 1RA DOSIS (DOSIS UNICA) 5 A 9 - F,VPH 1RA DOSIS (DOSIS UNICA) 5 A 9 - F,VPH 1RA DOSIS (DOSIS UNICA) 10 AÑOS - D,VPH 1RA DOSIS (DOSIS UNICA) 10 AÑOS - D,VPH 1RA DOSIS (DOSIS UNICA) 10 AÑOS - F,VPH 1RA DOSIS (DOSIS UNICA) 10 AÑOS - F,VPH 1RA DOSIS (DOSIS UNICA) 11 AÑOS - D,VPH 1RA DOSIS (DOSIS UNICA) 11 AÑOS - D,VPH 1RA DOSIS (DOSIS UNICA) 11 AÑOS - F,VPH 1RA DOSIS (DOSIS UNICA) 11 AÑOS - F,VPH 1RA DOSIS (DOSIS UNICA) 12 A 20 - D,VPH 1RA DOSIS (DOSIS UNICA) 12 A 20 - D,VPH 1RA DOSIS (DOSIS UNICA) 12 A 20 - F,VPH 1RA DOSIS (DOSIS UNICA) 12 A 20 - F,VPH 1RA DOSIS (DOSIS UNICA) 21 A 59 - D,VPH 1RA DOSIS (DOSIS UNICA) 21 A 59 - D,VPH 1RA DOSIS (DOSIS UNICA) 21 A 59 - F,VPH 1RA DOSIS (DOSIS UNICA) 21 A 59 - F,VPH 1RA DOSIS (DOSIS UNICA) 60 Y MAS - D,VPH 1RA DOSIS (DOSIS UNICA) 60 Y MAS - D,VPH 1RA DOSIS (DOSIS UNICA) 60 Y MAS - F,VPH 1RA DOSIS (DOSIS UNICA) 60 Y MAS - F,TOTALES,TOTALES,TOTALES
JESUS DE MACHACA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,0,8,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,19
LA ASUNTA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,15,18,63,32,0,9,0,13,0,0,0,0,0,0,0,0,0,0,0,0,78,72,150
LA GUARDIA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,10,10,130,80,0,6,0,34,0,5,0,39,0,0,0,0,0,0,0,0,140,174,314
LA PAZ,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,52,84,124,123,0,35,0,139,0,39,0,96,0,0,0,0,0,0,0,0,176,516,692
LAJA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,2,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,15
LAS CARRERAS,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
LICOMA PAMPA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
LLALLAGUA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,1,0,70,64,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,71,70,141
LLICA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,2,5,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,5,10
LORETO,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
LURIBAY,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9
MACHACAMARCA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,4
MACHARETI,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,12
MAIRANA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,2,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10
MALLA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
MAPIRI,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14
MECAPACA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,1,0,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,13,28
MINEROS,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,1,0,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6,22
MIZQUE,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,17
MOCOMOCO,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,0,14,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,14,8,22
MOJOCOYA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
MONTEAGUDO,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,18
MONTERO,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,3,18,6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,18,11,29
MORO MORO,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
MOROCHATA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,7,9
OCURI,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,2,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,7
OKINAWA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,5
OMEREQUE,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
ORURO,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,14,20,113,125,0,10,0,33,0,12,0,56,0,0,0,0,0,0,0,0,127,256,383
PADCAYA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,1,4,15,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16,12,28
PADILLA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,3,1,18,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,8,29
PAILON,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,0,2,5,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,2,9,11
PALCA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,3,5,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,7,12
PALOS BLANCOS,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
PAMPA GRANDE,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,1,38,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,14,52
PASORAPA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
PATACAMAYA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,0,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,23,25
PAZÑA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
PELECHUCO,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,1,0,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,22
POCOATA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
POCONA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,10
POJO (CBBA),otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
POOPO,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,9
PORCO,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
POROMA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,3,3,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,13,30
PORONGO,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,1,1,15,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,18,34
PORTACHUELO,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
PORVENIR,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
POSTRER VALLE,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
POTOSI,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,6,9,39,40,0,4,0,22,0,1,0,1,0,0,0,0,0,0,0,0,45,77,122
PRESTO,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,1,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
PUCARANI,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,10
PUERTO ACOSTA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8
PUERTO CARABUCO,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,0,38,14,0,0,0,1,0,0,0,16,0,0,0,0,0,0,0,0,38,31,69
PUERTO GONZALO MORENO,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
PUERTO QUIJARRO,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3
PUERTO RICO,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7
PUERTO SUAREZ,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,1,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,5,6
PUERTO VILLARROEL,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,1,0,44,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,15,60
PUNA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
PUNATA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,2,0,16,11,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,18,17,35
QUILLACOLLO,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,7,3,128,97,0,1,0,36,0,8,0,50,0,0,0,0,0,0,0,0,135,195,330
QUIME,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,0,3,5,0,1,0,4,0,1,0,3,0,0,0,0,0,0,0,0,3,14,17
RAQAYPAMPA(ETA),otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,0,18,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18,4,22
RAVELO,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,1,4,10,8,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,15,26
REYES,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
RIBERALTA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
ROBORE,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,2,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,9
RURRENABAQUE,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,4,5
SABAYA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10
SACABA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,14,11,57,21,0,4,0,15,0,4,0,35,0,0,0,0,0,0,0,0,71,90,161
SACABAMBA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
SACACA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,7,1,5,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,6,18
SALINAS DE GARCI MENDOZA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
SAMAIPATA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SAN ANDRES,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,0,1,1,0,2,0,1,0,0,0,4,0,0,0,0,0,0,0,0,1,8,9
SAN ANTONIO DE LOMERIO,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,18,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,46
SAN BORJA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,3,3,18,16,0,1,0,8,0,1,0,7,0,0,0,0,0,0,0,0,21,36,57
SAN BUENA VENTURA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13
SAN CARLOS,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SAN IGNACIO,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,2,1,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,43,44
SAN IGNACIO DE VELASCO,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,78,0,22,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,6,106
SAN JAVIER(BNI),otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
SAN JAVIER(STC),otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
SAN JOAQUIN,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,15,21,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15,28,43
SAN JOSE DE CHIQUITOS,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,14,18,0,0,0,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0,14,36,50
SAN JUAN DE YAPACANI,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
SAN JULIAN,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,169,6,173,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342,84,426
SAN LORENZO(PND),otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,1,0,13,7,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,14,11,25
SAN LORENZO(TJA),otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
SAN LUCAS,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,3,3,36,14,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,39,21,60
SAN MATIAS,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,18
SAN MIGUEL DE VELASCO,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,1,26,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,14,40
SAN PABLO DE LIPEZ,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
SAN PEDRO DE BUENA VISTA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,1,2,60,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,70,131
SAN PEDRO DE MACHA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,1,4,27,21,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,28,33,61
SAN PEDRO DE TIQUINA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,5
SAN PEDRO(PND),otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SAN RAFAEL,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,1,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,51
SAN RAMON BENI,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
SAN RAMON SCZ,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,1,0,52,40,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,53,42,95
SANTA ANA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,5
SANTA CRUZ DE LA SIERRA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,121,144,703,602,0,59,0,272,0,117,0,330,0,0,0,0,0,0,0,0,824,1524,2348
SANTA ROSA DEL SARA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
SANTIAGO DE CALLAPA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
SANTIAGO DE HUARI,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,1,7,8,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7,14,21
SANTIAGO DE HUATA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,8,9
SANTIAGO DE MACHACA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,5,7
SANTIVAÑES,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,0,6,1,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,6,7,13
SAPAHAQUI,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
SENA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,1,41,25,0,1,0,10,0,3,0,6,0,0,0,0,0,0,0,0,41,46,87
SHINAOTA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,96
SICA SICA (VILLA AROMA),otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
SIPE SIPE,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,1,2,17,8,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18,12,30
SOPACHUY,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,3,0,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6,22
SORACACHI,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
SORATA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,1,2,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,7,23
SUCRE,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,14,21,65,34,0,8,0,2,0,6,0,3,0,0,0,0,0,0,0,0,79,74,153
TACACOMA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,1,0,2,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,6,9
TACOBAMBA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5
TAPACARI,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,6,16
TARABUCO,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,1,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6
TARACO,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,5,7
TARATA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,6
TARIJA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,16,12,86,54,0,1,0,27,0,4,0,34,0,0,0,0,0,0,0,0,102,132,234
TARVITA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,5,2,34,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,39,7,46
TIAHUANACU,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
TINGUIPAYA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7
TIPUANI,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
TIQUIPAYA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,5,3,35,38,0,1,0,5,0,1,0,21,0,0,0,0,0,0,0,0,40,69,109
TIRAQUE (CBBA),otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,1,11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,3,14
TOCO,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
TODOS SANTOS,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
TOLATA,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,1,1,25,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,13,39
TOLEDO,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,4
TOMAVE,otras vacunaciones,vph 1ra dosis (dosis unica),2024-06-01,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,22
