,group,variable,month,ANTIAMARILICA DOSIS UNICA 5 A 9 - D,ANTIAMARILICA DOSIS UNICA 5 A 9 - D,ANTIAMARILICA DOSIS UNICA 5 A 9 - F,ANTIAMARILICA DOSIS UNICA 5 A 9 - F,ANTIAMARILICA DOSIS UNICA 10 AÑOS - D,ANTIAMARILICA DOSIS UNICA 10 AÑOS - D,ANTIAMARILICA DOSIS UNICA 10 AÑOS - F,ANTIAMARILICA DOSIS UNICA 10 AÑOS - F,ANTIAMARILICA DOSIS UNICA 11 AÑOS - D,ANTIAMARILICA DOSIS UNICA 11 AÑOS - D,ANTIAMARILICA DOSIS UNICA 11 AÑOS - F,ANTIAMARILICA DOSIS UNICA 11 AÑOS - F,ANTIAMARILICA DOSIS UNICA 12 A 20 - D,ANTIAMARILICA DOSIS UNICA 12 A 20 - D,ANTIAMARILICA DOSIS UNICA 12 A 20 - F,ANTIAMARILICA DOSIS UNICA 12 A 20 - F,ANTIAMARILICA DOSIS UNICA 21 A 59 - D,ANTIAMARILICA DOSIS UNICA 21 A 59 - D,ANTIAMARILICA DOSIS UNICA 21 A 59 - F,ANTIAMARILICA DOSIS UNICA 21 A 59 - F,ANTIAMARILICA DOSIS UNICA 60 Y MAS - D,ANTIAMARILICA DOSIS UNICA 60 Y MAS - D,ANTIAMARILICA DOSIS UNICA 60 Y MAS - F,ANTIAMARILICA DOSIS UNICA 60 Y MAS - F,TOTALES,TOTALES,TOTALES
BERMEJO,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,15,0,0,0,0,0,0,8,15,23
BOLPEBRA,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,2,0,0,3,3,0,0,0,0,6,7,13
BUENA VISTA,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,5,0,0,2,0,0,0,0,6,4,10
CABEZAS,otras vacunaciones,antiamarilica dosis unica,2024-07-01,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,2,6,8
"CAIZA ""D""",otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,4,4
CAMARGO,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CAMIRI,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
CAPINOTA,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,3,4
CARACOLLO,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,0,0,0,0,3,5,8
CARANAVI,otras vacunaciones,antiamarilica dosis unica,2024-07-01,1,2,12,6,1,0,1,4,2,1,1,2,11,6,8,15,27,30,13,15,0,0,0,0,77,81,158
CARAPARI,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
CARMEN RIVERO TORREZ,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,2
CHALLAPATA,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,8,4,0,2,0,0,0,0,10,7,17
CHARAGUA,otras vacunaciones,antiamarilica dosis unica,2024-07-01,1,0,0,0,0,0,0,0,0,0,0,1,1,1,2,6,3,6,8,10,0,0,0,0,15,24,39
CHAYANTA,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
CHIMORE,otras vacunaciones,antiamarilica dosis unica,2024-07-01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,11,13,5,0,0,0,0,0,44,14,58
CHUA COCANI,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,3,3,0,0,0,0,0,0,17,3,20
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,antiamarilica dosis unica,2024-07-01,2,0,1,0,0,0,0,1,2,1,0,2,2,8,0,5,9,29,8,16,0,0,0,0,24,62,86
CLIZA,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
COBIJA,otras vacunaciones,antiamarilica dosis unica,2024-07-01,2,1,0,2,0,0,0,1,0,0,2,0,2,1,8,10,22,34,57,22,0,0,0,0,93,71,164
COCAPATA,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,1,3,0,1,0,0,0,0,2,7,9
COCHABAMBA,otras vacunaciones,antiamarilica dosis unica,2024-07-01,13,6,12,9,1,4,2,6,8,4,3,2,45,48,14,45,192,269,77,110,0,0,0,0,367,503,870
COLCAPIRHUA,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,5,1,3,0,0,0,0,4,11,15
"COLCHA ""K""",otras vacunaciones,antiamarilica dosis unica,2024-07-01,1,1,0,0,0,0,0,0,1,0,0,0,2,2,0,0,13,14,0,0,0,0,0,0,17,17,34
COLOMI,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,11,0,11
COLPA BELGICA,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
COLQUECHACA,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
COLQUENCHA,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,3
COLQUIRI,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,5,1,6
COPACABANA,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
CORIPATA,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
COROICO,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,9,0,0,0,0,0,0,2,10,12
CORQUE,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
COTAGAITA,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,5,0,0,0,0,0,0,4,6,10
COTOCA,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,2,3,0,0,0,0,4,9,13
CUATRO CAÑADAS,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,4,5,0,0,0,0,0,0,4,10,14
CULPINA,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,4,4
DESAGUADERO,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,5,1,6
EL ALTO,otras vacunaciones,antiamarilica dosis unica,2024-07-01,15,8,4,9,4,2,2,3,4,4,3,4,29,35,44,44,97,126,80,105,0,0,0,0,282,340,622
EL CHORO,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,0,0,0,0,0,0,1,5,6
EL PUENTE(TJA),otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,2,3
EL TORNO,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,4,4
ENTRE RIOS TRJ,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,6,1,7
ENTRE RIOS CBBA,otras vacunaciones,antiamarilica dosis unica,2024-07-01,1,0,1,1,0,0,0,0,0,0,0,0,2,2,3,6,13,9,7,18,0,0,0,0,27,36,63
ESCARA,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,3,0,0,0,0,0,0,5,4,9
ESCOMA,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6,10,0,0,0,0,7,11,18
FERNANDEZ ALONSO,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
FILADELFIA,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
GAIOC JATUN AYLLU YURA,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,3
GENERAL SAAVEDRA,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,3,3
GUANAY,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,32,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,49,81
GUAQUI,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,11,0,11
GUAYARAMERIN,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,8,0,0,0,0,0,0,2,9,11
HUANUNI,otras vacunaciones,antiamarilica dosis unica,2024-07-01,1,0,2,1,0,0,0,0,1,1,0,1,1,4,3,5,2,10,4,15,0,0,0,0,14,37,51
HUARINA,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,6,0,0,0,0,4,8,12
HUATAJATA,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,1,7,0,0,0,0,2,11,13
ICLA,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,3,4
INQUISIVI,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
IRUPANA (VILLA DE LANZA),otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,4,1,4,4,0,0,0,0,9,8,17
JESUS DE MACHACA,otras vacunaciones,antiamarilica dosis unica,2024-07-01,1,1,3,2,0,0,0,0,0,0,0,2,1,1,1,2,5,1,9,5,0,0,0,0,20,14,34
LA ASUNTA,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,1,1,0,0,0,0,7,7,14
LA GUARDIA,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,1,2,4,0,0,0,1,0,0,0,0,2,1,0,1,9,16,5,0,0,0,0,0,18,24,42
LA PAZ,otras vacunaciones,antiamarilica dosis unica,2024-07-01,19,20,10,12,15,22,3,6,15,12,9,7,85,125,33,51,184,306,130,199,0,0,0,0,503,760,1263
LAGUNILLAS,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,3,0,0,0,0,0,0,2,7,9
LAJA,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,2,3,1,0,2,1,0,0,0,1,0,0,1,2,1,0,2,2,0,0,0,0,0,9,9,18
LLALLAGUA,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,1,0,0,0,0,0,0,1,0,1,17,7,8,7,22,17,25,0,0,0,0,33,73,106
LLICA,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,1,0,0,0,0,4,6,10
LORETO,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,3
LURIBAY,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,3,4,7
MACHACAMARCA,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,6,1,1,0,0,0,0,3,9,12
MAGDALENA,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2
MAPIRI,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,3,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,5,9
MECAPACA,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
MIZQUE,otras vacunaciones,antiamarilica dosis unica,2024-07-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,3,6,9
MOCOMOCO,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,2,1,0,0,0,1,0,0,0,0,1,0,1,1,4,8,2,11,0,0,0,0,10,22,32
MOJOCOYA,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,2,3
MONTEAGUDO,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,2,3
MONTERO,otras vacunaciones,antiamarilica dosis unica,2024-07-01,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,17,34,2,0,0,0,0,0,21,36,57
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,2,0,0,0,0,6,3,9
OKINAWA,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,1,0,0,0,0,3,3,6
ORURO,otras vacunaciones,antiamarilica dosis unica,2024-07-01,5,3,4,10,2,0,1,0,2,0,3,2,21,10,42,5,39,67,16,31,0,0,0,0,135,128,263
PADCAYA,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3
PADILLA,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,2,3,5
PAILON,otras vacunaciones,antiamarilica dosis unica,2024-07-01,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,4,3,7
PALCA,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
PALOS BLANCOS,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,2,6,1,0,9,12,1,4,0,0,0,0,13,22,35
PELECHUCO,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,3,0,0,0,0,1,7,8
POCOATA,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
POCONA,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,3
POJO (CBBA),otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,3
POOPO,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,1,0,0,0,0,0,8,8
PORONGO,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,4,3,0,0,0,0,6,5,11
PORTACHUELO,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,3,3,0,0,0,0,4,7,11
PORVENIR,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
POTOSI,otras vacunaciones,antiamarilica dosis unica,2024-07-01,3,1,4,3,3,1,0,1,0,1,0,0,14,20,2,39,41,59,2,5,0,0,0,0,69,130,199
PUCARANI,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,2,0,0,0,1,0,0,0,0,0,1,2,2,1,8,0,1,0,0,0,0,3,15,18
PUERTO ACOSTA,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0,4,2,6
PUERTO GONZALO MORENO,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
PUERTO PEREZ,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0,0,0,0,1,4,5
PUERTO RICO,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,3,4
PUERTO VILLARROEL,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,1,0,0,0,0,2,1,0,0,0,7,3,2,4,7,15,5,8,0,0,0,0,23,32,55
PUNA,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
PUNATA,otras vacunaciones,antiamarilica dosis unica,2024-07-01,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6,10,0,0,0,0,0,0,8,11,19
QUIABAYA,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,3,0,0,0,0,3,6,9
QUILLACOLLO,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,3,2,1,0,1,0,0,0,0,0,1,0,1,2,8,17,11,10,11,0,0,0,0,31,37,68
RAVELO,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,1,0,0,1,1,0,0,2,1,0,0,2,5,3,0,2,4,0,0,0,0,10,12,22
RIBERALTA,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,1,0,0,1,0,0,1,0,13,8,1,0,7,0,0,3,13,9,0,0,0,0,36,21,57
ROBORE,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,2,0,0,0,0,0,0,5,3,8
RURRENABAQUE,otras vacunaciones,antiamarilica dosis unica,2024-07-01,2,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,3,2,19,7,0,0,0,0,27,11,38
SACABA,otras vacunaciones,antiamarilica dosis unica,2024-07-01,2,3,1,1,2,0,0,0,0,0,1,0,6,10,2,2,27,73,16,18,0,0,0,0,57,107,164
SACACA,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,8,0,0,0,0,0,0,3,11,14
SALINAS DE GARCI MENDOZA,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,1,0,0,0,0,0,0,1,6,7
SAN ANDRES,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
SAN ANTONIO DE LOMERIO,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,4,4
SAN BENITO,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,2,3,5,3,1,0,0,0,0,8,10,18
SAN BORJA,otras vacunaciones,antiamarilica dosis unica,2024-07-01,7,6,7,0,2,4,0,0,0,0,0,1,5,7,5,5,6,11,9,11,0,0,0,0,41,45,86
SAN BUENA VENTURA,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,8,11,0,5,0,0,0,0,10,21,31
SAN CARLOS,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,2,2,4
SAN IGNACIO DE VELASCO,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,1,1,2,0,0,0,0,1,0,0,0,1,1,0,0,11,5,0,0,0,0,0,0,14,9,23
SAN JAVIER(BNI),otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,2,2,0,0,0,0,0,5,3,8
SAN JAVIER(STC),otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,2,3
SAN JOAQUIN,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SAN JOSE DE CHIQUITOS,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,2,3
SAN JULIAN,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,1,0,0,0,1,0,0,1,0,0,0,3,4,0,1,44,24,4,3,0,0,0,0,52,34,86
SAN LORENZO(PND),otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,4,1,0,0,0,1,0,0,0,0,0,0,1,2,0,0,5,6,0,0,0,0,10,10,20
SAN LUCAS,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,10,1,4,0,0,0,0,4,17,21
SAN MATIAS,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,3,0,2,0,0,0,0,12,5,17
SAN MIGUEL DE VELASCO,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
SAN PEDRO,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SAN PEDRO DE TIQUINA,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,2,4,0,0,0,0,0,0,1,0,0,0,1,0,0,2,7,6,0,0,0,0,11,12,23
SAN RAMON SCZ,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,2,3,5
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antiamarilica dosis unica,2024-07-01,17,29,12,14,20,18,5,4,14,11,2,6,125,194,22,30,664,846,86,102,0,0,0,0,967,1254,2221
SANTA ROSA DEL SARA,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,2,0,0,0,0,0,0,1,0,2,0,1,2,4,4,1,5,0,0,0,0,9,13,22
SANTIAGO DE CALLAPA,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,1,2,0,1,0,0,0,0,2,7,9
SANTIAGO DE HUARI,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
SANTIAGO DE HUATA,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,3,5
SANTIVAÑES,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SAPAHAQUI,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,6,0,0,0,0,0,0,1,8,9
SENA,otras vacunaciones,antiamarilica dosis unica,2024-07-01,1,0,6,4,0,0,1,1,0,1,0,0,0,1,1,0,4,1,0,0,0,0,0,0,13,8,21
SHINAOTA,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,5,7,0,0,0,0,0,0,6,11,17
SIPE SIPE,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,2,0,1,0,0,0,0,5,4,9
SORATA,otras vacunaciones,antiamarilica dosis unica,2024-07-01,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,6,0,0,0,0,0,0,2,8,10
SUCRE,otras vacunaciones,antiamarilica dosis unica,2024-07-01,4,4,0,0,0,3,0,0,1,1,0,0,20,21,0,0,101,124,1,2,0,0,0,0,127,155,282
TACACHI,otras vacunaciones,antiamarilica dosis unica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
TACACOMA,otras vacunaciones,antiamarilica dosis unica,2024-07-01,2,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,1,2,2,3,0,0,0,0,10,5,15
