municipality,group,variable,month,Total 11.5 Nacidos vivos con peso menor a 2500g,TOTAL
POCONA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-09-01,1,1
PORCO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-09-01,1,1
PORTACHUELO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-09-01,1,1
POTOSI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-09-01,59,59
PUNATA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-09-01,2,2
QUIABAYA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-09-01,1,1
QUILLACOLLO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-09-01,7,7
RIBERALTA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-09-01,12,12
RURRENABAQUE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-09-01,2,2
SAN ANTONIO DE LOMERIO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-09-01,2,2
SAN BORJA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-09-01,2,2
SAN CARLOS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-09-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-09-01,3,3
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-09-01,1,1
SAN JULIAN,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-09-01,1,1
SAN LUCAS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-09-01,2,2
SAN MATIAS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-09-01,1,1
SAN MIGUEL DE VELASCO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-09-01,1,1
SANTA ANA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-09-01,2,2
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-09-01,98,98
SANTIAGO DE MACHACA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-09-01,1,1
SIPE SIPE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-09-01,1,1
SOPACHUY,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-09-01,1,1
SUCRE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-09-01,29,29
TACOBAMBA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-09-01,1,1
TARABUCO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-09-01,1,1
TARIJA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-09-01,20,20
TEOPONTE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-09-01,1,1
TRINIDAD,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-09-01,14,14
UNCIA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-09-01,1,1
URIONDO (A. CONCEPCION),atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-09-01,1,1
UYUNI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-09-01,2,2
VALLEGRANDE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-09-01,2,2
VILLA MONTES,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-09-01,4,4
VILLA TUNARI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-09-01,1,1
YACUIBA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-09-01,5,5
YOCALLA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-09-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-10-01,2,2
BUENA VISTA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-10-01,1,1
CAPINOTA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-10-01,1,1
CARANAVI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-10-01,1,1
CARAPARI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-10-01,1,1
CARIPUYO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-10-01,1,1
CHALLAPATA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-10-01,3,3
CHARAGUA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-10-01,2,2
CHAYANTA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-10-01,3,3
CHIMORE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-10-01,1,1
CHIPAYA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-10-01,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-10-01,1,1
CLIZA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-10-01,2,2
COBIJA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-10-01,8,8
COCHABAMBA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-10-01,90,90
CORIPATA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-10-01,1,1
COTOCA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-10-01,2,2
EL ALTO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-10-01,40,40
EL PUENTE(TJA),atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-10-01,1,1
ENTRE RIOS TRJ,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-10-01,2,2
ENTRE RIOS CBBA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-10-01,2,2
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-10-01,1,1
GUANAY,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-10-01,1,1
GUAYARAMERIN,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-10-01,11,11
GUTIERREZ,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-10-01,1,1
HUANUNI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-10-01,1,1
LA ASUNTA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-10-01,2,2
LA PAZ,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-10-01,148,148
LICOMA PAMPA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-10-01,1,1
MAGDALENA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-10-01,1,1
MONTEAGUDO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-10-01,3,3
MONTERO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-10-01,5,5
MOROCHATA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-10-01,1,1
ORURO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-10-01,33,33
PORTACHUELO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-10-01,2,2
PORVENIR,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-10-01,1,1
POTOSI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-10-01,53,53
PUERTO VILLARROEL,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-10-01,7,7
PUNATA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-10-01,5,5
QUILLACOLLO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-10-01,2,2
REYES,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-10-01,2,2
RIBERALTA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-10-01,8,8
SACABA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-10-01,1,1
SAMAIPATA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-10-01,1,1
SAN BORJA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-10-01,2,2
SAN CARLOS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-10-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-10-01,2,2
SAN LORENZO(PND),atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-10-01,1,1
SAN LUCAS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-10-01,1,1
SAN PEDRO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-10-01,2,2
SANTA ANA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-10-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-10-01,58,58
SHINAOTA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-10-01,2,2
SICA SICA (VILLA AROMA),atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-10-01,1,1
SUCRE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-10-01,43,43
TARABUCO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-10-01,2,2
TARIJA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-10-01,17,17
TIQUIPAYA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-10-01,2,2
TIRAQUE (CBBA),atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-10-01,1,1
TORO TORO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-10-01,1,1
TRINIDAD,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-10-01,8,8
TUPIZA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-10-01,2,2
UYUNI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-10-01,2,2
VILLA MONTES,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-10-01,2,2
VILLA TUNARI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-10-01,3,3
VILLAZON,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-10-01,4,4
YACO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-10-01,1,1
YACUIBA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-10-01,3,3
YAPACANI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-10-01,2,2
YOCALLA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-10-01,1,1
ACHACACHI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-11-01,2,2
ALCALA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-11-01,1,1
ANTEQUERA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-11-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-11-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-11-01,1,1
AZURDUY,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-11-01,1,1
"CAIZA ""D""",atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-11-01,1,1
CAMARGO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-11-01,1,1
CAMATAQUI (C. VILLA ABECIA),atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-11-01,1,1
CARACOLLO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-11-01,1,1
CHALLAPATA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-11-01,1,1
CHARAGUA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-11-01,1,1
CKOCHAS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-11-01,1,1
CLIZA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-11-01,1,1
COBIJA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-11-01,1,1
COCHABAMBA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-11-01,101,101
COROICO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-11-01,1,1
EL ALTO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-11-01,25,25
ESCOMA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-11-01,9,9
FERNANDEZ ALONSO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-11-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-11-01,1,1
GUAYARAMERIN,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-11-01,7,7
HUACARETA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-11-01,2,2
HUANUNI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-11-01,1,1
LA GUARDIA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-11-01,1,1
LA PAZ,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-11-01,148,148
LLALLAGUA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-11-01,3,3
MAGDALENA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-11-01,1,1
MONTERO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-11-01,11,11
OCURI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-11-01,1,1
ORURO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-11-01,29,29
PADILLA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-11-01,2,2
PORONGO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-11-01,2,2
PORTACHUELO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-11-01,1,1
POTOSI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-11-01,42,42
PUERTO GONZALO MORENO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-11-01,1,1
PUERTO VILLARROEL,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-11-01,1,1
PUNATA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-11-01,2,2
QUILLACOLLO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-11-01,4,4
RIBERALTA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-11-01,8,8
RURRENABAQUE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-11-01,1,1
SACACA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-11-01,2,2
SAN BORJA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-11-01,2,2
SAN BUENA VENTURA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-11-01,1,1
SAN CARLOS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-11-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-11-01,11,11
SAN MATIAS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-11-01,2,2
SAN PEDRO DE BUENA VISTA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-11-01,1,1
SANTA ANA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-11-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-11-01,53,53
SIPE SIPE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-11-01,1,1
SUCRE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-11-01,50,50
TARABUCO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-11-01,1,1
TARIJA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-11-01,27,27
TARVITA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-11-01,1,1
TIAWANACU,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-11-01,1,1
TIQUIPAYA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-11-01,1,1
TODOS SANTOS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-11-01,2,2
TOMINA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-11-01,1,1
TORO TORO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-11-01,4,4
TOTORA(CBBA),atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-11-01,3,3
TRINIDAD,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-11-01,1,1
TUPIZA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-11-01,4,4
UNCIA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-11-01,1,1
UYUNI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-11-01,2,2
VILLA MONTES,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-11-01,5,5
VILLA TUNARI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-11-01,5,5
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-11-01,1,1
VILLAZON,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-11-01,1,1
WARNES,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-11-01,2,2
YACUIBA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-11-01,5,5
YAPACANI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-11-01,1,1
YUNCHARA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-11-01,1,1
AIQUILE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-12-01,1,1
ANTEQUERA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-12-01,2,2
ATOCHA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-12-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-12-01,11,11
BETANZOS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-12-01,1,1
CABEZAS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-12-01,1,1
CAMARGO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-12-01,1,1
CAMIRI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-12-01,1,1
CARANAVI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-12-01,2,2
CARAPARI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-12-01,1,1
CHALLAPATA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-12-01,1,1
CHARAGUA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-12-01,1,1
CHAYANTA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-12-01,6,6
CHUMA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-12-01,1,1
COBIJA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-12-01,7,7
COCHABAMBA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-12-01,115,115
COMARAPA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-12-01,1,1
CONCEPCION,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-12-01,1,1
COROICO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-12-01,1,1
EL ALTO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-12-01,43,43
EL PUENTE(TJA),atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-12-01,2,2
ESCOMA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-12-01,1,1
EUCALIPTUS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-12-01,1,1
GUANAY,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-12-01,1,1
GUAYARAMERIN,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-12-01,2,2
HUACARETA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-12-01,2,2
LA GUARDIA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-12-01,1,1
LA PAZ,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-12-01,151,151
LLALLAGUA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-12-01,8,8
MAGDALENA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-12-01,2,2
MAPIRI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-12-01,1,1
MINEROS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-12-01,2,2
MIZQUE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-12-01,2,2
MONTERO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-12-01,7,7
ORURO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-12-01,24,24
PADCAYA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-12-01,1,1
PADILLA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-12-01,1,1
PALOS BLANCOS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-12-01,1,1
PORTACHUELO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-12-01,1,1
POTOSI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-12-01,46,46
PUERTO SUAREZ,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-12-01,1,1
PUERTO VILLARROEL,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-12-01,3,3
PUNATA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-12-01,3,3
QUILLACOLLO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-12-01,4,4
REYES,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-12-01,1,1
RIBERALTA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-12-01,22,22
RURRENABAQUE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-12-01,2,2
SACABA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-12-01,1,1
SAN BORJA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-12-01,17,17
SAN IGNACIO DE VELASCO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-12-01,4,4
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-12-01,1,1
SAN JULIAN,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-12-01,1,1
SAN LUCAS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-12-01,2,2
SANTA ANA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-12-01,5,5
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-12-01,95,95
SANTA ROSA DEL SARA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-12-01,1,1
SOPACHUY,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-12-01,1,1
SUCRE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-12-01,51,51
TARIJA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-12-01,21,21
TOTORA(CBBA),atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-12-01,3,3
TRINIDAD,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-12-01,7,7
VALLEGRANDE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-12-01,2,2
VILLA MONTES,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-12-01,1,1
VILLAZON,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-12-01,2,2
VINTO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-12-01,8,8
WARNES,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-12-01,2,2
YACUIBA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-12-01,7,7
YAPACANI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2014-12-01,1,1
