,group,variable,month,TOTAL Nº DE TBP BAAR (+) NUEVOS CURADOS CANTIDAD,TOTAL Nº DE TBP BAAR (+) NUEVOS CURADOS CANTIDAD,TOTALES
PUERTO PEREZ,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-09-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-09-01,2,1,3
PUNATA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-09-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-09-01,1,0,1
REYES,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-09-01,1,1,2
RIBERALTA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-09-01,5,1,6
RURRENABAQUE,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-09-01,0,1,1
SACABA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-09-01,4,2,6
SAIPINA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-09-01,1,0,1
SAN BORJA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-09-01,2,2,4
SAN JULIAN,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-09-01,3,0,3
SAN LUCAS,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-09-01,1,2,3
SAN MATIAS,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-09-01,1,0,1
SAN MIGUEL DE VELASCO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-09-01,1,0,1
SAN RAMON SCZ,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-09-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-09-01,52,46,98
SHINAOTA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-09-01,1,0,1
SORACACHI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-09-01,1,0,1
SUCRE,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-09-01,7,2,9
TARIJA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-09-01,6,0,6
TARVITA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-09-01,1,0,1
TIPUANI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-09-01,2,2,4
TRINIDAD,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-09-01,3,1,4
TUPIZA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-09-01,0,2,2
VIACHA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-09-01,1,0,1
VILLA CHARCAS,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-09-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-09-01,3,2,5
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-09-01,1,0,1
WARNES,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-09-01,1,0,1
YACUIBA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-09-01,2,5,7
YAPACANI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-09-01,7,3,10
CAMIRI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-10-01,0,1,1
CARANAVI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-10-01,2,5,7
CHALLAPATA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-10-01,0,1,1
CHIMORE,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-10-01,3,1,4
COBIJA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-10-01,1,0,1
COCHABAMBA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-10-01,12,3,15
COLCAPIRHUA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-10-01,3,2,5
COROICO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-10-01,0,1,1
COTOCA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-10-01,1,2,3
CUATRO CAÑADAS,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-10-01,1,0,1
CULPINA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-10-01,0,1,1
EL ALTO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-10-01,2,7,9
EL TORNO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-10-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-10-01,1,1,2
GENERAL SAAVEDRA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-10-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-10-01,4,1,5
ICLA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-10-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-10-01,0,1,1
LA ASUNTA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-10-01,1,0,1
LA GUARDIA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-10-01,3,1,4
LA PAZ,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-10-01,10,2,12
LLALLAGUA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-10-01,1,0,1
MACHARETI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-10-01,1,0,1
MOJOCOYA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-10-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-10-01,1,1,2
MONTERO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-10-01,7,5,12
ORURO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-10-01,4,2,6
PADILLA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-10-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-10-01,0,1,1
PORTACHUELO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-10-01,1,1,2
PUERTO QUIJARRO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-10-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-10-01,3,1,4
PUNA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-10-01,1,0,1
PUNATA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-10-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-10-01,1,2,3
REYES,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-10-01,0,2,2
RIBERALTA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-10-01,6,4,10
ROBORE,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-10-01,0,1,1
SACABA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-10-01,1,2,3
SAN BORJA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-10-01,1,1,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-10-01,1,1,2
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-10-01,0,1,1
SAN JUAN DE YAPACANI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-10-01,1,1,2
SAN JULIAN,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-10-01,1,1,2
SAN LUCAS,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-10-01,0,1,1
SAN MATIAS,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-10-01,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-10-01,53,34,87
SANTA ROSA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-10-01,1,0,1
SHINAOTA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-10-01,2,2,4
SUCRE,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-10-01,2,5,7
TARABUCO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-10-01,1,0,1
TARIJA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-10-01,4,3,7
TIPUANI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-10-01,3,0,3
TIRAQUE (CBBA),tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-10-01,0,1,1
TRINIDAD,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-10-01,2,2,4
VILLA CHARCAS,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-10-01,1,2,3
VILLA MONTES,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-10-01,0,1,1
VILLA SERRANO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-10-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-10-01,6,1,7
WARNES,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-10-01,4,1,5
YACUIBA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-10-01,3,4,7
YAPACANI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-10-01,2,0,2
YOTALA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-10-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-11-01,1,0,1
BETANZOS,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-11-01,0,1,1
CALAMARCA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-11-01,1,0,1
CAMIRI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-11-01,1,0,1
CAPINOTA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-11-01,2,0,2
CARANAVI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-11-01,2,3,5
CHALLAPATA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-11-01,0,1,1
CHIMORE,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-11-01,0,2,2
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-11-01,1,1,2
COBIJA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-11-01,2,0,2
COCHABAMBA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-11-01,6,1,7
CONCEPCION,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-11-01,1,0,1
COROICO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-11-01,2,0,2
COTOCA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-11-01,0,2,2
CUATRO CAÑADAS,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-11-01,1,0,1
CULPINA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-11-01,1,0,1
EL ALTO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-11-01,8,6,14
EL TORNO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-11-01,1,1,2
ENTRE RIOS TRJ,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-11-01,0,1,1
ENTRE RIOS CBBA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-11-01,3,0,3
HUANUNI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-11-01,5,0,5
INCAHUASI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-11-01,0,1,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-11-01,0,1,1
LA ASUNTA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-11-01,4,0,4
LA GUARDIA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-11-01,1,2,3
LA PAZ,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-11-01,5,6,11
LICOMA PAMPA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-11-01,1,0,1
MACHARETI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-11-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-11-01,0,1,1
MONTERO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-11-01,7,3,10
ORURO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-11-01,2,2,4
POJO (CBBA),tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-11-01,1,0,1
PORTACHUELO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-11-01,2,1,3
POTOSI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-11-01,0,1,1
PUERTO CARABUCO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-11-01,0,1,1
PUERTO SUAREZ,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-11-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-11-01,2,0,2
QUILLACOLLO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-11-01,0,1,1
REYES,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-11-01,0,1,1
RIBERALTA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-11-01,6,2,8
RURRENABAQUE,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-11-01,1,0,1
SACABA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-11-01,2,0,2
SAN BORJA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-11-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-11-01,0,1,1
SAN JULIAN,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-11-01,1,0,1
SAN LUCAS,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-11-01,1,0,1
SAN PEDRO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-11-01,1,0,1
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-11-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-11-01,60,45,105
SANTA ROSA DEL SARA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-11-01,0,2,2
SIPE SIPE,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-11-01,0,1,1
SORATA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-11-01,3,0,3
SUCRE,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-11-01,11,2,13
TARIJA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-11-01,3,1,4
TIPUANI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-11-01,1,0,1
TIQUIPAYA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-11-01,0,2,2
TRINIDAD,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-11-01,1,0,1
TUPIZA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-11-01,1,0,1
UYUNI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-11-01,1,0,1
VILLA CHARCAS,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-11-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-11-01,3,1,4
VINTO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-11-01,2,1,3
WARNES,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-11-01,0,2,2
YACUIBA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-11-01,1,2,3
YAPACANI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-11-01,5,1,6
CAMARGO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-12-01,0,1,1
CARANAVI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-12-01,2,1,3
CHALLAPATA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-12-01,0,1,1
CHAYANTA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-12-01,1,0,1
COBIJA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-12-01,0,4,4
COCHABAMBA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-12-01,7,6,13
COLCAPIRHUA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-12-01,1,0,1
COLQUECHACA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-12-01,0,1,1
COTOCA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-12-01,2,0,2
CUATRO CAÑADAS,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-12-01,1,0,1
CULPINA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-12-01,0,2,2
EL ALTO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-12-01,3,6,9
EL PUENTE(STC),tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-12-01,1,0,1
EL TORNO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-12-01,0,1,1
ENTRE RIOS TRJ,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-12-01,0,1,1
ENTRE RIOS CBBA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-12-01,3,2,5
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-12-01,0,1,1
HUACARETA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-12-01,1,0,1
LA ASUNTA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-12-01,3,0,3
LA GUARDIA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-12-01,4,2,6
LA PAZ,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-12-01,11,8,19
LICOMA PAMPA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-12-01,0,1,1
LLALLAGUA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-12-01,2,0,2
MIZQUE,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-12-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-12-01,2,0,2
MONTERO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-12-01,4,3,7
ORURO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-12-01,5,1,6
PALOS BLANCOS,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-12-01,0,2,2
PAMPA GRANDE,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-12-01,0,1,1
POTOSI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-12-01,5,0,5
PUERTO SUAREZ,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-12-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-12-01,7,2,9
PUNATA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-12-01,0,2,2
QUILLACOLLO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-12-01,2,1,3
RIBERALTA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-12-01,1,3,4
RURRENABAQUE,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-12-01,1,0,1
SACABA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-12-01,2,2,4
SAN BENITO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-12-01,1,0,1
SAN BORJA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-12-01,1,5,6
SAN IGNACIO DE VELASCO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-12-01,0,3,3
SAN JULIAN,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-12-01,1,2,3
SAN LUCAS,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-12-01,0,1,1
SAN PEDRO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-12-01,0,2,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-12-01,48,51,99
SHINAOTA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-12-01,1,2,3
SIPE SIPE,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-12-01,1,0,1
SUCRE,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-12-01,2,2,4
TARABUCO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-12-01,2,1,3
TARIJA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-12-01,4,3,7
TARVITA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-12-01,1,0,1
TEOPONTE,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-12-01,1,0,1
TIPUANI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-12-01,0,1,1
TRINIDAD,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-12-01,3,2,5
TUPIZA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-12-01,0,1,1
VIACHA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-12-01,1,1,2
VILLA MONTES,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-12-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-12-01,2,1,3
VINTO,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-12-01,1,1,2
WARNES,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-12-01,2,0,2
YACUIBA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-12-01,6,2,8
YAPACANI,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-12-01,2,2,4
YOTALA,tuberculosis y lepra,total no de tbp baar (+) nuevos curados,2015-12-01,1,1,2
