,group,variable,month,TOTAL Nº DE PERSONAS CON TB EN TSF CON PRUEBA RÁPIDA CANTIDAD,TOTAL Nº DE PERSONAS CON TB EN TSF CON PRUEBA RÁPIDA CANTIDAD,TOTALES
RIBERALTA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-09-01,7,1,8
SACABA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-09-01,6,1,7
SAN IGNACIO DE VELASCO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-09-01,1,1,2
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-09-01,1,1,2
SAN JULIAN,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-09-01,3,1,4
SAN LUCAS,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-09-01,1,1,2
SAN MIGUEL DE VELASCO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-09-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-09-01,93,44,137
SANTA ROSA DEL SARA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-09-01,2,0,2
SANTIVAÑES,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-09-01,2,0,2
SHINAOTA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-09-01,1,0,1
SIPE SIPE,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-09-01,1,1,2
SUCRE,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-09-01,5,7,12
TACACOMA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-09-01,1,2,3
TARABUCO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-09-01,1,1,2
TARIJA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-09-01,1,2,3
TIPUANI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-09-01,3,1,4
TIQUIPAYA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-09-01,2,2,4
TRINIDAD,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-09-01,2,1,3
UYUNI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-09-01,1,0,1
VILA VILA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-09-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-09-01,2,3,5
VINTO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-09-01,2,2,4
VITICHI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-09-01,2,0,2
WARNES,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-09-01,1,3,4
YACUIBA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-09-01,2,7,9
YAPACANI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-09-01,6,7,13
BERMEJO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-10-01,2,0,2
BUENA VISTA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-10-01,1,0,1
CAMARGO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-10-01,1,0,1
CARANAVI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-10-01,8,5,13
CHIMORE,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-10-01,4,2,6
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-10-01,2,2,4
CLIZA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-10-01,1,1,2
COBIJA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-10-01,5,5,10
COCHABAMBA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-10-01,17,9,26
COLCAPIRHUA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-10-01,1,3,4
CONCEPCION,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-10-01,4,0,4
COROICO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-10-01,2,1,3
COTOCA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-10-01,3,4,7
CUATRO CAÑADAS,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-10-01,0,1,1
CULPINA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-10-01,1,2,3
EL ALTO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-10-01,14,15,29
EL TORNO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-10-01,5,2,7
ENTRE RIOS CBBA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-10-01,2,2,4
GUANAY,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-10-01,2,0,2
GUAYARAMERIN,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-10-01,1,0,1
HUANUNI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-10-01,0,1,1
LA ASUNTA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-10-01,2,1,3
LA GUARDIA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-10-01,9,3,12
LA PAZ,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-10-01,22,35,57
LLALLAGUA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-10-01,1,1,2
MAPIRI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-10-01,1,0,1
MONTERO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-10-01,6,3,9
ORURO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-10-01,4,10,14
PADILLA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-10-01,0,1,1
PALOS BLANCOS,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-10-01,3,2,5
PORONGO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-10-01,1,0,1
POTOSI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-10-01,1,1,2
PUCARANI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-10-01,1,0,1
PUERTO SUAREZ,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-10-01,4,3,7
PUERTO VILLARROEL,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-10-01,8,2,10
PUNATA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-10-01,1,1,2
QUILLACOLLO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-10-01,6,3,9
RIBERALTA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-10-01,2,1,3
RURRENABAQUE,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-10-01,0,1,1
SACABA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-10-01,2,1,3
SACABAMBA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-10-01,0,1,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-10-01,1,1,2
SAN JULIAN,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-10-01,0,2,2
SAN LORENZO(TJA),tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-10-01,2,1,3
SAN LUCAS,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-10-01,2,0,2
SAN MIGUEL DE VELASCO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-10-01,0,1,1
SAN RAMON SCZ,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-10-01,1,2,3
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-10-01,89,69,158
SANTA ROSA DEL SARA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-10-01,0,1,1
SENA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-10-01,0,2,2
SHINAOTA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-10-01,0,3,3
SIPE SIPE,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-10-01,2,2,4
SUCRE,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-10-01,5,6,11
TACACOMA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-10-01,2,1,3
TARABUCO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-10-01,1,0,1
TARATA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-10-01,0,1,1
TARIJA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-10-01,1,0,1
TEOPONTE,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-10-01,1,1,2
TIPUANI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-10-01,4,2,6
TIQUIPAYA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-10-01,1,3,4
TRINIDAD,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-10-01,6,2,8
TUPIZA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-10-01,1,0,1
VILLA MONTES,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-10-01,0,2,2
VILLA TUNARI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-10-01,2,0,2
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-10-01,1,0,1
VINTO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-10-01,6,0,6
WARNES,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-10-01,6,3,9
YACUIBA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-10-01,4,4,8
YAMPARAEZ,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-10-01,1,1,2
YAPACANI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-10-01,7,2,9
YOTALA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-10-01,2,1,3
ZUDAÑEZ,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-10-01,1,0,1
ACHACACHI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,1,1,2
ALTO BENI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,1,0,1
BERMEJO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,1,0,1
BUENA VISTA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,1,0,1
CABEZAS,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,1,0,1
CAPINOTA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,3,0,3
CARANAVI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,2,5,7
CHALLAPATA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,1,0,1
CHIMORE,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,4,0,4
COBIJA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,1,1,2
COCHABAMBA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,30,18,48
COLCAPIRHUA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,1,0,1
COMARAPA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,0,1,1
COROICO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,1,1,2
COTOCA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,3,2,5
CULPINA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,1,0,1
EL ALTO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,20,10,30
EL TORNO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,1,4,5
ENTRE RIOS TRJ,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,4,4,8
GUAYARAMERIN,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,0,3,3
HUANUNI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,1,1,2
HUATAJATA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,0,1,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,1,0,1
LA ASUNTA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,1,0,1
LA GUARDIA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,7,1,8
LA PAZ,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,16,6,22
LLALLAGUA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,1,0,1
MAPIRI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,1,0,1
MIZQUE,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,11,0,11
MONTEAGUDO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,1,0,1
MONTERO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,5,3,8
ORURO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,8,1,9
PALOS BLANCOS,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,0,1,1
PAMPA GRANDE,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,1,1,2
POTOSI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,2,1,3
PRESTO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,6,6,12
PUNATA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,1,2,3
QUILLACOLLO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,2,2,4
SACABA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,2,2,4
SAN BORJA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,0,3,3
SAN CARLOS,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,1,1,2
SAN IGNACIO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,1,0,1
SAN JULIAN,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,3,1,4
SAN LORENZO(TJA),tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,0,1,1
SAN MIGUEL DE VELASCO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,0,1,1
SAN RAMON SCZ,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,71,44,115
SANTIVAÑES,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,2,0,2
SHINAOTA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,1,0,1
SIPE SIPE,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,1,1,2
SUCRE,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,8,6,14
TACACOMA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,1,0,1
TARABUCO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,1,0,1
TARIJA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,0,1,1
TEOPONTE,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,1,1,2
TIPUANI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,0,2,2
TIQUIPAYA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,1,3,4
TRINIDAD,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,2,1,3
TUPIZA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,1,0,1
UYUNI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,0,1,1
VIACHA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,1,0,1
VILLA CHARCAS,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,1,1,2
VILLA TUNARI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,0,1,1
VINTO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,1,1,2
WARNES,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,0,2,2
YACUIBA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,2,2,4
YAMPARAEZ,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,2,0,2
YAPACANI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,5,4,9
ZUDAÑEZ,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-11-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-12-01,2,1,3
BERMEJO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-12-01,1,1,2
CAPINOTA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-12-01,1,0,1
CARACOLLO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-12-01,1,0,1
CARANAVI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-12-01,4,2,6
CHIMORE,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-12-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-12-01,2,2,4
COBIJA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-12-01,5,1,6
COCAPATA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-12-01,0,1,1
COCHABAMBA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-12-01,9,12,21
COLQUECHACA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-12-01,1,1,2
CORIPATA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-12-01,12,0,12
COROICO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-12-01,1,0,1
COTOCA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-12-01,5,1,6
EL ALTO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-12-01,17,16,33
EL TORNO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-12-01,1,2,3
ENTRE RIOS TRJ,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-12-01,1,2,3
ENTRE RIOS CBBA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-12-01,5,0,5
GUANAY,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-12-01,1,1,2
GUAYARAMERIN,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-12-01,1,0,1
HUARINA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-12-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-12-01,2,0,2
LA ASUNTA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-12-01,4,0,4
LA GUARDIA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-12-01,5,3,8
LA PAZ,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-12-01,23,12,35
MAPIRI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-12-01,1,0,1
MIZQUE,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-12-01,1,1,2
MONTERO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-12-01,5,3,8
ORURO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-12-01,11,6,17
PALOS BLANCOS,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-12-01,0,2,2
POTOSI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-12-01,6,1,7
PUERTO QUIJARRO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-12-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-12-01,3,7,10
PUNATA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-12-01,2,2,4
QUILLACOLLO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-12-01,4,5,9
RIBERALTA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-12-01,2,2,4
SACABA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-12-01,9,3,12
SAIPINA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-12-01,1,0,1
SAN BENITO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-12-01,1,0,1
SAN BORJA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-12-01,2,1,3
SAN IGNACIO DE VELASCO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-12-01,1,0,1
SAN JULIAN,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-12-01,1,0,1
SAN LORENZO(TJA),tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-12-01,1,0,1
SAN LUCAS,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-12-01,1,0,1
SAN MIGUEL DE VELASCO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-12-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-12-01,71,54,125
SHINAOTA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-12-01,1,0,1
SICAYA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-12-01,1,0,1
SUCRE,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-12-01,1,2,3
TARIJA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-12-01,4,4,8
TIPUANI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-12-01,1,0,1
VILLA CHARCAS,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-12-01,0,2,2
VILLA TUNARI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-12-01,3,1,4
VINTO,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-12-01,4,2,6
VITICHI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-12-01,0,1,1
WARNES,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-12-01,6,0,6
YACUIBA,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-12-01,7,5,12
YAPACANI,tuberculosis y lepra,total no de personas con tb en tsf con prueba rapida,2015-12-01,5,3,8
