,group,variable,month,TOTAL N° DE TBP BAAR (+) NUEVOS CANTIDAD,TOTAL N° DE TBP BAAR (+) NUEVOS CANTIDAD,TOTALES
COMARAPA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,1,0,1
COROICO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,2,1,3
COTAGAITA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,4,0,4
COTOCA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,2,3,5
CULPINA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,0,1,1
EL ALTO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,9,8,17
EL TORNO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,0,2,2
ENTRE RIOS CBBA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,2,3,5
FERNANDEZ ALONSO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,0,1,1
GUANAY,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,0,1,1
GUAYARAMERIN,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,1,0,1
HUANUNI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,0,1,1
INCAHUASI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,1,0,1
LA ASUNTA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,2,3,5
LA GUARDIA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,2,5,7
LA PAZ,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,13,4,17
LAS CARRERAS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,0,1,1
MIZQUE,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,1,0,1
MONTERO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,12,5,17
OCURI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,0,1,1
ORURO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,5,1,6
PADILLA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,1,0,1
PALCA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,1,1,2
PORVENIR,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,1,0,1
PUERTO GONZALO MORENO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,1,1,2
PUERTO QUIJARRO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,1,2,3
PUERTO SUAREZ,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,3,0,3
PUERTO VILLARROEL,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,5,2,7
QUILLACOLLO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,1,1,2
RIBERALTA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,1,2,3
ROBORE,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,1,0,1
RURRENABAQUE,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,0,1,1
SACABA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,3,0,3
SAMAIPATA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,1,0,1
SAN ANDRES,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,1,0,1
SAN BORJA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,2,2,4
SAN CARLOS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,2,0,2
SAN JAVIER(BNI),tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,0,1,1
SAN JUAN DE YAPACANI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,1,1,2
SAN JULIAN,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,1,0,1
SAN LUCAS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,0,1,1
SAN MATIAS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,0,1,1
SAN MIGUEL DE VELASCO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,0,1,1
SAN PEDRO DE TIQUINA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,0,1,1
SAN RAMON SCZ,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,68,65,133
SANTA ROSA DEL SARA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,1,0,1
SENA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,0,1,1
SIPE SIPE,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,1,1,2
SOPACHUY,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,1,0,1
SUCRE,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,7,1,8
TAPACARI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,1,0,1
TARABUCO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,1,0,1
TARIJA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,1,3,4
TARVITA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,1,0,1
TEOPONTE,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,1,0,1
TIPUANI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,3,0,3
TIQUIPAYA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,2,1,3
TOMAVE,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,1,0,1
TRINIDAD,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,4,3,7
TUPIZA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,1,0,1
URUBICHA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,1,0,1
VILLA MONTES,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,1,1,2
VILLA RIVERO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,2,0,2
VILLA SERRANO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,3,1,4
VILLAZON,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,1,0,1
VINTO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,1,1,2
WARNES,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,6,4,10
YACUIBA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,3,3,6
YAPACANI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-07-01,3,3,6
ACHOCALLA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,1,0,1
ALCALA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,0,1,1
ALTO BENI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,2,1,3
AUCAPATA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,1,1,2
AYO AYO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,2,0,2
BERMEJO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,1,0,1
BETANZOS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,2,0,2
BUENA VISTA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,1,1,2
CABEZAS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,1,0,1
CAMARGO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,0,1,1
CARANAVI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,5,3,8
CARMEN RIVERO TORREZ,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,1,0,1
CHALLAPATA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,2,0,2
CHARAGUA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,0,2,2
CHIMORE,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,1,1,2
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,1,0,1
COBIJA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,4,1,5
COCHABAMBA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,20,8,28
COLCAPIRHUA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,1,0,1
COMANCHE,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,1,0,1
COMARAPA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,1,0,1
CONCEPCION,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,1,0,1
COPACABANA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,1,0,1
CORIPATA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,1,2,3
COTOCA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,1,0,1
CUATRO CAÑADAS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,1,0,1
EL ALTO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,24,15,39
EL PUENTE(TJA),tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,0,1,1
EL TORNO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,2,0,2
ENTRE RIOS CBBA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,3,4,7
GUANAY,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,2,1,3
GUAYARAMERIN,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,2,1,3
HUANUNI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,1,0,1
HUATAJATA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,1,0,1
INCAHUASI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,1,0,1
LA ASUNTA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,2,1,3
LA GUARDIA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,1,2,3
LA PAZ,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,30,10,40
LLALLAGUA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,1,0,1
MACHACAMARCA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,1,0,1
MACHARETI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,1,0,1
MAPIRI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,1,0,1
MECAPACA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,1,0,1
MOCOMOCO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,0,1,1
MONTEAGUDO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,0,2,2
MONTERO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,11,2,13
ORURO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,1,1,2
PAILON,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,0,1,1
PALOS BLANCOS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,3,1,4
POJO (CBBA),tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,1,0,1
POTOSI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,11,1,12
PUERTO QUIJARRO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,1,1,2
PUERTO RICO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,8,6,14
PUNA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,0,1,1
PUNATA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,3,3,6
RIBERALTA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,6,2,8
ROBORE,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,1,1,2
SACABA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,6,4,10
SAN BENITO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,0,1,1
SAN BORJA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,0,1,1
SAN CARLOS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,0,2,2
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,1,0,1
SAN JULIAN,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,2,0,2
SAN LORENZO(PND),tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,0,2,2
SAN LUCAS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,2,0,2
SAN MATIAS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,1,0,1
SAN MIGUEL DE VELASCO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,1,0,1
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,1,0,1
SAN RAMON SCZ,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,3,1,4
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,96,36,132
SANTA ROSA DEL SARA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,1,0,1
SHINAOTA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,2,0,2
SIPE SIPE,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,0,2,2
SUCRE,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,4,2,6
TACACOMA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,1,0,1
TAPACARI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,0,1,1
TARABUCO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,1,1,2
TARIJA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,4,2,6
TIPUANI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,2,0,2
TIQUIPAYA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,1,2,3
TOMAVE,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,1,0,1
TRINIDAD,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,7,5,12
TUPIZA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,2,0,2
URIONDO (A. CONCEPCION),tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,0,1,1
UYUNI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,0,1,1
VILLA CHARCAS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,5,2,7
VILLAZON,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,2,0,2
VINTO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,1,0,1
WARNES,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,4,2,6
YACUIBA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,5,4,9
YANACACHI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,2,0,2
YAPACANI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,1,1,2
YOTALA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-08-01,0,2,2
ACHACACHI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,0,1,1
AIQUILE,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,1,1,2
ALTO BENI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,1,1,2
AUCAPATA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,1,1,2
BATALLAS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,1,1,2
BERMEJO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,1,2,3
BOYUIBE,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,1,0,1
BUENA VISTA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,2,0,2
CABEZAS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,0,1,1
CAMIRI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,1,2,3
CAPINOTA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,1,0,1
CARANAVI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,3,3,6
CHARAGUA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,1,0,1
CHIMORE,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,3,1,4
CHOQUE COTA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,1,0,1
CKOCHAS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,1,1,2
COBIJA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,6,1,7
COCHABAMBA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,16,7,23
COLCAPIRHUA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,0,1,1
COLPA BELGICA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,0,1,1
COMARAPA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,1,0,1
CORIPATA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,1,0,1
COROICO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,1,1,2
COTAGAITA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,0,1,1
COTOCA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,3,3,6
CUATRO CAÑADAS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,3,0,3
CULPINA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,1,0,1
EL ALTO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,21,8,29
EL TORNO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,5,2,7
ENTRE RIOS CBBA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,2,1,3
GENERAL SAAVEDRA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,1,0,1
GUANAY,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,1,2,3
GUAYARAMERIN,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,3,1,4
GUTIERREZ,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,0,1,1
HUANUNI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,2,0,2
HUARINA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,1,0,1
HUATAJATA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,0,1,1
INCAHUASI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,0,1,1
LA ASUNTA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,3,0,3
LA GUARDIA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,5,2,7
LA PAZ,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,21,17,38
LAJA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,0,1,1
LLALLAGUA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,2,0,2
LURIBAY,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,1,0,1
MAIRANA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,0,1,1
MAPIRI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,1,1,2
MIZQUE,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,1,0,1
MONTERO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,8,2,10
ORURO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,3,4,7
PADCAYA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,0,1,1
PAILON,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,2,2,4
PALOS BLANCOS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,2,2,4
PAMPA GRANDE,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,2,0,2
PORTACHUELO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,0,1,1
POTOSI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,10,2,12
PUERTO VILLARROEL,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,5,5,10
PUNATA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,0,3,3
QUILLACOLLO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,3,1,4
RIBERALTA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,5,1,6
RURRENABAQUE,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,0,1,1
SACABA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,3,0,3
SAN BORJA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,1,0,1
SAN CARLOS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,0,1,1
SAN IGNACIO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,2,1,3
SAN IGNACIO DE VELASCO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,1,1,2
SAN JAVIER(STC),tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,1,0,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,1,1,2
SAN JULIAN,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,4,4,8
SAN LORENZO(PND),tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,0,1,1
SAN LORENZO(TJA),tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,1,0,1
SAN MIGUEL DE VELASCO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,1,0,1
SAN RAMON SCZ,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,0,2,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,91,57,148
SANTA ROSA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,0,2,2
SANTA ROSA DEL SARA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,3,0,3
SANTIVAÑES,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,2,1,3
SENA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,0,1,1
SHINAOTA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,1,0,1
SIPE SIPE,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,1,0,1
SUCRE,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,6,7,13
TACACOMA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,0,1,1
TARABUCO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,0,1,1
TARATA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,1,0,1
TARIJA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,0,3,3
TEOPONTE,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,1,1,2
TIPUANI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,2,1,3
TIQUIPAYA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,3,1,4
TRINIDAD,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,7,1,8
TUPIZA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,2,0,2
UNCIA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,1,0,1
VILA VILA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,0,1,1
VILLA CHARCAS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,0,1,1
VILLA MONTES,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,0,3,3
VILLA TUNARI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,1,3,4
VILLAZON,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,2,1,3
VINTO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,0,1,1
VITICHI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,1,0,1
WARNES,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,9,5,14
YACUIBA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,2,6,8
YAMPARAEZ,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,1,0,1
YAPACANI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,7,2,9
YOTALA,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-09-01,2,0,2
ALTO BENI,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,2,1,3
ASCENCION DE GUARAYOS,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,0,1,1
BERMEJO,tuberculosis y lepra,total n de tbp baar (+) nuevos,2015-10-01,2,0,2
