,group,variable,month,TOTAL Nº DE QUIMIOPROFILAXIS EN MENORES DE 5 AÑOS CANTIDAD,TOTAL Nº DE QUIMIOPROFILAXIS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES
COLCAPIRHUA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-12-01,0,1,1
COTOCA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-12-01,2,0,2
EL ALTO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-12-01,3,3,6
EL TORNO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-12-01,1,1,2
ENTRE RIOS TRJ,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-12-01,1,1,2
ENTRE RIOS CBBA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-12-01,2,2,4
GUAYARAMERIN,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-12-01,0,1,1
LA ASUNTA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-12-01,1,0,1
LA GUARDIA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-12-01,2,0,2
LA PAZ,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-12-01,3,2,5
LLALLAGUA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-12-01,2,0,2
MIZQUE,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-12-01,1,2,3
MONTERO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-12-01,1,5,6
OMEREQUE,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-12-01,0,1,1
ORURO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-12-01,4,1,5
PATACAMAYA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-12-01,1,0,1
POJO (CBBA),tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-12-01,0,2,2
POTOSI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-12-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-12-01,3,3,6
RIBERALTA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-12-01,8,1,9
SACABA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-12-01,1,1,2
SAN BUENA VENTURA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-12-01,0,1,1
SAN CARLOS,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-12-01,1,0,1
SAN JUAN DE YAPACANI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-12-01,1,0,1
SAN JULIAN,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-12-01,0,1,1
SAN PEDRO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-12-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-12-01,15,12,27
SHINAOTA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-12-01,0,2,2
SUCRE,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-12-01,0,1,1
TIPUANI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-12-01,1,1,2
TIQUIPAYA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-12-01,0,3,3
UNCIA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-12-01,1,1,2
URUBICHA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-12-01,0,1,1
VILLA CHARCAS,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-12-01,2,0,2
VILLA TUNARI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-12-01,2,2,4
VINTO,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-12-01,0,1,1
WARNES,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-12-01,2,0,2
YACUIBA,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-12-01,2,2,4
YANACACHI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-12-01,0,1,1
YAPACANI,tuberculosis y lepra,total no de quimioprofilaxis en menores de 5 anos,2015-12-01,3,1,4
