,group,variable,month,TOTAL TRATAMIENTOS INICIADOS CON ESQUEMA I CANTIDAD,TOTAL TRATAMIENTOS INICIADOS CON ESQUEMA I CANTIDAD,TOTALES
YACUIBA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,4,4,8
YANACACHI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,1,0,1
YAPACANI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,2,0,2
YOTALA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-06-01,1,0,1
AIQUILE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,3,0,3
ALCALA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,1,0,1
APOLO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,2,1,3
AZURDUY,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,1,0,1
BATALLAS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,1,0,1
BERMEJO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,1,0,1
BUENA VISTA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,1,2,3
CAJUATA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,1,1,2
CALAMARCA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,0,1,1
CARANAVI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,3,1,4
CARMEN RIVERO TORREZ,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,2,0,2
CLIZA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,1,0,1
COBIJA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,6,0,6
COCHABAMBA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,42,16,58
COLCAPIRHUA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,2,1,3
COLPA BELGICA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,0,1,1
COMARAPA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,1,0,1
COROICO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,2,1,3
COTAGAITA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,1,0,1
COTOCA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,3,3,6
EL ALTO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,18,13,31
EL TORNO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,1,2,3
ENTRE RIOS CBBA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,3,3,6
FERNANDEZ ALONSO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,0,1,1
GUANAY,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,0,1,1
GUAYARAMERIN,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,2,0,2
HUANUNI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,1,1,2
INCAHUASI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,2,0,2
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,1,0,1
LA ASUNTA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,2,3,5
LA GUARDIA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,2,5,7
LA PAZ,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,20,10,30
LAS CARRERAS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,0,1,1
MAPIRI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,1,0,1
MIZQUE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,1,0,1
MONTERO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,14,3,17
OCURI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,0,1,1
ORURO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,10,5,15
PADILLA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,1,0,1
PALCA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,0,2,2
PALOS BLANCOS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,1,1,2
PUERTO GONZALO MORENO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,1,1,2
PUERTO SUAREZ,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,2,1,3
PUERTO VILLARROEL,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,6,1,7
QUIABAYA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,3,3,6
RIBERALTA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,2,2,4
ROBORE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,1,0,1
RURRENABAQUE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,0,1,1
SACABA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,6,0,6
SACACA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,1,0,1
SAMAIPATA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,1,0,1
SAN BORJA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,1,2,3
SAN CARLOS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,1,0,1
SAN IGNACIO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,1,0,1
SAN JUAN DE YAPACANI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,1,1,2
SAN JULIAN,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,2,1,3
SAN LUCAS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,0,1,1
SAN MATIAS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,0,1,1
SAN PEDRO DE TIQUINA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,0,1,1
SAN RAMON SCZ,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,80,74,154
SANTA ROSA DEL SARA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,1,0,1
SANTIAGO DE HUARI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,0,1,1
SENA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,0,1,1
SHINAOTA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,1,0,1
SIPE SIPE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,1,1,2
SORATA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,1,0,1
SUCRE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,8,1,9
TAPACARI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,1,0,1
TARABUCO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,1,0,1
TARIJA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,3,4,7
TARVITA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,1,0,1
TEOPONTE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,1,0,1
TIPUANI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,3,0,3
TIQUIPAYA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,1,2,3
TOMAVE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,2,0,2
TRINIDAD,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,5,4,9
TUPIZA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,1,1,2
UNCIA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,1,0,1
URUBICHA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,1,0,1
VILLA MONTES,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,1,1,2
VILLA RIVERO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,2,0,2
VILLA TUNARI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,4,1,5
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,1,0,1
VILLAZON,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,1,0,1
VINTO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,2,1,3
WARNES,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,8,4,12
YACUIBA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,2,5,7
YAPACANI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-07-01,3,3,6
ACHOCALLA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,1,1,2
ALCALA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,0,1,1
ALTO BENI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,2,1,3
AUCAPATA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,1,1,2
AYO AYO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,2,0,2
BERMEJO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,0,1,1
BETANZOS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,1,0,1
BUENA VISTA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,1,1,2
CABEZAS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,1,0,1
CALAMARCA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,1,0,1
CAMARGO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,0,1,1
CARANAVI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,9,3,12
CARMEN RIVERO TORREZ,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,1,0,1
CHALLAPATA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,2,1,3
CHAQUI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,1,0,1
CHARAGUA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,0,2,2
CHIMORE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,2,1,3
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,1,0,1
COBIJA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,4,1,5
COCHABAMBA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,26,22,48
COLCAPIRHUA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,1,0,1
COMANCHE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,1,0,1
COMARAPA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,1,0,1
CONCEPCION,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,1,0,1
COPACABANA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,1,0,1
CORIPATA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,0,1,1
COTOCA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,1,0,1
CUATRO CAÑADAS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,2,0,2
CULPINA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,0,1,1
EL ALTO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,26,15,41
EL PUENTE(TJA),tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,0,2,2
EL TORNO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,2,0,2
ENTRE RIOS CBBA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,4,4,8
GUANAY,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,2,2,4
GUAYARAMERIN,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,2,1,3
HUANUNI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,1,0,1
HUATAJATA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,1,0,1
INCAHUASI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,2,0,2
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,0,1,1
LA ASUNTA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,2,1,3
LA GUARDIA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,1,3,4
LA PAZ,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,43,29,72
LLALLAGUA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,3,0,3
MACHACAMARCA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,1,0,1
MACHARETI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,1,0,1
MAPIRI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,1,0,1
MECAPACA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,0,2,2
MONTERO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,9,3,12
ORURO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,4,3,7
PALOS BLANCOS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,3,1,4
POJO (CBBA),tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,1,0,1
PORTACHUELO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,1,0,1
POTOSI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,5,1,6
PUERTO QUIJARRO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,1,1,2
PUERTO RICO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,10,6,16
PUNA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,6,3,9
RIBERALTA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,7,3,10
ROBORE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,0,1,1
RURRENABAQUE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,0,1,1
SACABA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,5,4,9
SAN BENITO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,0,1,1
SAN BORJA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,1,1,2
SAN CARLOS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,0,1,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,1,0,1
SAN JULIAN,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,3,0,3
SAN LORENZO(PND),tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,0,1,1
SAN LUCAS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,2,0,2
SAN MATIAS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,1,0,1
SAN MIGUEL DE VELASCO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,1,0,1
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,1,0,1
SAN RAMON SCZ,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,118,46,164
SANTA ROSA DEL SARA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,1,0,1
SHINAOTA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,2,0,2
SIPE SIPE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,1,3,4
SUCRE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,5,5,10
TACACOMA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,1,0,1
TAPACARI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,0,1,1
TARABUCO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,2,2,4
TARIJA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,5,3,8
TARVITA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,0,1,1
TIPUANI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,2,0,2
TIQUIPAYA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,1,2,3
TOCO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,1,0,1
TOMAVE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,1,0,1
TRINIDAD,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,10,5,15
TUPIZA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,2,2,4
UMALA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,1,0,1
URIONDO (A. CONCEPCION),tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,0,1,1
UYUNI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,1,2,3
VALLEGRANDE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,0,1,1
VIACHA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,1,0,1
VILLA CHARCAS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,5,2,7
VINTO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,1,1,2
VITICHI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,0,1,1
WARNES,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,5,2,7
YACUIBA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,6,3,9
YAPACANI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,1,1,2
YOTALA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-08-01,0,2,2
ACHACACHI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,0,1,1
ALTO BENI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,0,1,1
ARBIETO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,1,1,2
AUCAPATA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,0,1,1
BATALLAS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,1,1,2
BERMEJO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,0,2,2
BUENA VISTA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,2,0,2
CABEZAS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,0,1,1
CAMARGO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,1,0,1
CARANAVI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,6,3,9
CHIMORE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,3,1,4
CKOCHAS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,1,2,3
CLIZA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,0,1,1
COBIJA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,6,0,6
COCAPATA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,1,0,1
COCHABAMBA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,34,18,52
COLCAPIRHUA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,0,1,1
"COLCHA ""K""",tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,1,0,1
COLPA BELGICA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,0,1,1
CORIPATA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,1,0,1
COROICO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,1,0,1
COTOCA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,4,4,8
CUATRO CAÑADAS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,4,0,4
CULPINA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,1,0,1
EL ALTO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,32,13,45
EL TORNO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,5,2,7
ENTRE RIOS CBBA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,3,1,4
GENERAL SAAVEDRA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,1,0,1
GUANAY,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,1,2,3
GUAYARAMERIN,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,4,2,6
GUTIERREZ,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,0,1,1
HUANUNI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,2,0,2
HUARINA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,1,0,1
HUATAJATA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,0,1,1
INCAHUASI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,2,0,2
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,0,1,1
LA ASUNTA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,3,0,3
LA GUARDIA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,7,3,10
LA PAZ,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,53,34,87
LAJA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,0,1,1
LLALLAGUA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,2,0,2
MAIRANA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,0,1,1
MAPIRI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,2,1,3
MIZQUE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,1,0,1
MOJOCOYA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,1,0,1
MONTERO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,9,2,11
ORURO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,7,11,18
PADCAYA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,0,1,1
PAILON,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,1,2,3
PALOS BLANCOS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,4,2,6
PAMPA GRANDE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,2,2,4
PORTACHUELO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,0,1,1
POTOSI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,7,2,9
PUCARANI,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,2,0,2
PUERTO QUIJARRO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,7,5,12
QUILLACOLLO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,6,2,8
RIBERALTA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,5,1,6
RURRENABAQUE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,0,1,1
SACABA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,7,1,8
SAN BORJA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,1,0,1
SAN IGNACIO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,1,1,2
SAN JAVIER(STC),tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,1,0,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,1,1,2
SAN JULIAN,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,1,2,3
SAN LORENZO(PND),tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,0,3,3
SAN MIGUEL DE VELASCO,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,1,0,1
SAN RAMON SCZ,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,1,2,3
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,113,60,173
SANTA ROSA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,0,2,2
SANTA ROSA DEL SARA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,3,0,3
SANTIVAÑES,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,2,1,3
SENA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,0,1,1
SHINAOTA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,1,0,1
SICAYA,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,1,0,1
SIPE SIPE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,1,0,1
SUCRE,tuberculosis y lepra,total tratamientos iniciados con esquema i,2015-09-01,9,9,18
