,group,variable,month,TOTAL N° DE SINTOMÁTICOS RESPIRATORIOS CANTIDAD,TOTAL N° DE SINTOMÁTICOS RESPIRATORIOS CANTIDAD,TOTALES
VIACHA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-06-01,11,14,25
VILA VILA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-06-01,1,0,1
VILLA CHARCAS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-06-01,9,12,21
VILLA MONTES,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-06-01,33,26,59
VILLA RIVERO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-06-01,4,5,9
VILLA SERRANO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-06-01,12,15,27
VILLA TUNARI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-06-01,60,41,101
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-06-01,5,13,18
VILLAZON,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-06-01,11,5,16
VINTO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-06-01,14,17,31
VITICHI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-06-01,5,5,10
WARNES,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-06-01,50,31,81
YACUIBA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-06-01,54,61,115
YAMPARAEZ,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-06-01,2,5,7
YAPACANI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-06-01,61,64,125
YOCALLA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-06-01,5,2,7
YOTALA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-06-01,3,2,5
YUNCHARA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-06-01,4,4,8
ZUDAÑEZ,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-06-01,13,26,39
ACACIO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,2,1,3
ACHACACHI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,11,7,18
ACHOCALLA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,2,0,2
AIQUILE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,21,9,30
ALCALA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,3,7,10
ALTO BENI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,8,5,13
ANCORAIMES,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,3,1,4
ANDAMARCA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,6,2,8
ANTEQUERA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,5,1,6
ANZALDO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,4,5,9
APOLO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,5,1,6
ARAMPAMPA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,1,2,3
ARANI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,1,0,1
ARBIETO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,2,0,2
ARQUE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,0,5,5
ASCENCION DE GUARAYOS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,12,8,20
ATOCHA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,0,1,1
AUCAPATA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,0,1,1
AYATA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,2,1,3
AYO AYO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,13,6,19
AZURDUY,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,7,7,14
BATALLAS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,2,2,4
BAURES,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,1,1,2
BELEN DE ANDAMARCA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,1,1,2
BELEN DE URMIRI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,2,0,2
BELLA FLOR,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,1,0,1
BERMEJO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,30,16,46
BETANZOS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,8,9,17
BOLIVAR,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,2,0,2
BOLPEBRA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,1,0,1
BOYUIBE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,1,0,1
BUENA VISTA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,11,9,20
CABEZAS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,2,5,7
"CAIZA ""D""",tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,3,5,8
CAJUATA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,2,0,2
CALAMARCA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,0,1,1
CAMARGO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,7,6,13
CAMATAQUI (C. VILLA ABECIA),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,2,3,5
CAMIRI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,6,5,11
CAPINOTA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,9,14,23
CAQUIAVIRI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,1,1,2
CARACOLLO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,1,4,5
CARANAVI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,38,32,70
CARAPARI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,3,7,10
CARIPUYO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,0,1,1
CARMEN RIVERO TORREZ,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,2,4,6
CHALLAPATA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,5,14,19
CHAQUI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,4,7,11
CHARAGUA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,5,5,10
CHAYANTA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,4,1,5
CHIMORE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,5,7,12
CHIPAYA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,0,3,3
CHUA COCANI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,16,9,25
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,1,1,2
CKOCHAS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,2,1,3
CLIZA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,6,9,15
COBIJA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,44,23,67
COCAPATA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,2,2,4
COCHABAMBA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,145,134,279
COLCAPIRHUA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,15,17,32
"COLCHA ""K""",tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,2,2,4
COLOMI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,3,1,4
COLPA BELGICA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,0,1,1
COLQUECHACA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,26,17,43
COLQUENCHA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,1,0,1
COMARAPA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,4,5,9
CONCEPCION,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,7,6,13
COPACABANA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,0,1,1
CORIPATA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,6,1,7
CORO CORO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,2,0,2
COROICO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,10,12,22
CORQUE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,2,6,8
COTAGAITA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,13,7,20
COTOCA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,25,23,48
CUATRO CAÑADAS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,12,11,23
CULPINA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,3,8,11
CURAHUARA DE CARANGAS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,3,1,4
CURVA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,1,0,1
DESAGUADERO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,2,2,4
EL ALTO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,187,182,369
EL CHORO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,1,1,2
EL PUENTE(STC),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,6,1,7
EL PUENTE(TJA),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,5,3,8
EL TORNO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,27,38,65
EL VILLAR,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,2,5,7
ENTRE RIOS TRJ,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,11,6,17
ENTRE RIOS CBBA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,21,24,45
ESCOMA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,1,1,2
EUCALIPTUS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,1,1,2
EUREKA (SANTOS MERCADO),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,1,0,1
FERNANDEZ ALONSO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,1,9,10
FILADELFIA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,1,1,2
GENERAL SAAVEDRA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,5,1,6
GUANAY,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,6,5,11
GUAQUI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,3,0,3
GUAYARAMERIN,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,15,14,29
HUACARETA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,5,8,13
HUACAYA (VILLA DE HUACAYA),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,0,3,3
HUACHACALLA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,1,0,1
HUANUNI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,43,14,57
HUARACAJE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,2,2,4
HUARINA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,2,1,3
HUATAJATA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,1,0,1
HUAYLLAMARCA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,0,1,1
ICLA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,9,11,20
INCAHUASI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,13,10,23
INQUISIVI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,1,1,2
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,6,10,16
IXIAMAS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,2,0,2
JESUS DE MACHACA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,1,3,4
LA ASUNTA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,34,17,51
LA GUARDIA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,41,37,78
LA PAZ,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,266,269,535
LAJA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,1,0,1
LAS CARRERAS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,0,5,5
LLALLAGUA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,27,17,44
LORETO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,1,0,1
LURIBAY,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,0,1,1
MACHACAMARCA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,1,2,3
MACHARETI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,11,5,16
MAGDALENA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,2,0,2
MAIRANA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,1,2,3
MAPIRI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,11,3,14
MINEROS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,1,3,4
MIZQUE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,9,5,14
MOCOMOCO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,2,0,2
MOJOCOYA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,11,9,20
MONTEAGUDO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,20,35,55
MONTERO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,53,47,100
MORO MORO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,0,1,1
MOROCHATA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,0,3,3
NAZACARA DE PACAJES,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,2,0,2
OCURI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,4,5,9
OKINAWA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,7,1,8
OMEREQUE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,1,0,1
ORURO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,160,122,282
PADCAYA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,10,9,19
PADILLA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,10,7,17
PAILON,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,13,3,16
PALCA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,7,1,8
PALOS BLANCOS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,24,14,38
PAMPA AULLAGAS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,3,2,5
PAMPA GRANDE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,2,1,3
PASORAPA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,0,1,1
PATACAMAYA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,2,2,4
PAZÑA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,5,4,9
PELECHUCO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,0,1,1
POCOATA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,6,6,12
POCONA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,0,2,2
POJO (CBBA),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,2,2,4
POOPO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,2,1,3
PORCO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,1,8,9
POROMA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,5,6,11
PORONGO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,3,0,3
PORVENIR,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,1,1,2
POTOSI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,32,5,37
PRESTO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,9,13,22
PUCARANI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,1,1,2
PUERTO ACOSTA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,0,1,1
PUERTO CARABUCO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,1,1,2
PUERTO GONZALO MORENO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,9,2,11
PUERTO PEREZ,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,0,1,1
PUERTO QUIJARRO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,13,7,20
PUERTO RICO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,1,0,1
PUERTO SUAREZ,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,13,2,15
PUERTO VILLARROEL,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,50,28,78
PUNA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,6,7,13
PUNATA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,12,9,21
QUILLACOLLO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,33,41,74
RAVELO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,10,4,14
REYES,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,1,0,1
RIBERALTA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,49,48,97
ROBORE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,4,0,4
RURRENABAQUE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,9,4,13
SABAYA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,0,1,1
SACABA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,50,61,111
SACABAMBA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,4,1,5
SACACA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,7,4,11
SAIPINA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,3,0,3
SALINAS DE GARCI MENDOZA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,5,4,9
SAMAIPATA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,3,1,4
SAN ANDRES,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,1,0,1
SAN ANDRES DE MACHACA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,2,0,2
SAN ANTONIO DE LOMERIO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,2,1,3
SAN BENITO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,1,5,6
SAN BORJA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,11,14,25
SAN BUENA VENTURA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,3,2,5
SAN CARLOS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,11,12,23
SAN IGNACIO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,7,5,12
SAN IGNACIO DE VELASCO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,9,9,18
SAN JAVIER(BNI),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,1,1,2
SAN JAVIER(STC),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,2,3,5
SAN JOAQUIN,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,4,4,8
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,5,3,8
SAN JUAN DE YAPACANI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,4,4,8
SAN JULIAN,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,25,28,53
SAN LORENZO(PND),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,1,3,4
SAN LORENZO(TJA),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,4,9,13
SAN LUCAS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,16,16,32
SAN MATIAS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,0,1,1
SAN MIGUEL DE VELASCO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,2,1,3
SAN PEDRO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,1,3,4
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,13,9,22
SAN PEDRO DE CURAHUARA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,1,1,2
SAN PEDRO DE QUEMES,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,2,2,4
SAN PEDRO DE TIQUINA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,0,1,1
SAN PEDRO(PND),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,1,1,2
SAN RAMON BENI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,3,1,4
SAN RAMON SCZ,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,6,3,9
SANTA ANA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,4,0,4
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,638,548,1186
SANTA ROSA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,1,1,2
SANTA ROSA DEL SARA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,7,6,13
SANTIAGO DE HUARI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,2,3,5
SANTIAGO DE MACHACA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,0,1,1
SANTIVAÑES,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,1,1,2
SANTUARIO DE QUILLACAS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,4,0,4
SAPAHAQUI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,0,1,1
SENA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,2,1,3
SHINAOTA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,12,8,20
SICA SICA (VILLA AROMA),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,1,1,2
SIPE SIPE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,15,15,30
SOPACHUY,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,6,8,14
SORACACHI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,3,2,5
SORATA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,6,3,9
SUCRE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,189,196,385
TACACOMA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,0,1,1
TACOBAMBA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,4,5,9
TACOPAYA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,3,5,8
TAHUA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,2,1,3
TAPACARI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,10,3,13
TARABUCO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,14,9,23
TARATA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,1,3,4
TARIJA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,69,73,142
TARVITA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,9,9,18
TEOPONTE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,12,10,22
TIAWANACU,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,3,0,3
TINGUIPAYA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,10,6,16
TIPUANI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,16,8,24
TIQUIPAYA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,21,19,40
TIRAQUE (CBBA),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,1,3,4
TITO YUPANQUI (PARQUIPUJIO),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,1,0,1
TOLATA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,1,4,5
TOMAVE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,3,2,5
TOMINA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,6,13,19
TORO TORO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,2,8,10
TOTORA(CBBA),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,5,2,7
TOTORA(ORR),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,3,3,6
TRINIDAD,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,61,25,86
TUPIZA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,23,9,32
TURCO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,0,2,2
UNCIA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,18,5,23
URIONDO (A. CONCEPCION),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,3,5,8
URUBICHA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,2,5,7
UYUNI,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,2,4,6
VACAS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,1,0,1
VALLEGRANDE,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,8,10,18
VIACHA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,21,9,30
VILA VILA,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,1,0,1
VILLA CHARCAS,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,8,7,15
VILLA MONTES,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,37,29,66
VILLA NUEVA (LOMA ALTA),tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,1,1,2
VILLA RIVERO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,4,2,6
VILLA SERRANO,tuberculosis y lepra,total n de sintomaticos respiratorios,2015-07-01,7,10,17
