,group,variable,month,TOTAL 1711 NEUMOCÓCICA 2DA. DOSIS CANTIDAD,TOTAL 1711 NEUMOCÓCICA 2DA. DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
COMANCHE,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,3,0,3,0,3
COMARAPA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,28,3,28,3,31
COMBAYA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,2,9,2,9,11
CONCEPCION,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,42,22,42,22,64
COPACABANA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,9,9,9,9,18
CORIPATA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,41,4,41,4,45
CORO CORO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,9,1,9,1,10
COROICO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,20,0,20,0,20
CORQUE,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,9,5,9,5,14
COTAGAITA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,36,11,36,11,47
COTOCA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,166,9,166,9,175
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,37,16,37,16,53
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,3,0,3,0,3
CUEVO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,6,4,6,4,10
CULPINA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,12,8,12,8,20
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,10,3,10,3,13
CURVA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,3,3,3,3,6
DESAGUADERO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,11,5,11,5,16
EL ALTO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,1242,218,1242,218,1460
EL CHORO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,1,1,1,1,2
EL PUENTE(STC),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,26,6,26,6,32
EL PUENTE(TJA),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,17,3,17,3,20
EL TORNO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,99,4,99,4,103
EL VILLAR,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,5,2,5,2,7
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,23,13,23,13,36
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,57,4,57,4,61
ESCOMA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,8,2,8,2,10
EUCALIPTUS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,2,1,2,1,3
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,1,5,1,5,6
EXALTACION,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,3,0,3,0,3
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,40,2,40,2,42
FILADELFIA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,10,8,10,8,18
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,53,2,53,2,55
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,7,4,7,4,11
GUANAY,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,25,13,25,13,38
GUAQUI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,6,4,6,4,10
GUAYARAMERIN,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,123,5,123,5,128
GUTIERREZ,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,16,14,16,14,30
HUACARETA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,12,9,12,9,21
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,4,6,4,6,10
HUACHACALLA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,0,1,0,1,1
HUANUNI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,40,1,40,1,41
HUARACAJE,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,8,0,8,0,8
HUARINA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,5,4,5,4,9
HUATAJATA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,3,1,3,1,4
HUAYLLAMARCA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,3,0,3,0,3
HUMANATA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,1,1,1,1,2
ICHOCA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,3,4,3,4,7
ICLA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,9,4,9,4,13
INCAHUASI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,17,11,17,11,28
INQUISIVI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,8,7,8,7,15
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,12,8,12,8,20
IXIAMAS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,11,5,11,5,16
JESUS DE MACHACA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,11,1,11,1,12
LA ASUNTA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,85,16,85,16,101
LA GUARDIA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,278,2,278,2,280
LA PAZ,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,1396,14,1396,14,1410
LAGUNILLAS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,10,9,10,9,19
LAJA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,16,4,16,4,20
LAS CARRERAS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,3,1,3,1,4
LICOMA PAMPA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,4,0,4,0,4
LLALLAGUA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,42,50,42,50,92
LLICA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,3,2,3,2,5
LORETO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,1,1,1,1,2
LURIBAY,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,4,2,4,2,6
MACHACAMARCA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,4,2,4,2,6
MACHARETI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,13,4,13,4,17
MAGDALENA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,32,26,32,26,58
MAIRANA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,11,0,11,0,11
MALLA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,0,3,0,3,3
MAPIRI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,41,1,41,1,42
MECAPACA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,14,8,14,8,22
MINEROS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,82,2,82,2,84
MIZQUE,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,42,13,42,13,55
MOCOMOCO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,12,10,12,10,22
MOJINETE,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,3,0,3,0,3
MOJOCOYA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,11,6,11,6,17
MONTEAGUDO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,47,3,47,3,50
MONTERO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,342,16,342,16,358
MORO MORO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,1,2,1,2,3
MOROCHATA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,1,5,1,5,6
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,3,4,3,4,7
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,1,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,4,2,4,2,6
OCURI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,13,30,13,30,43
OKINAWA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,34,1,34,1,35
OMEREQUE,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,4,6,4,6,10
ORURO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,588,5,588,5,593
PADCAYA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,28,6,28,6,34
PADILLA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,15,6,15,6,21
PAILON,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,44,12,44,12,56
PALCA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,26,8,26,8,34
PALOS BLANCOS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,48,8,48,8,56
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,10,1,10,1,11
PAMPA GRANDE,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,10,1,10,1,11
PAPEL PAMPA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,4,4,4,4,8
PASORAPA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,0,1,0,1,1
PATACAMAYA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,61,11,61,11,72
PAZÑA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,7,3,7,3,10
PELECHUCO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,9,3,9,3,12
POCOATA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,8,30,8,30,38
POCONA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,19,11,19,11,30
POJO (CBBA),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,27,8,27,8,35
POOPO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,18,1,18,1,19
PORCO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,24,6,24,6,30
POROMA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,17,11,17,11,28
PORONGO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,14,4,14,4,18
PORTACHUELO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,51,2,51,2,53
PORVENIR,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,3,1,3,1,4
POSTRER VALLE,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,4,1,4,1,5
POTOSI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,530,23,530,23,553
PRESTO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,10,7,10,7,17
PUCARA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,2,1,2,1,3
PUCARANI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,27,12,27,12,39
PUERTO ACOSTA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,6,11,6,11,17
PUERTO CARABUCO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,8,8,8,8,16
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,6,22,6,22,28
PUERTO PEREZ,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,8,5,8,5,13
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,43,16,43,16,59
PUERTO RICO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,13,6,13,6,19
PUERTO SILES,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,1,3,1,3,4
PUERTO SUAREZ,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,44,5,44,5,49
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,142,4,142,4,146
PUNA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,16,11,16,11,27
PUNATA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,60,2,60,2,62
QUIABAYA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,3,2,3,2,5
QUILLACOLLO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,200,88,200,88,288
QUIME,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,21,3,21,3,24
QUIRUSILLAS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,1,0,1,0,1
RAVELO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,6,11,6,11,17
REYES,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,35,4,35,4,39
RIBERALTA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,294,18,294,18,312
ROBORE,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,33,1,33,1,34
RURRENABAQUE,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,68,5,68,5,73
SABAYA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,4,1,4,1,5
SACABA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,244,16,244,16,260
SACABAMBA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,3,1,3,1,4
SACACA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,31,14,31,14,45
SAIPINA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,9,2,9,2,11
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,18,14,18,14,32
SAMAIPATA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,9,0,9,0,9
SAN AGUSTIN,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,4,0,4,0,4
SAN ANDRES,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,19,17,19,17,36
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,6,1,6,1,7
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,3,0,3,0,3
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,4,11,4,11,15
SAN BENITO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,23,3,23,3,26
SAN BORJA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,111,16,111,16,127
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,25,2,25,2,27
SAN CARLOS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,62,4,62,4,66
SAN IGNACIO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,62,14,62,14,76
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,123,13,123,13,136
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,2,2,2,2,4
SAN JAVIER(STC),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,16,0,16,0,16
SAN JOAQUIN,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,10,0,10,0,10
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,65,1,65,1,66
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,20,10,20,10,30
SAN JULIAN,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,104,30,104,30,134
SAN LORENZO(PND),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,15,0,15,0,15
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,38,1,38,1,39
SAN LUCAS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,30,12,30,12,42
SAN MATIAS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,36,4,36,4,40
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,24,2,24,2,26
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,2,1,2,1,3
SAN PEDRO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,46,0,46,0,46
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,18,39,18,39,57
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,1,0,1,0,1
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,3,4,3,4,7
SAN PEDRO(PND),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,2,1,2,1,3
SAN RAFAEL,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,14,2,14,2,16
SAN RAMON BENI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,3,14,3,14,17
SAN RAMON SCZ,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,20,0,20,0,20
SANTA ANA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,54,3,54,3,57
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,3332,62,3332,62,3394
SANTA ROSA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,24,1,24,1,25
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,26,2,26,2,28
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,0,3,0,3,3
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,11,11,11,11,22
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,7,4,7,4,11
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,1,1,1,1,2
SANTIVAÑES,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,15,2,15,2,17
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,4,0,4,0,4
SAPAHAQUI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,8,3,8,3,11
SENA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,14,0,14,0,14
SHINAOTA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,47,12,47,12,59
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,18,9,18,9,27
SICAYA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,4,1,4,1,5
SIPE SIPE,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,102,7,102,7,109
SOPACHUY,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,8,3,8,3,11
SORACACHI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,10,5,10,5,15
SORATA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,12,23,12,23,35
SUCRE,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,686,14,686,14,700
TACACHI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,2,1,2,1,3
TACACOMA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,10,3,10,3,13
TACOBAMBA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,5,8,5,8,13
TACOPAYA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,11,6,11,6,17
TAHUA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,0,1,0,1,1
TAPACARI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,21,15,21,15,36
TARABUCO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,10,14,10,14,24
TARACO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,3,0,3,0,3
TARATA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,10,3,10,3,13
TARIJA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,437,10,437,10,447
TARVITA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,14,14,14,14,28
TEOPONTE,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,25,9,25,9,34
TIAWANACU,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,22,4,22,4,26
TINGUIPAYA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,30,20,30,20,50
TIPUANI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,20,4,20,4,24
TIQUIPAYA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,110,15,110,15,125
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,23,14,23,14,37
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,4,0,4,0,4
TOCO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,8,1,8,1,9
TOLATA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,6,3,6,3,9
TOLEDO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,1,2,1,2,3
TOMAVE,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,15,6,15,6,21
TOMINA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,5,8,5,8,13
TORO TORO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,14,11,14,11,25
TOTORA(CBBA),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,31,9,31,9,40
TOTORA(ORR),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,10,3,10,3,13
TRIGAL,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,2,0,2,0,2
TRINIDAD,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,283,9,283,9,292
TUPIZA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,65,14,65,14,79
TURCO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,1,2,1,2,3
UMALA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,8,10,8,10,18
UNCIA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,53,21,53,21,74
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,35,9,35,9,44
URUBICHA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,6,9,6,9,15
UYUNI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,69,5,69,5,74
VACAS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,7,4,7,4,11
VALLEGRANDE,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,23,2,23,2,25
VIACHA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,153,3,153,3,156
VILA VILA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,2,3,2,3,5
VILLA CHARCAS,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,14,16,14,16,30
VILLA MONTES,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,88,28,88,28,116
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,0,2,0,2,2
VILLA RIVERO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,13,5,13,5,18
VILLA SERRANO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,6,4,6,4,10
VILLA TUNARI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,178,12,178,12,190
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,10,7,10,7,17
VILLAZON,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,67,4,67,4,71
VINTO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,104,2,104,2,106
VITICHI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,10,0,10,0,10
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,5,0,5,0,5
WARNES,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,234,17,234,17,251
YACO,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,6,4,6,4,10
YACUIBA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,203,21,203,21,224
YAMPARAEZ,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,12,2,12,2,14
YANACACHI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,7,1,7,1,8
YAPACANI,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,212,23,212,23,235
YOCALLA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,11,8,11,8,19
YOTALA,vacunaciones en menores de 1 ano,      neumococica 2da. dosis,2014-08-01,10,5,10,5,15
