,group,variable,month,TOTAL 17.2 PENTAVALENTE 1RA. DOSIS CANTIDAD,TOTAL 17.2 PENTAVALENTE 1RA. DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
SAMAIPATA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,14,0,14,0,14
SAN AGUSTIN,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,3,0,3,0,3
SAN ANDRES,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,19,4,19,4,23
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,7,1,7,1,8
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,2,0,2,0,2
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,2,9,2,9,11
SAN BENITO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,16,2,16,2,18
SAN BORJA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,92,53,92,53,145
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,27,2,27,2,29
SAN CARLOS,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,41,1,41,1,42
SAN IGNACIO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,57,12,57,12,69
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,109,8,109,8,117
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,3,10,3,10,13
SAN JAVIER(STC),vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,21,3,21,3,24
SAN JOAQUIN,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,9,0,9,0,9
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,44,22,44,22,66
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,16,3,16,3,19
SAN JULIAN,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,90,23,90,23,113
SAN LORENZO(PND),vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,1,1,1,1,2
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,27,5,27,5,32
SAN LUCAS,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,24,9,24,9,33
SAN MATIAS,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,29,0,29,0,29
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,23,2,23,2,25
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,2,0,2,0,2
SAN PEDRO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,26,1,26,1,27
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,28,34,28,34,62
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,6,0,6,0,6
SAN PEDRO DE QUEMES,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,1,1,1,1,2
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,1,1,1,1,2
SAN PEDRO(PND),vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,1,2,1,2,3
SAN RAFAEL,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,16,3,16,3,19
SAN RAMON BENI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,7,9,7,9,16
SAN RAMON SCZ,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,21,0,21,0,21
SANTA ANA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,45,36,45,36,81
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,3150,52,3150,52,3202
SANTA ROSA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,23,2,23,2,25
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,23,0,23,0,23
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,1,6,1,6,7
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,7,4,7,4,11
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,6,7,6,7,13
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,2,1,2,1,3
SANTIVAÑES,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,13,0,13,0,13
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,1,2,1,2,3
SAPAHAQUI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,14,6,14,6,20
SENA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,7,14,7,14,21
SHINAOTA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,47,8,47,8,55
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,26,3,26,3,29
SICAYA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,2,0,2,0,2
SIPE SIPE,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,79,3,79,3,82
SOPACHUY,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,9,2,9,2,11
SORACACHI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,7,5,7,5,12
SORATA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,7,22,7,22,29
SUCRE,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,592,6,592,6,598
TACACHI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,3,1,3,1,4
TACACOMA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,4,6,4,6,10
TACOBAMBA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,5,9,5,9,14
TACOPAYA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,7,3,7,3,10
TAHUA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,1,2,1,2,3
TAPACARI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,21,12,21,12,33
TARABUCO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,9,10,9,10,19
TARACO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,3,0,3,0,3
TARATA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,12,1,12,1,13
TARIJA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,377,8,377,8,385
TARVITA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,12,7,12,7,19
TEOPONTE,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,18,11,18,11,29
TIAWANACU,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,18,4,18,4,22
TINGUIPAYA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,17,20,17,20,37
TIPUANI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,18,0,18,0,18
TIQUIPAYA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,89,17,89,17,106
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,26,11,26,11,37
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,1,0,1,0,1
TOCO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,4,0,4,0,4
TOLATA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,6,3,6,3,9
TOLEDO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,5,1,5,1,6
TOMAVE,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,9,14,9,14,23
TOMINA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,5,10,5,10,15
TORO TORO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,7,12,7,12,19
TOTORA(CBBA),vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,25,7,25,7,32
TOTORA(ORR),vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,9,0,9,0,9
TRIGAL,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,2,0,2,0,2
TRINIDAD,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,242,47,242,47,289
TUPIZA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,76,15,76,15,91
TURCO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,1,1,1,1,2
UMALA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,4,6,4,6,10
UNCIA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,36,10,36,10,46
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,21,9,21,9,30
URUBICHA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,16,0,16,0,16
UYUNI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,49,7,49,7,56
VACAS,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,4,9,4,9,13
VALLEGRANDE,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,25,1,25,1,26
VIACHA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,100,9,100,9,109
VILA VILA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,1,4,1,4,5
VILLA CHARCAS,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,17,11,17,11,28
VILLA MONTES,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,103,12,103,12,115
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,0,3,0,3,3
VILLA RIVERO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,10,4,10,4,14
VILLA SERRANO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,10,4,10,4,14
VILLA TUNARI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,165,15,165,15,180
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,12,1,12,1,13
VILLAZON,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,61,3,61,3,64
VINTO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,87,0,87,0,87
VITICHI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,8,0,8,0,8
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,4,1,4,1,5
WARNES,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,254,17,254,17,271
YACO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,4,9,4,9,13
YACUIBA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,174,12,174,12,186
YAMPARAEZ,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,8,1,8,1,9
YANACACHI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,4,0,4,0,4
YAPACANI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,142,10,142,10,152
YOCALLA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,11,5,11,5,16
YOTALA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,10,5,10,5,15
YUNCHARA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,2,3,2,3,5
YUNGUYO DE LITORAL,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,0,1,0,1,1
ZUDAÑEZ,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-06-01,3,3,3,3,6
ACACIO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,5,3,5,3,8
ACHACACHI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,49,32,49,32,81
ACHOCALLA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,14,11,14,11,25
AIQUILE,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,22,9,22,9,31
ALALAY,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,1,3,1,3,4
ALCALA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,5,4,5,4,9
ALTO BENI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,15,0,15,0,15
ANCORAIMES,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,10,5,10,5,15
ANDAMARCA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,0,1,0,1,1
ANTEQUERA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,6,0,6,0,6
ANZALDO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,3,6,3,6,9
APOLO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,30,11,30,11,41
ARAMPAMPA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,1,1,1,1,2
ARANI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,15,1,15,1,16
ARBIETO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,13,20,13,20,33
ARQUE,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,9,3,9,3,12
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,65,1,65,1,66
ATOCHA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,21,3,21,3,24
AUCAPATA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,3,5,3,5,8
AYATA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,8,7,8,7,15
AYO AYO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,7,3,7,3,10
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,30,20,30,20,50
AZURDUY,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,7,5,7,5,12
BATALLAS,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,17,3,17,3,20
BAURES,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,6,8,6,8,14
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,1,0,1,0,1
BELEN DE URMIRI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,1,3,1,3,4
BELLA FLOR,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,3,2,3,2,5
BERMEJO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,75,18,75,18,93
BETANZOS,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,46,9,46,9,55
BOLIVAR,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,6,8,6,8,14
BOLPEBRA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,2,3,2,3,5
BOYUIBE,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,9,1,9,1,10
BUENA VISTA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,25,7,25,7,32
CABEZAS,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,41,21,41,21,62
CAIROMA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,10,4,10,4,14
"CAIZA ""D""",vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,13,1,13,1,14
CAJUATA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,13,7,13,7,20
CALACOTO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,0,2,0,2,2
CALAMARCA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,14,4,14,4,18
CAMARGO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,23,9,23,9,32
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,2,0,2,0,2
CAMIRI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,68,4,68,4,72
CAPINOTA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,29,2,29,2,31
CAQUIAVIRI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,13,8,13,8,21
CARACOLLO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,23,5,23,5,28
CARANAVI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,92,11,92,11,103
CARAPARI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,22,5,22,5,27
CARIPUYO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,4,9,4,9,13
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,13,2,13,2,15
CHACARILLA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,0,3,0,3,3
CHALLAPATA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,58,8,58,8,66
CHAQUI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,12,1,12,1,13
CHARAGUA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,45,83,45,83,128
CHARAÑA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,3,0,3,0,3
CHAYANTA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,16,9,16,9,25
CHIMORE,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,40,1,40,1,41
CHIPAYA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,3,0,3,0,3
CHUA COCANI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,38,3,38,3,41
CHUMA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,9,6,9,6,15
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,16,3,16,3,19
CKOCHAS,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,11,4,11,4,15
CLIZA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,35,8,35,8,43
COBIJA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,115,13,115,13,128
COCAPATA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,4,10,4,10,14
COCHABAMBA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,1452,11,1452,11,1463
COIPASA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,1,1,1,1,2
COLCAPIRHUA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,91,4,91,4,95
"COLCHA ""K""",vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,24,2,24,2,26
COLOMI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,30,14,30,14,44
COLPA BELGICA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,9,0,9,0,9
COLQUECHACA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,32,32,32,32,64
COLQUENCHA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,9,3,9,3,12
COLQUIRI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,22,18,22,18,40
COMANCHE,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,5,0,5,0,5
COMARAPA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,30,5,30,5,35
COMBAYA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,1,0,1,0,1
CONCEPCION,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,35,27,35,27,62
COPACABANA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,8,14,8,14,22
CORIPATA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,26,2,26,2,28
CORO CORO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,6,3,6,3,9
COROICO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,25,2,25,2,27
CORQUE,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,6,6,6,6,12
COTAGAITA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,27,15,27,15,42
COTOCA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,144,7,144,7,151
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,40,10,40,10,50
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,1,0,1,0,1
CUEVO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,5,5,5,5,10
CULPINA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,23,12,23,12,35
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,8,1,8,1,9
CURVA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,2,4,2,4,6
DESAGUADERO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,8,0,8,0,8
EL ALTO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,1421,295,1421,295,1716
EL CHORO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,3,4,3,4,7
EL PUENTE(STC),vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,29,2,29,2,31
EL PUENTE(TJA),vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,8,2,8,2,10
EL TORNO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,131,6,131,6,137
EL VILLAR,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,4,0,4,0,4
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,21,19,21,19,40
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,68,9,68,9,77
ESCARA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,1,0,1,0,1
ESCOMA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,5,1,5,1,6
EUCALIPTUS,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,7,2,7,2,9
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,0,1,0,1,1
EXALTACION,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,1,0,1,0,1
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,22,3,22,3,25
FILADELFIA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,6,8,6,8,14
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,41,2,41,2,43
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,7,6,7,6,13
GUANAY,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,26,12,26,12,38
GUAQUI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,2,5,2,5,7
GUAYARAMERIN,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,95,7,95,7,102
GUTIERREZ,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,18,8,18,8,26
HUACARETA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,7,4,7,4,11
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,2,1,2,1,3
HUACHACALLA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,4,0,4,0,4
HUANUNI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,48,3,48,3,51
HUARACAJE,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,7,0,7,0,7
HUARINA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,5,3,5,3,8
HUATAJATA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,6,1,6,1,7
HUAYLLAMARCA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,2,2,2,2,4
HUMANATA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,3,10,3,10,13
ICHOCA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,0,2,0,2,2
ICLA,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,6,6,6,6,12
INCAHUASI,vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,14,12,14,12,26
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,      pentavalente 1ra. dosis,2014-07-01,0,3,0,3,3
