,group,variable,month,TOTAL 17.8 ANTIROTAVIRICA 1RA. DOSIS CANTIDAD,TOTAL 17.8 ANTIROTAVIRICA 1RA. DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,2,9,2,9,11
SAN BENITO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,16,2,16,2,18
SAN BORJA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,85,45,85,45,130
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,26,2,26,2,28
SAN CARLOS,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,40,1,40,1,41
SAN IGNACIO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,49,9,49,9,58
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,109,8,109,8,117
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,4,15,4,15,19
SAN JAVIER(STC),vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,21,3,21,3,24
SAN JOAQUIN,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,9,0,9,0,9
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,41,15,41,15,56
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,16,3,16,3,19
SAN JULIAN,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,91,23,91,23,114
SAN LORENZO(PND),vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,1,0,1,0,1
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,27,5,27,5,32
SAN LUCAS,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,24,9,24,9,33
SAN MATIAS,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,29,0,29,0,29
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,23,2,23,2,25
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,2,0,2,0,2
SAN PEDRO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,26,1,26,1,27
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,28,34,28,34,62
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,3,0,3,0,3
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,1,1,1,1,2
SAN PEDRO(PND),vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,1,1,1,1,2
SAN RAFAEL,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,16,3,16,3,19
SAN RAMON BENI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,7,8,7,8,15
SAN RAMON SCZ,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,21,0,21,0,21
SANTA ANA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,42,35,42,35,77
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,3020,53,3020,53,3073
SANTA ROSA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,21,2,21,2,23
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,23,0,23,0,23
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,1,6,1,6,7
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,6,5,6,5,11
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,5,6,5,6,11
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,2,1,2,1,3
SANTIVAÑES,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,11,0,11,0,11
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,1,2,1,2,3
SAPAHAQUI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,14,6,14,6,20
SENA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,8,5,8,5,13
SHINAOTA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,47,7,47,7,54
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,26,3,26,3,29
SICAYA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,2,0,2,0,2
SIPE SIPE,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,56,2,56,2,58
SOPACHUY,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,8,2,8,2,10
SORACACHI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,7,5,7,5,12
SORATA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,6,21,6,21,27
SUCRE,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,570,6,570,6,576
TACACHI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,3,1,3,1,4
TACACOMA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,4,6,4,6,10
TACOBAMBA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,5,9,5,9,14
TACOPAYA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,7,2,7,2,9
TAHUA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,4,2,4,2,6
TAPACARI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,21,12,21,12,33
TARABUCO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,9,10,9,10,19
TARACO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,3,0,3,0,3
TARATA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,12,1,12,1,13
TARIJA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,373,8,373,8,381
TARVITA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,12,7,12,7,19
TEOPONTE,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,13,10,13,10,23
TIAWANACU,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,18,4,18,4,22
TINGUIPAYA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,17,22,17,22,39
TIPUANI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,16,0,16,0,16
TIQUIPAYA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,88,16,88,16,104
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,26,11,26,11,37
TOCO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,4,0,4,0,4
TOLATA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,6,3,6,3,9
TOLEDO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,5,1,5,1,6
TOMAVE,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,9,14,9,14,23
TOMINA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,4,10,4,10,14
TORO TORO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,7,12,7,12,19
TOTORA(CBBA),vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,25,6,25,6,31
TOTORA(ORR),vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,8,0,8,0,8
TRIGAL,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,2,0,2,0,2
TRINIDAD,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,229,30,229,30,259
TUPIZA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,76,12,76,12,88
TURCO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,1,1,1,1,2
UMALA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,4,6,4,6,10
UNCIA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,35,10,35,10,45
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,21,8,21,8,29
URUBICHA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,16,0,16,0,16
UYUNI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,41,3,41,3,44
VACAS,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,4,9,4,9,13
VALLEGRANDE,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,23,1,23,1,24
VIACHA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,98,10,98,10,108
VILA VILA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,1,4,1,4,5
VILLA CHARCAS,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,17,11,17,11,28
VILLA MONTES,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,101,10,101,10,111
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,0,3,0,3,3
VILLA RIVERO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,10,4,10,4,14
VILLA SERRANO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,10,4,10,4,14
VILLA TUNARI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,165,14,165,14,179
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,12,1,12,1,13
VILLAZON,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,59,3,59,3,62
VINTO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,87,1,87,1,88
VITICHI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,8,0,8,0,8
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,4,1,4,1,5
WARNES,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,248,17,248,17,265
YACO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,4,9,4,9,13
YACUIBA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,148,8,148,8,156
YAMPARAEZ,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,8,1,8,1,9
YANACACHI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,4,0,4,0,4
YAPACANI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,141,10,141,10,151
YOCALLA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,8,5,8,5,13
YOTALA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,10,5,10,5,15
YUNCHARA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,2,3,2,3,5
ZUDAÑEZ,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-06-01,3,3,3,3,6
ACACIO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,5,3,5,3,8
ACHACACHI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,47,26,47,26,73
ACHOCALLA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,13,10,13,10,23
AIQUILE,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,21,9,21,9,30
ALALAY,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,1,4,1,4,5
ALCALA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,5,4,5,4,9
ALTO BENI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,15,0,15,0,15
ANCORAIMES,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,10,4,10,4,14
ANDAMARCA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,0,1,0,1,1
ANTEQUERA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,6,0,6,0,6
ANZALDO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,3,6,3,6,9
APOLO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,27,11,27,11,38
ARAMPAMPA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,1,1,1,1,2
ARANI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,15,1,15,1,16
ARBIETO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,14,21,14,21,35
ARQUE,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,9,2,9,2,11
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,59,1,59,1,60
ATOCHA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,21,3,21,3,24
AUCAPATA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,3,5,3,5,8
AYATA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,7,6,7,6,13
AYO AYO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,7,2,7,2,9
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,30,19,30,19,49
AZURDUY,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,7,5,7,5,12
BATALLAS,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,15,2,15,2,17
BAURES,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,6,8,6,8,14
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,1,0,1,0,1
BELEN DE URMIRI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,1,3,1,3,4
BELLA FLOR,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,3,2,3,2,5
BERMEJO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,73,18,73,18,91
BETANZOS,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,44,9,44,9,53
BOLIVAR,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,6,8,6,8,14
BOLPEBRA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,2,2,2,2,4
BOYUIBE,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,9,1,9,1,10
BUENA VISTA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,25,7,25,7,32
CABEZAS,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,39,18,39,18,57
CAIROMA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,10,4,10,4,14
"CAIZA ""D""",vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,13,1,13,1,14
CAJUATA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,12,7,12,7,19
CALACOTO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,0,2,0,2,2
CALAMARCA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,13,4,13,4,17
CAMARGO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,23,9,23,9,32
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,2,0,2,0,2
CAMIRI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,68,4,68,4,72
CAPINOTA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,26,1,26,1,27
CAQUIAVIRI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,13,6,13,6,19
CARACOLLO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,22,6,22,6,28
CARANAVI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,93,11,93,11,104
CARAPARI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,26,8,26,8,34
CARIPUYO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,4,9,4,9,13
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,13,2,13,2,15
CHACARILLA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,0,1,0,1,1
CHALLAPATA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,58,7,58,7,65
CHAQUI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,13,1,13,1,14
CHARAGUA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,43,68,43,68,111
CHARAÑA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,3,0,3,0,3
CHAYANTA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,16,10,16,10,26
CHIMORE,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,37,1,37,1,38
CHIPAYA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,3,0,3,0,3
CHUA COCANI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,32,3,32,3,35
CHUMA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,9,6,9,6,15
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,16,3,16,3,19
CKOCHAS,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,9,5,9,5,14
CLIZA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,38,8,38,8,46
COBIJA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,113,12,113,12,125
COCAPATA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,4,10,4,10,14
COCHABAMBA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,1444,9,1444,9,1453
COIPASA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,1,1,1,1,2
COLCAPIRHUA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,83,3,83,3,86
"COLCHA ""K""",vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,24,2,24,2,26
COLOMI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,29,11,29,11,40
COLPA BELGICA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,10,0,10,0,10
COLQUECHACA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,31,34,31,34,65
COLQUENCHA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,9,1,9,1,10
COLQUIRI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,17,16,17,16,33
COMANCHE,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,3,0,3,0,3
COMARAPA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,30,5,30,5,35
COMBAYA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,1,0,1,0,1
CONCEPCION,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,35,24,35,24,59
COPACABANA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,8,12,8,12,20
CORIPATA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,22,2,22,2,24
CORO CORO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,6,3,6,3,9
COROICO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,24,2,24,2,26
CORQUE,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,5,5,5,5,10
COTAGAITA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,27,12,27,12,39
COTOCA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,137,7,137,7,144
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,40,10,40,10,50
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,1,0,1,0,1
CUEVO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,5,5,5,5,10
CULPINA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,22,12,22,12,34
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,8,1,8,1,9
CURVA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,2,4,2,4,6
DESAGUADERO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,7,0,7,0,7
EL ALTO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,1343,260,1343,260,1603
EL CHORO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,3,4,3,4,7
EL PUENTE(STC),vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,29,2,29,2,31
EL PUENTE(TJA),vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,8,2,8,2,10
EL TORNO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,127,5,127,5,132
EL VILLAR,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,4,0,4,0,4
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,21,19,21,19,40
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,66,9,66,9,75
ESCARA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,1,0,1,0,1
ESCOMA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,4,1,4,1,5
EUCALIPTUS,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,6,2,6,2,8
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,0,1,0,1,1
EXALTACION,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,1,0,1,0,1
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,22,3,22,3,25
FILADELFIA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,7,8,7,8,15
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,41,2,41,2,43
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,7,6,7,6,13
GUANAY,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,26,11,26,11,37
GUAQUI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,2,3,2,3,5
GUAYARAMERIN,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,90,6,90,6,96
GUTIERREZ,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,17,8,17,8,25
HUACARETA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,7,3,7,3,10
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,2,1,2,1,3
HUACHACALLA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,4,0,4,0,4
HUANUNI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,46,3,46,3,49
HUARACAJE,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,7,0,7,0,7
HUARINA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,5,3,5,3,8
HUATAJATA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,6,1,6,1,7
HUAYLLAMARCA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,2,2,2,2,4
HUMANATA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,0,5,0,5,5
ICHOCA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,0,1,0,1,1
ICLA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,6,6,6,6,12
INCAHUASI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,14,11,14,11,25
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,1,2,1,2,3
INQUISIVI,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,8,20,8,20,28
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,18,4,18,4,22
IXIAMAS,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,16,11,16,11,27
JESUS DE MACHACA,vacunaciones en menores de 1 ano,      antirotavirica 1ra. dosis,2014-07-01,9,6,9,6,15
