,group,variable,month,TOTAL 17.1 BCG CANTIDAD,TOTAL 17.1 BCG CANTIDAD,TOTALES,TOTALES,TOTALES
ICHOCA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,1,3,1,3,4
ICLA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,6,3,6,3,9
INCAHUASI,vacunaciones en menores de 1 ano,      bcg,2014-07-01,10,7,10,7,17
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,      bcg,2014-07-01,0,4,0,4,4
INQUISIVI,vacunaciones en menores de 1 ano,      bcg,2014-07-01,11,20,11,20,31
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,      bcg,2014-07-01,15,7,15,7,22
IXIAMAS,vacunaciones en menores de 1 ano,      bcg,2014-07-01,8,5,8,5,13
JESUS DE MACHACA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,13,10,13,10,23
LA ASUNTA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,79,5,79,5,84
LA GUARDIA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,137,4,137,4,141
LA PAZ,vacunaciones en menores de 1 ano,      bcg,2014-07-01,1557,14,1557,14,1571
LAGUNILLAS,vacunaciones en menores de 1 ano,      bcg,2014-07-01,7,2,7,2,9
LAJA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,16,12,16,12,28
LAS CARRERAS,vacunaciones en menores de 1 ano,      bcg,2014-07-01,3,0,3,0,3
LICOMA PAMPA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,1,2,1,2,3
LLALLAGUA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,30,39,30,39,69
LLICA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,9,1,9,1,10
LORETO,vacunaciones en menores de 1 ano,      bcg,2014-07-01,0,4,0,4,4
LURIBAY,vacunaciones en menores de 1 ano,      bcg,2014-07-01,3,5,3,5,8
MACHACAMARCA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,3,2,3,2,5
MACHARETI,vacunaciones en menores de 1 ano,      bcg,2014-07-01,5,2,5,2,7
MAGDALENA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,6,20,6,20,26
MAIRANA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,22,1,22,1,23
MALLA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,0,1,0,1,1
MAPIRI,vacunaciones en menores de 1 ano,      bcg,2014-07-01,26,0,26,0,26
MECAPACA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,8,12,8,12,20
MINEROS,vacunaciones en menores de 1 ano,      bcg,2014-07-01,28,0,28,0,28
MIZQUE,vacunaciones en menores de 1 ano,      bcg,2014-07-01,31,13,31,13,44
MOCOMOCO,vacunaciones en menores de 1 ano,      bcg,2014-07-01,11,12,11,12,23
MOJOCOYA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,3,8,3,8,11
MONTEAGUDO,vacunaciones en menores de 1 ano,      bcg,2014-07-01,59,3,59,3,62
MONTERO,vacunaciones en menores de 1 ano,      bcg,2014-07-01,87,4,87,4,91
MORO MORO,vacunaciones en menores de 1 ano,      bcg,2014-07-01,1,0,1,0,1
MOROCHATA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,5,4,5,4,9
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,      bcg,2014-07-01,1,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,      bcg,2014-07-01,1,1,1,1,2
OCURI,vacunaciones en menores de 1 ano,      bcg,2014-07-01,11,19,11,19,30
OKINAWA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,16,2,16,2,18
OMEREQUE,vacunaciones en menores de 1 ano,      bcg,2014-07-01,3,1,3,1,4
ORURO,vacunaciones en menores de 1 ano,      bcg,2014-07-01,774,6,774,6,780
PADCAYA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,13,3,13,3,16
PADILLA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,23,0,23,0,23
PAILON,vacunaciones en menores de 1 ano,      bcg,2014-07-01,28,60,28,60,88
PALCA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,9,9,9,9,18
PALOS BLANCOS,vacunaciones en menores de 1 ano,      bcg,2014-07-01,33,20,33,20,53
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,      bcg,2014-07-01,3,5,3,5,8
PAMPA GRANDE,vacunaciones en menores de 1 ano,      bcg,2014-07-01,13,0,13,0,13
PAPEL PAMPA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,2,2,2,2,4
PATACAMAYA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,48,7,48,7,55
PAZÑA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,8,2,8,2,10
PELECHUCO,vacunaciones en menores de 1 ano,      bcg,2014-07-01,6,6,6,6,12
POCOATA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,6,38,6,38,44
POCONA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,10,4,10,4,14
POJO (CBBA),vacunaciones en menores de 1 ano,      bcg,2014-07-01,12,7,12,7,19
POOPO,vacunaciones en menores de 1 ano,      bcg,2014-07-01,6,5,6,5,11
PORCO,vacunaciones en menores de 1 ano,      bcg,2014-07-01,20,2,20,2,22
POROMA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,8,15,8,15,23
PORONGO,vacunaciones en menores de 1 ano,      bcg,2014-07-01,1,16,1,16,17
PORTACHUELO,vacunaciones en menores de 1 ano,      bcg,2014-07-01,38,0,38,0,38
PORVENIR,vacunaciones en menores de 1 ano,      bcg,2014-07-01,9,0,9,0,9
POSTRER VALLE,vacunaciones en menores de 1 ano,      bcg,2014-07-01,1,1,1,1,2
POTOSI,vacunaciones en menores de 1 ano,      bcg,2014-07-01,535,15,535,15,550
PRESTO,vacunaciones en menores de 1 ano,      bcg,2014-07-01,2,7,2,7,9
PUCARA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,1,0,1,0,1
PUCARANI,vacunaciones en menores de 1 ano,      bcg,2014-07-01,10,35,10,35,45
PUERTO ACOSTA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,1,15,1,15,16
PUERTO CARABUCO,vacunaciones en menores de 1 ano,      bcg,2014-07-01,4,7,4,7,11
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,      bcg,2014-07-01,3,3,3,3,6
PUERTO PEREZ,vacunaciones en menores de 1 ano,      bcg,2014-07-01,1,7,1,7,8
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,      bcg,2014-07-01,28,1,28,1,29
PUERTO RICO,vacunaciones en menores de 1 ano,      bcg,2014-07-01,13,3,13,3,16
PUERTO SILES,vacunaciones en menores de 1 ano,      bcg,2014-07-01,1,0,1,0,1
PUERTO SUAREZ,vacunaciones en menores de 1 ano,      bcg,2014-07-01,60,0,60,0,60
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,      bcg,2014-07-01,129,6,129,6,135
PUNA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,17,10,17,10,27
PUNATA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,81,2,81,2,83
QUIABAYA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,0,7,0,7,7
QUILLACOLLO,vacunaciones en menores de 1 ano,      bcg,2014-07-01,307,36,307,36,343
QUIME,vacunaciones en menores de 1 ano,      bcg,2014-07-01,5,12,5,12,17
RAVELO,vacunaciones en menores de 1 ano,      bcg,2014-07-01,13,15,13,15,28
REYES,vacunaciones en menores de 1 ano,      bcg,2014-07-01,3,4,3,4,7
RIBERALTA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,335,5,335,5,340
ROBORE,vacunaciones en menores de 1 ano,      bcg,2014-07-01,20,0,20,0,20
RURRENABAQUE,vacunaciones en menores de 1 ano,      bcg,2014-07-01,52,5,52,5,57
SABAYA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,1,2,1,2,3
SACABA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,271,23,271,23,294
SACABAMBA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,7,3,7,3,10
SACACA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,25,5,25,5,30
SAIPINA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,2,10,2,10,12
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,5,10,5,10,15
SAMAIPATA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,12,0,12,0,12
SAN ANDRES,vacunaciones en menores de 1 ano,      bcg,2014-07-01,6,3,6,3,9
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,0,3,0,3,3
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,      bcg,2014-07-01,3,0,3,0,3
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,      bcg,2014-07-01,1,6,1,6,7
SAN BENITO,vacunaciones en menores de 1 ano,      bcg,2014-07-01,7,3,7,3,10
SAN BORJA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,84,16,84,16,100
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,12,2,12,2,14
SAN CARLOS,vacunaciones en menores de 1 ano,      bcg,2014-07-01,40,6,40,6,46
SAN IGNACIO,vacunaciones en menores de 1 ano,      bcg,2014-07-01,40,0,40,0,40
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,      bcg,2014-07-01,127,1,127,1,128
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,      bcg,2014-07-01,1,0,1,0,1
SAN JAVIER(STC),vacunaciones en menores de 1 ano,      bcg,2014-07-01,26,0,26,0,26
SAN JOAQUIN,vacunaciones en menores de 1 ano,      bcg,2014-07-01,7,3,7,3,10
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,      bcg,2014-07-01,34,3,34,3,37
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,      bcg,2014-07-01,8,3,8,3,11
SAN JULIAN,vacunaciones en menores de 1 ano,      bcg,2014-07-01,74,24,74,24,98
SAN LORENZO(PND),vacunaciones en menores de 1 ano,      bcg,2014-07-01,2,11,2,11,13
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,      bcg,2014-07-01,8,4,8,4,12
SAN LUCAS,vacunaciones en menores de 1 ano,      bcg,2014-07-01,32,20,32,20,52
SAN MATIAS,vacunaciones en menores de 1 ano,      bcg,2014-07-01,31,0,31,0,31
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,      bcg,2014-07-01,9,3,9,3,12
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,      bcg,2014-07-01,3,1,3,1,4
SAN PEDRO,vacunaciones en menores de 1 ano,      bcg,2014-07-01,18,0,18,0,18
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,43,22,43,22,65
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,2,3,2,3,5
SAN PEDRO DE QUEMES,vacunaciones en menores de 1 ano,      bcg,2014-07-01,1,1,1,1,2
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,2,4,2,4,6
SAN RAFAEL,vacunaciones en menores de 1 ano,      bcg,2014-07-01,2,4,2,4,6
SAN RAMON BENI,vacunaciones en menores de 1 ano,      bcg,2014-07-01,0,5,0,5,5
SAN RAMON SCZ,vacunaciones en menores de 1 ano,      bcg,2014-07-01,19,1,19,1,20
SANTA ANA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,50,0,50,0,50
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,3720,222,3720,222,3942
SANTA ROSA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,5,8,5,8,13
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,18,4,18,4,22
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,1,3,1,3,4
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,      bcg,2014-07-01,10,6,10,6,16
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,1,10,1,10,11
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,0,8,0,8,8
SANTIVAÑES,vacunaciones en menores de 1 ano,      bcg,2014-07-01,0,2,0,2,2
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,      bcg,2014-07-01,5,3,5,3,8
SAPAHAQUI,vacunaciones en menores de 1 ano,      bcg,2014-07-01,5,5,5,5,10
SENA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,7,3,7,3,10
SHINAOTA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,44,1,44,1,45
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,      bcg,2014-07-01,11,14,11,14,25
SICAYA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,0,9,0,9,9
SIPE SIPE,vacunaciones en menores de 1 ano,      bcg,2014-07-01,65,0,65,0,65
SOPACHUY,vacunaciones en menores de 1 ano,      bcg,2014-07-01,6,8,6,8,14
SORACACHI,vacunaciones en menores de 1 ano,      bcg,2014-07-01,6,2,6,2,8
SORATA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,12,20,12,20,32
SUCRE,vacunaciones en menores de 1 ano,      bcg,2014-07-01,610,15,610,15,625
TACACOMA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,3,8,3,8,11
TACOBAMBA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,7,7,7,7,14
TACOPAYA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,2,0,2,0,2
TAHUA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,2,0,2,0,2
TAPACARI,vacunaciones en menores de 1 ano,      bcg,2014-07-01,19,9,19,9,28
TARABUCO,vacunaciones en menores de 1 ano,      bcg,2014-07-01,21,6,21,6,27
TARACO,vacunaciones en menores de 1 ano,      bcg,2014-07-01,1,0,1,0,1
TARATA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,9,2,9,2,11
TARIJA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,496,10,496,10,506
TARVITA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,13,11,13,11,24
TEOPONTE,vacunaciones en menores de 1 ano,      bcg,2014-07-01,10,6,10,6,16
TIAWANACU,vacunaciones en menores de 1 ano,      bcg,2014-07-01,17,4,17,4,21
TINGUIPAYA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,20,13,20,13,33
TIPUANI,vacunaciones en menores de 1 ano,      bcg,2014-07-01,10,4,10,4,14
TIQUIPAYA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,104,12,104,12,116
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,      bcg,2014-07-01,18,15,18,15,33
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,      bcg,2014-07-01,2,1,2,1,3
TOCO,vacunaciones en menores de 1 ano,      bcg,2014-07-01,8,1,8,1,9
TOLATA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,5,1,5,1,6
TOLEDO,vacunaciones en menores de 1 ano,      bcg,2014-07-01,1,2,1,2,3
TOMAVE,vacunaciones en menores de 1 ano,      bcg,2014-07-01,3,17,3,17,20
TOMINA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,6,1,6,1,7
TORO TORO,vacunaciones en menores de 1 ano,      bcg,2014-07-01,6,15,6,15,21
TOTORA(CBBA),vacunaciones en menores de 1 ano,      bcg,2014-07-01,27,3,27,3,30
TOTORA(ORR),vacunaciones en menores de 1 ano,      bcg,2014-07-01,7,0,7,0,7
TRINIDAD,vacunaciones en menores de 1 ano,      bcg,2014-07-01,355,1,355,1,356
TUPIZA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,89,8,89,8,97
TURCO,vacunaciones en menores de 1 ano,      bcg,2014-07-01,4,1,4,1,5
UMALA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,3,6,3,6,9
UNCIA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,24,16,24,16,40
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,      bcg,2014-07-01,8,0,8,0,8
URUBICHA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,16,0,16,0,16
UYUNI,vacunaciones en menores de 1 ano,      bcg,2014-07-01,63,2,63,2,65
VACAS,vacunaciones en menores de 1 ano,      bcg,2014-07-01,1,12,1,12,13
VALLEGRANDE,vacunaciones en menores de 1 ano,      bcg,2014-07-01,26,1,26,1,27
VIACHA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,72,4,72,4,76
VILLA CHARCAS,vacunaciones en menores de 1 ano,      bcg,2014-07-01,9,9,9,9,18
VILLA MONTES,vacunaciones en menores de 1 ano,      bcg,2014-07-01,98,3,98,3,101
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,      bcg,2014-07-01,1,2,1,2,3
VILLA RIVERO,vacunaciones en menores de 1 ano,      bcg,2014-07-01,3,8,3,8,11
VILLA SERRANO,vacunaciones en menores de 1 ano,      bcg,2014-07-01,8,0,8,0,8
VILLA TUNARI,vacunaciones en menores de 1 ano,      bcg,2014-07-01,192,16,192,16,208
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,      bcg,2014-07-01,1,0,1,0,1
VILLAZON,vacunaciones en menores de 1 ano,      bcg,2014-07-01,58,1,58,1,59
VINTO,vacunaciones en menores de 1 ano,      bcg,2014-07-01,126,0,126,0,126
VITICHI,vacunaciones en menores de 1 ano,      bcg,2014-07-01,7,6,7,6,13
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,      bcg,2014-07-01,1,2,1,2,3
WARNES,vacunaciones en menores de 1 ano,      bcg,2014-07-01,194,6,194,6,200
YACO,vacunaciones en menores de 1 ano,      bcg,2014-07-01,3,4,3,4,7
YACUIBA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,171,11,171,11,182
YAMPARAEZ,vacunaciones en menores de 1 ano,      bcg,2014-07-01,9,1,9,1,10
YANACACHI,vacunaciones en menores de 1 ano,      bcg,2014-07-01,5,0,5,0,5
YAPACANI,vacunaciones en menores de 1 ano,      bcg,2014-07-01,86,5,86,5,91
YOCALLA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,6,8,6,8,14
YOTALA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,5,0,5,0,5
YUNCHARA,vacunaciones en menores de 1 ano,      bcg,2014-07-01,2,6,2,6,8
ZUDAÑEZ,vacunaciones en menores de 1 ano,      bcg,2014-07-01,11,2,11,2,13
ACACIO,vacunaciones en menores de 1 ano,      bcg,2014-08-01,1,7,1,7,8
ACHACACHI,vacunaciones en menores de 1 ano,      bcg,2014-08-01,31,37,31,37,68
ACHOCALLA,vacunaciones en menores de 1 ano,      bcg,2014-08-01,12,8,12,8,20
AIQUILE,vacunaciones en menores de 1 ano,      bcg,2014-08-01,38,7,38,7,45
ALALAY,vacunaciones en menores de 1 ano,      bcg,2014-08-01,1,1,1,1,2
ALCALA,vacunaciones en menores de 1 ano,      bcg,2014-08-01,3,0,3,0,3
ALTO BENI,vacunaciones en menores de 1 ano,      bcg,2014-08-01,12,0,12,0,12
ANCORAIMES,vacunaciones en menores de 1 ano,      bcg,2014-08-01,11,13,11,13,24
ANDAMARCA,vacunaciones en menores de 1 ano,      bcg,2014-08-01,0,4,0,4,4
ANTEQUERA,vacunaciones en menores de 1 ano,      bcg,2014-08-01,2,1,2,1,3
ANZALDO,vacunaciones en menores de 1 ano,      bcg,2014-08-01,4,3,4,3,7
APOLO,vacunaciones en menores de 1 ano,      bcg,2014-08-01,25,7,25,7,32
ARAMPAMPA,vacunaciones en menores de 1 ano,      bcg,2014-08-01,3,2,3,2,5
ARANI,vacunaciones en menores de 1 ano,      bcg,2014-08-01,14,0,14,0,14
ARBIETO,vacunaciones en menores de 1 ano,      bcg,2014-08-01,9,15,9,15,24
ARQUE,vacunaciones en menores de 1 ano,      bcg,2014-08-01,12,3,12,3,15
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,      bcg,2014-08-01,56,8,56,8,64
ATOCHA,vacunaciones en menores de 1 ano,      bcg,2014-08-01,21,0,21,0,21
AUCAPATA,vacunaciones en menores de 1 ano,      bcg,2014-08-01,0,10,0,10,10
AYATA,vacunaciones en menores de 1 ano,      bcg,2014-08-01,2,22,2,22,24
AYO AYO,vacunaciones en menores de 1 ano,      bcg,2014-08-01,6,10,6,10,16
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,      bcg,2014-08-01,14,14,14,14,28
AZURDUY,vacunaciones en menores de 1 ano,      bcg,2014-08-01,13,9,13,9,22
BATALLAS,vacunaciones en menores de 1 ano,      bcg,2014-08-01,12,14,12,14,26
BAURES,vacunaciones en menores de 1 ano,      bcg,2014-08-01,4,0,4,0,4
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,      bcg,2014-08-01,2,0,2,0,2
BELEN DE URMIRI,vacunaciones en menores de 1 ano,      bcg,2014-08-01,0,1,0,1,1
BELLA FLOR,vacunaciones en menores de 1 ano,      bcg,2014-08-01,1,1,1,1,2
BERMEJO,vacunaciones en menores de 1 ano,      bcg,2014-08-01,49,3,49,3,52
BETANZOS,vacunaciones en menores de 1 ano,      bcg,2014-08-01,24,15,24,15,39
BOLIVAR,vacunaciones en menores de 1 ano,      bcg,2014-08-01,2,5,2,5,7
BOLPEBRA,vacunaciones en menores de 1 ano,      bcg,2014-08-01,1,1,1,1,2
BOYUIBE,vacunaciones en menores de 1 ano,      bcg,2014-08-01,4,1,4,1,5
BUENA VISTA,vacunaciones en menores de 1 ano,      bcg,2014-08-01,9,3,9,3,12
CABEZAS,vacunaciones en menores de 1 ano,      bcg,2014-08-01,16,54,16,54,70
CAIROMA,vacunaciones en menores de 1 ano,      bcg,2014-08-01,10,7,10,7,17
"CAIZA ""D""",vacunaciones en menores de 1 ano,      bcg,2014-08-01,2,4,2,4,6
CAJUATA,vacunaciones en menores de 1 ano,      bcg,2014-08-01,18,3,18,3,21
CALACOTO,vacunaciones en menores de 1 ano,      bcg,2014-08-01,2,10,2,10,12
CALAMARCA,vacunaciones en menores de 1 ano,      bcg,2014-08-01,8,9,8,9,17
CAMARGO,vacunaciones en menores de 1 ano,      bcg,2014-08-01,34,0,34,0,34
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,      bcg,2014-08-01,0,1,0,1,1
CAMIRI,vacunaciones en menores de 1 ano,      bcg,2014-08-01,97,6,97,6,103
CAPINOTA,vacunaciones en menores de 1 ano,      bcg,2014-08-01,21,5,21,5,26
CAQUIAVIRI,vacunaciones en menores de 1 ano,      bcg,2014-08-01,5,5,5,5,10
CARACOLLO,vacunaciones en menores de 1 ano,      bcg,2014-08-01,31,2,31,2,33
CARANAVI,vacunaciones en menores de 1 ano,      bcg,2014-08-01,106,12,106,12,118
CARAPARI,vacunaciones en menores de 1 ano,      bcg,2014-08-01,13,6,13,6,19
CARIPUYO,vacunaciones en menores de 1 ano,      bcg,2014-08-01,4,13,4,13,17
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,      bcg,2014-08-01,0,13,0,13,13
CHALLAPATA,vacunaciones en menores de 1 ano,      bcg,2014-08-01,57,22,57,22,79
CHAQUI,vacunaciones en menores de 1 ano,      bcg,2014-08-01,4,3,4,3,7
CHARAGUA,vacunaciones en menores de 1 ano,      bcg,2014-08-01,22,78,22,78,100
CHARAÑA,vacunaciones en menores de 1 ano,      bcg,2014-08-01,1,0,1,0,1
CHAYANTA,vacunaciones en menores de 1 ano,      bcg,2014-08-01,4,18,4,18,22
CHIMORE,vacunaciones en menores de 1 ano,      bcg,2014-08-01,18,0,18,0,18
CHIPAYA,vacunaciones en menores de 1 ano,      bcg,2014-08-01,0,1,0,1,1
CHUA COCANI,vacunaciones en menores de 1 ano,      bcg,2014-08-01,0,2,0,2,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,      bcg,2014-08-01,41,0,41,0,41
CHUMA,vacunaciones en menores de 1 ano,      bcg,2014-08-01,3,6,3,6,9
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,      bcg,2014-08-01,6,8,6,8,14
CKOCHAS,vacunaciones en menores de 1 ano,      bcg,2014-08-01,16,2,16,2,18
CLIZA,vacunaciones en menores de 1 ano,      bcg,2014-08-01,40,4,40,4,44
COBIJA,vacunaciones en menores de 1 ano,      bcg,2014-08-01,137,0,137,0,137
COCAPATA,vacunaciones en menores de 1 ano,      bcg,2014-08-01,8,25,8,25,33
COCHABAMBA,vacunaciones en menores de 1 ano,      bcg,2014-08-01,1478,6,1478,6,1484
COIPASA,vacunaciones en menores de 1 ano,      bcg,2014-08-01,1,0,1,0,1
COLCAPIRHUA,vacunaciones en menores de 1 ano,      bcg,2014-08-01,55,2,55,2,57
"COLCHA ""K""",vacunaciones en menores de 1 ano,      bcg,2014-08-01,19,16,19,16,35
COLLANA,vacunaciones en menores de 1 ano,      bcg,2014-08-01,1,1,1,1,2
COLOMI,vacunaciones en menores de 1 ano,      bcg,2014-08-01,22,3,22,3,25
COLPA BELGICA,vacunaciones en menores de 1 ano,      bcg,2014-08-01,4,1,4,1,5
COLQUECHACA,vacunaciones en menores de 1 ano,      bcg,2014-08-01,21,49,21,49,70
COLQUENCHA,vacunaciones en menores de 1 ano,      bcg,2014-08-01,1,4,1,4,5
COLQUIRI,vacunaciones en menores de 1 ano,      bcg,2014-08-01,1,33,1,33,34
COMANCHE,vacunaciones en menores de 1 ano,      bcg,2014-08-01,1,2,1,2,3
COMARAPA,vacunaciones en menores de 1 ano,      bcg,2014-08-01,18,1,18,1,19
COMBAYA,vacunaciones en menores de 1 ano,      bcg,2014-08-01,2,0,2,0,2
CONCEPCION,vacunaciones en menores de 1 ano,      bcg,2014-08-01,29,5,29,5,34
COPACABANA,vacunaciones en menores de 1 ano,      bcg,2014-08-01,6,5,6,5,11
CORIPATA,vacunaciones en menores de 1 ano,      bcg,2014-08-01,24,5,24,5,29
CORO CORO,vacunaciones en menores de 1 ano,      bcg,2014-08-01,3,6,3,6,9
COROICO,vacunaciones en menores de 1 ano,      bcg,2014-08-01,26,3,26,3,29
CORQUE,vacunaciones en menores de 1 ano,      bcg,2014-08-01,3,0,3,0,3
COTAGAITA,vacunaciones en menores de 1 ano,      bcg,2014-08-01,9,19,9,19,28
COTOCA,vacunaciones en menores de 1 ano,      bcg,2014-08-01,112,9,112,9,121
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,      bcg,2014-08-01,33,10,33,10,43
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,      bcg,2014-08-01,1,1,1,1,2
CUEVO,vacunaciones en menores de 1 ano,      bcg,2014-08-01,0,4,0,4,4
CULPINA,vacunaciones en menores de 1 ano,      bcg,2014-08-01,11,6,11,6,17
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,      bcg,2014-08-01,1,6,1,6,7
DESAGUADERO,vacunaciones en menores de 1 ano,      bcg,2014-08-01,8,7,8,7,15
EL ALTO,vacunaciones en menores de 1 ano,      bcg,2014-08-01,1485,209,1485,209,1694
EL CHORO,vacunaciones en menores de 1 ano,      bcg,2014-08-01,2,4,2,4,6
EL PUENTE(STC),vacunaciones en menores de 1 ano,      bcg,2014-08-01,8,2,8,2,10
EL PUENTE(TJA),vacunaciones en menores de 1 ano,      bcg,2014-08-01,10,10,10,10,20
EL TORNO,vacunaciones en menores de 1 ano,      bcg,2014-08-01,95,0,95,0,95
