,group,variable,month,TOTAL 17.3 PENTAVALENTE 2DA. DOSIS CANTIDAD,TOTAL 17.3 PENTAVALENTE 2DA. DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-05-01,13,6,13,6,19
VILLAZON,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-05-01,76,8,76,8,84
VINTO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-05-01,75,1,75,1,76
VITICHI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-05-01,13,3,13,3,16
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-05-01,0,1,0,1,1
WARNES,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-05-01,224,21,224,21,245
YACO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-05-01,6,6,6,6,12
YACUIBA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-05-01,145,30,145,30,175
YAMPARAEZ,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-05-01,5,4,5,4,9
YANACACHI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-05-01,12,1,12,1,13
YAPACANI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-05-01,118,11,118,11,129
YOCALLA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-05-01,13,2,13,2,15
YOTALA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-05-01,6,5,6,5,11
YUNCHARA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-05-01,2,9,2,9,11
ZUDAÑEZ,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-05-01,3,8,3,8,11
ACACIO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,5,4,5,4,9
ACHACACHI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,28,17,28,17,45
ACHOCALLA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,13,11,13,11,24
AIQUILE,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,22,18,22,18,40
ALALAY,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,1,6,1,6,7
ALCALA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,2,0,2,0,2
ALTO BENI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,18,2,18,2,20
ANCORAIMES,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,11,10,11,10,21
ANDAMARCA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,1,0,1,0,1
ANTEQUERA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,4,1,4,1,5
ANZALDO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,4,9,4,9,13
APOLO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,26,8,26,8,34
ARAMPAMPA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,1,4,1,4,5
ARANI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,19,1,19,1,20
ARBIETO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,20,13,20,13,33
ARQUE,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,14,9,14,9,23
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,67,6,67,6,73
ATOCHA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,17,0,17,0,17
AUCAPATA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,5,8,5,8,13
AYATA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,7,9,7,9,16
AYO AYO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,7,1,7,1,8
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,22,20,22,20,42
AZURDUY,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,17,13,17,13,30
BATALLAS,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,17,10,17,10,27
BAURES,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,6,1,6,1,7
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,0,3,0,3,3
BELEN DE URMIRI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,1,1,1,1,2
BELLA FLOR,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,1,3,1,3,4
BERMEJO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,54,28,54,28,82
BETANZOS,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,42,28,42,28,70
BOLIVAR,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,1,8,1,8,9
BOLPEBRA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,1,0,1,0,1
BOYUIBE,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,4,2,4,2,6
BUENA VISTA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,21,3,21,3,24
CABEZAS,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,40,38,40,38,78
CAIROMA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,8,4,8,4,12
"CAIZA ""D""",vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,10,2,10,2,12
CAJUATA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,15,2,15,2,17
CALACOTO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,1,2,1,2,3
CALAMARCA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,5,4,5,4,9
CAMARGO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,17,7,17,7,24
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,5,1,5,1,6
CAMIRI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,64,5,64,5,69
CAPINOTA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,25,1,25,1,26
CAQUIAVIRI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,7,2,7,2,9
CARACOLLO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,29,9,29,9,38
CARANAVI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,69,23,69,23,92
CARAPARI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,19,9,19,9,28
CARIPUYO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,4,6,4,6,10
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,8,3,8,3,11
CATACORA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,5,1,5,1,6
CHACARILLA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,2,0,2,0,2
CHALLAPATA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,40,13,40,13,53
CHAQUI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,8,2,8,2,10
CHARAGUA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,34,12,34,12,46
CHARAÑA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,4,1,4,1,5
CHAYANTA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,4,14,4,14,18
CHIMORE,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,42,12,42,12,54
CHIPAYA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,2,2,2,2,4
CHUA COCANI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,3,0,3,0,3
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,21,3,21,3,24
CHUMA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,5,4,5,4,9
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,9,7,9,7,16
CKOCHAS,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,29,7,29,7,36
CLIZA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,32,9,32,9,41
COBIJA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,119,7,119,7,126
COCAPATA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,13,21,13,21,34
COCHABAMBA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,1265,6,1265,6,1271
COIPASA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,1,0,1,0,1
COLCAPIRHUA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,78,0,78,0,78
"COLCHA ""K""",vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,19,1,19,1,20
COLLANA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,4,1,4,1,5
COLOMI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,29,10,29,10,39
COLPA BELGICA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,9,3,9,3,12
COLQUECHACA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,21,30,21,30,51
COLQUENCHA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,16,0,16,0,16
COLQUIRI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,11,18,11,18,29
COMANCHE,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,3,0,3,0,3
COMARAPA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,21,2,21,2,23
COMBAYA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,3,6,3,6,9
CONCEPCION,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,18,5,18,5,23
COPACABANA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,4,9,4,9,13
CORIPATA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,29,1,29,1,30
CORO CORO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,8,4,8,4,12
COROICO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,17,0,17,0,17
CORQUE,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,4,2,4,2,6
COTAGAITA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,24,16,24,16,40
COTOCA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,131,17,131,17,148
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,46,5,46,5,51
CUEVO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,5,5,5,5,10
CULPINA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,12,7,12,7,19
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,8,2,8,2,10
CURVA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,2,2,2,2,4
DESAGUADERO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,3,2,3,2,5
EL ALTO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,1235,194,1235,194,1429
EL CHORO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,8,9,8,9,17
EL PUENTE(STC),vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,17,4,17,4,21
EL PUENTE(TJA),vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,14,5,14,5,19
EL TORNO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,81,2,81,2,83
EL VILLAR,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,3,0,3,0,3
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,23,15,23,15,38
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,66,12,66,12,78
ESCARA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,2,0,2,0,2
ESCOMA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,4,1,4,1,5
ESMERALDA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,0,1,0,1,1
EUCALIPTUS,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,4,0,4,0,4
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,0,2,0,2,2
EXALTACION,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,3,0,3,0,3
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,21,7,21,7,28
FILADELFIA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,1,8,1,8,9
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,33,5,33,5,38
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,5,9,5,9,14
GUANAY,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,13,2,13,2,15
GUAQUI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,5,5,5,5,10
GUAYARAMERIN,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,90,25,90,25,115
GUTIERREZ,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,16,9,16,9,25
HUACARETA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,8,3,8,3,11
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,1,7,1,7,8
HUANUNI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,31,5,31,5,36
HUARACAJE,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,9,0,9,0,9
HUARINA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,2,1,2,1,3
HUATAJATA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,3,0,3,0,3
HUAYLLAMARCA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,2,1,2,1,3
HUMANATA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,4,1,4,1,5
ICHOCA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,0,4,0,4,4
ICLA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,6,7,6,7,13
INCAHUASI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,13,7,13,7,20
INQUISIVI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,4,15,4,15,19
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,13,7,13,7,20
IXIAMAS,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,20,3,20,3,23
JESUS DE MACHACA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,12,3,12,3,15
LA ASUNTA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,73,20,73,20,93
LA GUARDIA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,161,0,161,0,161
LA PAZ,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,1154,46,1154,46,1200
LAGUNILLAS,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,9,5,9,5,14
LAJA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,28,2,28,2,30
LAS CARRERAS,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,3,1,3,1,4
LICOMA PAMPA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,5,0,5,0,5
LLALLAGUA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,46,52,46,52,98
LLICA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,2,3,2,3,5
LORETO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,1,6,1,6,7
LURIBAY,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,6,4,6,4,10
MACHACAMARCA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,2,1,2,1,3
MACHARETI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,7,4,7,4,11
MAGDALENA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,13,2,13,2,15
MAIRANA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,19,2,19,2,21
MALLA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,2,5,2,5,7
MAPIRI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,25,1,25,1,26
MECAPACA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,10,4,10,4,14
MINEROS,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,32,7,32,7,39
MIZQUE,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,41,13,41,13,54
MOCOMOCO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,7,11,7,11,18
MOJINETE,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,2,0,2,0,2
MOJOCOYA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,8,0,8,0,8
MONTEAGUDO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,31,8,31,8,39
MONTERO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,292,7,292,7,299
MORO MORO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,1,0,1,0,1
MOROCHATA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,5,15,5,15,20
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,2,6,2,6,8
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,1,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,1,2,1,2,3
OCURI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,12,19,12,19,31
OKINAWA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,22,3,22,3,25
OMEREQUE,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,6,5,6,5,11
ORURO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,534,87,534,87,621
PADCAYA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,23,4,23,4,27
PADILLA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,10,3,10,3,13
PAILON,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,35,24,35,24,59
PALCA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,26,7,26,7,33
PALOS BLANCOS,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,42,9,42,9,51
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,4,1,4,1,5
PAMPA GRANDE,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,18,3,18,3,21
PAPEL PAMPA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,4,2,4,2,6
PASORAPA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,1,0,1,0,1
PATACAMAYA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,34,8,34,8,42
PAZÑA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,4,5,4,5,9
PELECHUCO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,11,4,11,4,15
POCOATA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,19,24,19,24,43
POCONA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,20,9,20,9,29
POJO (CBBA),vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,17,5,17,5,22
POOPO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,11,0,11,0,11
PORCO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,10,12,10,12,22
POROMA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,12,15,12,15,27
PORONGO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,12,10,12,10,22
PORTACHUELO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,36,5,36,5,41
PORVENIR,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,5,0,5,0,5
POSTRER VALLE,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,1,0,1,0,1
POTOSI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,392,9,392,9,401
PRESTO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,5,9,5,9,14
PUCARANI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,22,27,22,27,49
PUERTO ACOSTA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,1,17,1,17,18
PUERTO CARABUCO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,8,7,8,7,15
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,5,5,5,5,10
PUERTO PEREZ,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,2,1,2,1,3
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,38,4,38,4,42
PUERTO RICO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,8,2,8,2,10
PUERTO SILES,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,3,1,3,1,4
PUERTO SUAREZ,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,23,0,23,0,23
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,121,9,121,9,130
PUNA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,23,11,23,11,34
PUNATA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,44,1,44,1,45
QUIABAYA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,4,0,4,0,4
QUILLACOLLO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,199,79,199,79,278
QUIME,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,13,5,13,5,18
QUIRUSILLAS,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,1,0,1,0,1
RAVELO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,6,10,6,10,16
REYES,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,20,31,20,31,51
RIBERALTA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,210,22,210,22,232
ROBORE,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,32,4,32,4,36
RURRENABAQUE,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,45,10,45,10,55
SABAYA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,1,0,1,0,1
SACABA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,232,5,232,5,237
SACABAMBA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,4,2,4,2,6
SACACA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,12,22,12,22,34
SAIPINA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,8,1,8,1,9
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,9,2,9,2,11
SAMAIPATA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,12,2,12,2,14
SAN AGUSTIN,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,4,0,4,0,4
SAN ANDRES,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,17,3,17,3,20
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,1,0,1,0,1
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,2,0,2,0,2
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,10,6,10,6,16
SAN BENITO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,21,0,21,0,21
SAN BORJA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,96,45,96,45,141
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,16,2,16,2,18
SAN CARLOS,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,37,0,37,0,37
SAN IGNACIO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,52,4,52,4,56
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,101,13,101,13,114
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,2,2,2,2,4
SAN JAVIER(STC),vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,19,3,19,3,22
SAN JOAQUIN,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,15,4,15,4,19
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,32,16,32,16,48
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,      pentavalente 2da. dosis,2014-06-01,17,0,17,0,17
