,group,variable,month,TOTAL 17.9 ANTIROTAVIRICA 2RA. DOSIS CANTIDAD,TOTAL 17.9 ANTIROTAVIRICA 2RA. DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,14,3,14,3,17
IXIAMAS,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,14,2,14,2,16
JESUS DE MACHACA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,20,4,20,4,24
LA ASUNTA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,71,13,71,13,84
LA GUARDIA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,134,0,134,0,134
LA PAZ,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,1193,13,1193,13,1206
LAGUNILLAS,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,6,5,6,5,11
LAJA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,24,8,24,8,32
LAS CARRERAS,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,4,0,4,0,4
LICOMA PAMPA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,1,0,1,0,1
LLALLAGUA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,46,48,46,48,94
LLICA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,3,2,3,2,5
LORETO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,3,2,3,2,5
LURIBAY,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,10,3,10,3,13
MACHACAMARCA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,4,1,4,1,5
MACHARETI,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,13,4,13,4,17
MAGDALENA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,12,6,12,6,18
MAIRANA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,18,1,18,1,19
MALLA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,1,2,1,2,3
MAPIRI,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,31,1,31,1,32
MECAPACA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,15,12,15,12,27
MINEROS,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,50,8,50,8,58
MIZQUE,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,32,8,32,8,40
MOCOMOCO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,10,7,10,7,17
MOJOCOYA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,7,3,7,3,10
MONTEAGUDO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,41,5,41,5,46
MONTERO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,310,7,310,7,317
MORO MORO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,3,1,3,1,4
MOROCHATA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,4,15,4,15,19
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,2,0,2,0,2
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,2,0,2,0,2
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,2,0,2,0,2
OCURI,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,12,6,12,6,18
OKINAWA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,16,2,16,2,18
OMEREQUE,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,5,7,5,7,12
ORURO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,527,3,527,3,530
PADCAYA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,21,4,21,4,25
PADILLA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,10,3,10,3,13
PAILON,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,10,20,10,20,30
PALCA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,21,3,21,3,24
PALOS BLANCOS,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,47,10,47,10,57
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,5,0,5,0,5
PAMPA GRANDE,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,13,0,13,0,13
PAPEL PAMPA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,8,2,8,2,10
PASORAPA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,2,4,2,4,6
PATACAMAYA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,23,13,23,13,36
PAZÑA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,3,2,3,2,5
PELECHUCO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,5,0,5,0,5
POCOATA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,8,23,8,23,31
POCONA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,7,5,7,5,12
POJO (CBBA),vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,16,4,16,4,20
POOPO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,6,1,6,1,7
PORCO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,15,1,15,1,16
POROMA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,9,15,9,15,24
PORONGO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,11,5,11,5,16
PORTACHUELO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,48,5,48,5,53
PORVENIR,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,7,1,7,1,8
POSTRER VALLE,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,3,1,3,1,4
POTOSI,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,431,5,431,5,436
PRESTO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,7,11,7,11,18
PUCARA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,2,0,2,0,2
PUCARANI,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,23,22,23,22,45
PUERTO ACOSTA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,3,13,3,13,16
PUERTO CARABUCO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,12,6,12,6,18
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,12,5,12,5,17
PUERTO PEREZ,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,4,6,4,6,10
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,39,11,39,11,50
PUERTO RICO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,19,2,19,2,21
PUERTO SILES,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,3,0,3,0,3
PUERTO SUAREZ,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,28,1,28,1,29
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,113,2,113,2,115
PUNA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,21,19,21,19,40
PUNATA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,44,0,44,0,44
QUIABAYA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,4,0,4,0,4
QUILLACOLLO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,187,66,187,66,253
QUIME,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,9,3,9,3,12
QUIRUSILLAS,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,5,0,5,0,5
RAVELO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,24,17,24,17,41
REYES,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,20,2,20,2,22
RIBERALTA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,155,38,155,38,193
ROBORE,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,28,3,28,3,31
RURRENABAQUE,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,30,5,30,5,35
SABAYA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,3,0,3,0,3
SACABA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,247,8,247,8,255
SACABAMBA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,4,0,4,0,4
SACACA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,20,13,20,13,33
SAIPINA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,8,7,8,7,15
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,9,7,9,7,16
SAMAIPATA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,6,1,6,1,7
SAN AGUSTIN,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,4,0,4,0,4
SAN ANDRES,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,22,7,22,7,29
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,4,0,4,0,4
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,7,7,7,7,14
SAN BENITO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,12,1,12,1,13
SAN BORJA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,90,12,90,12,102
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,20,0,20,0,20
SAN CARLOS,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,30,8,30,8,38
SAN IGNACIO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,30,4,30,4,34
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,115,23,115,23,138
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,3,1,3,1,4
SAN JAVIER(STC),vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,25,8,25,8,33
SAN JOAQUIN,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,10,1,10,1,11
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,44,3,44,3,47
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,29,0,29,0,29
SAN JULIAN,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,101,36,101,36,137
SAN LORENZO(PND),vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,4,10,4,10,14
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,33,9,33,9,42
SAN LUCAS,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,33,18,33,18,51
SAN MATIAS,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,39,0,39,0,39
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,13,9,13,9,22
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,9,0,9,0,9
SAN PEDRO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,32,0,32,0,32
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,30,22,30,22,52
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,4,2,4,2,6
SAN PEDRO DE QUEMES,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,0,1,0,1,1
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,4,2,4,2,6
SAN PEDRO(PND),vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,1,1,1,1,2
SAN RAFAEL,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,10,2,10,2,12
SAN RAMON BENI,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,5,7,5,7,12
SAN RAMON SCZ,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,20,0,20,0,20
SANTA ANA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,20,10,20,10,30
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,3085,73,3085,73,3158
SANTA ROSA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,20,3,20,3,23
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,34,1,34,1,35
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,1,1,1,1,2
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,7,5,7,5,12
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,4,2,4,2,6
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,4,1,4,1,5
SANTIVAÑES,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,15,0,15,0,15
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,6,1,6,1,7
SAPAHAQUI,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,6,4,6,4,10
SENA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,8,0,8,0,8
SHINAOTA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,45,10,45,10,55
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,18,8,18,8,26
SICAYA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,4,2,4,2,6
SIPE SIPE,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,66,5,66,5,71
SOPACHUY,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,10,3,10,3,13
SORACACHI,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,12,9,12,9,21
SORATA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,4,32,4,32,36
SUCRE,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,519,14,519,14,533
TACACOMA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,3,2,3,2,5
TACOBAMBA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,4,11,4,11,15
TACOPAYA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,2,7,2,7,9
TAHUA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,1,0,1,0,1
TAPACARI,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,21,11,21,11,32
TARABUCO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,3,11,3,11,14
TARACO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,2,1,2,1,3
TARATA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,25,8,25,8,33
TARIJA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,399,16,399,16,415
TARVITA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,7,10,7,10,17
TEOPONTE,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,12,5,12,5,17
TIAWANACU,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,20,4,20,4,24
TINGUIPAYA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,15,18,15,18,33
TIPUANI,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,29,5,29,5,34
TIQUIPAYA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,102,14,102,14,116
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,15,16,15,16,31
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,2,0,2,0,2
TOCO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,6,0,6,0,6
TOLATA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,6,2,6,2,8
TOLEDO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,5,5,5,5,10
TOMAVE,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,15,7,15,7,22
TOMINA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,9,9,9,9,18
TORO TORO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,6,19,6,19,25
TOTORA(CBBA),vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,21,8,21,8,29
TOTORA(ORR),vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,6,1,6,1,7
TRIGAL,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,1,0,1,0,1
TRINIDAD,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,266,9,266,9,275
TUPIZA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,62,12,62,12,74
TURCO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,4,1,4,1,5
UMALA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,6,7,6,7,13
UNCIA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,31,12,31,12,43
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,19,6,19,6,25
URUBICHA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,13,0,13,0,13
UYUNI,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,57,1,57,1,58
VACAS,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,4,14,4,14,18
VALLEGRANDE,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,22,0,22,0,22
VIACHA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,92,4,92,4,96
VILA VILA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,5,0,5,0,5
VILLA CHARCAS,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,16,9,16,9,25
VILLA MONTES,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,73,17,73,17,90
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,7,1,7,1,8
VILLA RIVERO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,16,3,16,3,19
VILLA SERRANO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,7,8,7,8,15
VILLA TUNARI,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,113,16,113,16,129
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,13,3,13,3,16
VILLAZON,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,63,6,63,6,69
VINTO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,80,0,80,0,80
VITICHI,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,6,3,6,3,9
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,4,1,4,1,5
WARNES,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,201,10,201,10,211
YACO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,4,6,4,6,10
YACUIBA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,174,7,174,7,181
YAMPARAEZ,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,6,3,6,3,9
YANACACHI,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,7,0,7,0,7
YAPACANI,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,109,9,109,9,118
YOCALLA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,9,3,9,3,12
YOTALA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,11,5,11,5,16
YUNCHARA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,6,5,6,5,11
ZUDAÑEZ,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-07-01,5,4,5,4,9
ACACIO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-08-01,6,3,6,3,9
ACHACACHI,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-08-01,50,20,50,20,70
ACHOCALLA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-08-01,12,11,12,11,23
AIQUILE,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-08-01,24,15,24,15,39
ALALAY,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-08-01,1,5,1,5,6
ALCALA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-08-01,4,0,4,0,4
ALTO BENI,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-08-01,8,1,8,1,9
ANCORAIMES,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-08-01,10,6,10,6,16
ANDAMARCA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-08-01,6,1,6,1,7
ANTEQUERA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-08-01,6,1,6,1,7
ANZALDO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-08-01,6,3,6,3,9
APOLO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-08-01,20,7,20,7,27
ARAMPAMPA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-08-01,5,6,5,6,11
ARANI,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-08-01,22,2,22,2,24
ARBIETO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-08-01,20,9,20,9,29
ARQUE,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-08-01,13,9,13,9,22
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-08-01,58,5,58,5,63
ATOCHA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-08-01,16,7,16,7,23
AUCAPATA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-08-01,5,2,5,2,7
AYATA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-08-01,8,9,8,9,17
AYO AYO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-08-01,13,1,13,1,14
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-08-01,20,11,20,11,31
AZURDUY,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-08-01,3,4,3,4,7
BATALLAS,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-08-01,18,6,18,6,24
BAURES,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-08-01,11,1,11,1,12
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-08-01,2,0,2,0,2
BELEN DE URMIRI,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-08-01,1,3,1,3,4
BELLA FLOR,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-08-01,3,2,3,2,5
BERMEJO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-08-01,56,19,56,19,75
BETANZOS,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-08-01,31,14,31,14,45
BOLIVAR,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-08-01,6,5,6,5,11
BOLPEBRA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-08-01,0,1,0,1,1
BOYUIBE,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-08-01,10,1,10,1,11
BUENA VISTA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-08-01,20,4,20,4,24
CABEZAS,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-08-01,33,28,33,28,61
CAIROMA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-08-01,9,10,9,10,19
"CAIZA ""D""",vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-08-01,10,9,10,9,19
CAJUATA,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-08-01,11,3,11,3,14
CALACOTO,vacunaciones en menores de 1 ano,      antirotavirica 2ra. dosis,2014-08-01,2,3,2,3,5
