,group,variable,month,TOTAL 22.3 N° DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,TOTAL 22.3 N° DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,TOTALES
HUACARETA,vih,       n de personas con prueba rapida,2014-05-01,5,16,21
HUACAYA (VILLA DE HUACAYA),vih,       n de personas con prueba rapida,2014-05-01,0,14,14
HUANUNI,vih,       n de personas con prueba rapida,2014-05-01,4,2,6
HUAYLLAMARCA,vih,       n de personas con prueba rapida,2014-05-01,1,0,1
INCAHUASI,vih,       n de personas con prueba rapida,2014-05-01,0,8,8
INGAVI (HUMAITA),vih,       n de personas con prueba rapida,2014-05-01,0,40,40
INQUISIVI,vih,       n de personas con prueba rapida,2014-05-01,1,0,1
IRUPANA (VILLA DE LANZA),vih,       n de personas con prueba rapida,2014-05-01,1,0,1
LA ASUNTA,vih,       n de personas con prueba rapida,2014-05-01,1,2,3
LA GUARDIA,vih,       n de personas con prueba rapida,2014-05-01,9,29,38
LA PAZ,vih,       n de personas con prueba rapida,2014-05-01,773,2765,3538
LAS CARRERAS,vih,       n de personas con prueba rapida,2014-05-01,0,4,4
LLALLAGUA,vih,       n de personas con prueba rapida,2014-05-01,5,6,11
MACHACAMARCA,vih,       n de personas con prueba rapida,2014-05-01,1,1,2
MACHARETI,vih,       n de personas con prueba rapida,2014-05-01,2,26,28
MAIRANA,vih,       n de personas con prueba rapida,2014-05-01,1,1,2
MAPIRI,vih,       n de personas con prueba rapida,2014-05-01,1,0,1
MINEROS,vih,       n de personas con prueba rapida,2014-05-01,2,57,59
MIZQUE,vih,       n de personas con prueba rapida,2014-05-01,3,5,8
MOJOCOYA,vih,       n de personas con prueba rapida,2014-05-01,0,2,2
MONTEAGUDO,vih,       n de personas con prueba rapida,2014-05-01,224,51,275
MONTERO,vih,       n de personas con prueba rapida,2014-05-01,62,114,176
ORURO,vih,       n de personas con prueba rapida,2014-05-01,96,308,404
PADCAYA,vih,       n de personas con prueba rapida,2014-05-01,1,22,23
PADILLA,vih,       n de personas con prueba rapida,2014-05-01,2,4,6
PAILON,vih,       n de personas con prueba rapida,2014-05-01,21,135,156
PALOS BLANCOS,vih,       n de personas con prueba rapida,2014-05-01,6,2,8
PATACAMAYA,vih,       n de personas con prueba rapida,2014-05-01,11,8,19
PAZÑA,vih,       n de personas con prueba rapida,2014-05-01,0,1,1
POCOATA,vih,       n de personas con prueba rapida,2014-05-01,1,0,1
POJO (CBBA),vih,       n de personas con prueba rapida,2014-05-01,1,1,2
POROMA,vih,       n de personas con prueba rapida,2014-05-01,0,40,40
PORONGO,vih,       n de personas con prueba rapida,2014-05-01,5,7,12
PORTACHUELO,vih,       n de personas con prueba rapida,2014-05-01,1,17,18
PORVENIR,vih,       n de personas con prueba rapida,2014-05-01,3,5,8
POTOSI,vih,       n de personas con prueba rapida,2014-05-01,9,42,51
PRESTO,vih,       n de personas con prueba rapida,2014-05-01,0,3,3
PUCARANI,vih,       n de personas con prueba rapida,2014-05-01,0,18,18
PUERTO GONZALO MORENO,vih,       n de personas con prueba rapida,2014-05-01,36,38,74
PUERTO QUIJARRO,vih,       n de personas con prueba rapida,2014-05-01,1,1,2
PUERTO RICO,vih,       n de personas con prueba rapida,2014-05-01,0,14,14
PUERTO VILLARROEL,vih,       n de personas con prueba rapida,2014-05-01,29,138,167
PUNATA,vih,       n de personas con prueba rapida,2014-05-01,7,170,177
QUIRUSILLAS,vih,       n de personas con prueba rapida,2014-05-01,1,1,2
REYES,vih,       n de personas con prueba rapida,2014-05-01,6,17,23
RIBERALTA,vih,       n de personas con prueba rapida,2014-05-01,3,20,23
ROBORE,vih,       n de personas con prueba rapida,2014-05-01,3,1,4
RURRENABAQUE,vih,       n de personas con prueba rapida,2014-05-01,52,35,87
SACABA,vih,       n de personas con prueba rapida,2014-05-01,17,92,109
SALINAS DE GARCI MENDOZA,vih,       n de personas con prueba rapida,2014-05-01,1,6,7
SAN BENITO,vih,       n de personas con prueba rapida,2014-05-01,0,6,6
SAN BORJA,vih,       n de personas con prueba rapida,2014-05-01,7,2,9
SAN BUENA VENTURA,vih,       n de personas con prueba rapida,2014-05-01,0,5,5
SAN CARLOS,vih,       n de personas con prueba rapida,2014-05-01,6,17,23
SAN IGNACIO,vih,       n de personas con prueba rapida,2014-05-01,1,29,30
SAN IGNACIO DE VELASCO,vih,       n de personas con prueba rapida,2014-05-01,32,12,44
SAN JAVIER(STC),vih,       n de personas con prueba rapida,2014-05-01,0,29,29
SAN JOSE DE CHIQUITOS,vih,       n de personas con prueba rapida,2014-05-01,9,17,26
SAN JUAN DE YAPACANI,vih,       n de personas con prueba rapida,2014-05-01,2,0,2
SAN JULIAN,vih,       n de personas con prueba rapida,2014-05-01,1,24,25
SAN LORENZO(PND),vih,       n de personas con prueba rapida,2014-05-01,4,14,18
SAN LORENZO(TJA),vih,       n de personas con prueba rapida,2014-05-01,1,0,1
SAN LUCAS,vih,       n de personas con prueba rapida,2014-05-01,11,0,11
SAN MATIAS,vih,       n de personas con prueba rapida,2014-05-01,0,37,37
SAN PEDRO,vih,       n de personas con prueba rapida,2014-05-01,5,8,13
SAN RAMON BENI,vih,       n de personas con prueba rapida,2014-05-01,2,0,2
SANTA ANA,vih,       n de personas con prueba rapida,2014-05-01,1,0,1
SANTA CRUZ DE LA SIERRA,vih,       n de personas con prueba rapida,2014-05-01,791,785,1576
SANTA ROSA DEL SARA,vih,       n de personas con prueba rapida,2014-05-01,5,0,5
SANTIVAÑES,vih,       n de personas con prueba rapida,2014-05-01,0,6,6
SENA,vih,       n de personas con prueba rapida,2014-05-01,3,39,42
SHINAOTA,vih,       n de personas con prueba rapida,2014-05-01,11,9,20
SICAYA,vih,       n de personas con prueba rapida,2014-05-01,1,3,4
SIPE SIPE,vih,       n de personas con prueba rapida,2014-05-01,1,19,20
SOPACHUY,vih,       n de personas con prueba rapida,2014-05-01,8,26,34
SUCRE,vih,       n de personas con prueba rapida,2014-05-01,23,101,124
TACOBAMBA,vih,       n de personas con prueba rapida,2014-05-01,0,3,3
TAPACARI,vih,       n de personas con prueba rapida,2014-05-01,1,32,33
TARABUCO,vih,       n de personas con prueba rapida,2014-05-01,0,23,23
TARATA,vih,       n de personas con prueba rapida,2014-05-01,0,18,18
TARIJA,vih,       n de personas con prueba rapida,2014-05-01,53,130,183
TARVITA,vih,       n de personas con prueba rapida,2014-05-01,36,36,72
TEOPONTE,vih,       n de personas con prueba rapida,2014-05-01,0,4,4
TIAWANACU,vih,       n de personas con prueba rapida,2014-05-01,1,18,19
TIPUANI,vih,       n de personas con prueba rapida,2014-05-01,1,0,1
TIQUIPAYA,vih,       n de personas con prueba rapida,2014-05-01,24,194,218
TOCO,vih,       n de personas con prueba rapida,2014-05-01,1,0,1
TOLATA,vih,       n de personas con prueba rapida,2014-05-01,2,0,2
TOMINA,vih,       n de personas con prueba rapida,2014-05-01,0,3,3
TOTORA(CBBA),vih,       n de personas con prueba rapida,2014-05-01,2,50,52
TRINIDAD,vih,       n de personas con prueba rapida,2014-05-01,154,266,420
TUPIZA,vih,       n de personas con prueba rapida,2014-05-01,0,1,1
TURCO,vih,       n de personas con prueba rapida,2014-05-01,9,3,12
UNCIA,vih,       n de personas con prueba rapida,2014-05-01,0,22,22
URIONDO (A. CONCEPCION),vih,       n de personas con prueba rapida,2014-05-01,1,0,1
URUBICHA,vih,       n de personas con prueba rapida,2014-05-01,2,0,2
UYUNI,vih,       n de personas con prueba rapida,2014-05-01,0,30,30
VACAS,vih,       n de personas con prueba rapida,2014-05-01,0,17,17
VALLEGRANDE,vih,       n de personas con prueba rapida,2014-05-01,1,42,43
VIACHA,vih,       n de personas con prueba rapida,2014-05-01,9,9,18
VILLA CHARCAS,vih,       n de personas con prueba rapida,2014-05-01,4,61,65
VILLA MONTES,vih,       n de personas con prueba rapida,2014-05-01,26,35,61
VILLA RIVERO,vih,       n de personas con prueba rapida,2014-05-01,3,3,6
VILLA SERRANO,vih,       n de personas con prueba rapida,2014-05-01,5,14,19
VILLA TUNARI,vih,       n de personas con prueba rapida,2014-05-01,15,40,55
VILLA VACA GUZMAN (MUYUPAMPA),vih,       n de personas con prueba rapida,2014-05-01,0,4,4
VILLAZON,vih,       n de personas con prueba rapida,2014-05-01,10,43,53
VINTO,vih,       n de personas con prueba rapida,2014-05-01,0,7,7
VITICHI,vih,       n de personas con prueba rapida,2014-05-01,2,11,13
WARNES,vih,       n de personas con prueba rapida,2014-05-01,18,17,35
YACUIBA,vih,       n de personas con prueba rapida,2014-05-01,29,100,129
YANACACHI,vih,       n de personas con prueba rapida,2014-05-01,10,40,50
YAPACANI,vih,       n de personas con prueba rapida,2014-05-01,10,44,54
YUNCHARA,vih,       n de personas con prueba rapida,2014-05-01,4,2,6
ZUDAÑEZ,vih,       n de personas con prueba rapida,2014-05-01,2,1,3
ACHACACHI,vih,       n de personas con prueba rapida,2014-06-01,3,4,7
AIQUILE,vih,       n de personas con prueba rapida,2014-06-01,3,3,6
ALCALA,vih,       n de personas con prueba rapida,2014-06-01,0,6,6
ANTEQUERA,vih,       n de personas con prueba rapida,2014-06-01,0,3,3
APOLO,vih,       n de personas con prueba rapida,2014-06-01,0,17,17
ARANI,vih,       n de personas con prueba rapida,2014-06-01,0,13,13
ARBIETO,vih,       n de personas con prueba rapida,2014-06-01,1,0,1
ARQUE,vih,       n de personas con prueba rapida,2014-06-01,0,2,2
ASCENCION DE GUARAYOS,vih,       n de personas con prueba rapida,2014-06-01,76,105,181
AYOPAYA (V. DE INDEPENDENCIA),vih,       n de personas con prueba rapida,2014-06-01,0,1,1
AZURDUY,vih,       n de personas con prueba rapida,2014-06-01,0,22,22
BELEN DE ANDAMARCA,vih,       n de personas con prueba rapida,2014-06-01,0,2,2
BELLA FLOR,vih,       n de personas con prueba rapida,2014-06-01,0,5,5
BERMEJO,vih,       n de personas con prueba rapida,2014-06-01,6,39,45
BETANZOS,vih,       n de personas con prueba rapida,2014-06-01,0,40,40
BOLPEBRA,vih,       n de personas con prueba rapida,2014-06-01,2,3,5
BUENA VISTA,vih,       n de personas con prueba rapida,2014-06-01,1,0,1
CABEZAS,vih,       n de personas con prueba rapida,2014-06-01,2,11,13
CAMARGO,vih,       n de personas con prueba rapida,2014-06-01,19,113,132
CAMATAQUI (C. VILLA ABECIA),vih,       n de personas con prueba rapida,2014-06-01,7,11,18
CAMIRI,vih,       n de personas con prueba rapida,2014-06-01,6,13,19
CAPINOTA,vih,       n de personas con prueba rapida,2014-06-01,4,37,41
CARACOLLO,vih,       n de personas con prueba rapida,2014-06-01,4,40,44
CARANAVI,vih,       n de personas con prueba rapida,2014-06-01,2,1,3
CHALLAPATA,vih,       n de personas con prueba rapida,2014-06-01,2,119,121
CHIMORE,vih,       n de personas con prueba rapida,2014-06-01,5,5,10
CHULUMANI (V. DE LA LIBERTAD),vih,       n de personas con prueba rapida,2014-06-01,12,12,24
CHUMA,vih,       n de personas con prueba rapida,2014-06-01,7,5,12
CHUQUIHUTA AYLLU JUCUMANI,vih,       n de personas con prueba rapida,2014-06-01,10,8,18
CKOCHAS,vih,       n de personas con prueba rapida,2014-06-01,30,57,87
CLIZA,vih,       n de personas con prueba rapida,2014-06-01,8,4,12
COBIJA,vih,       n de personas con prueba rapida,2014-06-01,10,47,57
COCHABAMBA,vih,       n de personas con prueba rapida,2014-06-01,50,634,684
COIPASA,vih,       n de personas con prueba rapida,2014-06-01,0,1,1
COLPA BELGICA,vih,       n de personas con prueba rapida,2014-06-01,5,0,5
COMARAPA,vih,       n de personas con prueba rapida,2014-06-01,6,47,53
CONCEPCION,vih,       n de personas con prueba rapida,2014-06-01,0,7,7
COPACABANA,vih,       n de personas con prueba rapida,2014-06-01,1,15,16
CORO CORO,vih,       n de personas con prueba rapida,2014-06-01,3,2,5
COTOCA,vih,       n de personas con prueba rapida,2014-06-01,3,3,6
CUEVO,vih,       n de personas con prueba rapida,2014-06-01,1,0,1
CULPINA,vih,       n de personas con prueba rapida,2014-06-01,3,2,5
DESAGUADERO,vih,       n de personas con prueba rapida,2014-06-01,4,1,5
EL ALTO,vih,       n de personas con prueba rapida,2014-06-01,255,1035,1290
EL PUENTE(STC),vih,       n de personas con prueba rapida,2014-06-01,41,76,117
EL TORNO,vih,       n de personas con prueba rapida,2014-06-01,76,21,97
EL VILLAR,vih,       n de personas con prueba rapida,2014-06-01,1,4,5
ENTRE RIOS TRJ,vih,       n de personas con prueba rapida,2014-06-01,1,0,1
ENTRE RIOS CBBA,vih,       n de personas con prueba rapida,2014-06-01,5,20,25
EUREKA (SANTOS MERCADO),vih,       n de personas con prueba rapida,2014-06-01,0,6,6
FERNANDEZ ALONSO,vih,       n de personas con prueba rapida,2014-06-01,71,22,93
FILADELFIA,vih,       n de personas con prueba rapida,2014-06-01,0,8,8
GENERAL SAAVEDRA,vih,       n de personas con prueba rapida,2014-06-01,2,23,25
GUAYARAMERIN,vih,       n de personas con prueba rapida,2014-06-01,121,357,478
GUTIERREZ,vih,       n de personas con prueba rapida,2014-06-01,0,11,11
HUACARETA,vih,       n de personas con prueba rapida,2014-06-01,2,4,6
HUACAYA (VILLA DE HUACAYA),vih,       n de personas con prueba rapida,2014-06-01,0,5,5
HUACHACALLA,vih,       n de personas con prueba rapida,2014-06-01,0,1,1
HUANUNI,vih,       n de personas con prueba rapida,2014-06-01,21,1,22
HUATAJATA,vih,       n de personas con prueba rapida,2014-06-01,0,1,1
HUAYLLAMARCA,vih,       n de personas con prueba rapida,2014-06-01,1,0,1
INCAHUASI,vih,       n de personas con prueba rapida,2014-06-01,0,2,2
IRUPANA (VILLA DE LANZA),vih,       n de personas con prueba rapida,2014-06-01,5,1,6
LA ASUNTA,vih,       n de personas con prueba rapida,2014-06-01,3,3,6
LA GUARDIA,vih,       n de personas con prueba rapida,2014-06-01,6,8,14
LA PAZ,vih,       n de personas con prueba rapida,2014-06-01,1128,2136,3264
LAGUNILLAS,vih,       n de personas con prueba rapida,2014-06-01,1,0,1
LAS CARRERAS,vih,       n de personas con prueba rapida,2014-06-01,0,12,12
LLALLAGUA,vih,       n de personas con prueba rapida,2014-06-01,16,198,214
MACHACAMARCA,vih,       n de personas con prueba rapida,2014-06-01,1,0,1
MACHARETI,vih,       n de personas con prueba rapida,2014-06-01,7,20,27
MAIRANA,vih,       n de personas con prueba rapida,2014-06-01,0,1,1
MINEROS,vih,       n de personas con prueba rapida,2014-06-01,0,77,77
MIZQUE,vih,       n de personas con prueba rapida,2014-06-01,3,43,46
MOJOCOYA,vih,       n de personas con prueba rapida,2014-06-01,0,4,4
MONTEAGUDO,vih,       n de personas con prueba rapida,2014-06-01,9,25,34
MONTERO,vih,       n de personas con prueba rapida,2014-06-01,46,71,117
NACEBE (SANTA ROSA DEL ABUNA),vih,       n de personas con prueba rapida,2014-06-01,0,14,14
NUEVO MANOA (NUEVA ESPERANZA),vih,       n de personas con prueba rapida,2014-06-01,0,3,3
OMEREQUE,vih,       n de personas con prueba rapida,2014-06-01,1,1,2
ORURO,vih,       n de personas con prueba rapida,2014-06-01,96,485,581
PADCAYA,vih,       n de personas con prueba rapida,2014-06-01,1,27,28
PADILLA,vih,       n de personas con prueba rapida,2014-06-01,1,2,3
PAILON,vih,       n de personas con prueba rapida,2014-06-01,25,118,143
PALOS BLANCOS,vih,       n de personas con prueba rapida,2014-06-01,7,52,59
PATACAMAYA,vih,       n de personas con prueba rapida,2014-06-01,0,20,20
PAZÑA,vih,       n de personas con prueba rapida,2014-06-01,9,13,22
POCONA,vih,       n de personas con prueba rapida,2014-06-01,1,2,3
POROMA,vih,       n de personas con prueba rapida,2014-06-01,0,10,10
PORTACHUELO,vih,       n de personas con prueba rapida,2014-06-01,1,3,4
PORVENIR,vih,       n de personas con prueba rapida,2014-06-01,1,4,5
POTOSI,vih,       n de personas con prueba rapida,2014-06-01,201,135,336
PUCARANI,vih,       n de personas con prueba rapida,2014-06-01,0,21,21
PUERTO GONZALO MORENO,vih,       n de personas con prueba rapida,2014-06-01,11,32,43
PUERTO QUIJARRO,vih,       n de personas con prueba rapida,2014-06-01,2,0,2
PUERTO RICO,vih,       n de personas con prueba rapida,2014-06-01,0,20,20
PUERTO SUAREZ,vih,       n de personas con prueba rapida,2014-06-01,3,1,4
PUERTO VILLARROEL,vih,       n de personas con prueba rapida,2014-06-01,67,56,123
PUNATA,vih,       n de personas con prueba rapida,2014-06-01,17,202,219
RAVELO,vih,       n de personas con prueba rapida,2014-06-01,0,21,21
REYES,vih,       n de personas con prueba rapida,2014-06-01,1,18,19
RIBERALTA,vih,       n de personas con prueba rapida,2014-06-01,0,1,1
RURRENABAQUE,vih,       n de personas con prueba rapida,2014-06-01,38,68,106
SABAYA,vih,       n de personas con prueba rapida,2014-06-01,0,23,23
SACABA,vih,       n de personas con prueba rapida,2014-06-01,23,143,166
SAIPINA,vih,       n de personas con prueba rapida,2014-06-01,0,1,1
SALINAS DE GARCI MENDOZA,vih,       n de personas con prueba rapida,2014-06-01,11,12,23
SAMAIPATA,vih,       n de personas con prueba rapida,2014-06-01,1,3,4
SAN ANTONIO DE LOMERIO,vih,       n de personas con prueba rapida,2014-06-01,1,0,1
SAN BUENA VENTURA,vih,       n de personas con prueba rapida,2014-06-01,0,12,12
SAN CARLOS,vih,       n de personas con prueba rapida,2014-06-01,8,9,17
SAN IGNACIO,vih,       n de personas con prueba rapida,2014-06-01,7,20,27
SAN IGNACIO DE VELASCO,vih,       n de personas con prueba rapida,2014-06-01,25,17,42
SAN JAVIER(STC),vih,       n de personas con prueba rapida,2014-06-01,3,16,19
SAN JOSE DE CHIQUITOS,vih,       n de personas con prueba rapida,2014-06-01,52,40,92
SAN JUAN DE YAPACANI,vih,       n de personas con prueba rapida,2014-06-01,0,2,2
SAN JULIAN,vih,       n de personas con prueba rapida,2014-06-01,5,11,16
SAN LORENZO(PND),vih,       n de personas con prueba rapida,2014-06-01,41,119,160
SAN LORENZO(TJA),vih,       n de personas con prueba rapida,2014-06-01,0,8,8
SAN LUCAS,vih,       n de personas con prueba rapida,2014-06-01,1,14,15
SAN MATIAS,vih,       n de personas con prueba rapida,2014-06-01,1,18,19
SAN MIGUEL DE VELASCO,vih,       n de personas con prueba rapida,2014-06-01,1,0,1
SAN PEDRO,vih,       n de personas con prueba rapida,2014-06-01,27,42,69
SAN RAFAEL,vih,       n de personas con prueba rapida,2014-06-01,0,1,1
SANTA ANA,vih,       n de personas con prueba rapida,2014-06-01,8,3,11
SANTA CRUZ DE LA SIERRA,vih,       n de personas con prueba rapida,2014-06-01,469,895,1364
SANTA ROSA DEL SARA,vih,       n de personas con prueba rapida,2014-06-01,2,2,4
SANTIVAÑES,vih,       n de personas con prueba rapida,2014-06-01,1,11,12
SENA,vih,       n de personas con prueba rapida,2014-06-01,1,17,18
SHINAOTA,vih,       n de personas con prueba rapida,2014-06-01,11,16,27
SICAYA,vih,       n de personas con prueba rapida,2014-06-01,2,1,3
SIPE SIPE,vih,       n de personas con prueba rapida,2014-06-01,0,3,3
SOPACHUY,vih,       n de personas con prueba rapida,2014-06-01,3,8,11
SUCRE,vih,       n de personas con prueba rapida,2014-06-01,62,137,199
TACOBAMBA,vih,       n de personas con prueba rapida,2014-06-01,0,1,1
TAPACARI,vih,       n de personas con prueba rapida,2014-06-01,0,23,23
TARABUCO,vih,       n de personas con prueba rapida,2014-06-01,2,19,21
TARIJA,vih,       n de personas con prueba rapida,2014-06-01,87,228,315
TARVITA,vih,       n de personas con prueba rapida,2014-06-01,4,29,33
TIAWANACU,vih,       n de personas con prueba rapida,2014-06-01,5,3,8
TIPUANI,vih,       n de personas con prueba rapida,2014-06-01,5,0,5
TIQUIPAYA,vih,       n de personas con prueba rapida,2014-06-01,9,54,63
TOCO,vih,       n de personas con prueba rapida,2014-06-01,0,1,1
TOLATA,vih,       n de personas con prueba rapida,2014-06-01,0,1,1
TOMINA,vih,       n de personas con prueba rapida,2014-06-01,2,0,2
TOTORA(CBBA),vih,       n de personas con prueba rapida,2014-06-01,0,71,71
TOTORA(ORR),vih,       n de personas con prueba rapida,2014-06-01,0,4,4
TRINIDAD,vih,       n de personas con prueba rapida,2014-06-01,33,56,89
UNCIA,vih,       n de personas con prueba rapida,2014-06-01,0,8,8
URUBICHA,vih,       n de personas con prueba rapida,2014-06-01,16,11,27
UYUNI,vih,       n de personas con prueba rapida,2014-06-01,2,14,16
VACAS,vih,       n de personas con prueba rapida,2014-06-01,0,9,9
VALLEGRANDE,vih,       n de personas con prueba rapida,2014-06-01,1,60,61
VIACHA,vih,       n de personas con prueba rapida,2014-06-01,7,118,125
VILLA CHARCAS,vih,       n de personas con prueba rapida,2014-06-01,2,56,58
VILLA MONTES,vih,       n de personas con prueba rapida,2014-06-01,20,27,47
VILLA RIVERO,vih,       n de personas con prueba rapida,2014-06-01,0,2,2
VILLA SERRANO,vih,       n de personas con prueba rapida,2014-06-01,1,9,10
VILLA TUNARI,vih,       n de personas con prueba rapida,2014-06-01,26,317,343
VILLA VACA GUZMAN (MUYUPAMPA),vih,       n de personas con prueba rapida,2014-06-01,6,7,13
VILLAZON,vih,       n de personas con prueba rapida,2014-06-01,18,26,44
VINTO,vih,       n de personas con prueba rapida,2014-06-01,0,4,4
VITICHI,vih,       n de personas con prueba rapida,2014-06-01,0,7,7
WARNES,vih,       n de personas con prueba rapida,2014-06-01,18,12,30
YACUIBA,vih,       n de personas con prueba rapida,2014-06-01,56,83,139
YAMPARAEZ,vih,       n de personas con prueba rapida,2014-06-01,0,6,6
YAPACANI,vih,       n de personas con prueba rapida,2014-06-01,10,27,37
YOTALA,vih,       n de personas con prueba rapida,2014-06-01,0,1,1
YUNCHARA,vih,       n de personas con prueba rapida,2014-06-01,4,8,12
ZUDAÑEZ,vih,       n de personas con prueba rapida,2014-06-01,4,4,8
ACACIO,vih,       n de personas con prueba rapida,2014-07-01,1,4,5
ACHACACHI,vih,       n de personas con prueba rapida,2014-07-01,9,4,13
AIQUILE,vih,       n de personas con prueba rapida,2014-07-01,7,7,14
ALCALA,vih,       n de personas con prueba rapida,2014-07-01,12,15,27
ANTEQUERA,vih,       n de personas con prueba rapida,2014-07-01,0,2,2
APOLO,vih,       n de personas con prueba rapida,2014-07-01,1,22,23
ARANI,vih,       n de personas con prueba rapida,2014-07-01,1,0,1
ARBIETO,vih,       n de personas con prueba rapida,2014-07-01,10,18,28
ARQUE,vih,       n de personas con prueba rapida,2014-07-01,0,2,2
ASCENCION DE GUARAYOS,vih,       n de personas con prueba rapida,2014-07-01,64,88,152
AYOPAYA (V. DE INDEPENDENCIA),vih,       n de personas con prueba rapida,2014-07-01,1,19,20
AZURDUY,vih,       n de personas con prueba rapida,2014-07-01,3,20,23
BELLA FLOR,vih,       n de personas con prueba rapida,2014-07-01,20,41,61
BERMEJO,vih,       n de personas con prueba rapida,2014-07-01,1,6,7
BETANZOS,vih,       n de personas con prueba rapida,2014-07-01,0,1,1
BUENA VISTA,vih,       n de personas con prueba rapida,2014-07-01,0,1,1
CABEZAS,vih,       n de personas con prueba rapida,2014-07-01,2,19,21
CAMARGO,vih,       n de personas con prueba rapida,2014-07-01,2,27,29
CAMATAQUI (C. VILLA ABECIA),vih,       n de personas con prueba rapida,2014-07-01,0,5,5
CAMIRI,vih,       n de personas con prueba rapida,2014-07-01,47,71,118
CAPINOTA,vih,       n de personas con prueba rapida,2014-07-01,2,41,43
CARACOLLO,vih,       n de personas con prueba rapida,2014-07-01,4,39,43
CARANAVI,vih,       n de personas con prueba rapida,2014-07-01,20,7,27
CARAPARI,vih,       n de personas con prueba rapida,2014-07-01,1,18,19
CARMEN RIVERO TORREZ,vih,       n de personas con prueba rapida,2014-07-01,0,1,1
CHALLAPATA,vih,       n de personas con prueba rapida,2014-07-01,2,133,135
CHIMORE,vih,       n de personas con prueba rapida,2014-07-01,12,11,23
CHULUMANI (V. DE LA LIBERTAD),vih,       n de personas con prueba rapida,2014-07-01,10,5,15
CHUMA,vih,       n de personas con prueba rapida,2014-07-01,4,2,6
CKOCHAS,vih,       n de personas con prueba rapida,2014-07-01,6,34,40
CLIZA,vih,       n de personas con prueba rapida,2014-07-01,2,4,6
COBIJA,vih,       n de personas con prueba rapida,2014-07-01,18,56,74
COCHABAMBA,vih,       n de personas con prueba rapida,2014-07-01,79,736,815
COLCAPIRHUA,vih,       n de personas con prueba rapida,2014-07-01,1,3,4
COLPA BELGICA,vih,       n de personas con prueba rapida,2014-07-01,2,0,2
COMARAPA,vih,       n de personas con prueba rapida,2014-07-01,8,57,65
CONCEPCION,vih,       n de personas con prueba rapida,2014-07-01,0,2,2
CORO CORO,vih,       n de personas con prueba rapida,2014-07-01,1,1,2
COROICO,vih,       n de personas con prueba rapida,2014-07-01,2,1,3
CUEVO,vih,       n de personas con prueba rapida,2014-07-01,6,6,12
CULPINA,vih,       n de personas con prueba rapida,2014-07-01,1,24,25
DESAGUADERO,vih,       n de personas con prueba rapida,2014-07-01,1,3,4
EL ALTO,vih,       n de personas con prueba rapida,2014-07-01,236,905,1141
EL PUENTE(STC),vih,       n de personas con prueba rapida,2014-07-01,40,62,102
EL PUENTE(TJA),vih,       n de personas con prueba rapida,2014-07-01,1,0,1
EL TORNO,vih,       n de personas con prueba rapida,2014-07-01,41,164,205
EL VILLAR,vih,       n de personas con prueba rapida,2014-07-01,2,4,6
ENTRE RIOS TRJ,vih,       n de personas con prueba rapida,2014-07-01,2,3,5
ENTRE RIOS CBBA,vih,       n de personas con prueba rapida,2014-07-01,5,81,86
FERNANDEZ ALONSO,vih,       n de personas con prueba rapida,2014-07-01,11,67,78
FILADELFIA,vih,       n de personas con prueba rapida,2014-07-01,15,12,27
GENERAL SAAVEDRA,vih,       n de personas con prueba rapida,2014-07-01,0,48,48
GUANAY,vih,       n de personas con prueba rapida,2014-07-01,2,0,2
GUAQUI,vih,       n de personas con prueba rapida,2014-07-01,8,2,10
GUAYARAMERIN,vih,       n de personas con prueba rapida,2014-07-01,161,223,384
GUTIERREZ,vih,       n de personas con prueba rapida,2014-07-01,0,8,8
HUACAYA (VILLA DE HUACAYA),vih,       n de personas con prueba rapida,2014-07-01,0,6,6
HUACHACALLA,vih,       n de personas con prueba rapida,2014-07-01,2,2,4
HUANUNI,vih,       n de personas con prueba rapida,2014-07-01,36,2,38
HUAYLLAMARCA,vih,       n de personas con prueba rapida,2014-07-01,1,3,4
INCAHUASI,vih,       n de personas con prueba rapida,2014-07-01,0,7,7
LA ASUNTA,vih,       n de personas con prueba rapida,2014-07-01,6,6,12
LA GUARDIA,vih,       n de personas con prueba rapida,2014-07-01,6,11,17
LA PAZ,vih,       n de personas con prueba rapida,2014-07-01,719,2244,2963
LAS CARRERAS,vih,       n de personas con prueba rapida,2014-07-01,1,0,1
LLALLAGUA,vih,       n de personas con prueba rapida,2014-07-01,5,184,189
MACHACAMARCA,vih,       n de personas con prueba rapida,2014-07-01,0,1,1
MACHARETI,vih,       n de personas con prueba rapida,2014-07-01,5,28,33
MAIRANA,vih,       n de personas con prueba rapida,2014-07-01,1,1,2
MINEROS,vih,       n de personas con prueba rapida,2014-07-01,1,0,1
MIZQUE,vih,       n de personas con prueba rapida,2014-07-01,7,54,61
MONTEAGUDO,vih,       n de personas con prueba rapida,2014-07-01,35,43,78
MONTERO,vih,       n de personas con prueba rapida,2014-07-01,32,190,222
NACEBE (SANTA ROSA DEL ABUNA),vih,       n de personas con prueba rapida,2014-07-01,0,7,7
OMEREQUE,vih,       n de personas con prueba rapida,2014-07-01,19,15,34
ORURO,vih,       n de personas con prueba rapida,2014-07-01,44,658,702
PADCAYA,vih,       n de personas con prueba rapida,2014-07-01,0,37,37
PADILLA,vih,       n de personas con prueba rapida,2014-07-01,2,12,14
