,group,variable,month,TOTAL 22.1 PERSONAS CON PRE-CONSEJERIA REALIZADAS PARA ACCESO A LA PRUEBA RÁPIDA CANTIDAD,TOTAL 22.1 PERSONAS CON PRE-CONSEJERIA REALIZADAS PARA ACCESO A LA PRUEBA RÁPIDA CANTIDAD,TOTALES
RIBERALTA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-05-01,2.0,166.0,168.0
ROBORE,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-05-01,3.0,49.0,52.0
RURRENABAQUE,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-05-01,52.0,35.0,87.0
SACABA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-05-01,17.0,514.0,531.0
SACACA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-05-01,1.0,9.0,10.0
SALINAS DE GARCI MENDOZA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-05-01,1.0,11.0,12.0
SAMAIPATA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-05-01,0.0,9.0,9.0
SAN BENITO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-05-01,0.0,6.0,6.0
SAN BORJA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-05-01,4.0,0.0,4.0
SAN CARLOS,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-05-01,6.0,15.0,21.0
SAN IGNACIO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-05-01,1.0,29.0,30.0
SAN IGNACIO DE VELASCO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-05-01,32.0,131.0,163.0
SAN JAVIER(STC),vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-05-01,0.0,29.0,29.0
SAN JOSE DE CHIQUITOS,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-05-01,84.0,196.0,280.0
SAN JUAN DE YAPACANI,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-05-01,2.0,14.0,16.0
SAN JULIAN,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-05-01,1.0,108.0,109.0
SAN LORENZO(PND),vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-05-01,4.0,22.0,26.0
SAN LORENZO(TJA),vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-05-01,1.0,35.0,36.0
SAN LUCAS,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-05-01,11.0,68.0,79.0
SAN MATIAS,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-05-01,0.0,37.0,37.0
SAN MIGUEL DE VELASCO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-05-01,0.0,27.0,27.0
SAN PEDRO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-05-01,5.0,28.0,33.0
SAN PEDRO DE BUENA VISTA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-05-01,0.0,26.0,26.0
SAN RAFAEL,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-05-01,0.0,26.0,26.0
SANTA ANA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-05-01,2.0,38.0,40.0
SANTA CRUZ DE LA SIERRA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-05-01,180.0,1431.0,1611.0
SANTA ROSA DEL SARA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-05-01,5.0,35.0,40.0
SANTIVAÑES,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-05-01,0.0,3.0,3.0
SENA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-05-01,3.0,39.0,42.0
SHINAOTA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-05-01,11.0,90.0,101.0
SICAYA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-05-01,1.0,2.0,3.0
SIPE SIPE,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-05-01,1.0,46.0,47.0
SOPACHUY,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-05-01,8.0,43.0,51.0
SORACACHI,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-05-01,0.0,4.0,4.0
SUCRE,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-05-01,47.0,1258.0,1305.0
TACOBAMBA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-05-01,0.0,13.0,13.0
TAPACARI,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-05-01,1.0,18.0,19.0
TARABUCO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-05-01,0.0,59.0,59.0
TARATA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-05-01,0.0,3.0,3.0
TARIJA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-05-01,35.0,269.0,304.0
TARVITA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-05-01,36.0,56.0,92.0
TEOPONTE,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-05-01,1.0,3.0,4.0
TIAWANACU,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-05-01,1.0,2.0,3.0
TIQUIPAYA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-05-01,24.0,391.0,415.0
TOCO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-05-01,1.0,14.0,15.0
TOLATA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-05-01,2.0,12.0,14.0
TOMINA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-05-01,0.0,11.0,11.0
TOTORA(CBBA),vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-05-01,2.0,50.0,52.0
TOTORA(ORR),vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-05-01,0.0,6.0,6.0
TRINIDAD,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-05-01,161.0,287.0,448.0
TURCO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-05-01,9.0,4.0,13.0
UNCIA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-05-01,0.0,1.0,1.0
URIONDO (A. CONCEPCION),vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-05-01,2.0,7.0,9.0
URUBICHA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-05-01,2.0,14.0,16.0
VACAS,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-05-01,0.0,17.0,17.0
VALLEGRANDE,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-05-01,1.0,44.0,45.0
VIACHA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-05-01,9.0,29.0,38.0
VILLA CHARCAS,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-05-01,4.0,79.0,83.0
VILLA MONTES,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-05-01,5.0,62.0,67.0
VILLA RIVERO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-05-01,3.0,3.0,6.0
VILLA SERRANO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-05-01,5.0,15.0,20.0
VILLA TUNARI,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-05-01,15.0,328.0,343.0
VILLA VACA GUZMAN (MUYUPAMPA),vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-05-01,0.0,21.0,21.0
VILLAZON,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-05-01,10.0,168.0,178.0
VINTO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-05-01,3.0,1.0,4.0
VITICHI,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-05-01,3.0,20.0,23.0
WARNES,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-05-01,16.0,215.0,231.0
YACUIBA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-05-01,28.0,263.0,291.0
YAMPARAEZ,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-05-01,0.0,10.0,10.0
YAPACANI,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-05-01,10.0,44.0,54.0
YOTALA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-05-01,0.0,14.0,14.0
YUNCHARA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-05-01,4.0,5.0,9.0
ZUDAÑEZ,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-05-01,2.0,17.0,19.0
ACHACACHI,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,3.0,71.0,74.0
AIQUILE,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,3.0,3.0,6.0
ALCALA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,0.0,10.0,10.0
ANTEQUERA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,1.0,3.0,4.0
APOLO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,0.0,17.0,17.0
ARANI,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,0.0,17.0,17.0
ARBIETO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,1.0,23.0,24.0
ASCENCION DE GUARAYOS,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,76.0,181.0,257.0
AYOPAYA (V. DE INDEPENDENCIA),vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,0.0,12.0,12.0
AZURDUY,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,0.0,22.0,22.0
BELEN DE ANDAMARCA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,0.0,4.0,4.0
BELLA FLOR,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,0.0,5.0,5.0
BERMEJO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,0.0,1.0,1.0
BETANZOS,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,0.0,43.0,43.0
BOLPEBRA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,2.0,6.0,8.0
BOYUIBE,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,0.0,13.0,13.0
BUENA VISTA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,1.0,22.0,23.0
CABEZAS,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,2.0,35.0,37.0
CAJUATA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,2.0,0.0,2.0
CAMARGO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,19.0,85.0,104.0
CAMATAQUI (C. VILLA ABECIA),vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,7.0,11.0,18.0
CAMIRI,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,8.0,126.0,134.0
CAPINOTA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,4.0,7.0,11.0
CARACOLLO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,4.0,40.0,44.0
CARANAVI,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,2.0,1.0,3.0
CARAPARI,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,0.0,7.0,7.0
CHALLAPATA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,2.0,2.0,4.0
CHIMORE,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,5.0,31.0,36.0
CHULUMANI (V. DE LA LIBERTAD),vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,12.0,55.0,67.0
CHUMA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,7.0,8.0,15.0
CHUQUIHUTA AYLLU JUCUMANI,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,10.0,8.0,18.0
CKOCHAS,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,28.0,65.0,93.0
CLIZA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,8.0,86.0,94.0
COBIJA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,10.0,268.0,278.0
COCHABAMBA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,73.0,1136.0,1209.0
"COLCHA ""K""",vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,0.0,1.0,1.0
COLPA BELGICA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,5.0,0.0,5.0
COMARAPA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,6.0,11.0,17.0
COPACABANA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,1.0,15.0,16.0
CORO CORO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,3.0,7.0,10.0
COROICO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,0.0,59.0,59.0
CORQUE,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,0.0,14.0,14.0
COTOCA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,3.0,37.0,40.0
CUEVO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,0.0,4.0,4.0
CULPINA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,13.0,62.0,75.0
DESAGUADERO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,4.0,1.0,5.0
EL ALTO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,303.0,1877.0,2180.0
EL PUENTE(STC),vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,41.0,100.0,141.0
EL PUENTE(TJA),vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,2.0,17.0,19.0
EL TORNO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,76.0,219.0,295.0
EL VILLAR,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,1.0,10.0,11.0
ENTRE RIOS TRJ,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,1.0,2.0,3.0
ENTRE RIOS CBBA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,6.0,107.0,113.0
ESCOMA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,0.0,11.0,11.0
EUREKA (SANTOS MERCADO),vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,0.0,5.0,5.0
FERNANDEZ ALONSO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,71.0,25.0,96.0
FILADELFIA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,0.0,8.0,8.0
GENERAL SAAVEDRA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,2.0,12.0,14.0
GUAYARAMERIN,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,96.0,298.0,394.0
GUTIERREZ,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,0.0,10.0,10.0
HUACARETA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,0.0,11.0,11.0
HUACAYA (VILLA DE HUACAYA),vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,0.0,5.0,5.0
HUACHACALLA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,0.0,5.0,5.0
HUANUNI,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,21.0,67.0,88.0
HUAYLLAMARCA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,1.0,3.0,4.0
ICLA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,0.0,19.0,19.0
INCAHUASI,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,0.0,35.0,35.0
INGAVI (HUMAITA),vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,0.0,6.0,6.0
IRUPANA (VILLA DE LANZA),vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,5.0,17.0,22.0
LA ASUNTA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,3.0,61.0,64.0
LA GUARDIA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,6.0,166.0,172.0
LA PAZ,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,935.0,1101.0,2036.0
LAS CARRERAS,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,0.0,14.0,14.0
LLALLAGUA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,16.0,8.0,24.0
MACHARETI,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,7.0,20.0,27.0
MAIRANA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,0.0,30.0,30.0
MAPIRI,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,0.0,4.0,4.0
MINEROS,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,0.0,77.0,77.0
MIZQUE,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,3.0,7.0,10.0
MOJOCOYA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,0.0,14.0,14.0
MONTEAGUDO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,9.0,70.0,79.0
MONTERO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,37.0,448.0,485.0
NACEBE (SANTA ROSA DEL ABUNA),vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,0.0,14.0,14.0
NUEVO MANOA (NUEVA ESPERANZA),vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,0.0,3.0,3.0
OMEREQUE,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,1.0,1.0,2.0
ORURO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,89.0,736.0,825.0
PADCAYA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,10.0,51.0,61.0
PADILLA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,1.0,15.0,16.0
PAILON,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,25.0,118.0,143.0
PALOS BLANCOS,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,7.0,6.0,13.0
PAMPA GRANDE,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,0.0,17.0,17.0
PATACAMAYA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,0.0,78.0,78.0
PAZÑA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,9.0,15.0,24.0
POCONA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,1.0,2.0,3.0
POJO (CBBA),vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,0.0,4.0,4.0
POROMA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,0.0,34.0,34.0
PORTACHUELO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,1.0,3.0,4.0
PORVENIR,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,1.0,26.0,27.0
POTOSI,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,201.0,299.0,500.0
PRESTO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,0.0,16.0,16.0
PUCARANI,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,1.0,20.0,21.0
PUERTO GONZALO MORENO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,11.0,33.0,44.0
PUERTO QUIJARRO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,2.0,0.0,2.0
PUERTO RICO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,0.0,29.0,29.0
PUERTO SUAREZ,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,3.0,45.0,48.0
PUERTO VILLARROEL,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,67.0,361.0,428.0
PUNATA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,18.0,205.0,223.0
QUILLACOLLO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,0.0,6.0,6.0
RAVELO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,0.0,7.0,7.0
REYES,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,1.0,18.0,19.0
RIBERALTA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,0.0,219.0,219.0
RURRENABAQUE,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,38.0,69.0,107.0
SACABA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,23.0,592.0,615.0
SACACA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,0.0,11.0,11.0
SALINAS DE GARCI MENDOZA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,11.0,26.0,37.0
SAMAIPATA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,1.0,12.0,13.0
SAN ANDRES,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,1.0,2.0,3.0
SAN ANTONIO DE LOMERIO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,1.0,11.0,12.0
SAN BENITO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,0.0,6.0,6.0
SAN BORJA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,0.0,41.0,41.0
SAN CARLOS,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,8.0,9.0,17.0
SAN IGNACIO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,7.0,20.0,27.0
SAN IGNACIO DE VELASCO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,25.0,140.0,165.0
SAN JAVIER(STC),vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,3.0,16.0,19.0
SAN JOSE DE CHIQUITOS,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,174.0,188.0,362.0
SAN JUAN DE YAPACANI,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,0.0,19.0,19.0
SAN JULIAN,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,5.0,86.0,91.0
SAN LORENZO(PND),vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,41.0,126.0,167.0
SAN LORENZO(TJA),vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,0.0,39.0,39.0
SAN LUCAS,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,0.0,70.0,70.0
SAN MATIAS,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,1.0,18.0,19.0
SAN MIGUEL DE VELASCO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,1.0,14.0,15.0
SAN PEDRO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,27.0,51.0,78.0
SAN RAFAEL,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,0.0,11.0,11.0
SANTA ANA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,8.0,38.0,46.0
SANTA CRUZ DE LA SIERRA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,159.0,2293.0,2452.0
SANTA ROSA DEL SARA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,2.0,16.0,18.0
SANTIVAÑES,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,1.0,2.0,3.0
SENA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,1.0,17.0,18.0
SHINAOTA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,11.0,89.0,100.0
SICAYA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,2.0,1.0,3.0
SIPE SIPE,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,0.0,30.0,30.0
SOPACHUY,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,3.0,19.0,22.0
SORACACHI,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,0.0,5.0,5.0
SUCRE,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,82.0,956.0,1038.0
TACOBAMBA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,0.0,2.0,2.0
TAPACARI,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,0.0,31.0,31.0
TARABUCO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,2.0,54.0,56.0
TARIJA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,87.0,370.0,457.0
TARVITA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,4.0,55.0,59.0
TIAWANACU,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,6.0,19.0,25.0
TIPUANI,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,4.0,14.0,18.0
TIQUIPAYA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,9.0,264.0,273.0
TOCO,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,0.0,6.0,6.0
TOLATA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,0.0,8.0,8.0
TOMINA,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,0.0,4.0,4.0
TOTORA(CBBA),vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,0.0,71.0,71.0
TOTORA(ORR),vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,0.0,4.0,4.0
TRIGAL,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,0.0,3.0,3.0
TRINIDAD,vih,       personas con pre-consejeria realizadas para acceso a la prueba rapida,2014-06-01,64.0,104.0,168.0
