,group,variable,month,TOTAL 18.5 DPT 3RA DOSIS CANTIDAD,TOTAL 18.5 DPT 3RA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-07-01,4,1,4,1,5
SORACACHI,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-07-01,0,1,0,1,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-07-01,1,1,1,1,2
TARABUCO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-07-01,3,0,3,0,3
TARIJA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-07-01,3,1,3,1,4
TEOPONTE,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-07-01,1,0,1,0,1
TOMAVE,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-07-01,1,0,1,0,1
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-07-01,1,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-07-01,4,1,4,1,5
UNCIA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-07-01,1,2,1,2,3
UYUNI,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-07-01,1,0,1,0,1
VIACHA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-07-01,1,0,1,0,1
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-07-01,1,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-07-01,3,0,3,0,3
VILLAZON,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-07-01,1,0,1,0,1
VINTO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-07-01,4,0,4,0,4
WARNES,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-07-01,4,1,4,1,5
YACUIBA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-07-01,1,0,1,0,1
YAPACANI,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-07-01,4,0,4,0,4
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-07-01,1,0,1,0,1
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,1,0,1,0,1
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,1,0,1,0,1
ARBIETO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,0,2,0,2,2
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,1,4,1,4,5
AUCAPATA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,2,0,2,0,2
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,1,0,1,0,1
BERMEJO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,0,4,0,4,4
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,0,1,0,1,1
CABEZAS,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,0,1,0,1,1
CAMIRI,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,1,0,1,0,1
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,1,0,1,0,1
CARANAVI,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,0,2,0,2,2
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,0,1,0,1,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,1,1,1,1,2
CHIMORE,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,1,0,1,0,1
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,2,0,2,0,2
CLIZA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,1,0,1,0,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,1,0,1,0,1
COCAPATA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,1,3,1,3,4
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,55,1,55,1,56
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,3,3,3,3,6
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,2,1,2,1,3
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,2,1,2,1,3
COROICO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,0,1,0,1,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,4,1,4,1,5
EL ALTO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,25,24,25,24,49
EL TORNO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,1,0,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,2,0,2,0,2
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,1,0,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,4,0,4,0,4
ICHOCA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,1,0,1,0,1
ICLA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,1,1,1,1,2
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,3,0,3,0,3
LA PAZ,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,15,1,15,1,16
LURIBAY,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,2,0,2,0,2
MECAPACA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,1,1,1,1,2
MONTERO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,4,0,4,0,4
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,0,1,0,1,1
OKINAWA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,1,0,1,0,1
ORURO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,13,1,13,1,14
PAILON,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,0,2,0,2,2
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,0,1,0,1,1
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,1,0,1,0,1
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,2,0,2,0,2
POTOSI,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,27,5,27,5,32
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,1,2,1,2,3
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,2,0,2,0,2
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,4,1,4,1,5
PUNATA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,0,3,0,3,3
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,2,3,2,3,5
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,2,0,2,0,2
SACABA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,2,1,2,1,3
SAN ANDRES DE MACHACA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,1,0,1,0,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,3,9,3,9,12
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,2,2,2,2,4
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,1,0,1,0,1
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,1,0,1,0,1
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,1,0,1,0,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,41,5,41,5,46
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,2,0,2,0,2
SANTIAGO DE HUATA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,1,0,1,0,1
SANTIVAÑES,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,1,1,1,1,2
SENA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,1,0,1,0,1
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,0,1,0,1,1
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,3,0,3,0,3
SUCRE,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,4,0,4,0,4
TARIJA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,16,0,16,0,16
TEOPONTE,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,1,0,1,0,1
TIPUANI,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,2,0,2,0,2
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,1,0,1,0,1
TOLEDO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,1,0,1,0,1
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,1,1,1,1,2
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,3,0,3,0,3
TUPIZA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,2,0,2,0,2
UYUNI,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,1,0,1,0,1
VACAS,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,0,1,0,1,1
VIACHA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,27,1,27,1,28
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,1,1,1,1,2
VILLA RIVERO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,1,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,8,2,8,2,10
VILLAZON,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,1,0,1,0,1
VINTO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,2,0,2,0,2
WARNES,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,12,0,12,0,12
YACUIBA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,2,3,2,3,5
YAPACANI,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-08-01,0,3,0,3,3
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-09-01,1,1,1,1,2
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-09-01,1,1,1,1,2
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-09-01,0,1,0,1,1
BATALLAS,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-09-01,1,0,1,0,1
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-09-01,0,2,0,2,2
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-09-01,1,0,1,0,1
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-09-01,2,0,2,0,2
CALACOTO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-09-01,0,1,0,1,1
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-09-01,0,1,0,1,1
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-09-01,0,1,0,1,1
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-09-01,2,0,2,0,2
CARANAVI,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-09-01,1,2,1,2,3
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-09-01,1,0,1,0,1
CHIMORE,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-09-01,0,1,0,1,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-09-01,54,6,54,6,60
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-09-01,2,0,2,0,2
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-09-01,0,1,0,1,1
COLOMI,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-09-01,2,1,2,1,3
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-09-01,3,1,3,1,4
COPACABANA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-09-01,0,1,0,1,1
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-09-01,0,1,0,1,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-09-01,3,0,3,0,3
EL ALTO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-09-01,28,21,28,21,49
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-09-01,0,1,0,1,1
EL TORNO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-09-01,1,0,1,0,1
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-09-01,2,0,2,0,2
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-09-01,2,1,2,1,3
HUANUNI,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-09-01,4,0,4,0,4
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-09-01,1,0,1,0,1
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-09-01,1,0,1,0,1
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-09-01,0,1,0,1,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-09-01,3,0,3,0,3
LA PAZ,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-09-01,20,3,20,3,23
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-09-01,1,0,1,0,1
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-09-01,0,1,0,1,1
MIZQUE,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-09-01,1,2,1,2,3
MONTERO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-09-01,6,1,6,1,7
ORURO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-09-01,12,0,12,0,12
PAILON,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-09-01,0,1,0,1,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-09-01,7,0,7,0,7
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-09-01,2,0,2,0,2
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-09-01,4,0,4,0,4
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-09-01,12,20,12,20,32
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-09-01,3,4,3,4,7
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-09-01,1,1,1,1,2
SACABA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-09-01,2,1,2,1,3
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-09-01,6,11,6,11,17
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-09-01,2,0,2,0,2
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-09-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-09-01,2,0,2,0,2
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-09-01,0,1,0,1,1
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-09-01,0,1,0,1,1
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-09-01,1,0,1,0,1
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-09-01,0,1,0,1,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-09-01,5,0,5,0,5
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-09-01,64,1,64,1,65
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-09-01,2,0,2,0,2
SANTIVAÑES,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-09-01,2,0,2,0,2
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-09-01,2,1,2,1,3
SUCRE,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-09-01,5,0,5,0,5
TARIJA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-09-01,4,1,4,1,5
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-09-01,1,0,1,0,1
TOLEDO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-09-01,0,1,0,1,1
TOMAVE,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-09-01,1,0,1,0,1
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-09-01,1,3,1,3,4
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-09-01,10,1,10,1,11
VIACHA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-09-01,3,0,3,0,3
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-09-01,3,2,3,2,5
VILLAZON,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-09-01,2,0,2,0,2
VINTO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-09-01,4,0,4,0,4
WARNES,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-09-01,7,2,7,2,9
YACUIBA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-09-01,2,0,2,0,2
YAPACANI,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-09-01,4,1,4,1,5
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-10-01,0,1,0,1,1
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-10-01,1,1,1,1,2
ATOCHA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-10-01,0,6,0,6,6
AYATA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-10-01,4,0,4,0,4
BATALLAS,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-10-01,3,0,3,0,3
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-10-01,1,0,1,0,1
BERMEJO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-10-01,1,0,1,0,1
CABEZAS,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-10-01,1,0,1,0,1
CAMARGO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-10-01,0,1,0,1,1
CAMIRI,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-10-01,1,0,1,0,1
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-10-01,8,0,8,0,8
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-10-01,0,3,0,3,3
CARANAVI,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-10-01,1,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-10-01,3,5,3,5,8
COBIJA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-10-01,1,3,1,3,4
COCAPATA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-10-01,0,2,0,2,2
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-10-01,24,0,24,0,24
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-10-01,4,0,4,0,4
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-10-01,1,0,1,0,1
COLLANA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-10-01,2,1,2,1,3
COLOMI,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-10-01,0,1,0,1,1
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-10-01,0,3,0,3,3
COPACABANA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-10-01,1,0,1,0,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-10-01,4,0,4,0,4
EL ALTO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-10-01,36,20,36,20,56
EL TORNO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-10-01,2,0,2,0,2
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-10-01,1,0,1,0,1
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-10-01,1,0,1,0,1
GUAQUI,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-10-01,0,1,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-10-01,6,1,6,1,7
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-10-01,0,2,0,2,2
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-10-01,1,1,1,1,2
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-10-01,3,0,3,0,3
LA PAZ,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-10-01,34,1,34,1,35
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-10-01,1,0,1,0,1
MAIRANA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-10-01,2,0,2,0,2
MECAPACA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-10-01,4,1,4,1,5
MINEROS,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-10-01,1,0,1,0,1
MIZQUE,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-10-01,3,0,3,0,3
MONTERO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-10-01,2,10,2,10,12
ORURO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-10-01,14,11,14,11,25
PALCA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-10-01,1,1,1,1,2
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-10-01,1,0,1,0,1
PAZÑA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-10-01,1,0,1,0,1
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-10-01,0,1,0,1,1
PORVENIR,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-10-01,1,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-10-01,9,0,9,0,9
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-10-01,1,0,1,0,1
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-10-01,13,0,13,0,13
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-10-01,1,1,1,1,2
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-10-01,0,5,0,5,5
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-10-01,1,3,1,3,4
SACABA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-10-01,5,1,5,1,6
SACABAMBA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-10-01,1,0,1,0,1
SACACA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-10-01,1,1,1,1,2
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-10-01,1,1,1,1,2
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-10-01,3,0,3,0,3
