,group,variable,month,TOTAL 18.1 SRP DOSIS ÚNICA CANTIDAD,TOTAL 18.1 SRP DOSIS ÚNICA CANTIDAD,TOTALES,TOTALES,TOTALES
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-07-01,3,2,3,2,5
VILLA RIVERO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-07-01,10,13,10,13,23
VILLA SERRANO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-07-01,12,7,12,7,19
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-07-01,117,21,117,21,138
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-07-01,12,13,12,13,25
VILLAZON,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-07-01,75,11,75,11,86
VINTO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-07-01,90,0,90,0,90
VITICHI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-07-01,7,2,7,2,9
WALDO BALLIVIAN,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-07-01,0,5,0,5,5
WARNES,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-07-01,208,20,208,20,228
YACO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-07-01,5,2,5,2,7
YACUIBA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-07-01,154,43,154,43,197
YAMPARAEZ,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-07-01,9,4,9,4,13
YANACACHI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-07-01,3,0,3,0,3
YAPACANI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-07-01,97,27,97,27,124
YOCALLA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-07-01,11,12,11,12,23
YOTALA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-07-01,3,3,3,3,6
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-07-01,1,6,1,6,7
ZUDAÑEZ,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-07-01,0,3,0,3,3
ACACIO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,2,7,2,7,9
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,28,20,28,20,48
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,19,8,19,8,27
AIQUILE,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,26,18,26,18,44
ALALAY,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,1,4,1,4,5
ALCALA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,1,1,1,1,2
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,11,0,11,0,11
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,15,6,15,6,21
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,0,5,0,5,5
ANTEQUERA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,5,9,5,9,14
ANZALDO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,4,9,4,9,13
APOLO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,22,9,22,9,31
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,3,3,3,3,6
ARANI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,21,5,21,5,26
ARBIETO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,19,22,19,22,41
ARQUE,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,18,11,18,11,29
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,57,12,57,12,69
ATOCHA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,9,11,9,11,20
AUCAPATA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,3,0,3,0,3
AYATA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,9,10,9,10,19
AYO AYO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,7,6,7,6,13
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,22,12,22,12,34
AZURDUY,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,10,6,10,6,16
BATALLAS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,32,12,32,12,44
BAURES,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,16,0,16,0,16
BELEN DE ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,1,1,1,1,2
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,0,11,0,11,11
BERMEJO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,25,39,25,39,64
BETANZOS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,26,22,26,22,48
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,2,6,2,6,8
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,0,8,0,8,8
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,2,4,2,4,6
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,15,9,15,9,24
CABEZAS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,28,57,28,57,85
CAIROMA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,19,7,19,7,26
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,4,10,4,10,14
CAJUATA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,12,6,12,6,18
CALACOTO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,1,8,1,8,9
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,13,5,13,5,18
CAMARGO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,26,5,26,5,31
CAMIRI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,47,7,47,7,54
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,30,0,30,0,30
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,10,0,10,0,10
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,10,13,10,13,23
CARANAVI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,76,18,76,18,94
CARAPARI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,6,25,6,25,31
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,4,21,4,21,25
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,1,9,1,9,10
CATACORA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,0,2,0,2,2
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,30,20,30,20,50
CHAQUI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,12,4,12,4,16
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,26,98,26,98,124
CHARAÑA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,0,2,0,2,2
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,10,17,10,17,27
CHIMORE,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,38,0,38,0,38
CHIPAYA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,0,5,0,5,5
CHUA COCANI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,2,1,2,1,3
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,37,3,37,3,40
CHUMA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,5,8,5,8,13
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,9,7,9,7,16
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,16,5,16,5,21
CLIZA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,18,7,18,7,25
COBIJA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,94,22,94,22,116
COCAPATA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,13,30,13,30,43
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,1080,19,1080,19,1099
COIPASA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,0,1,0,1,1
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,63,6,63,6,69
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,18,4,18,4,22
COLLANA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,2,2,2,2,4
COLOMI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,28,11,28,11,39
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,6,3,6,3,9
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,36,33,36,33,69
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,7,3,7,3,10
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,4,39,4,39,43
COMANCHE,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,3,0,3,0,3
COMARAPA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,21,11,21,11,32
COMBAYA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,0,3,0,3,3
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,49,10,49,10,59
COPACABANA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,13,17,13,17,30
CORIPATA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,29,18,29,18,47
CORO CORO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,3,9,3,9,12
COROICO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,25,3,25,3,28
CORQUE,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,2,5,2,5,7
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,19,26,19,26,45
COTOCA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,86,17,86,17,103
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,27,31,27,31,58
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,2,0,2,0,2
CUEVO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,2,7,2,7,9
CULPINA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,20,24,20,24,44
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,3,5,3,5,8
CURVA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,2,5,2,5,7
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,8,2,8,2,10
EL ALTO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,1069,354,1069,354,1423
EL CHORO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,0,4,0,4,4
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,16,8,16,8,24
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,10,8,10,8,18
EL TORNO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,96,7,96,7,103
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,4,3,4,3,7
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,18,19,18,19,37
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,67,8,67,8,75
ESCARA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,1,0,1,0,1
ESCOMA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,10,5,10,5,15
EUCALIPTUS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,5,1,5,1,6
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,0,3,0,3,3
EXALTACION,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,2,0,2,0,2
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,15,13,15,13,28
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,2,9,2,9,11
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,24,10,24,10,34
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,10,5,10,5,15
GUANAY,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,17,24,17,24,41
GUAQUI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,6,0,6,0,6
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,71,18,71,18,89
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,5,39,5,39,44
HUACARETA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,11,15,11,15,26
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,0,1,0,1,1
HUACHACALLA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,1,1,1,1,2
HUANUNI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,38,6,38,6,44
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,1,7,1,7,8
HUARINA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,1,9,1,9,10
HUATAJATA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,1,3,1,3,4
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,1,0,1,0,1
HUMANATA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,0,6,0,6,6
ICHOCA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,3,3,3,3,6
ICLA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,2,4,2,4,6
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,12,16,12,16,28
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,10,22,10,22,32
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,12,7,12,7,19
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,21,1,21,1,22
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,10,6,10,6,16
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,82,9,82,9,91
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,109,21,109,21,130
LA PAZ,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,1085,25,1085,25,1110
LA RIVERA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,0,2,0,2,2
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,8,6,8,6,14
LAJA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,12,4,12,4,16
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,0,5,0,5,5
LICOMA PAMPA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,7,0,7,0,7
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,43,80,43,80,123
LLICA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,6,2,6,2,8
LORETO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,1,10,1,10,11
LURIBAY,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,4,11,4,11,15
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,2,3,2,3,5
MACHARETI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,3,18,3,18,21
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,19,10,19,10,29
MAIRANA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,14,0,14,0,14
MALLA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,2,8,2,8,10
MAPIRI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,22,3,22,3,25
MECAPACA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,17,2,17,2,19
MINEROS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,20,6,20,6,26
MIZQUE,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,27,21,27,21,48
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,9,14,9,14,23
MOJINETE,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,4,0,4,0,4
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,13,3,13,3,16
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,38,7,38,7,45
MONTERO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,190,14,190,14,204
MORO MORO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,1,4,1,4,5
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,1,12,1,12,13
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,2,6,2,6,8
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,2,0,2,0,2
OCURI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,18,21,18,21,39
OKINAWA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,23,0,23,0,23
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,1,13,1,13,14
ORURO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,442,30,442,30,472
PADCAYA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,21,11,21,11,32
PADILLA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,12,5,12,5,17
PAILON,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,44,26,44,26,70
PALCA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,14,16,14,16,30
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,32,7,32,7,39
PAMPA AULLAGAS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,6,5,6,5,11
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,12,0,12,0,12
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,2,4,2,4,6
PASORAPA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,1,0,1,0,1
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,26,5,26,5,31
PAZÑA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,3,3,3,3,6
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,5,5,5,5,10
POCOATA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,7,46,7,46,53
POCONA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,7,16,7,16,23
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,18,4,18,4,22
POOPO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,2,16,2,16,18
PORCO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,20,19,20,19,39
POROMA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,11,10,11,10,21
PORONGO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,6,23,6,23,29
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,42,0,42,0,42
PORVENIR,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,2,15,2,15,17
POTOSI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,400,32,400,32,432
PRESTO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,1,8,1,8,9
PUCARANI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,10,27,10,27,37
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,3,16,3,16,19
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,3,31,3,31,34
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,5,13,5,13,18
PUERTO PEREZ,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,2,1,2,1,3
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,20,17,20,17,37
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,10,2,10,2,12
PUERTO SILES,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,4,0,4,0,4
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,26,6,26,6,32
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,79,21,79,21,100
PUNA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,20,22,20,22,42
PUNATA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,38,3,38,3,41
QUIABAYA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,2,9,2,9,11
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,146,103,146,103,249
QUIME,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,1,12,1,12,13
QUIRUSILLAS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,2,0,2,0,2
RAVELO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,17,24,17,24,41
REYES,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,19,10,19,10,29
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,191,77,191,77,268
ROBORE,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,6,25,6,25,31
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,15,9,15,9,24
SABAYA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,3,1,3,1,4
SACABA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,238,14,238,14,252
SACABAMBA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,9,4,9,4,13
SACACA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,30,14,30,14,44
SAIPINA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,1,6,1,6,7
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,6,18,6,18,24
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,14,8,14,8,22
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,12,13,12,13,25
SAN ANDRES DE MACHACA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,2,2,2,2,4
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,5,5,5,5,10
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,16,4,16,4,20
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,75,41,75,41,116
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,9,1,9,1,10
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,27,12,27,12,39
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,42,13,42,13,55
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,105,26,105,26,131
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,1,20,1,20,21
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,17,0,17,0,17
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,5,9,5,9,14
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,25,1,25,1,26
SAN JUAN DE YAPACANI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,3,23,3,23,26
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-08-01,62,37,62,37,99
