,group,variable,month,TOTAL 18.2 ANTI AMARÍLICA CANTIDAD,TOTAL 18.2 ANTI AMARÍLICA CANTIDAD,TOTALES,TOTALES,TOTALES
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,37,88,37,88,125
LLICA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,5,4,5,4,9
LORETO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,1,5,1,5,6
LURIBAY,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,11,2,11,2,13
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,7,4,7,4,11
MACHARETI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,9,13,9,13,22
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,9,7,9,7,16
MAIRANA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,16,0,16,0,16
MALLA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,0,5,0,5,5
MAPIRI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,15,6,15,6,21
MECAPACA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,15,24,15,24,39
MINEROS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,31,3,31,3,34
MIZQUE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,19,40,19,40,59
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,5,4,5,4,9
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,6,5,6,5,11
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,21,12,21,12,33
MONTERO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,187,14,187,14,201
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,0,12,0,12,12
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,0,6,0,6,6
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,0,1,0,1,1
OCURI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,3,18,3,18,21
OKINAWA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,21,3,21,3,24
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,3,13,3,13,16
ORURO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,405,0,405,0,405
PADCAYA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,9,13,9,13,22
PADILLA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,17,4,17,4,21
PAILON,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,33,41,33,41,74
PALCA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,14,13,14,13,27
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,28,10,28,10,38
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,10,4,10,4,14
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,5,4,5,4,9
PASORAPA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,1,1,1,1,2
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,23,3,23,3,26
PAZÑA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,7,0,7,0,7
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,4,5,4,5,9
POCOATA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,7,36,7,36,43
POCONA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,0,11,0,11,11
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,16,14,16,14,30
POOPO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,3,2,3,2,5
PORCO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,9,10,9,10,19
POROMA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,6,9,6,9,15
PORONGO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,17,12,17,12,29
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,39,6,39,6,45
PORVENIR,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,5,4,5,4,9
POTOSI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,404,18,404,18,422
PRESTO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,5,13,5,13,18
PUCARA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,2,2,2,2,4
PUCARANI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,11,39,11,39,50
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,2,18,2,18,20
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,2,19,2,19,21
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,3,5,3,5,8
PUERTO PEREZ,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,11,4,11,4,15
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,22,8,22,8,30
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,8,3,8,3,11
PUERTO SILES,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,5,0,5,0,5
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,18,15,18,15,33
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,116,18,116,18,134
PUNA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,11,16,11,16,27
PUNATA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,36,6,36,6,42
QUIABAYA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,5,1,5,1,6
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,149,91,149,91,240
QUIME,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,0,13,0,13,13
QUIRUSILLAS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,4,2,4,2,6
RAVELO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,3,27,3,27,30
REYES,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,10,32,10,32,42
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,124,85,124,85,209
ROBORE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,0,10,0,10,10
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,24,24,24,24,48
SABAYA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,5,0,5,0,5
SACABA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,221,26,221,26,247
SACABAMBA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,0,2,0,2,2
SACACA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,20,21,20,21,41
SAIPINA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,1,0,1,0,1
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,3,8,3,8,11
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,3,27,3,27,30
SAN AGUSTIN,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,4,5,4,5,9
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,16,1,16,1,17
SAN ANDRES DE MACHACA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,4,6,4,6,10
SAN ANTONIO DE ESMORUCO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,11,1,11,1,12
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,3,5,3,5,8
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,9,6,9,6,15
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,48,83,48,83,131
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,11,0,11,0,11
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,27,14,27,14,41
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,19,9,19,9,28
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,67,10,67,10,77
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,6,4,6,4,10
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,14,14,14,14,28
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,1,6,1,6,7
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,34,26,34,26,60
SAN JUAN DE YAPACANI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,14,7,14,7,21
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,47,32,47,32,79
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,0,2,0,2,2
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,28,10,28,10,38
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,21,27,21,27,48
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,19,7,19,7,26
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,5,5,5,5,10
SAN PABLO DE LIPEZ,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,2,1,2,1,3
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,16,15,16,15,31
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,20,33,20,33,53
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,6,0,6,0,6
SAN PEDRO DE QUEMES,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,0,4,0,4,4
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,0,5,0,5,5
SAN PEDRO(PND),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,0,11,0,11,11
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,3,7,3,7,10
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,1,8,1,8,9
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,12,5,12,5,17
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,25,52,25,52,77
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,2129,70,2129,70,2199
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,12,17,12,17,29
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,14,17,14,17,31
SANTIAGO DE CALLAPA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,1,4,1,4,5
SANTIAGO DE HUATA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,0,6,0,6,6
SANTIAGO DE MACHACA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,0,5,0,5,5
SANTIVAÑES,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,1,5,1,5,6
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,3,5,3,5,8
SAPAHAQUI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,5,9,5,9,14
SENA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,0,5,0,5,5
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,58,11,58,11,69
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,15,16,15,16,31
SICAYA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,7,2,7,2,9
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,65,7,65,7,72
SOPACHUY,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,2,9,2,9,11
SORACACHI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,1,1,1,1,2
SORATA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,13,18,13,18,31
SUCRE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,522,24,522,24,546
TACOBAMBA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,4,19,4,19,23
TACOPAYA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,11,5,11,5,16
TAHUA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,4,2,4,2,6
TAPACARI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,21,13,21,13,34
TARABUCO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,11,15,11,15,26
TARACO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,5,0,5,0,5
TARATA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,7,5,7,5,12
TARIJA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,263,20,263,20,283
TARVITA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,14,15,14,15,29
TEOPONTE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,20,9,20,9,29
TIAWANACU,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,23,3,23,3,26
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,19,22,19,22,41
TIPUANI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,4,14,4,14,18
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,61,8,61,8,69
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,12,13,12,13,25
TOCO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,0,11,0,11,11
TOLATA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,5,3,5,3,8
TOLEDO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,1,0,1,0,1
TOMAVE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,7,32,7,32,39
TOMINA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,3,9,3,9,12
TORO TORO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,7,16,7,16,23
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,31,2,31,2,33
TOTORA(ORR),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,3,0,3,0,3
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,164,113,164,113,277
TUPIZA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,61,25,61,25,86
TURCO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,5,0,5,0,5
UMALA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,0,5,0,5,5
UNCIA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,21,25,21,25,46
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,12,20,12,20,32
URUBICHA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,16,0,16,0,16
UYUNI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,21,15,21,15,36
VACAS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,0,19,0,19,19
VALLEGRANDE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,24,5,24,5,29
VIACHA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,96,9,96,9,105
VILA VILA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,1,15,1,15,16
VILLA CHARCAS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,10,14,10,14,24
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,53,27,53,27,80
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,1,3,1,3,4
VILLA RIVERO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,2,7,2,7,9
VILLA SERRANO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,5,9,5,9,14
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,106,27,106,27,133
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,6,6,6,6,12
VILLAZON,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,61,22,61,22,83
VINTO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,66,0,66,0,66
VITICHI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,7,16,7,16,23
WALDO BALLIVIAN,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,2,1,2,1,3
WARNES,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,184,36,184,36,220
YACO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,2,3,2,3,5
YACUIBA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,143,29,143,29,172
YAMPARAEZ,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,6,8,6,8,14
YANACACHI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,14,2,14,2,16
YAPACANI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,69,11,69,11,80
YOTALA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,4,7,4,7,11
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,0,6,0,6,6
ZUDAÑEZ,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-06-01,9,4,9,4,13
ACACIO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-07-01,2,8,2,8,10
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-07-01,38,50,38,50,88
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-07-01,17,14,17,14,31
AIQUILE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-07-01,34,20,34,20,54
ALALAY,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-07-01,0,2,0,2,2
ALCALA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-07-01,6,0,6,0,6
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-07-01,17,5,17,5,22
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-07-01,14,11,14,11,25
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-07-01,0,4,0,4,4
ANTEQUERA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-07-01,0,4,0,4,4
ANZALDO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-07-01,1,4,1,4,5
APOLO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-07-01,16,16,16,16,32
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-07-01,2,2,2,2,4
ARANI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-07-01,26,2,26,2,28
ARBIETO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-07-01,19,15,19,15,34
ARQUE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-07-01,2,0,2,0,2
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-07-01,53,6,53,6,59
ATOCHA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-07-01,2,13,2,13,15
AUCAPATA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-07-01,0,3,0,3,3
AYATA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-07-01,7,5,7,5,12
AYO AYO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-07-01,10,23,10,23,33
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-07-01,29,28,29,28,57
AZURDUY,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-07-01,5,13,5,13,18
BATALLAS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-07-01,19,2,19,2,21
BAURES,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-07-01,6,6,6,6,12
BELEN DE ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-07-01,4,2,4,2,6
BELEN DE URMIRI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-07-01,2,6,2,6,8
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-07-01,0,12,0,12,12
BERMEJO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-07-01,36,35,36,35,71
BETANZOS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-07-01,13,20,13,20,33
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-07-01,0,14,0,14,14
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-07-01,1,2,1,2,3
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-07-01,0,12,0,12,12
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-07-01,17,11,17,11,28
CABEZAS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-07-01,21,43,21,43,64
CAIROMA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-07-01,5,2,5,2,7
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-07-01,15,11,15,11,26
CAJUATA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-07-01,20,2,20,2,22
CALACOTO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-07-01,0,3,0,3,3
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-07-01,21,3,21,3,24
CAMARGO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-07-01,24,8,24,8,32
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-07-01,0,4,0,4,4
CAMIRI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-07-01,62,5,62,5,67
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-07-01,45,7,45,7,52
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-07-01,1,11,1,11,12
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-07-01,14,8,14,8,22
CARANAVI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-07-01,57,16,57,16,73
CARANGAS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-07-01,0,1,0,1,1
CARAPARI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-07-01,5,36,5,36,41
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-07-01,4,2,4,2,6
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-07-01,5,5,5,5,10
CHACARILLA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-07-01,1,1,1,1,2
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-07-01,7,27,7,27,34
CHAQUI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-07-01,7,4,7,4,11
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-07-01,1,118,1,118,119
CHARAÑA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-07-01,4,0,4,0,4
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-07-01,6,16,6,16,22
CHIMORE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-07-01,33,1,33,1,34
CHIPAYA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-07-01,0,6,0,6,6
CHOQUE COTA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-07-01,3,0,3,0,3
CHUA COCANI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-07-01,2,2,2,2,4
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-07-01,30,10,30,10,40
CHUMA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-07-01,16,9,16,9,25
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-07-01,0,6,0,6,6
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-07-01,15,10,15,10,25
CLIZA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-07-01,37,25,37,25,62
COBIJA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-07-01,67,20,67,20,87
COCAPATA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-07-01,9,49,9,49,58
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-07-01,1132,44,1132,44,1176
COIPASA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-07-01,0,1,0,1,1
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-07-01,89,8,89,8,97
