,group,variable,month,TOTAL 18.7 ANTIPOLIOMIELÍTICA 1RA DOSIS CANTIDAD,TOTAL 18.7 ANTIPOLIOMIELÍTICA 1RA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
ICHOCA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,1,1,1,1,2
ICLA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,2,0,2,0,2
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,0,1,0,1,1
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,1,7,1,7,8
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,7,0,7,0,7
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,1,0,1,0,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,70,27,70,27,97
LAJA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,1,0,1,0,1
LICOMA PAMPA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,1,2,1,2,3
LURIBAY,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,2,4,2,4,6
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,1,0,1,0,1
MALLA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,0,2,0,2,2
MECAPACA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,0,2,0,2,2
MINEROS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,1,0,1,0,1
MIZQUE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,0,1,0,1,1
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,14,13,14,13,27
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,0,1,0,1,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,40,5,40,5,45
ORURO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,6,0,6,0,6
PAILON,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,0,11,0,11,11
PALCA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,11,1,11,1,12
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,2,1,2,1,3
PASORAPA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,0,1,0,1,1
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,10,3,10,3,13
POCONA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,1,0,1,0,1
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,2,1,2,1,3
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,4,1,4,1,5
POTOSI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,6,0,6,0,6
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,3,6,3,6,9
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,5,4,5,4,9
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,22,10,22,10,32
RAVELO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,3,0,3,0,3
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,3,6,3,6,9
ROBORE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,1,3,1,3,4
SACABA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,25,7,25,7,32
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,2,2,2,2,4
SAN ANDRES DE MACHACA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,0,1,0,1,1
SAN ANTONIO DE ESMORUCO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,1,5,1,5,6
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,6,2,6,2,8
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,1,0,1,0,1
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,15,29,15,29,44
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,3,0,3,0,3
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,2,0,2,0,2
SAN JUAN DE YAPACANI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,6,0,6,0,6
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,6,15,6,15,21
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,10,3,10,3,13
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,4,2,4,2,6
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,198,75,198,75,273
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,2,0,2,0,2
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,1,0,1,0,1
SANTIAGO DE MACHACA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,4,3,4,3,7
SANTIVAÑES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,1,0,1,0,1
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,8,9,8,9,17
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,18,9,18,9,27
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,14,1,14,1,15
SOPACHUY,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,2,12,2,12,14
SORATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,1,3,1,3,4
SUCRE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,17,0,17,0,17
TACOPAYA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,3,0,3,0,3
TAPACARI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,8,5,8,5,13
TARIJA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,7,2,7,2,9
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,2,1,2,1,3
TIPUANI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,3,0,3,0,3
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,5,0,5,0,5
TOMINA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,1,3,1,3,4
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,26,1,26,1,27
TUPIZA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,3,0,3,0,3
VALLEGRANDE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,7,1,7,1,8
VIACHA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,19,1,19,1,20
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,6,1,6,1,7
VILLA SERRANO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,6,7,6,7,13
VINTO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,10,0,10,0,10
WALDO BALLIVIAN,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,3,0,3,0,3
WARNES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,3,1,3,1,4
YACO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,0,2,0,2,2
YAMPARAEZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,2,0,2,0,2
YAPACANI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-04-01,0,2,0,2,2
ACACIO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,3,5,3,5,8
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,11,1,11,1,12
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,1,0,1,0,1
APOLO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,19,3,19,3,22
ARANI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,2,0,2,0,2
ARQUE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,2,5,2,5,7
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,2,3,2,3,5
AUCAPATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,3,3,3,3,6
BELEN DE ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,0,1,0,1,1
BELEN DE URMIRI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,1,4,1,4,5
BERMEJO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,2,0,2,0,2
BETANZOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,14,2,14,2,16
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,0,1,0,1,1
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,21,2,21,2,23
CABEZAS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,1,0,1,0,1
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,4,0,4,0,4
CALACOTO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,0,1,0,1,1
CAMIRI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,12,3,12,3,15
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,0,1,0,1,1
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,1,0,1,0,1
CARANAVI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,7,5,7,5,12
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,0,1,0,1,1
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,1,7,1,7,8
CHARAÑA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,1,0,1,0,1
CHIMORE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,5,0,5,0,5
CHIPAYA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,1,0,1,0,1
CHUMA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,3,9,3,9,12
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,1,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,157,11,157,11,168
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,1,0,1,0,1
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,4,4,4,4,8
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,4,20,4,20,24
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,2,3,2,3,5
COMARAPA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,1,0,1,0,1
CORO CORO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,3,1,3,1,4
CORQUE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,0,3,0,3,3
COTOCA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,1,3,1,3,4
CUEVO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,0,3,0,3,3
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,0,3,0,3,3
CURVA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,1,1,1,1,2
EL ALTO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,50,32,50,32,82
EL CHORO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,1,2,1,2,3
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,1,2,1,2,3
EL TORNO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,2,0,2,0,2
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,3,0,3,0,3
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,0,4,0,4,4
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,1,11,1,11,12
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,22,5,22,5,27
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,8,0,8,0,8
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,0,1,0,1,1
HUANUNI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,3,1,3,1,4
HUATAJATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,1,0,1,0,1
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,0,2,0,2,2
HUMANATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,7,0,7,0,7
ICHOCA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,0,1,0,1,1
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,0,1,0,1,1
INGAVI (HUMAITA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,0,3,0,3,3
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,6,0,6,0,6
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,13,2,13,2,15
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,0,1,0,1,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,4,8,4,8,12
LA PAZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,121,25,121,25,146
LICOMA PAMPA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,3,0,3,0,3
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,0,1,0,1,1
MECAPACA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,3,0,3,0,3
MINEROS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,2,2,2,2,4
MIZQUE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,3,1,3,1,4
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,6,4,6,4,10
MOJINETE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,3,0,3,0,3
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,2,5,2,5,7
MONTERO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,44,10,44,10,54
MORO MORO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,2,1,2,1,3
OCURI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,0,16,0,16,16
OKINAWA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,0,1,0,1,1
ORURO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,7,6,7,6,13
PAILON,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,3,6,3,6,9
PALCA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,22,0,22,0,22
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,0,4,0,4,4
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,21,11,21,11,32
PASORAPA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,0,2,0,2,2
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,6,3,6,3,9
PAZÑA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,4,2,4,2,6
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,0,2,0,2,2
PORCO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,0,4,0,4,4
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,22,4,22,4,26
POTOSI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,9,10,9,10,19
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,6,9,6,9,15
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,0,2,0,2,2
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,8,21,8,21,29
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,2,0,2,0,2
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,0,1,0,1,1
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,2,5,2,5,7
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,15,17,15,17,32
RAVELO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,2,3,2,3,5
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,36,0,36,0,36
ROBORE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,1,0,1,0,1
SACABA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,23,4,23,4,27
SACABAMBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,1,0,1,0,1
SACACA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,2,8,2,8,10
SAN AGUSTIN,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,1,0,1,0,1
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,3,3,3,3,6
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,1,0,1,0,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,0,1,0,1,1
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,1,0,1,0,1
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,22,28,22,28,50
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,3,0,3,0,3
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,0,1,0,1,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,0,15,0,15,15
SAN JUAN DE YAPACANI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,14,30,14,30,44
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,9,8,9,8,17
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,18,33,18,33,51
SAN PABLO DE LIPEZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,0,3,0,3,3
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,2,10,2,10,12
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,5,0,5,0,5
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,173,19,173,19,192
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,0,1,0,1,1
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,0,1,0,1,1
SANTIAGO DE MACHACA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,3,2,3,2,5
SANTIVAÑES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,7,5,7,5,12
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,4,2,4,2,6
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,8,0,8,0,8
SICAYA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,0,2,0,2,2
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,3,4,3,4,7
SOPACHUY,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,4,7,4,7,11
SORACACHI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,1,3,1,3,4
SORATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,0,2,0,2,2
SUCRE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,11,3,11,3,14
TACOPAYA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,1,1,1,1,2
TAPACARI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,8,7,8,7,15
TARACO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,0,1,0,1,1
TARIJA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,2,2,2,2,4
TIAWANACU,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,1,0,1,0,1
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,0,2,0,2,2
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,2,1,2,1,3
TOMAVE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,0,4,0,4,4
TOMINA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,0,6,0,6,6
TORO TORO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,0,2,0,2,2
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-05-01,32,3,32,3,35
