,group,variable,month,TOTAL 18.4 DPT 2DA DOSIS CANTIDAD,TOTAL 18.4 DPT 2DA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
CARANAVI,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-09-01,1,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-09-01,1,0,1,0,1
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-09-01,1,0,1,0,1
CHIMORE,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-09-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-09-01,1,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-09-01,12,2,12,2,14
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-09-01,2,0,2,0,2
COTOCA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-09-01,1,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-09-01,12,17,12,17,29
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-09-01,2,1,2,1,3
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-09-01,0,1,0,1,1
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-09-01,1,0,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-09-01,2,0,2,0,2
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-09-01,3,1,3,1,4
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-09-01,2,1,2,1,3
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-09-01,1,0,1,0,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-09-01,7,0,7,0,7
LA PAZ,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-09-01,7,0,7,0,7
LURIBAY,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-09-01,0,3,0,3,3
MAPIRI,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-09-01,1,0,1,0,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-09-01,4,0,4,0,4
ORURO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-09-01,8,2,8,2,10
PAILON,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-09-01,0,2,0,2,2
PALCA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-09-01,1,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-09-01,3,1,3,1,4
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-09-01,6,0,6,0,6
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-09-01,2,1,2,1,3
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-09-01,1,5,1,5,6
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-09-01,1,0,1,0,1
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-09-01,1,0,1,0,1
SACABA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-09-01,4,0,4,0,4
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-09-01,3,4,3,4,7
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-09-01,1,0,1,0,1
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-09-01,0,1,0,1,1
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-09-01,0,2,0,2,2
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-09-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-09-01,29,5,29,5,34
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-09-01,1,0,1,0,1
SENA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-09-01,1,0,1,0,1
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-09-01,1,0,1,0,1
SORATA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-09-01,0,2,0,2,2
SUCRE,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-09-01,13,0,13,0,13
TACACOMA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-09-01,0,1,0,1,1
TAPACARI,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-09-01,0,2,0,2,2
TARIJA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-09-01,1,1,1,1,2
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-09-01,0,1,0,1,1
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-09-01,0,1,0,1,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-09-01,5,0,5,0,5
TUPIZA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-09-01,1,0,1,0,1
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-09-01,1,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-09-01,14,0,14,0,14
VINTO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-09-01,2,0,2,0,2
WARNES,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-09-01,4,0,4,0,4
YACO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-09-01,2,0,2,0,2
YACUIBA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-09-01,1,0,1,0,1
YAPACANI,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-09-01,3,3,3,3,6
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-10-01,0,1,0,1,1
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-10-01,0,1,0,1,1
ATOCHA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-10-01,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-10-01,1,6,1,6,7
BAURES,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-10-01,3,0,3,0,3
BERMEJO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-10-01,1,0,1,0,1
CALACOTO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-10-01,0,1,0,1,1
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-10-01,2,0,2,0,2
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-10-01,2,0,2,0,2
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-10-01,1,0,1,0,1
CHIMORE,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-10-01,1,1,1,1,2
COCAPATA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-10-01,0,2,0,2,2
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-10-01,9,3,9,3,12
COROICO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-10-01,1,0,1,0,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-10-01,2,0,2,0,2
EL ALTO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-10-01,16,10,16,10,26
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-10-01,2,0,2,0,2
GUAQUI,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-10-01,0,1,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-10-01,1,0,1,0,1
HUANUNI,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-10-01,0,1,0,1,1
ICLA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-10-01,1,0,1,0,1
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-10-01,2,0,2,0,2
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-10-01,2,0,2,0,2
LA PAZ,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-10-01,44,0,44,0,44
OCURI,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-10-01,0,5,0,5,5
ORURO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-10-01,6,7,6,7,13
PADCAYA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-10-01,1,0,1,0,1
PADILLA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-10-01,1,0,1,0,1
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-10-01,1,0,1,0,1
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-10-01,1,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-10-01,3,4,3,4,7
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-10-01,1,0,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-10-01,1,0,1,0,1
PUNATA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-10-01,2,0,2,0,2
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-10-01,0,4,0,4,4
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-10-01,1,4,1,4,5
SACABA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-10-01,3,1,3,1,4
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-10-01,0,1,0,1,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-10-01,3,0,3,0,3
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-10-01,5,0,5,0,5
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-10-01,0,1,0,1,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-10-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-10-01,33,5,33,5,38
SENA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-10-01,0,3,0,3,3
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-10-01,1,5,1,5,6
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-10-01,1,2,1,2,3
SORATA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-10-01,0,1,0,1,1
TARATA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-10-01,1,0,1,0,1
TARIJA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-10-01,0,1,0,1,1
TOLEDO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-10-01,1,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-10-01,6,0,6,0,6
VIACHA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-10-01,2,1,2,1,3
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-10-01,0,1,0,1,1
VILLA RIVERO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-10-01,1,0,1,0,1
VINTO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-10-01,1,0,1,0,1
WARNES,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-10-01,1,0,1,0,1
YAMPARAEZ,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-10-01,1,0,1,0,1
YAPACANI,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-10-01,1,1,1,1,2
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,1,2,1,2,3
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,0,1,0,1,1
BETANZOS,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,0,2,0,2,2
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,0,1,0,1,1
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,0,1,0,1,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,1,0,1,0,1
CHIMORE,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,1,0,1,0,1
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,0,2,0,2,2
CLIZA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,1,1,1,1,2
COBIJA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,3,0,3,0,3
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,5,0,5,0,5
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,2,1,2,1,3
COLOMI,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,0,1,0,1,1
COMBAYA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,1,0,1,0,1
CORIPATA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,1,0,1,0,1
COROICO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,0,1,0,1,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,2,1,2,1,3
EL ALTO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,10,7,10,7,17
EL TORNO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,2,1,2,1,3
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,1,0,1,0,1
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,1,0,1,0,1
HUANUNI,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,0,1,0,1,1
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,1,0,1,0,1
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,1,0,1,0,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,3,1,3,1,4
LA PAZ,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,17,0,17,0,17
MALLA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,0,1,0,1,1
MIZQUE,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,1,0,1,0,1
OCURI,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,0,1,0,1,1
OKINAWA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,0,1,0,1,1
ORURO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,3,3,3,3,6
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,0,5,0,5,5
POOPO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,0,1,0,1,1
POROMA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,0,2,0,2,2
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,1,0,1,0,1
PORVENIR,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,1,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,3,0,3,0,3
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,1,0,1,0,1
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,0,1,0,1,1
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,15,0,15,0,15
PUNATA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,1,2,1,2,3
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,0,3,0,3,3
REYES,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,2,0,2,0,2
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,2,0,2,0,2
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,1,0,1,0,1
SACABA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,0,1,0,1,1
SACACA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,0,1,0,1,1
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,0,1,0,1,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,3,5,3,5,8
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,1,0,1,0,1
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,1,0,1,0,1
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,1,0,1,0,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,28,8,28,8,36
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,1,0,1,0,1
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,2,0,2,0,2
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,1,0,1,0,1
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,3,0,3,0,3
SORATA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,0,1,0,1,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,2,2,2,2,4
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,0,5,0,5,5
TORO TORO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,0,1,0,1,1
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,1,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,2,2,2,2,4
UNCIA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,1,1,1,1,2
UYUNI,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,1,0,1,0,1
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,1,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,4,0,4,0,4
VILLAZON,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,2,0,2,0,2
VINTO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,1,0,1,0,1
WARNES,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,1,1,1,1,2
YACUIBA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,0,2,0,2,2
YANACACHI,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,0,1,0,1,1
YAPACANI,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-11-01,0,2,0,2,2
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-12-01,1,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-12-01,1,2,1,2,3
ATOCHA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-12-01,2,0,2,0,2
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-12-01,1,0,1,0,1
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-12-01,0,1,0,1,1
CABEZAS,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-12-01,1,0,1,0,1
CAMARGO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-12-01,0,1,0,1,1
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-12-01,4,3,4,3,7
CARANAVI,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-12-01,1,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-12-01,0,1,0,1,1
CHIMORE,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-12-01,1,0,1,0,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-12-01,1,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-12-01,6,0,6,0,6
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-12-01,1,0,1,0,1
CORIPATA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-12-01,1,0,1,0,1
COROICO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-12-01,0,1,0,1,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-12-01,1,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-12-01,11,10,11,10,21
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-12-01,1,1,1,1,2
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-12-01,1,1,1,1,2
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-12-01,0,2,0,2,2
HUANUNI,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-12-01,1,1,1,1,2
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-12-01,2,0,2,0,2
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-12-01,2,1,2,1,3
LA PAZ,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-12-01,6,0,6,0,6
MINEROS,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-12-01,1,0,1,0,1
MIZQUE,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-12-01,1,0,1,0,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-12-01,1,1,1,1,2
OCURI,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-12-01,0,1,0,1,1
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-12-01,0,1,0,1,1
ORURO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-12-01,9,7,9,7,16
POCOATA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-12-01,0,4,0,4,4
POTOSI,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-12-01,2,0,2,0,2
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-12-01,1,0,1,0,1
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-12-01,1,0,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-12-01,3,0,3,0,3
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-12-01,2,4,2,4,6
REYES,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-12-01,0,2,0,2,2
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-12-01,1,0,1,0,1
SACABA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-12-01,1,0,1,0,1
SACACA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-12-01,2,0,2,0,2
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-12-01,0,1,0,1,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-12-01,2,1,2,1,3
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-12-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-12-01,60,15,60,15,75
SANTIAGO DE HUATA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-12-01,1,0,1,0,1
SENA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-12-01,1,0,1,0,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-12-01,0,2,0,2,2
TARIJA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-12-01,0,2,0,2,2
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-12-01,0,1,0,1,1
VIACHA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-12-01,1,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-12-01,0,1,0,1,1
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-12-01,1,0,1,0,1
