,group,variable,month,TOTAL 18.6 DPT 4TA DOSIS CANTIDAD,TOTAL 18.6 DPT 4TA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-07-01,3,4,3,4,7
SAN PEDRO(PND),vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-07-01,0,4,0,4,4
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-07-01,12,0,12,0,12
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-07-01,6,1,6,1,7
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-07-01,7,1,7,1,8
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-07-01,12,13,12,13,25
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-07-01,1058,24,1058,24,1082
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-07-01,1,0,1,0,1
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-07-01,17,0,17,0,17
SANTIAGO DE CALLAPA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-07-01,1,2,1,2,3
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-07-01,2,0,2,0,2
SANTIAGO DE HUATA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-07-01,3,6,3,6,9
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-07-01,1,1,1,1,2
SAPAHAQUI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-07-01,12,4,12,4,16
SENA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-07-01,6,7,6,7,13
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-07-01,4,1,4,1,5
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-07-01,3,0,3,0,3
SICAYA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-07-01,3,0,3,0,3
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-07-01,30,3,30,3,33
SORACACHI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-07-01,3,1,3,1,4
SORATA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-07-01,2,9,2,9,11
SUCRE,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-07-01,322,28,322,28,350
TACACHI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-07-01,1,0,1,0,1
TACACOMA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-07-01,1,1,1,1,2
TACOBAMBA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-07-01,2,1,2,1,3
TACOPAYA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-07-01,0,4,0,4,4
TAPACARI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-07-01,7,3,7,3,10
TARABUCO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-07-01,6,6,6,6,12
TARACO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-07-01,11,0,11,0,11
TARATA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-07-01,10,2,10,2,12
TARIJA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-07-01,238,32,238,32,270
TARVITA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-07-01,7,6,7,6,13
TEOPONTE,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-07-01,3,1,3,1,4
TIAWANACU,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-07-01,2,0,2,0,2
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-07-01,1,0,1,0,1
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-07-01,44,15,44,15,59
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-07-01,20,8,20,8,28
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-07-01,1,1,1,1,2
TOCO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-07-01,7,0,7,0,7
TOLATA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-07-01,6,1,6,1,7
TOLEDO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-07-01,2,0,2,0,2
TOMAVE,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-07-01,0,1,0,1,1
TOMINA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-07-01,2,4,2,4,6
TORO TORO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-07-01,2,3,2,3,5
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-07-01,21,4,21,4,25
TOTORA(ORR),vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-07-01,5,0,5,0,5
TRIGAL,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-07-01,0,1,0,1,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-07-01,95,1,95,1,96
TUPIZA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-07-01,53,6,53,6,59
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-07-01,12,0,12,0,12
URUBICHA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-07-01,8,0,8,0,8
UYUNI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-07-01,6,2,6,2,8
VACAS,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-07-01,2,2,2,2,4
VALLEGRANDE,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-07-01,12,0,12,0,12
VIACHA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-07-01,45,30,45,30,75
VILA VILA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-07-01,1,1,1,1,2
VILLA CHARCAS,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-07-01,8,4,8,4,12
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-07-01,64,18,64,18,82
VILLA RIVERO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-07-01,16,3,16,3,19
VILLA SERRANO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-07-01,5,4,5,4,9
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-07-01,43,6,43,6,49
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-07-01,10,4,10,4,14
VILLAZON,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-07-01,57,4,57,4,61
VINTO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-07-01,51,2,51,2,53
VITICHI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-07-01,9,0,9,0,9
WARNES,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-07-01,127,3,127,3,130
YACO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-07-01,5,3,5,3,8
YACUIBA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-07-01,122,18,122,18,140
YAMPARAEZ,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-07-01,0,4,0,4,4
YANACACHI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-07-01,2,3,2,3,5
YOTALA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-07-01,11,5,11,5,16
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-07-01,1,7,1,7,8
ZUDAÑEZ,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-07-01,2,7,2,7,9
ACACIO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,1,2,1,2,3
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,11,1,11,1,12
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,11,9,11,9,20
AIQUILE,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,24,20,24,20,44
ALCALA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,4,0,4,0,4
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,7,1,7,1,8
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,7,1,7,1,8
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,1,3,1,3,4
ANTEQUERA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,2,2,2,2,4
ANZALDO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,0,3,0,3,3
ARANI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,12,1,12,1,13
ARBIETO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,11,10,11,10,21
ARQUE,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,7,0,7,0,7
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,26,6,26,6,32
ATOCHA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,1,4,1,4,5
AYATA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,3,0,3,0,3
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,7,2,7,2,9
AZURDUY,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,2,2,2,2,4
BATALLAS,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,20,16,20,16,36
BAURES,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,11,0,11,0,11
BELEN DE ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,1,1,1,1,2
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,4,3,4,3,7
BERMEJO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,32,6,32,6,38
BETANZOS,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,20,4,20,4,24
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,6,1,6,1,7
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,0,3,0,3,3
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,4,0,4,0,4
CABEZAS,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,1,3,1,3,4
CAIROMA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,11,4,11,4,15
CAJUATA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,1,0,1,0,1
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,3,7,3,7,10
CAMARGO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,12,0,12,0,12
CAMIRI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,7,0,7,0,7
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,20,8,20,8,28
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,2,1,2,1,3
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,18,0,18,0,18
CARANAVI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,7,7,7,7,14
CARAPARI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,19,6,19,6,25
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,1,6,1,6,7
CHACARILLA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,1,1,1,1,2
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,16,0,16,0,16
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,6,14,6,14,20
CHARAÑA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,0,2,0,2,2
CHIMORE,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,3,0,3,0,3
CHOQUE COTA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,1,0,1,0,1
CHUA COCANI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,2,1,2,1,3
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,1,0,1,0,1
CHUMA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,0,1,0,1,1
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,13,0,13,0,13
CLIZA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,22,12,22,12,34
COBIJA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,83,6,83,6,89
COCAPATA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,5,19,5,19,24
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,567,54,567,54,621
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,9,3,9,3,12
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,12,1,12,1,13
COLOMI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,32,3,32,3,35
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,12,8,12,8,20
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,1,9,1,9,10
COMARAPA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,20,1,20,1,21
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,9,12,9,12,21
COPACABANA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,11,4,11,4,15
CORIPATA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,11,0,11,0,11
CORO CORO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,2,2,2,2,4
COROICO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,4,0,4,0,4
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,12,12,12,12,24
COTOCA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,43,9,43,9,52
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,41,17,41,17,58
CULPINA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,1,0,1,0,1
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,1,0,1,0,1
CURVA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,1,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,511,98,511,98,609
EL CHORO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,2,0,2,0,2
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,4,1,4,1,5
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,10,4,10,4,14
EL TORNO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,59,2,59,2,61
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,5,1,5,1,6
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,15,16,15,16,31
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,10,3,10,3,13
ESCOMA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,0,1,0,1,1
EUCALIPTUS,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,0,1,0,1,1
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,14,0,14,0,14
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,4,12,4,12,16
GUANAY,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,6,11,6,11,17
GUAQUI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,1,0,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,47,5,47,5,52
HUACARETA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,3,1,3,1,4
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,8,12,8,12,20
HUANUNI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,20,1,20,1,21
HUARINA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,5,2,5,2,7
HUATAJATA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,1,0,1,0,1
ICHOCA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,4,3,4,3,7
ICLA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,6,1,6,1,7
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,5,3,5,3,8
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,2,6,2,6,8
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,3,6,3,6,9
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,5,0,5,0,5
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,48,6,48,6,54
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,94,1,94,1,95
LA PAZ,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,419,12,419,12,431
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,6,2,6,2,8
LAJA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,2,5,2,5,7
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,5,0,5,0,5
LICOMA PAMPA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,4,0,4,0,4
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,2,2,2,2,4
LURIBAY,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,2,0,2,0,2
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,4,0,4,0,4
MACHARETI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,8,2,8,2,10
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,10,8,10,8,18
MAIRANA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,8,0,8,0,8
MAPIRI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,16,1,16,1,17
MECAPACA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,7,8,7,8,15
MINEROS,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,35,0,35,0,35
MIZQUE,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,15,16,15,16,31
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,6,14,6,14,20
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,4,9,4,9,13
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,33,1,33,1,34
MONTERO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,80,4,80,4,84
MORO MORO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,1,2,1,2,3
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,3,8,3,8,11
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,0,2,0,2,2
OKINAWA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,19,3,19,3,22
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,3,14,3,14,17
ORURO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,268,4,268,4,272
PADCAYA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,16,7,16,7,23
PADILLA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,15,7,15,7,22
PAILON,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,1,12,1,12,13
PALCA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,1,2,1,2,3
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,14,18,14,18,32
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,13,0,13,0,13
PASORAPA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,1,0,1,0,1
PAZÑA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,3,1,3,1,4
POCOATA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,1,0,1,0,1
POCONA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,7,10,7,10,17
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,4,4,4,4,8
POOPO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,6,0,6,0,6
POROMA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,15,4,15,4,19
PORONGO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,9,2,9,2,11
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,29,3,29,3,32
PORVENIR,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,2,7,2,7,9
POSTRER VALLE,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,2,0,2,0,2
POTOSI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,239,35,239,35,274
PRESTO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,5,3,5,3,8
PUCARANI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,29,25,29,25,54
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,0,3,0,3,3
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,5,4,5,4,9
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,6,9,6,9,15
PUERTO PEREZ,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,3,2,3,2,5
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,26,2,26,2,28
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,27,1,27,1,28
PUNA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,5,9,5,9,14
PUNATA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,30,4,30,4,34
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,75,66,75,66,141
QUIME,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,14,2,14,2,16
RAVELO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,10,11,10,11,21
REYES,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,20,1,20,1,21
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,65,1,65,1,66
ROBORE,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,4,0,4,0,4
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,16,0,16,0,16
SACABA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,142,13,142,13,155
SACABAMBA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,3,0,3,0,3
SACACA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,11,1,11,1,12
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,6,4,6,4,10
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,14,1,14,1,15
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-08-01,7,8,7,8,15
